Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015000-RRC	S700015292-RRC	S700015668-RRC	S700015968-RRC	S700016081-RRC	S700016091-RRC	S700016172-RRC	S700016337-RRC	S700016655-RRC	S700021880-RRC	S700023011-RRC	S700023106-RRC	S700023271-RRC	S700023321-RRC	S700023424-RRC	S700023481-RRC	S700023533-RRC	S700023582-RRC	S700023625-RRC	S700023792-RRC	S700023849-RRC	S700023906-RRC	S700023940-RRC	S700023991-RRC	S700024099-RRC	S700024151-RRC	S700024258-RRC	S700024310-RRC	S700024429-RRC	S700024462-RRC	S700024513-RRC	S700024558-RRC	S700024607-RRC	S700024677-RRC	S700024703-RRC	S700024756-RRC	S700024833-RRC	S700024870-RRC	S700024922-RRC	S700024970-RRC	S700033026-RRC	S700033183-RRC	S700033483-RRC	S700033548-RRC	S700033779-RRC	S700034284-RRC	S700034956-RRC	S700035361-RRC	S700035687-RRC	S700035834-RRC	S700035891-RRC	S700035983-RRC	S700037020-RRC	S700037046-RRC	S700037167-RRC	S700037224-RRC	S700037276-RRC	S700037327-RRC	S700037381-RRC	S700037429-RRC	S700037472-RRC	S700037552-RRC	S700037653-RRC	S700037704-RRC	S700037781-RRC	S700037838-RRC	S700037872-RRC	S700037920-RRC	S700037971-RRC	S700038025-RRC	S700038150-RRC	S700038251-RRC	S700038358-RRC	S700038406-RRC	S700038476-RRC	S700038524-RRC	S700038570-RRC	S700038618-RRC	S700038726-RRC	S700038785-RRC	S700038820-RRC	S700038942-RRC	S700038970-RRC	S700095402-RRC	S700095459-RRC	S700095516-RRC	S700096560-RRC	S700097283-RRC	S700097343-RRC	S700097533-RRC	S700097680-RRC	S700098319-RRC	S700098411-RRC	S700098984-RRC	S700099051-RRC	S700099111-RRC	S700099795-RRC	S700100279-RRC	S700100589-RRC	S700101183-RRC	S700101630-RRC	S700101687-RRC	S700101889-RRC	S700101946-RRC	S700102291-RRC	S700102405-RRC	S700102637-RRC	S700102897-RRC	S700102954-RRC	S700103265-RRC	S700103293-RRC	S700103470-RRC	S700103579-RRC	S700103645-RRC	S700103696-RRC	S700105005-RRC	S700105053-RRC	S700105110-RRC	S700105167-RRC	S700105224-RRC	S700105278-RRC	S700105326-RRC	S700105396-RRC	S700105538-RRC	S700105636-RRC	S700105763-RRC	S700105800-RRC	S700105848-RRC	S700105896-RRC	S700105960-RRC	S700106042-RRC	S700106079-RRC	S700106136-RRC	S700106263-RRC	S700106318-RRC	S700106451-RRC	S700106508-RRC	S700106565-RRC	S700106639-RRC	S700106687-RRC	S700106715-RRC	S700106788-RRC	S700106900-RRC	S700106922-RRC	S700106970-RRC	S700107427-RRC	S700107538-RRC	S700107595-RRC	S700107808-RRC	S700107922-RRC	S700107979-RRC	S700108147-RRC	S700108210-RRC	S700108270-RRC	S700108582-RRC	S700108648-RRC	S700108888-RRC	S700108945-RRC	S700109222-RRC	S700109555-RRC	S700109612-RRC	S700109673-RRC	S700109973-RRC	S700110141-RRC	S700110207-RRC	S700110798-RRC	S700110864-RRC	S700111208-RRC	S700111274-RRC	S700111348-RRC	S700111626-RRC	S700111797-RRC	S700112034-RRC	S700112539-RRC	S700113027-RRC	S700113148-RRC	S700113527-RRC	S700113566-RRC	S700113640-RRC	S700113668-RRC	S700113739-RRC	S700113793-RRC	S700113844-RRC	S700113901-RRC	S700113958-RRC	S700114041-RRC	S700114149-RRC	S700114238-RRC	S700114291-RRC	S700114343-RRC	S700114411-RRC	S700114446-RRC	S700114509-RRC	S700114582-RRC	S700114673-RRC	S700114721-RRC	S700114771-RRC	S700114822-RRC	S700114876-RRC	S700114925-RRC	S700114981-RRC	S700116023-RRC	S700116049-RRC	S700116100-RRC	S700116152-RRC	S700116279-RRC	S700116330-RRC	S700116382-RRC	S700116472-RRC	S700116592-RRC	S700116702-RRC	S700116754-RRC	S700116802-RRC	S700116832-RRC	S700116892-RRC	S700116951-RRC	S700117090-RRC	S700117139-RRC	S700117218-RRC	S700117629-RRC	S700117686-RRC	S700117741-RRC	S700117852-RRC	S700117942-RRC	S700118462-RRC	S700119094-RRC	S700119157-RRC	S700119214-RRC	S700119356-RRC	S700119614-RRC	S700119788-RRC	S700119913-RRC	S700120089-RRC	S700121042-RRC	S700121351-RRC	S700122396-RRC	S700123248-RRC	S700123614-RRC	S700161044-RRC	S700161155-RRC	S700161206-RRC	S700161321-RRC	S700161498-RRC	S700161622-RRC	S700161842-RRC	S700163034-RRC	S700163205-RRC	S700163394-RRC	S700163545-RRC	S700163652-RRC	S700163703-RRC	S700163758-RRC	S700163967-RRC	S700164074-RRC	S700164183-RRC	S700164216-RRC	S700164273-RRC	S700164343-RRC	S700164395-RRC	S700164491-RRC	S700164542-RRC	S700164710-RRC	S700164759-RRC	S700164816-RRC	S700164856-RRC	S700164987-RRC	S700165038-RRC	S700165136-RRC	S700165191-RRC	S700165304-RRC	S700165400-RRC	S700165448-RRC	S700165479-RRC	S700165658-RRC	S700165706-RRC	S700165802-RRC	S700165850-RRC	S700165899-RRC	S700165956-RRC	S700166635-RRC	S700171010-RRC	S700171058-RRC	S700171106-RRC	S700171139-RRC	S700171214-RRC	S700171270-RRC	S700171414-RRC	S700171465-RRC	S700171517-RRC	S700171565-RRC	S700171672-RRC	S700171720-RRC	S700171751-RRC	S700171826-RRC	S700171883-RRC	S700171920-RRC	S700171979-RRC	S700172054-RRC	S700172207-RRC	S700172465-RRC	S700172542-RRC	S700172596-RRC	S700172645-RRC	S700172701-RRC	S700172750-RRC	S700172806-RRC	S700172857-RRC	S700173016-RRC	S700173064-RRC	S700173110-RRC	S700173217-RRC	S700173265-RRC	S700173313-RRC	S700173421-RRC	S700173474-RRC	S700173570-RRC	S700173620-RRC	S700173671-RRC	S700173824-RRC	S700173870-RRC	S700173920-RRC	S700175110-RRC	S700175249-RRC	S700175345-RRC
Bacteria	domain				99.204	98.499	99.65	99.891	68.075	56.008	95.762	81.557	88.871	94.873	99.275	97.976	86.663	99.785	72.911	87.29	99.33	96.787	98.279	90.258	95.157	99.451	99.769	99.848	79.884	97.144	99.59	97.941	99.971	92.037	98.793	99.365	98.834	91.19	99.815	92.539	87.967	98.781	99.691	99.697	99.864	93.467	96.953	99.492	99.778	98.772	98.781	100.0	98.904	99.783	96.802	99.706	91.055	99.816	99.091	97.686	99.826	86.34	99.937	99.934	97.708	55.549	98.255	94.986	99.888	99.802	99.927	99.92	96.997	99.316	99.103	99.704	99.511	99.484	99.782	99.691	99.435	99.899	99.99	94.343	99.816	99.935	98.984	99.881	99.728	99.703	99.9	99.959	88.007	98.894	99.946	99.786	98.859	98.221	99.853	99.701	98.783	99.733	99.214	97.208	99.916	99.195	99.901	99.826	99.78	99.462	98.237	99.332	99.698	99.958	100.0	87.326	99.765	99.943	98.409	100.0	100.0	99.271	100.0	92.784	99.666	98.454	98.89	89.755	99.853	92.55	78.326	99.73	99.247	100.0	98.488	98.885	96.253	99.626	99.446	99.585	100.0	100.0	99.476	100.0	100.0	99.991	96.525	89.125	100.0	99.957	94.636	99.601	99.167	97.312	99.397	96.966	98.275	99.636	99.317	99.897	98.713	96.385	98.885	99.227	98.108	99.416	90.457	99.838	99.175	99.933	94.789	98.087	98.836	92.768	87.045	95.957	98.71	99.805	76.538	83.644	99.61	99.755	99.032	99.99	98.45	99.782	99.433	99.815	99.882	99.936	91.922	99.973	99.968	99.95	100.0	100.0	99.954	99.911	99.979	99.877	99.652	99.94	99.274	99.134	99.842	97.812	99.841	98.648	99.867	99.712	99.431	99.684	37.318	99.965	99.918	99.952	65.642	99.309	99.599	95.766	98.956	100.0	99.443	91.507	95.055	87.774	99.316	99.437	99.401	99.804	85.335	99.385	99.652	98.931	99.832	99.057	89.743	100.0	99.63	97.51	98.452	99.286	95.419	100.0	97.654	96.563	85.156	97.54	99.37	86.262	99.444	97.243	98.806	99.522	98.311	84.913	93.86	99.904	99.633	98.106	99.702	99.723	99.904	99.778	98.454	99.6	99.311	99.888	99.449	99.848	98.988	99.407	98.564	99.843	99.881	99.85	99.705	99.604	99.691	99.974	99.9	99.941	99.853	95.318	100.0	99.961	99.585	99.737	99.721	99.924	99.677	99.91	94.396	99.746	99.917	99.971	99.122	100.0	99.221	99.872	99.829	96.995	94.935	99.73	91.641	99.86	99.923	98.961	99.935	99.99	97.229	100.0	99.972	99.709	98.673	99.917	99.976	99.974	99.818	99.978	99.955	99.905	99.948	100.0	99.053	99.58	99.936	99.606
Bacteria;Actinomycetota	phylum				98.258	97.992	99.5	94.704	35.403	11.718	93.577	11.252	87.695	79.785	96.511	88.818	49.594	98.725	28.903	61.35	76.703	48.272	56.524	11.976	69.665	93.297	98.385	99.456	53.067	88.824	98.799	93.822	99.809	88.662	97.947	98.307	94.402	89.779	99.63	75.179	85.685	97.866	96.409	99.505	83.683	58.367	87.396	86.201	54.626	16.071	98.027	96.705	70.767	87.514	72.384	11.588	27.523	99.535	91.303	65.447	99.306	5.937	99.512	98.51	92.863	42.215	10.282	50.426	96.356	99.657	99.734	99.544	56.907	76.409	50.126	87.767	97.311	99.192	91.356	98.148	81.611	98.391	99.183	32.583	99.558	99.561	85.392	95.843	97.609	77.783	99.598	97.225	28.399	84.873	99.711	99.197	96.645	50.356	93.238	78.117	93.34	99.04	97.16	76.605	98.857	89.945	98.272	97.496	99.192	82.078	95.867	43.018	97.46	95.839	88.851	54.56	99.589	99.506	80.341	34.09	2.662	93.358	98.398	24.485	98.713	77.621	95.808	59.327	99.78	74.181	74.428	98.649	96.761	71.484	95.464	46.902	84.242	85.02	97.857	98.558	98.532	84.112	94.237	96.189	90.115	96.312	78.845	70.25	91.427	97.896	28.89	95.981	91.244	95.185	96.043	54.485	87.508	21.033	93.665	99.145	95.631	92.406	96.893	91.936	80.645	67.1	30.254	94.346	82.3	99.46	92.042	89.936	85.908	89.105	62.308	60.158	94.401	96.543	20.142	42.236	11.005	18.475	83.979	26.51	94.868	98.934	97.196	94.715	80.638	99.474	81.028	14.149	9.952	24.319	2.634	0.013	14.62	50.648	3.505	21.18	13.015	2.838	92.848	13.319	20.443	36.562	99.239	95.774	90.347	91.113	20.605	98.25	35.575	98.855	93.459	97.965	15.909	97.583	98.688	93.157	86.569	93.027	92.441	90.661	89.13	31.16	98.856	92.405	94.007	96.94	85.257	96.106	32.848	95.913	98.445	61.114	86.865	82.66	99.075	91.224	74.286	58.571	82.856	87.965	91.349	40.098	67.188	93.016	97.424	43.131	97.933	75.104	98.009	84.191	96.088	74.116	66.288	98.132	94.174	94.347	82.877	81.715	99.654	99.016	90.642	94.368	80.965	99.241	96.63	99.086	56.286	72.106	49.587	99.08	68.214	92.325	81.486	92.814	48.661	99.737	99.733	98.798	99.046	63.162	47.414	99.82	94.424	97.356	93.315	85.292	96.716	98.874	21.161	96.208	99.55	4.338	98.093	100.0	96.789	99.433	99.082	88.4	55.096	99.275	57.592	98.714	44.08	97.45	99.722	99.632	79.908	94.823	99.63	84.109	83.628	98.859	99.951	96.277	93.195	98.708	99.457	97.276	99.633	96.716	94.317	20.399	99.408	99.014
Bacteria;Bacteroidota	phylum				0.082	0.011	0.0	0.0	4.458	0.099	0.0	2.115	0.043	0.0	0.178	0.21	0.0	0.017	0.042	0.717	0.782	1.857	0.041	0.0	1.384	0.0	0.0	0.087	0.168	0.0	0.059	0.824	0.044	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.069	0.028	0.0	0.0	0.0	0.024	0.139	0.305	0.082	2.679	0.0	0.0	0.365	0.0	1.017	1.765	0.0	0.0	0.076	1.238	0.0	0.086	0.042	0.022	0.0	0.0	0.035	0.473	0.075	0.0	0.01	0.0	4.204	0.058	0.07	0.0	0.089	0.007	0.0	0.009	0.027	0.053	0.01	5.992	0.0	0.0	0.007	0.0	0.0	0.144	0.0	0.191	0.02	0.166	0.0	0.054	0.091	0.0	0.0	0.0	0.112	0.027	0.302	0.112	0.034	0.0	0.0	0.0	0.0	0.0	0.029	0.03	0.0	0.0	0.0	0.155	0.0	0.0	0.0	0.094	6.156	0.0	0.0	7.216	0.0	2.755	0.123	1.682	0.0	0.0	0.0	0.116	0.118	0.0	0.0	0.434	0.358	0.027	0.0	0.0	0.0	0.0	0.0	0.423	0.0	0.0	0.358	0.0	0.0	0.0	0.035	0.025	0.027	0.06	0.052	0.792	0.192	0.023	0.137	0.0	0.08	0.213	0.035	0.072	0.172	1.992	0.203	0.0	0.069	0.0	0.0	0.0	0.0	0.162	0.0	0.641	0.22	0.0	13.881	1.242	0.867	24.715	0.0	13.465	0.076	0.046	0.1	0.554	0.03	0.0	0.0	20.863	5.755	0.792	0.056	0.0	10.89	6.893	9.284	4.711	1.341	12.319	0.026	13.102	10.221	0.0	0.0	0.121	0.0	0.0	0.0	0.014	0.107	0.0	0.411	0.0	0.0	0.138	0.0	0.0	0.974	0.0	0.0	0.033	0.082	0.564	0.0	0.07	0.036	0.0	0.0	0.0	0.0	0.0	0.078	0.0	0.0	0.168	0.0	0.0	0.536	0.0	0.608	0.0	0.0	0.0	0.0	0.0	0.114	0.0	0.0	0.084	0.0	0.028	0.0	0.566	0.0	0.066	0.826	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.043	0.005	0.0	0.0	8.526	0.0	0.0	0.0	0.0	0.0	0.354	0.122	0.0	0.0	0.022	0.007	0.073	0.0	0.0	0.0	0.0	0.0	0.557	0.303	0.287	0.0	0.055	0.0	0.0	0.073	0.025	0.0	0.0	0.009	0.0	0.0	0.049	0.0	0.307	0.039	0.0	0.0	0.0	0.0	1.155	0.0	0.014	0.0	0.0	0.0	0.0	0.184	0.0	0.011	0.045	0.0	0.052	0.0	0.541	0.0	0.0	0.099
Bacteria;Bacillota	phylum				0.412	0.045	0.025	5.079	14.197	22.145	1.844	52.792	0.843	1.367	0.616	1.345	5.436	0.198	10.97	3.19	10.532	9.212	33.385	6.298	6.865	4.725	0.519	0.152	1.978	5.757	0.41	2.224	0.088	1.687	0.355	0.741	4.326	0.561	0.099	15.208	1.591	0.471	0.523	0.055	15.286	32.0	6.648	12.198	0.566	39.621	0.667	2.722	26.553	12.052	18.605	4.706	56.422	0.11	2.475	28.31	0.246	78.919	0.258	1.259	4.498	1.458	87.695	35.099	1.813	0.035	0.078	0.128	23.874	21.778	42.651	0.474	1.0	0.217	8.251	0.427	15.254	1.228	0.698	29.178	0.129	0.16	13.543	3.902	1.884	21.058	0.244	0.403	58.124	13.219	0.108	0.295	1.575	47.687	6.395	7.01	5.011	0.4	1.471	17.42	0.891	6.745	1.605	1.983	0.196	17.216	1.416	38.844	2.207	3.825	10.323	16.847	0.157	0.285	15.341	0.266	71.381	0.57	0.272	44.33	0.81	11.492	1.356	7.339	0.073	6.166	2.443	0.579	2.078	28.131	2.062	50.0	4.876	14.366	1.256	0.422	1.022	8.587	3.702	1.517	3.24	2.053	3.015	18.25	8.143	1.93	13.578	3.345	7.44	1.095	1.939	37.863	7.446	78.205	4.123	0.616	2.6	2.339	0.483	6.857	15.054	15.401	59.492	5.212	16.504	0.472	2.732	7.984	12.88	2.666	5.473	32.544	3.254	2.824	14.099	24.431	10.399	16.925	6.69	10.434	1.423	0.332	1.001	3.437	18.652	0.096	3.672	8.553	15.199	27.093	97.309	99.973	26.297	15.775	21.531	31.544	6.855	20.894	4.198	13.373	30.506	58.125	0.46	0.58	9.52	8.285	75.801	0.61	0.711	0.229	2.633	1.971	47.326	0.449	0.401	2.344	9.812	6.207	0.557	0.39	2.779	48.589	0.238	1.758	3.923	2.713	0.045	3.279	9.508	2.829	0.94	37.686	2.268	15.657	0.208	5.831	18.839	32.143	3.078	3.544	3.812	47.791	3.613	0.556	0.63	23.003	0.556	19.799	0.265	15.134	1.717	6.223	23.65	1.078	3.257	3.729	15.313	17.179	0.115	0.652	3.372	4.296	14.47	0.15	2.635	0.647	19.653	27.29	48.115	0.584	31.31	7.501	16.686	6.273	1.315	0.237	0.122	0.98	0.612	0.23	50.0	0.083	5.136	2.151	5.292	13.95	1.812	0.934	72.479	3.502	0.32	0.233	0.477	0.0	0.327	0.356	0.702	1.747	39.325	0.371	31.518	0.639	0.412	1.322	0.115	0.307	10.508	5.177	0.299	15.31	13.717	0.501	0.0	3.199	6.623	1.203	0.339	1.077	0.052	0.045	2.706	51.652	0.122	0.0
Bacteria;Fusobacteriota	phylum				0.096	0.0	0.075	0.022	5.849	3.078	0.158	2.284	0.025	7.568	0.123	1.086	3.867	0.026	7.932	1.434	0.223	11.197	0.196	2.048	0.564	0.0	0.0	0.022	1.336	0.787	0.117	0.0	0.0	0.0	0.053	0.0	0.042	0.255	0.0	0.143	0.138	0.055	0.0	0.028	0.078	1.586	0.416	0.127	0.0	0.335	0.0	0.0	0.0	0.0	0.872	1.0	0.229	0.012	0.497	0.323	0.014	0.231	0.077	0.005	0.0	0.025	0.09	1.798	0.21	0.0	0.01	0.056	1.802	0.039	0.035	0.089	0.022	0.0	0.032	0.508	0.1	0.085	0.026	10.591	0.02	0.053	0.0	0.0	0.181	0.182	0.0	0.526	0.0	0.0	0.0	0.0	0.091	0.0	0.092	0.0	0.096	0.0	0.081	0.0	0.017	0.0	0.0	0.0	0.0	0.034	0.549	0.0	0.0	0.0	0.0	9.428	0.0	0.0	1.534	0.0	0.0	0.0	0.0	3.093	0.0	0.336	0.0	8.104	0.0	2.184	0.0	0.154	0.243	0.0	0.0	0.372	1.846	0.107	0.16	0.0	0.0	0.94	0.699	0.212	0.0	0.0	2.044	0.0	0.0	0.0	0.035	0.025	0.054	0.284	0.026	0.132	0.284	0.046	0.464	0.034	0.0	0.486	0.0	0.109	0.043	2.735	0.102	0.015	0.165	0.0	0.0	0.028	0.0	0.07	0.06	0.099	0.088	0.0	8.601	8.696	1.473	11.338	0.293	7.669	0.356	0.0	0.0	0.185	0.059	0.0	4.651	5.835	4.42	35.661	0.0	0.013	5.236	1.599	4.277	7.005	0.447	15.217	0.233	14.672	5.69	0.0	0.0	0.338	0.0	0.078	0.233	0.0	0.249	0.053	0.247	0.0	0.401	0.311	0.0	0.0	0.0	0.0	0.059	0.0	0.531	0.251	0.0	1.266	0.073	0.03	0.0	0.0	0.0	0.031	0.145	0.029	0.0	0.0	0.046	0.091	0.595	0.0	0.644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.113	0.943	0.0	0.037	0.642	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.172	0.0	0.092	0.0	7.731	0.0	0.144	0.0	0.0	0.0	0.059	0.0	0.01	0.0	0.0	0.0	0.024	0.0	1.149	0.013	0.0	0.0	0.0	0.152	0.161	0.026	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.489	0.08	0.017	0.613	0.117	0.009	0.094	0.0	0.01	1.386	0.0	0.0	0.0	0.885	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	1.488	0.052	0.032	0.394
Bacteria;Pseudomonadota	phylum				0.357	0.451	0.05	0.087	8.168	18.967	0.184	13.113	0.265	6.152	1.847	6.517	27.767	0.819	25.063	20.598	11.09	26.25	8.132	69.935	16.679	1.429	0.865	0.131	23.335	1.776	0.205	1.071	0.029	1.687	0.438	0.317	0.064	0.595	0.062	2.009	0.484	0.36	2.759	0.11	0.817	1.491	2.355	0.661	44.504	40.067	0.087	0.573	1.218	0.217	3.924	80.647	6.881	0.159	4.74	2.368	0.26	1.167	0.049	0.137	0.346	11.851	0.153	7.19	1.435	0.11	0.094	0.192	10.21	1.033	6.221	11.374	1.089	0.068	0.144	0.599	2.442	0.143	0.072	15.999	0.109	0.16	0.042	0.136	0.054	0.537	0.057	1.613	1.464	0.636	0.126	0.241	0.457	0.178	0.128	14.574	0.224	0.267	0.201	3.071	0.118	2.505	0.025	0.348	0.392	0.134	0.376	17.439	0.03	0.294	0.826	6.337	0.02	0.152	1.193	65.55	19.8	5.343	1.33	13.66	0.143	6.25	1.603	13.303	0.0	10.019	1.455	0.232	0.047	0.385	0.962	1.177	4.931	0.107	0.172	0.605	0.446	6.362	0.838	1.658	6.645	1.627	12.264	0.625	0.43	0.13	52.098	0.225	0.403	0.688	1.336	3.694	2.845	0.33	0.928	0.103	0.402	0.942	1.475	0.254	2.194	12.188	0.406	0.265	0.138	0.0	0.015	0.139	0.048	0.765	19.204	2.515	0.747	0.438	19.815	7.039	75.867	28.303	8.069	41.911	1.728	0.47	1.135	0.924	0.503	0.366	2.57	50.573	64.642	12.085	0.0	0.0	42.91	24.996	61.381	35.436	77.993	48.671	1.969	44.667	32.982	3.125	0.142	1.835	0.0	0.235	2.792	0.811	0.676	0.828	3.167	0.016	2.005	0.829	0.51	0.265	1.601	0.766	6.387	0.423	2.534	7.21	0.223	3.938	1.362	0.121	0.033	0.0	57.295	0.157	0.224	0.229	0.609	1.515	0.301	0.364	4.196	8.571	8.232	8.492	2.493	8.674	14.355	3.968	1.202	20.128	0.954	2.256	0.531	0.169	0.394	3.065	3.923	0.591	0.734	0.03	1.491	0.83	0.135	0.074	4.44	0.937	3.661	0.492	0.092	0.114	6.792	0.011	0.718	0.18	0.357	0.024	1.12	0.396	49.705	0.0	0.022	0.157	0.098	31.926	1.437	0.045	0.025	0.23	0.557	0.227	0.7	0.077	0.7	0.036	0.047	95.298	0.527	0.0	2.105	0.073	0.045	6.359	0.386	0.067	1.61	0.351	55.422	0.094	0.098	0.041	4.273	0.0	0.028	0.291	0.442	0.557	0.024	0.315	0.0	0.056	0.09	1.552	0.21	3.239	0.0	27.478	0.373	0.099
Bacteria;Actinomycetota;Actinomycetes	class				98.258	97.992	99.5	94.704	35.403	11.718	93.577	11.252	87.695	79.785	96.511	88.818	49.594	98.725	28.903	61.35	76.703	48.272	56.524	11.976	69.665	93.297	98.385	99.456	53.067	88.824	98.799	93.822	99.809	88.662	97.947	98.307	94.402	89.779	99.63	75.179	85.685	97.866	96.409	99.505	83.683	58.367	87.396	86.201	54.626	16.071	98.027	96.705	70.767	87.514	72.384	11.588	27.523	99.535	91.303	65.447	99.306	5.937	99.512	98.51	92.863	42.215	10.282	50.426	96.356	99.657	99.734	99.544	56.907	76.409	50.126	87.767	97.311	99.192	91.356	98.148	81.611	98.391	99.183	32.583	99.558	99.561	85.392	95.843	97.609	77.783	99.598	97.225	28.399	84.873	99.711	99.197	96.645	50.356	93.238	78.117	93.34	99.04	97.16	76.605	98.857	89.945	98.272	97.496	99.192	82.078	95.867	43.018	97.46	95.839	88.851	54.56	99.589	99.506	80.341	34.09	2.662	93.358	98.398	24.485	98.713	77.621	95.808	59.327	99.78	74.181	74.428	98.649	96.761	71.484	95.464	46.902	84.242	85.02	97.857	98.558	98.532	84.112	94.237	96.189	90.115	96.312	78.845	70.25	91.427	97.896	28.89	95.981	91.244	95.185	96.043	54.485	87.508	21.033	93.665	99.145	95.631	92.406	96.893	91.936	80.645	67.1	30.254	94.346	82.3	99.46	92.042	89.936	85.908	89.105	62.308	60.158	94.401	96.543	20.142	42.236	11.005	18.475	83.979	26.51	94.868	98.934	97.196	94.715	80.638	99.474	81.028	14.149	9.952	24.319	2.634	0.013	14.62	50.648	3.505	21.18	13.015	2.838	92.848	13.319	20.443	36.562	99.239	95.774	90.347	91.113	20.605	98.25	35.575	98.855	93.459	97.965	15.909	97.583	98.688	93.157	86.569	93.027	92.441	90.661	89.13	31.16	98.856	92.405	94.007	96.94	85.257	96.106	32.848	95.913	98.445	61.114	86.865	82.66	99.075	91.224	74.286	58.571	82.856	87.965	91.349	40.098	67.188	93.016	97.424	43.131	97.933	75.104	98.009	84.191	96.088	74.116	66.288	98.132	94.174	94.347	82.877	81.715	99.654	99.016	90.642	94.368	80.965	99.241	96.63	99.086	56.286	72.106	49.587	99.08	68.214	92.325	81.486	92.814	48.661	99.737	99.733	98.798	99.046	63.162	47.414	99.82	94.424	97.356	93.315	85.292	96.716	98.874	21.161	96.208	99.55	4.338	98.093	100.0	96.789	99.433	99.082	88.4	55.096	99.275	57.592	98.714	44.08	97.45	99.722	99.632	79.908	94.823	99.63	84.109	83.628	98.859	99.951	96.277	93.195	98.708	99.457	97.276	99.633	96.716	94.317	20.399	99.408	99.014
Bacteria;Bacteroidota;Bacteroidia	class				0.082	0.0	0.0	0.0	4.458	0.099	0.0	2.115	0.018	0.0	0.178	0.21	0.0	0.017	0.042	0.717	0.261	1.057	0.041	0.0	1.384	0.0	0.0	0.087	0.168	0.0	0.059	0.412	0.029	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.069	0.028	0.0	0.0	0.0	0.024	0.139	0.178	0.082	2.679	0.0	0.0	0.0	0.0	0.581	1.765	0.0	0.0	0.025	0.7	0.0	0.072	0.042	0.011	0.0	0.0	0.035	0.473	0.051	0.0	0.005	0.0	3.754	0.026	0.052	0.0	0.0	0.007	0.0	0.009	0.027	0.042	0.01	4.823	0.0	0.0	0.007	0.0	0.0	0.048	0.0	0.096	0.02	0.166	0.0	0.054	0.068	0.0	0.0	0.0	0.112	0.027	0.262	0.112	0.017	0.0	0.0	0.0	0.0	0.0	0.029	0.03	0.0	0.0	0.0	0.155	0.0	0.0	0.0	0.008	0.0	0.0	0.0	6.443	0.0	2.755	0.123	1.682	0.0	0.0	0.0	0.116	0.118	0.0	0.0	0.434	0.358	0.0	0.0	0.0	0.0	0.0	0.0	0.423	0.0	0.0	0.358	0.0	0.0	0.0	0.018	0.0	0.027	0.028	0.052	0.792	0.153	0.011	0.137	0.0	0.054	0.182	0.035	0.06	0.0	0.505	0.203	0.0	0.028	0.0	0.0	0.0	0.0	0.162	0.0	0.296	0.161	0.0	12.847	1.242	0.693	12.847	0.0	8.765	0.076	0.0	0.1	0.554	0.03	0.0	0.0	2.531	4.801	0.545	0.042	0.0	10.171	0.409	8.074	2.376	0.994	7.609	0.026	7.905	9.326	0.0	0.0	0.121	0.0	0.0	0.0	0.014	0.107	0.0	0.411	0.0	0.0	0.138	0.0	0.0	0.487	0.0	0.0	0.033	0.082	0.564	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.067	0.0	0.0	0.0	0.0	0.0	0.119	0.0	0.107	0.0	0.0	0.0	0.0	0.0	0.114	0.0	0.0	0.0	0.0	0.028	0.0	0.377	0.0	0.0	0.229	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.043	0.005	0.0	0.0	1.373	0.0	0.0	0.0	0.0	0.0	0.354	0.0	0.0	0.0	0.011	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.303	0.108	0.0	0.055	0.0	0.0	0.058	0.025	0.0	0.0	0.009	0.0	0.0	0.031	0.0	0.307	0.031	0.0	0.0	0.0	0.0	0.924	0.0	0.0	0.0	0.0	0.0	0.0	0.131	0.0	0.011	0.0	0.0	0.052	0.0	0.541	0.0	0.0	0.0
