Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016099-MVA	S700016504-MVA	S700016604-MVA	S700021930-MVA	S700023100-MVA	S700023202-MVA	S700023281-MVA	S700023434-MVA	S700023491-MVA	S700023668-MVA	S700023802-MVA	S700023859-MVA	S700023916-MVA	S700024001-MVA	S700024078-MVA	S700024161-MVA	S700024268-MVA	S700024393-MVA	S700024766-MVA	S700024843-MVA	S700024880-MVA	S700033041-MVA	S700033193-MVA	S700033498-MVA	S700033789-MVA	S700037234-MVA	S700037714-MVA	S700038736-MVA	S700038795-MVA	S700097353-MVA	S700098329-MVA	S700098421-MVA	S700098994-MVA	S700099121-MVA	S700099350-MVA	S700100289-MVA	S700102647-MVA	S700103303-MVA	S700103706-MVA	S700105120-MVA	S700105177-MVA	S700105234-MVA	S700105451-MVA	S700105644-MVA	S700105719-MVA	S700105794-MVA	S700105996-MVA	S700106052-MVA	S700106089-MVA	S700106120-MVA	S700106518-MVA	S700106575-MVA	S700106833-MVA	S700106910-MVA	S700113158-MVA	S700113537-MVA	S700113576-MVA	S700113854-MVA	S700113968-MVA	S700114159-MVA	S700114232-MVA	S700114301-MVA	S700114456-MVA	S700114503-MVA	S700114592-MVA	S700114649-MVA	S700114935-MVA	S700116215-MVA	S700116340-MVA	S700116655-MVA	S700116996-MVA	S700117696-MVA	S700117751-MVA	S700117952-MVA
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;vaginalis	species	051	2341		0.186	0.583	0.0	0.982	0.0	0.0	0.127	0.0	0.169	1.003	0.0	1.335	0.849	0.0	0.061	0.676	0.0	0.065	0.071	0.641	0.0	0.0	0.506	1.495	0.0	0.0	0.0	0.091	1.726	0.0	1.495	1.629	0.773	0.0	0.0	0.0	0.0	0.353	1.915	0.0	0.292	2.135	0.0	0.0	0.0	0.0	0.0	0.0	0.542	0.0	0.0	0.0	1.607	0.841	1.459	0.045	0.075	1.004	0.0	0.454	1.643	0.0	0.272	0.0	1.181	0.0	0.107	0.219	0.0	0.569	0.543	1.879	0.671	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;agalactiae	species	537	2759		0.0	0.0	0.0	0.013	0.0	0.0	0.685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.867	0.0	0.0	0.0	0.015	0.0	0.0	0.0	8.6	0.836	0.0	0.782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073	0.0	0.015	0.0	0.0	0.0	0.016	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius	species	755	2926		0.093	0.008	0.0	0.013	0.13	0.058	0.0	0.089	0.0	0.0	0.015	0.013	0.0	0.0	0.012	0.0	0.0	0.011	0.0	0.203	0.064	0.02	0.092	0.011	0.014	0.111	8.651	0.0	0.403	0.0	0.0	0.045	0.129	0.106	0.0	0.04	0.446	0.0	0.0	0.014	0.0	0.061	0.012	0.025	0.016	0.09	0.0	0.0	0.008	0.0	0.0	0.014	0.0	0.018	0.018	0.0	0.03	0.039	0.097	0.013	0.016	0.621	0.0	0.0	0.008	0.016	0.0	1.784	0.0	0.4	0.009	0.107	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7];bacterium HMT-086	species	086	2375		0.062	0.0	0.0	0.0	0.005	0.0	0.072	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.043	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.294	0.956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	1.972	0.053	0.016	0.014	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9];bacterium HMT-924	species	924	3069		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.239	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;anaerobius	species	542	2764		0.155	0.0	0.0	0.0	0.0	0.029	0.0	0.059	0.0	0.0	0.0	0.013	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	1.902	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;micraerophilus	species	843	2992		0.652	0.0	0.415	0.0	0.01	0.0	0.231	0.119	0.0	0.0	0.0	0.039	0.0	0.082	0.0	0.0	0.012	0.0	0.0	0.0	0.021	0.04	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.521	0.128	0.022	0.0	0.531	0.0	1.978	0.042	4.218	0.125	0.056	0.0	0.0	0.0	0.0	0.65	0.0	0.023	0.0	0.0	0.0	0.0	0.203	0.009	0.009	0.875	0.015	0.0	0.0	8.546	0.173	0.303	0.014	0.0	0.0	0.125	0.196	0.0	0.0	0.078	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;sp. HMT-841	species	841	2990		0.124	0.0	20.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	13.684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.953	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;tetradius	species	788	2946		0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.246	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.847	0.663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia;magna	species	662	2858		1.024	0.0	0.0	0.0	0.259	0.13	0.406	0.416	0.028	0.694	0.108	0.156	0.0	0.966	0.0	0.0	0.11	0.0	0.018	0.141	0.214	0.08	0.0	0.0	0.055	0.0	0.923	0.006	0.0	0.0	0.295	0.134	0.043	2.195	0.021	0.0	0.279	1.258	0.288	0.886	0.0	0.012	0.012	0.0	0.032	0.0	0.059	0.314	0.017	0.0	0.269	0.014	0.086	0.053	0.839	0.015	0.0	0.386	1.169	0.293	0.335	0.0	0.032	0.0	0.141	5.232	0.0	0.0	0.0	0.021	0.0	0.043	0.027	0.0
