Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016099-MVA	S700016504-MVA	S700016604-MVA	S700021930-MVA	S700023100-MVA	S700023202-MVA	S700023281-MVA	S700023434-MVA	S700023491-MVA	S700023668-MVA	S700023802-MVA	S700023859-MVA	S700023916-MVA	S700024001-MVA	S700024078-MVA	S700024161-MVA	S700024268-MVA	S700024393-MVA	S700024766-MVA	S700024843-MVA	S700024880-MVA	S700033041-MVA	S700033193-MVA	S700033498-MVA	S700033789-MVA	S700037234-MVA	S700037714-MVA	S700038736-MVA	S700038795-MVA	S700097353-MVA	S700098329-MVA	S700098421-MVA	S700098994-MVA	S700099121-MVA	S700099350-MVA	S700100289-MVA	S700102647-MVA	S700103303-MVA	S700103706-MVA	S700105120-MVA	S700105177-MVA	S700105234-MVA	S700105451-MVA	S700105644-MVA	S700105719-MVA	S700105794-MVA	S700105996-MVA	S700106052-MVA	S700106089-MVA	S700106120-MVA	S700106518-MVA	S700106575-MVA	S700106833-MVA	S700106910-MVA	S700113158-MVA	S700113537-MVA	S700113576-MVA	S700113854-MVA	S700113968-MVA	S700114159-MVA	S700114232-MVA	S700114301-MVA	S700114456-MVA	S700114503-MVA	S700114592-MVA	S700114649-MVA	S700114935-MVA	S700116215-MVA	S700116340-MVA	S700116655-MVA	S700116996-MVA	S700117696-MVA	S700117751-MVA	S700117952-MVA
Bacteria	domain				90.444	99.388	60.008	99.793	98.894	99.826	79.852	99.554	98.295	94.384	97.898	98.911	97.538	85.036	97.727	98.998	96.795	97.335	92.518	91.329	99.272	99.779	99.265	99.036	94.489	99.461	93.035	99.915	99.629	61.556	93.98	88.418	96.337	78.478	99.958	99.987	98.37	76.898	94.281	92.238	98.918	97.251	99.853	98.533	94.67	97.32	99.096	98.087	99.566	97.285	96.066	85.621	89.051	93.157	98.906	94.38	98.475	97.045	96.25	77.925	93.699	99.407	99.441	93.387	96.636	99.281	99.964	96.04	71.395	99.958	93.496	96.691	99.74	97.266
Bacteria;Actinomycetota	phylum				1.024	0.008	26.865	0.013	0.588	0.058	0.159	0.178	0.0	0.093	0.077	0.026	0.0	0.599	0.0	0.0	0.024	0.0	0.018	13.451	0.064	0.441	0.092	0.0	0.069	0.093	0.201	0.012	0.097	10.567	7.545	0.201	0.014	0.885	0.042	1.832	0.056	1.779	0.0	0.098	0.049	0.0	0.024	0.0	0.244	0.015	0.0	0.063	0.008	0.0	0.085	10.006	0.0	0.0	0.073	0.105	0.09	0.058	4.018	0.24	0.0	0.014	0.0	0.103	0.266	2.453	0.009	0.458	3.063	0.021	0.026	0.0	0.009	0.142
Bacteria;Bacteroidota	phylum				0.062	0.0	0.0	0.0	0.03	0.029	0.0	0.149	0.0	0.031	0.0	0.246	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.062	0.107	0.0	0.0	0.0	0.028	0.0	1.084	0.0	0.0	0.911	0.74	0.067	0.014	0.602	0.084	23.228	0.0	24.007	0.1	1.744	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.057	0.0	0.009	0.124	0.875	0.135	0.0	0.386	0.0	0.0	0.0	0.0	0.0	0.0	0.587	1.946	0.0	0.0	0.009	0.021	0.06	0.0	0.0	0.0
Bacteria;Bacillota	phylum				82.222	99.186	31.149	99.78	98.261	99.71	78.187	99.109	98.295	93.35	96.553	98.6	97.331	81.241	96.395	98.51	93.908	96.913	90.883	76.988	99.015	99.338	98.621	92.849	91.967	99.239	90.947	99.873	99.532	31.468	85.128	88.128	96.223	76.885	99.579	74.887	98.301	49.67	92.842	90.326	98.762	96.907	99.829	98.521	94.183	97.29	99.073	97.914	99.433	97.285	95.669	75.557	88.931	92.998	97.958	94.141	98.385	96.601	89.092	65.146	92.535	99.379	99.361	93.13	95.783	94.85	99.956	95.582	68.134	99.916	93.41	96.691	99.731	97.124
Bacteria;Fusobacteriota	phylum				5.244	0.0	1.994	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	18.194	0.151	0.0	0.0	0.106	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.227	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	3.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota	phylum				0.993	0.194	0.0	0.0	0.015	0.029	1.107	0.0	0.0	0.91	1.267	0.039	0.207	3.102	1.332	0.488	2.752	0.422	1.617	0.828	0.086	0.0	0.551	6.187	2.425	0.074	0.803	0.03	0.0	0.416	0.415	0.0	0.086	0.0	0.252	0.04	0.014	1.442	1.289	0.07	0.107	0.344	0.0	0.013	0.016	0.015	0.012	0.11	0.125	0.0	0.255	0.0	0.112	0.035	0.0	0.0	0.0	0.0	0.0	2.388	1.164	0.014	0.08	0.154	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistota	phylum				0.9	0.0	0.0	0.0	0.0	0.0	0.398	0.059	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes	class				0.186	0.008	0.908	0.013	0.538	0.058	0.04	0.178	0.0	0.093	0.077	0.013	0.0	0.599	0.0	0.0	0.024	0.0	0.018	0.016	0.064	0.361	0.092	0.0	0.069	0.0	0.141	0.012	0.097	6.091	2.455	0.134	0.014	0.814	0.042	0.226	0.056	1.779	0.0	0.098	0.049	0.0	0.024	0.0	0.244	0.015	0.0	0.063	0.008	0.0	0.085	0.014	0.0	0.0	0.055	0.105	0.09	0.039	3.896	0.12	0.0	0.014	0.0	0.103	0.266	2.453	0.009	0.458	0.06	0.021	0.026	0.0	0.009	0.142
Bacteria;Actinomycetota;Coriobacteriia	class				0.838	0.0	25.957	0.0	0.05	0.0	0.119	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.435	0.0	0.08	0.0	0.0	0.0	0.093	0.06	0.0	0.0	4.477	5.091	0.067	0.0	0.071	0.0	1.606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.991	0.0	0.0	0.018	0.0	0.0	0.019	0.122	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.003	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia	class				0.062	0.0	0.0	0.0	0.03	0.029	0.0	0.149	0.0	0.031	0.0	0.246	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.062	0.107	0.0	0.0	0.0	0.028	0.0	1.084	0.0	0.0	0.911	0.74	0.067	0.014	0.602	0.084	23.228	0.0	24.007	0.1	1.744	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.057	0.0	0.009	0.124	0.875	0.135	0.0	0.386	0.0	0.0	0.0	0.0	0.0	0.0	0.587	1.946	0.0	0.0	0.009	0.021	0.06	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli	class				75.24	99.186	10.205	99.78	97.653	99.551	76.969	98.456	98.266	92.393	96.445	98.03	97.039	79.989	96.395	98.51	93.786	96.913	90.865	76.832	98.673	99.218	98.621	92.816	91.899	99.239	89.964	99.861	99.532	15.252	84.434	87.949	96.18	71.54	99.222	71.954	97.688	37.352	90.001	88.822	98.762	96.895	99.817	98.396	93.078	97.29	98.979	97.475	99.399	97.285	95.301	35.433	88.097	92.936	95.66	94.066	98.385	96.215	77.015	64.439	91.849	99.352	99.329	93.13	95.493	89.421	99.956	95.582	1.864	99.895	93.393	96.648	99.687	97.124
Bacteria;Bacillota;Clostridia	class				6.205	0.0	0.039	0.0	0.598	0.159	0.987	0.535	0.028	0.957	0.108	0.532	0.292	1.17	0.0	0.0	0.11	0.0	0.018	0.156	0.321	0.08	0.0	0.033	0.055	0.0	0.984	0.012	0.0	0.0	0.566	0.156	0.043	4.814	0.357	0.956	0.571	8.099	2.716	1.448	0.0	0.012	0.012	0.125	0.455	0.0	0.059	0.439	0.033	0.0	0.368	26.238	0.825	0.053	1.422	0.06	0.0	0.386	3.531	0.534	0.383	0.014	0.032	0.0	0.164	5.232	0.0	0.0	61.239	0.021	0.017	0.043	0.045	0.0
Bacteria;Bacillota;Negativicutes	class				0.776	0.0	20.904	0.0	0.01	0.0	0.231	0.119	0.0	0.0	0.0	0.039	0.0	0.082	0.0	0.0	0.012	0.0	0.0	0.0	0.021	0.04	0.0	0.0	0.014	0.0	0.0	0.0	0.0	16.216	0.128	0.022	0.0	0.531	0.0	1.978	0.042	4.218	0.125	0.056	0.0	0.0	0.0	0.0	0.65	0.0	0.035	0.0	0.0	0.0	0.0	13.886	0.009	0.009	0.875	0.015	0.0	0.0	8.546	0.173	0.303	0.014	0.0	0.0	0.125	0.196	0.0	0.0	5.031	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia	class				5.244	0.0	1.994	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	18.194	0.151	0.0	0.0	0.106	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.227	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	3.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria	class				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.028	0.68	0.244	0.0	0.012	0.043	0.071	0.016	0.0	0.0	0.0	0.0	0.0	0.019	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.307	0.0	0.0	0.0	0.319	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.099	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.013	0.526	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria	class				0.0	0.153	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.355	0.093	0.0	0.0	0.095	0.0	0.0	0.0	0.011	0.338	0.094	0.021	0.0	0.345	5.374	1.943	0.0	0.06	0.006	0.0	0.26	0.076	0.0	0.086	0.0	0.252	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.014	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Epsilonproteobacteria	class				0.993	0.0	0.0	0.0	0.015	0.0	0.462	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.317	0.0	0.0	0.0	0.0	0.0	0.014	0.0	1.289	0.07	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.112	0.0	0.0	0.0	0.0	0.0	0.0	2.321	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria	class				0.0	0.041	0.0	0.0	0.0	0.029	0.565	0.0	0.0	0.54	1.175	0.0	0.179	2.326	1.088	0.488	2.74	0.368	1.208	0.719	0.021	0.0	0.207	0.802	0.482	0.056	0.723	0.024	0.0	0.156	0.023	0.0	0.0	0.0	0.0	0.0	0.0	1.135	0.0	0.0	0.107	0.025	0.0	0.0	0.016	0.015	0.0	0.11	0.05	0.0	0.156	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.013	0.638	0.0	0.064	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistota;Synergistia	class				0.9	0.0	0.0	0.0	0.0	0.0	0.398	0.059	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order				0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.893	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.024	0.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order				0.0	0.0	0.908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.171	2.447	0.0	0.0	0.0	0.042	0.0	0.0	1.749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.015	0.0	0.0	3.847	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order				0.0	0.0	0.0	0.013	0.423	0.029	0.0	0.03	0.0	0.077	0.077	0.013	0.0	0.571	0.0	0.0	0.024	0.0	0.0	0.0	0.064	0.06	0.0	0.0	0.028	0.0	0.08	0.0	0.016	0.0	0.0	0.067	0.0	0.354	0.0	0.0	0.0	0.015	0.0	0.056	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.085	0.0	0.0	0.0	0.0	0.075	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.008	2.436	0.0	0.019	0.0	0.0	0.026	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order				0.186	0.008	0.0	0.0	0.115	0.029	0.008	0.149	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.301	0.092	0.0	0.041	0.0	0.06	0.012	0.081	0.026	0.008	0.045	0.014	0.46	0.0	0.226	0.056	0.015	0.0	0.042	0.029	0.0	0.024	0.0	0.244	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.036	0.015	0.06	0.039	0.024	0.013	0.0	0.014	0.0	0.013	0.258	0.016	0.009	0.439	0.0	0.021	0.0	0.0	0.009	0.142
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order				0.838	0.0	25.957	0.0	0.05	0.0	0.119	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.435	0.0	0.08	0.0	0.0	0.0	0.093	0.06	0.0	0.0	4.477	5.091	0.067	0.0	0.071	0.0	1.606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.991	0.0	0.0	0.018	0.0	0.0	0.019	0.122	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.003	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order				0.062	0.0	0.0	0.0	0.03	0.029	0.0	0.149	0.0	0.031	0.0	0.246	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.062	0.107	0.0	0.0	0.0	0.028	0.0	1.084	0.0	0.0	0.911	0.74	0.067	0.014	0.602	0.084	23.228	0.0	24.007	0.1	1.744	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.057	0.0	0.009	0.124	0.875	0.135	0.0	0.386	0.0	0.0	0.0	0.0	0.0	0.0	0.587	1.946	0.0	0.0	0.009	0.021	0.06	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Caryophanales	order				0.0	0.004	0.0	0.646	0.115	0.0	0.0	0.119	0.0	0.0	0.062	0.013	0.0	0.449	0.0	0.0	0.012	0.0	0.0	0.031	0.086	0.0	0.0	0.0	0.344	0.019	0.0	0.018	0.0	0.0	0.023	3.95	0.072	3.823	0.105	0.013	0.0	0.015	0.0	0.619	0.01	0.025	0.073	0.038	0.049	0.015	0.012	0.078	0.025	0.008	0.014	0.0	0.0	0.009	0.055	0.0	0.0	0.019	0.073	0.013	0.0	0.0	0.0	0.013	0.008	0.147	0.0	0.019	0.0	0.0	0.0	0.021	0.009	0.061
Bacteria;Bacillota;Bacilli;Lactobacillales	order				75.24	99.181	10.205	99.134	97.539	99.551	76.969	98.337	98.266	92.393	96.383	98.017	97.039	79.54	96.395	98.51	93.774	96.913	90.865	76.8	98.587	99.218	98.621	92.816	91.554	99.22	89.964	99.843	99.532	15.252	84.411	83.999	96.108	67.717	99.117	71.941	97.688	37.337	90.001	88.203	98.752	96.87	99.743	98.358	93.029	97.275	98.967	97.397	99.374	97.277	95.287	35.433	88.097	92.927	95.605	94.066	98.385	96.195	76.942	64.426	91.849	99.352	99.329	93.118	95.485	89.274	99.956	95.563	1.864	99.895	93.393	96.627	99.678	97.063
Bacteria;Bacillota;Clostridia;Eubacteriales	order				6.205	0.0	0.039	0.0	0.598	0.159	0.987	0.535	0.028	0.957	0.108	0.532	0.292	1.17	0.0	0.0	0.11	0.0	0.018	0.156	0.321	0.08	0.0	0.033	0.055	0.0	0.984	0.012	0.0	0.0	0.566	0.156	0.043	4.814	0.357	0.956	0.571	8.099	2.716	1.448	0.0	0.012	0.012	0.125	0.455	0.0	0.059	0.439	0.033	0.0	0.368	26.238	0.825	0.053	1.422	0.06	0.0	0.386	3.531	0.534	0.383	0.014	0.032	0.0	0.164	5.232	0.0	0.0	61.239	0.021	0.017	0.043	0.045	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales	order				0.776	0.0	20.904	0.0	0.01	0.0	0.231	0.119	0.0	0.0	0.0	0.039	0.0	0.082	0.0	0.0	0.012	0.0	0.0	0.0	0.021	0.04	0.0	0.0	0.014	0.0	0.0	0.0	0.0	16.216	0.128	0.022	0.0	0.531	0.0	1.978	0.042	4.218	0.125	0.056	0.0	0.0	0.0	0.0	0.65	0.0	0.035	0.0	0.0	0.0	0.0	13.886	0.009	0.009	0.875	0.015	0.0	0.0	8.546	0.173	0.303	0.014	0.0	0.0	0.125	0.196	0.0	0.0	5.031	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order				5.244	0.0	1.994	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	18.194	0.151	0.0	0.0	0.106	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.227	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	3.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.431	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.028	0.68	0.244	0.0	0.012	0.043	0.071	0.016	0.0	0.0	0.0	0.0	0.0	0.019	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.215	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.013	0.096	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order				0.0	0.153	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.355	0.093	0.0	0.0	0.095	0.0	0.0	0.0	0.011	0.338	0.094	0.021	0.0	0.345	5.374	1.943	0.0	0.06	0.006	0.0	0.26	0.076	0.0	0.086	0.0	0.252	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.014	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order				0.993	0.0	0.0	0.0	0.015	0.0	0.462	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.317	0.0	0.0	0.0	0.0	0.0	0.014	0.0	1.289	0.07	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.112	0.0	0.0	0.0	0.0	0.0	0.0	2.321	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order				0.0	0.0	0.0	0.0	0.0	0.014	0.406	0.0	0.0	0.262	0.989	0.0	0.16	1.483	0.464	0.451	2.63	0.303	0.746	0.594	0.0	0.0	0.023	0.0	0.0	0.056	0.723	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.135	0.0	0.0	0.107	0.025	0.0	0.0	0.016	0.015	0.0	0.11	0.042	0.0	0.156	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.606	0.0	0.064	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order				0.0	0.041	0.0	0.0	0.0	0.014	0.159	0.0	0.0	0.278	0.185	0.0	0.019	0.843	0.623	0.038	0.11	0.065	0.462	0.125	0.021	0.0	0.184	0.802	0.482	0.0	0.0	0.0	0.0	0.156	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistota;Synergistia;Synergistales	order				0.9	0.0	0.0	0.0	0.0	0.0	0.398	0.059	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.893	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.024	0.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family				0.0	0.0	0.908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.171	2.447	0.0	0.0	0.0	0.042	0.0	0.0	1.749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.015	0.0	0.0	3.847	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family				0.0	0.0	0.0	0.013	0.423	0.029	0.0	0.03	0.0	0.077	0.077	0.013	0.0	0.571	0.0	0.0	0.024	0.0	0.0	0.0	0.064	0.06	0.0	0.0	0.028	0.0	0.08	0.0	0.016	0.0	0.0	0.067	0.0	0.354	0.0	0.0	0.0	0.015	0.0	0.056	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.085	0.0	0.0	0.0	0.0	0.075	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.008	2.436	0.0	0.019	0.0	0.0	0.026	0.0	0.0	0.0
