OLIGOTYPE_NAME,ABUNDANT_IN
V1V3_191_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_192_Firmicutes,"SUBP,SUPP"
V1V3_193_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_194_Actinobacteria,"PT,TD,TH"
V1V3_195_Firmicutes,BM
V1V3_196_Fusobacteria,SUBP
V1V3_197_Bacteroidetes,SUBP
V1V3_198_Firmicutes,"BM,PT"
V1V3_199_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_200_Bacteroidetes,"HP,KG,PT,SV,TD,TH"
V1V3_201_Firmicutes,"PT,SV,TD,TH"
V1V3_202_Fusobacteria,"PT,TD,TH"
V1V3_203_Gammaproteobacteria,"PT,SV,TD,TH"
V1V3_204_Bacteroidetes,"SUBP,SUPP"
V1V3_205_Actinobacteria,"HP,PT,TD,TH"
V1V3_206_Fusobacteria,SUBP
V1V3_207_Actinobacteria,"HP,TD"
V1V3_208_Firmicutes,"PT,SV,TD,TH"
V1V3_209_Actinobacteria,"TD,TH"
V1V3_210_Bacteroidetes,"PT,SV,TH"
V1V3_211_Actinobacteria,"SUBP,SUPP"
V1V3_212_Firmicutes,"BM,KG,SUPP"
V1V3_213_Fusobacteria,"SUBP,SUPP"
V1V3_214_Firmicutes,"BM,HP,SUPP,TD"
V1V3_215_Gammaproteobacteria,KG
V1V3_216_Bacteroidetes,"PT,SV,TD,TH"
V1V3_217_Gammaproteobacteria,"KG,PT"
V1V3_218_Firmicutes,ST-PLUS
V1V3_219_Actinobacteria,TD
V1V3_220_Betaproteobacteria,HP
V1V3_221_Fusobacteria,"SUBP,SUPP"
V1V3_222_Firmicutes,"PT,SUPP,TD,TH"
V1V3_223_Bacteroidetes,"PT,SV,TD,TH"
V1V3_224_Bacteroidetes,KG
V1V3_225_Bacteroidetes,"PT,TH"
V1V3_226_Firmicutes,"BM,KG,SUBP,SUPP"
V1V3_227_Bacteroidetes,"SUBP,SUPP"
V1V3_228_Gammaproteobacteria,TH
V1V3_229_Bacteroidetes,SUBP
V1V3_230_Firmicutes,"PT,SV,TD,TH"
V1V3_231_TM7,"SUBP,SUPP"
V1V3_232_Actinobacteria,TD
V1V3_233_Actinobacteria,"PT,TD,TH"
V1V3_234_Actinobacteria,"PT,TD,TH"
V1V3_235_Actinobacteria,TD
V1V3_236_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_237_Bacteroidetes,"SUBP,SUPP"
V1V3_238_Firmicutes,"SUBP,SUPP"
V1V3_239_Actinobacteria,"SUBP,SUPP"
V1V3_240_Actinobacteria,"PT,TD,TH"
V1V3_241_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_242_Actinobacteria,"SUBP,SUPP"
V1V3_243_Actinobacteria,"BM,SUBP,SUPP"
V1V3_244_Bacteroidetes,"PT,SUBP"
V1V3_245_Bacteroidetes,"SUBP,SUPP"
V1V3_246_Bacteroidetes,"SUBP,SUPP,SV"
V1V3_247_Gammaproteobacteria,TH
V1V3_248_Epsilonproteobacteria,"SV,TD,TH"
V1V3_249_Gammaproteobacteria,KG
V1V3_250_TM7,SV
V1V3_251_Firmicutes,"PT,TD,TH"
V1V3_252_Firmicutes,"BM,HP,KG,PT,SUBP,SUPP,SV,TD,TH"
V1V3_253_Bacteroidetes,"PT,SUBP,TH"
V1V3_254_Betaproteobacteria,"BM,SUBP,SUPP"
V1V3_255_Bacteroidetes,"PT,SUBP"
V1V3_256_Firmicutes,SV
V1V3_257_Actinobacteria,"SUBP,SUPP"
V1V3_258_Bacteroidetes,"PT,SUBP"
V1V3_259_Firmicutes,"PT,TH"
V1V3_260_Fusobacteria,"SUBP,SUPP"
V1V3_261_Gammaproteobacteria,"HP,PT,SV,TD,TH"
V1V3_262_Firmicutes,"SUBP,SUPP,SV"
V1V3_263_Fusobacteria,SUBP
V1V3_264_Bacteroidetes,"PT,TH"
V1V3_265_Actinobacteria,"SUBP,SUPP"
V1V3_266_Actinobacteria,"PT,TD,TH"
V1V3_267_Fusobacteria,SUBP
V1V3_268_Firmicutes,SUBP
V1V3_269_Firmicutes,"SUBP,SUPP"
V1V3_270_Epsilonproteobacteria,"HP,PT,SV,TD,TH"
V1V3_271_Actinobacteria,"SUBP,SUPP"
V1V3_272_Firmicutes,"SUBP,SUPP,TH"
V1V3_273_Fusobacteria,PT
V1V3_274_Actinobacteria,"SUBP,SUPP"
V1V3_275_Fusobacteria,"PT,SUBP,TH"
V1V3_276_Bacteroidetes,"SUBP,SUPP"
V1V3_277_Bacteroidetes,"BM,SUBP,SUPP,SV"
V1V3_278_Firmicutes,"BM,KG"
V1V3_279_Firmicutes,KG
V1V3_280_Fusobacteria,"PT,TH"
V1V3_281_Fusobacteria,"PT,TH"
V1V3_282_Firmicutes,"HP,PT,TD,TH"
V1V3_283_Bacteroidetes,"PT,SUBP"
V1V3_284_Betaproteobacteria,"SUBP,SUPP"
V1V3_285_Bacteroidetes,"PT,SUBP"
V1V3_286_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_287_Firmicutes,"HP,KG,PT,TD"
V1V3_288_Firmicutes,"SV,TD,TH"
V1V3_289_Actinobacteria,SV
V1V3_290_Betaproteobacteria,SUPP
V1V3_291_Firmicutes,"BM,HP,KG,PT,TD"
V1V3_292_Bacteroidetes,"SUBP,SUPP"
V1V3_293_Bacteroidetes,"SUBP,SUPP"
V1V3_294_Bacteroidetes,"SUBP,SUPP"
V1V3_295_TM7,"BM,KG"
V1V3_296_Actinobacteria,"PT,TD"
V1V3_297_Bacteroidetes,"SUBP,SUPP"
V1V3_298_Gammaproteobacteria,"PT,SUPP,SV,TD"
V1V3_299_Actinobacteria,"HP,PT,TD,TH"
V1V3_300_Fusobacteria,PT
V1V3_301_Firmicutes,"SUBP,SUPP"
V1V3_302_Gammaproteobacteria,KG
V1V3_303_Firmicutes,PT
V1V3_304_Betaproteobacteria,"PT,TD"
V1V3_305_Fusobacteria,SUPP
V1V3_306_Bacteroidetes,"SUBP,SUPP"
V1V3_307_Firmicutes,"PT,SUBP"
V1V3_308_Spirochaetes,SUBP
V1V3_309_Firmicutes,SV
V1V3_310_Bacteroidetes,"SUBP,SUPP"
V1V3_311_Firmicutes,"SUBP,SUPP"
V1V3_312_Gammaproteobacteria,"SUBP,SUPP"
V1V3_313_Bacteroidetes,"HP,SV,TD,TH"
V1V3_314_Firmicutes,"PT,SUBP,SUPP,TH"
V1V3_315_Bacteroidetes,"PT,SV,TH"
V1V3_316_Firmicutes,"HP,KG,PT,TD"
V1V3_317_Bacteroidetes,"SUBP,SUPP"
V1V3_318_Bacteroidetes,SUBP
V1V3_319_Fusobacteria,"PT,SUBP,TH"
V1V3_320_Firmicutes,"BM,HP,PT,SUBP,SUPP"
V1V3_321_Bacteroidetes,SV
V1V3_322_Betaproteobacteria,"SUBP,SUPP"
V1V3_323_Actinobacteria,"PT,TH"
V1V3_324_Actinobacteria,"HP,TD"
V1V3_325_Firmicutes,"HP,KG"
V1V3_326_Spirochaetes,"PT,SUBP"
V1V3_327_Firmicutes,"BM,HP,KG,SUBP"
V1V3_328_Betaproteobacteria,"SUBP,SUPP"
V1V3_329_Firmicutes,"SUBP,SUPP"
V1V3_330_Betaproteobacteria,"SUBP,SUPP"
V1V3_331_Actinobacteria,"HP,SV,TD,TH"
V1V3_332_Firmicutes,"BM,HP,KG"
V1V3_333_Firmicutes,"BM,HP,KG"
V1V3_334_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_335_Gammaproteobacteria,"BM,KG"
V1V3_336_Fusobacteria,"SUBP,SUPP"
V1V3_337_Bacteroidetes,"SUBP,SUPP"
V1V3_338_Firmicutes,"PT,SUBP"
V1V3_339_Firmicutes,"BM,KG"
V1V3_340_Actinobacteria,"TD,TH"
V1V3_341_Betaproteobacteria,"SV,TD"
V1V3_342_Bacteroidetes,SUBP
V1V3_343_Firmicutes,"SUBP,SUPP,SV"
V1V3_344_Firmicutes,KG
V1V3_345_Fusobacteria,PT
V1V3_346_Gammaproteobacteria,"HP,KG"
V1V3_347_Actinobacteria,"SUBP,SUPP"
V1V3_348_Firmicutes,"SUBP,SUPP"
V1V3_349_Firmicutes,TD
V1V3_350_Fusobacteria,"SUBP,SUPP"
V1V3_351_Actinobacteria,"SUBP,SUPP"
V1V3_352_Firmicutes,"BM,HP,KG"
V1V3_353_Actinobacteria,"HP,PT,SV,TD,TH"
V1V3_354_Firmicutes,"BM,HP,KG"
V1V3_355_Actinobacteria,"SUBP,SUPP"
V1V3_356_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_357_Firmicutes,"BM,HP,KG"
V1V3_358_Bacteroidetes,PT
V1V3_359_Bacteroidetes,HP
V1V3_360_Firmicutes,SV
V1V3_361_Firmicutes,"BM,KG,PT,SV,TH"
V1V3_362_Actinobacteria,SUBP
V1V3_363_Bacteroidetes,ST
V1V3_364_Bacteroidetes,"SUBP,SUPP,SV"
V1V3_365_Bacteroidetes,"HP,SV,TD,TH"
V1V3_366_Firmicutes,SUPP
V1V3_367_Firmicutes,"PT,SV,TD,TH"
V1V3_368_Actinobacteria,TH
V1V3_369_Actinobacteria,"SUBP,SUPP"
V1V3_370_Bacteroidetes,"KG,SUBP,SUPP"
V1V3_371_Actinobacteria,"SUBP,SUPP"
V1V3_372_Gammaproteobacteria,"BM,KG,TH"
V1V3_373_Actinobacteria,"PT,TD,TH"
V1V3_374_Firmicutes,"PT,SV,TD,TH"
V1V3_375_Bacteroidetes,"SUBP,SUPP"
V1V3_376_Gammaproteobacteria,TH
V1V3_377_Firmicutes,"HP,TD"
V1V3_378_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_379_Bacteroidetes,KG
V1V3_380_Actinobacteria,"SUBP,SUPP"
V1V3_381_Betaproteobacteria,"SUBP,SUPP,SV"
V1V3_382_Firmicutes,"BM,HP,KG"
V1V3_383_Actinobacteria,"SUBP,SUPP"
V1V3_384_Bacteroidetes,"SUBP,SUPP"
V1V3_385_TM7,SUBP
V1V3_386_Firmicutes,"PT,SV,TD,TH"
V1V3_387_Firmicutes,"PT,TH"
V1V3_388_Bacteroidetes,"SUBP,SUPP"
V1V3_389_Firmicutes,KG
V1V3_390_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_391_Actinobacteria,"HP,PT,TD,TH"
V1V3_392_Firmicutes,"BM,HP,SUPP"
V1V3_393_Bacteroidetes,SV
V1V3_394_Firmicutes,"PT,SV,TD"
V1V3_395_Firmicutes,"HP,KG,TD"
V1V3_396_Betaproteobacteria,"HP,KG"
V1V3_397_Bacteroidetes,"SUBP,SUPP"
V1V3_398_Firmicutes,"BM,SUPP"
V1V3_399_Actinobacteria,"SUBP,SUPP"
V1V3_400_Bacteroidetes,"KG,PT"
V1V3_401_Bacteroidetes,SUBP
V1V3_402_Bacteroidetes,TH
V1V3_403_Firmicutes,"SUBP,SUPP"
V1V3_404_Epsilonproteobacteria,KG
V1V3_405_Firmicutes,SV
V1V3_406_Firmicutes,"SUBP,SUPP,SV"
V1V3_407_Fusobacteria,SUBP
V1V3_408_Firmicutes,"BM,SUBP,SUPP"
V1V3_409_Actinobacteria,"SUBP,SUPP"
V1V3_410_Actinobacteria,"HP,TD"
V1V3_411_Betaproteobacteria,PT
V1V3_412_Firmicutes,"PT,SV,TD,TH"
V1V3_413_Actinobacteria,"HP,TD"
V1V3_414_Actinobacteria,"SUBP,SUPP"
V1V3_415_Actinobacteria,"SUBP,SUPP"
V1V3_416_Firmicutes,"PT,SUBP,SV"
V1V3_417_Bacteroidetes,"SUBP,SUPP"
V1V3_418_Firmicutes,"BM,KG,SUBP,SUPP"
V1V3_419_Betaproteobacteria,"SUBP,SUPP"
V1V3_420_Firmicutes,"PT,SV,TD,TH"
V1V3_421_Betaproteobacteria,HP
V1V3_422_Bacteroidetes,"SUBP,SUPP"
V1V3_423_Actinobacteria,TD
V1V3_424_Spirochaetes,SUBP
V1V3_425_Bacteroidetes,KG
V1V3_426_Gammaproteobacteria,"BM,SV"
V1V3_427_Firmicutes,HP
V1V3_428_Epsilonproteobacteria,KG
V1V3_429_Fusobacteria,SUBP
V1V3_430_Betaproteobacteria,"HP,TD"
V1V3_431_Bacteroidetes,"SUBP,SUPP"
V1V3_432_Firmicutes,TD
V1V3_433_Fusobacteria,SUBP
V1V3_434_Spirochaetes,"PT,SUBP,SUPP,SV,TD,TH"
V1V3_435_Fusobacteria,"BM,SUBP,SUPP"
V1V3_436_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_437_Betaproteobacteria,"SUBP,SUPP"
V1V3_438_Actinobacteria,"TD,TH"
V1V3_439_Actinobacteria,"HP,TD"
V1V3_440_Bacteroidetes,SUPP
V1V3_441_Bacteroidetes,SUBP
V1V3_442_Betaproteobacteria,"HP,KG"
V1V3_443_Spirochaetes,SUBP
V1V3_444_Firmicutes,KG
V1V3_445_Firmicutes,"SV,TH"
V1V3_446_Bacteroidetes,"PT,SUBP,SUPP,SV"
V1V3_447_Spirochaetes,SUBP
V1V3_448_Bacteroidetes,SUBP
V1V3_449_Firmicutes,"BM,HP,KG"
V1V3_450_Gammaproteobacteria,"HP,PT,SV,TD,TH"
V1V3_451_Bacteroidetes,"BM,PT,TH"
V1V3_452_Bacteroidetes,"PT,SUBP,SUPP,SV,TH"
V1V3_453_Fusobacteria,"SUBP,TD,TH"
V1V3_454_Bacteroidetes,SUBP
V1V3_455_Betaproteobacteria,"BM,SUBP,SUPP"
V1V3_456_Spirochaetes,SUBP
V1V3_457_Spirochaetes,SUBP
V1V3_458_Spirochaetes,"SUBP,SUPP"
V1V3_459_Betaproteobacteria,"SV,TD,TH"
V1V3_460_Epsilonproteobacteria,KG
V1V3_461_Spirochaetes,"PT,SUBP"
V1V3_462_Spirochaetes,SUBP
V1V3_463_Bacteroidetes,ST
V1V3_464_Epsilonproteobacteria,PT
V1V3_465_Epsilonproteobacteria,"PT,SV,TD,TH"
V1V3_466_Spirochaetes,"PT,SUBP,TH"
V1V3_467_Epsilonproteobacteria,"HP,SV,TD"
V1V3_468_Spirochaetes,SUBP
V1V3_469_Bacteroidetes,BM
V1V3_470_Bacteroidetes,ST
V1V3_471_Spirochaetes,SUBP
V1V3_472_Spirochaetes,PT
V1V3_473_Spirochaetes,"SUBP,SUPP"
V1V3_474_Spirochaetes,"PT,SUBP,SV,TH"
V1V3_475_Spirochaetes,"PT,SUBP"
V1V3_476_Spirochaetes,SUBP
V1V3_477_Epsilonproteobacteria,"PT,SUBP"
V1V3_478_Spirochaetes,SUBP
V1V3_479_Spirochaetes,SUBP
V1V3_480_Epsilonproteobacteria,SUBP
V1V3_481_Spirochaetes,"SUBP,SUPP"
V1V3_482_Spirochaetes,"SUBP,SV"
V1V3_483_Bacteroidetes,ST
V1V3_484_Spirochaetes,SUBP
V1V3_485_Spirochaetes,SUBP
V1V3_486_Spirochaetes,SUBP
V1V3_487_Bacteroidetes,ST
V1V3_488_Firmicutes,ST
V1V3_489_Epsilonproteobacteria,"PT,SV,TH"
V1V3_490_Spirochaetes,"HP,SV,TD"
V1V3_491_Spirochaetes,SUBP
V1V3_492_Spirochaetes,"SUBP,SUPP,SV"
V1V3_493_Spirochaetes,SUBP
V1V3_494_Spirochaetes,"PT,TD,TH"
V1V3_495_Firmicutes,ST
V1V3_496_Firmicutes,ST
V1V3_497_Spirochaetes,TH
V1V3_498_Bacteroidetes,ST
V1V3_499_Bacteroidetes,ST
V1V3_500_Bacteroidetes,ST
V1V3_501_Spirochaetes,PT
V1V3_502_Spirochaetes,SUBP
V1V3_503_Bacteroidetes,ST
V1V3_504_Epsilonproteobacteria,SV
V1V3_505_Bacteroidetes,ST
V1V3_506_Bacteroidetes,ST
V1V3_507_Firmicutes,ST
V1V3_508_Epsilonproteobacteria,SUBP
V1V3_509_Spirochaetes,"SUBP,SV"
V1V3_510_Bacteroidetes,ST
V1V3_511_Bacteroidetes,ST
V1V3_512_Firmicutes,ST
V1V3_513_Bacteroidetes,ST
V1V3_514_Bacteroidetes,ST
V1V3_515_Bacteroidetes,ST
V1V3_516_Bacteroidetes,ST
V1V3_517_Bacteroidetes,ST
V1V3_518_Betaproteobacteria,ST
V1V3_519_Firmicutes,ST
V1V3_520_Bacteroidetes,ST
V1V3_521_Firmicutes,ST
V1V3_522_Bacteroidetes,ST
V1V3_523_Bacteroidetes,ST
V1V3_524_Firmicutes,ST
V1V3_525_Firmicutes,ST
V1V3_526_Bacteroidetes,ST
V1V3_527_Bacteroidetes,ST
V1V3_528_Bacteroidetes,ST
V1V3_529_Firmicutes,ST
V1V3_530_Firmicutes,ST
V1V3_531_Bacteroidetes,ST
V1V3_532_Bacteroidetes,ST
V1V3_533_Bacteroidetes,ST
V1V3_534_Bacteroidetes,ST
V1V3_535_Firmicutes,ST
V1V3_536_Firmicutes,ST
V1V3_537_Bacteroidetes,ST
V1V3_538_Bacteroidetes,ST
V1V3_539_Bacteroidetes,ST
V1V3_540_Firmicutes,ST
V1V3_541_Bacteroidetes,ST
V1V3_542_Firmicutes,ST
V1V3_543_Firmicutes,ST
V1V3_544_Betaproteobacteria,ST
V1V3_545_Bacteroidetes,ST
V1V3_546_Firmicutes,ST
V1V3_547_Bacteroidetes,ST
V1V3_548_Bacteroidetes,ST
V1V3_549_Bacteroidetes,ST
V1V3_550_Betaproteobacteria,ST
V1V3_551_Bacteroidetes,ST
V1V3_552_Firmicutes,ST
V1V3_553_Firmicutes,ST
V1V3_554_Firmicutes,ST
V1V3_555_Firmicutes,ST
V1V3_556_Bacteroidetes,ST
V1V3_557_Firmicutes,ST
V1V3_558_Betaproteobacteria,ST
V1V3_559_Bacteroidetes,ST
V1V3_560_Bacteroidetes,ST
V1V3_561_Firmicutes,ST
