Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016101-PFO	S700016506-PFO	S700016606-PFO	S700021932-PFO	S700023102-PFO	S700023204-PFO	S700023283-PFO	S700023436-PFO	S700023493-PFO	S700023670-PFO	S700023804-PFO	S700023861-PFO	S700023918-PFO	S700024003-PFO	S700024080-PFO	S700024163-PFO	S700024270-PFO	S700024395-PFO	S700024768-PFO	S700024845-PFO	S700024882-PFO	S700033044-PFO	S700033195-PFO	S700033501-PFO	S700033791-PFO	S700037014-PFO	S700037236-PFO	S700037716-PFO	S700038738-PFO	S700038797-PFO	S700097355-PFO	S700098331-PFO	S700098423-PFO	S700098996-PFO	S700099123-PFO	S700099352-PFO	S700100291-PFO	S700102649-PFO	S700103305-PFO	S700103708-PFO	S700105065-PFO	S700105179-PFO	S700105236-PFO	S700105453-PFO	S700105494-PFO	S700105646-PFO	S700105721-PFO	S700105796-PFO	S700105998-PFO	S700106054-PFO	S700106091-PFO	S700106520-PFO	S700106835-PFO	S700106912-PFO	S700113160-PFO	S700113539-PFO	S700113578-PFO	S700113856-PFO	S700113970-PFO	S700114104-PFO	S700114161-PFO	S700114234-PFO	S700114303-PFO	S700114458-PFO	S700114505-PFO	S700114594-PFO	S700114651-PFO	S700114834-PFO	S700114937-PFO	S700116217-PFO	S700116342-PFO	S700116657-PFO	S700116998-PFO	S700117698-PFO	S700117753-PFO	S700117954-PFO
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;tetradius	species	788	2946		0.0	0.0	0.304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.502	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.737	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilaceae [G3];bacterium HMT-929	species	929	3072		2.711	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.021	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420	2681		1.845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;sanguinegens	species	837	2986		0.005	0.0	1.825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.392	0.0	0.0	0.198	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;vaginalis	species	844	2993		0.0	0.0	1.477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.296	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004	2295		0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.074	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;xylosoxidans	species	343	2623		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.076	0.0	0.376	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.02	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;ureolyticus	species	842	3129		0.313	0.0	0.0	0.0	0.011	0.019	0.0	0.0	0.0	0.0	0.0	0.275	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;fluorescens	species	612	2821		0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.083	0.497	0.0	0.372	0.21	0.282	0.065	0.243	0.071	1.291	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.103	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.116	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.088	0.0	0.022	0.0	0.174	0.0	0.0	0.159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella;anthropi	species	777	2939		0.323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri;clade-818	subspecies	818	2967	Neither HMT-818 nor HMT-938 were present singularly so these reads were split evenly at this site (PFO).	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	2.904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri;clade-938	subspecies	938	3081	Neither HMT-818 nor HMT-938 were present singularly so these reads were split evenly at this site (PFO).	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	2.904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UNMATCHED	UNMATCHED				6.196	0.832	60.426	0.271	0.316	0.13	0.203	0.0	2.274	0.341	2.252	1.733	3.182	1.345	0.381	0.117	0.729	0.85	4.874	8.981	0.969	0.023	0.089	1.22	5.041	0.035	0.172	4.479	0.413	0.695	48.1	6.269	5.198	1.463	0.384	0.0	7.824	1.091	12.01	4.887	0.086	0.192	0.943	1.264	0.451	0.256	19.794	2.233	0.099	0.428	0.254	0.156	14.794	6.143	0.406	1.225	0.31	3.126	1.431	0.013	7.049	0.97	0.367	0.341	11.279	3.249	0.08	5.247	0.0	1.98	27.376	0.03	0.024	1.483	0.142	1.711
