Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016101-PFO	S700016506-PFO	S700016606-PFO	S700021932-PFO	S700023102-PFO	S700023204-PFO	S700023283-PFO	S700023436-PFO	S700023493-PFO	S700023670-PFO	S700023804-PFO	S700023861-PFO	S700023918-PFO	S700024003-PFO	S700024080-PFO	S700024163-PFO	S700024270-PFO	S700024395-PFO	S700024768-PFO	S700024845-PFO	S700024882-PFO	S700032286-PFO	S700032380-PFO	S700032477-PFO	S700032677-PFO	S700033044-PFO	S700033195-PFO	S700033501-PFO	S700033791-PFO	S700034230-PFO	S700034296-PFO	S700034836-PFO	S700035699-PFO	S700035995-PFO	S700037014-PFO	S700037177-PFO	S700037236-PFO	S700037339-PFO	S700037716-PFO	S700037850-PFO	S700037983-PFO	S700038320-PFO	S700038738-PFO	S700038797-PFO	S700095277-PFO	S700095711-PFO	S700097355-PFO	S700097752-PFO	S700097901-PFO	S700098331-PFO	S700098423-PFO	S700098996-PFO	S700099123-PFO	S700099352-PFO	S700099950-PFO	S700100291-PFO	S700100538-PFO	S700101222-PFO	S700101288-PFO	S700101579-PFO	S700102649-PFO	S700103305-PFO	S700103515-PFO	S700103708-PFO	S700105065-PFO	S700105122-PFO	S700105179-PFO	S700105236-PFO	S700105453-PFO	S700105494-PFO	S700105646-PFO	S700105721-PFO	S700105796-PFO	S700105998-PFO	S700106054-PFO	S700106091-PFO	S700106520-PFO	S700106912-PFO	S700107439-PFO	S700108159-PFO	S700108282-PFO	S700108405-PFO	S700108594-PFO	S700108660-PFO	S700109685-PFO	S700109985-PFO	S700110153-PFO	S700110810-PFO	S700111220-PFO	S700111286-PFO	S700111360-PFO	S700111638-PFO	S700111809-PFO	S700113160-PFO	S700113211-PFO	S700113539-PFO	S700113578-PFO	S700113751-PFO	S700113856-PFO	S700113913-PFO	S700113970-PFO	S700113997-PFO	S700114161-PFO	S700114234-PFO	S700114458-PFO	S700114505-PFO	S700114594-PFO	S700114651-PFO	S700114834-PFO	S700116112-PFO	S700116217-PFO	S700116342-PFO	S700116447-PFO	S700116484-PFO	S700116657-PFO	S700116714-PFO	S700116963-PFO	S700116998-PFO	S700117151-PFO	S700117230-PFO	S700117641-PFO	S700117698-PFO	S700117753-PFO	S700117812-PFO	S700117954-PFO	S700119106-PFO	S700119626-PFO	S700119860-PFO	S700120051-PFO	S700121054-PFO	S700121703-PFO	S700122829-PFO	S700123626-PFO	S700161056-PFO	S700161113-PFO	S700161218-PFO	S700161510-PFO	S700161685-PFO	S700161740-PFO	S700161854-PFO	S700161961-PFO	S700163046-PFO	S700163217-PFO	S700163274-PFO	S700163590-PFO	S700163715-PFO	S700163770-PFO	S700163790-PFO	S700163867-PFO	S700163924-PFO	S700163979-PFO	S700164086-PFO	S700164141-PFO	S700164228-PFO	S700164285-PFO	S700164554-PFO	S700164609-PFO	S700164648-PFO	S700164771-PFO	S700164828-PFO	S700164868-PFO	S700165050-PFO	S700165203-PFO	S700165491-PFO	S700165911-PFO	S700165968-PFO	S700166089-PFO	S700166839-PFO	S700167823-PFO	S700171151-PFO	S700171226-PFO	S700171477-PFO	S700171630-PFO	S700171763-PFO	S700171838-PFO	S700171895-PFO	S700171932-PFO	S700171991-PFO	S700172066-PFO	S700172258-PFO	S700172335-PFO	S700172477-PFO	S700172554-PFO	S700172762-PFO	S700173175-PFO	S700173433-PFO	S700173683-PFO	S700173932-PFO	S700173967-PFO	S700175122-PFO	S700175207-PFO
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.315	1.282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium	genus				0.0	0.0	0.0	0.0	0.007	0.167	0.162	0.0	0.0	0.117	0.82	0.0	0.07	0.018	0.024	0.04	0.0	0.023	0.032	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.594	0.0	0.0	0.06	0.0	0.0	0.213	0.0	0.0	0.331	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.229	0.024	0.0	0.026	0.127	0.0	0.0	0.087	0.0	0.0	0.0	0.0	0.0	0.037	0.017	0.0	0.124	0.256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus				0.014	0.024	0.0	0.0	0.0	0.026	0.013	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.015	0.0	0.0	0.027	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.132	0.0	0.0	0.0	0.055	0.045	0.013	0.008	0.029	0.003	0.0	0.0	0.028	0.016	0.0	0.012	0.0	0.02	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.026	0.0	0.0	0.0	0.044	0.016	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	36.751	87.459	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.014	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.104	0.073	0.0	0.0	0.0	0.026	0.0	0.052	0.0	0.0	0.018	0.054	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea	genus				0.0	0.0	13.818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.432	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	1.22	0.0	0.0	0.555	0.0	0.0	0.0	0.0	10.938	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	26.556	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.184	0.0	0.0	1.599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.108	0.0	0.0	15.607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.943	0.0	0.0	0.0	0.0	0.0	0.076	0.0	5.922	0.0	0.0	0.0	0.289	0.0	24.898	0.0	0.0	0.0	0.0	0.0	9.697	5.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.731	0.0	0.0	0.0	0.0	0.0	0.0	30.433	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus				0.0	0.0	0.793	0.0	0.007	0.026	0.0	0.0	0.0	0.023	0.0	0.04	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	1.123	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.105	0.0	0.311	0.0	0.0	0.222	0.0	0.0	0.018	0.0	1.553	20.272	0.0	0.0	0.0	0.0	0.0	11.608	0.0	0.132	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.028	0.0	0.371	0.0	0.015	0.0	0.0	0.0	0.0	0.044	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.485	0.0	0.0	0.182	0.0	0.0	0.0	0.829	0.273	0.0	0.0	0.0	0.783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.791	0.085	0.0	46.491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.085	0.0	0.0	0.0	0.08	0.0	0.0	0.0	1.414	0.0	0.0	0.0	0.0	0.038	0.038	0.0	0.192	0.0	0.0	0.0	0.0	0.0	7.461	0.0	0.007	0.039	0.0	0.019	0.05	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	1.401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus				97.648	99.761	3.11	97.998	99.894	99.653	99.555	99.892	98.472	98.567	98.32	98.249	98.561	99.155	99.744	99.654	99.593	99.842	98.843	34.797	99.291	99.976	99.985	100.0	99.98	99.092	98.931	96.828	97.901	0.146	99.854	99.704	100.0	99.895	99.986	78.961	99.513	92.645	97.598	98.965	98.242	99.561	99.796	98.491	99.44	91.293	2.465	97.855	99.939	74.931	93.953	97.515	99.815	94.001	2.042	67.936	93.436	99.346	99.961	93.612	99.207	18.04	99.618	95.419	99.989	99.032	99.794	99.141	99.628	95.769	99.857	17.087	96.902	99.892	99.739	99.789	99.962	99.048	99.931	99.981	99.774	87.031	98.172	99.067	27.358	98.858	99.65	93.88	97.466	98.012	99.81	0.0	99.484	95.974	99.21	99.594	99.752	98.062	98.058	99.583	14.609	99.388	96.182	95.936	99.192	50.631	4.801	99.895	91.055	74.672	99.749	1.296	100.0	99.118	99.557	97.488	98.909	98.76	91.874	96.733	98.899	98.988	99.513	98.405	99.274	100.0	99.631	98.88	0.683	98.769	98.955	0.0	99.943	99.452	98.773	99.705	97.954	99.927	98.33	99.849	94.938	100.0	0.639	99.255	99.692	75.992	99.72	98.972	99.281	99.934	7.409	98.402	96.425	99.709	99.937	99.042	95.985	98.977	7.362	99.09	99.788	96.147	96.999	46.424	1.843	99.427	99.579	98.316	97.771	97.02	70.173	46.354	99.696	99.284	98.574	99.559	93.938	99.241	72.433	0.0	99.953	99.743	64.943	99.767	98.166	99.703	99.345	99.209	99.627	2.419	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	genus				0.426	0.191	0.0	1.964	0.0	0.0	0.067	0.0	0.443	0.916	0.0	1.061	0.534	0.0	0.0	0.293	0.054	0.045	0.048	0.484	0.0	0.0	0.0	0.0	0.0	0.0	0.545	2.674	0.0	0.0	0.065	0.182	0.0	0.105	0.0	2.502	0.408	0.4	0.0	0.0	0.019	0.0	0.06	1.488	0.245	0.0	0.0	0.155	0.0	0.537	4.423	1.398	0.0	0.0	0.0	0.0	0.0	0.654	0.0	0.0	0.0	0.372	0.08	2.57	0.0	0.0	0.088	0.662	0.0	1.035	0.036	2.474	0.163	0.0	0.0	0.171	0.0	0.423	0.0	0.019	0.0	0.419	1.719	0.897	0.0	1.142	0.029	5.459	2.094	1.907	0.138	0.0	0.375	2.342	0.491	0.221	0.011	0.527	0.706	0.417	3.442	0.548	0.566	3.651	0.739	0.0	0.012	0.0	0.469	3.933	0.031	0.0	0.0	0.424	0.282	0.0	0.629	0.295	1.48	2.568	0.034	0.555	0.348	0.0	0.0	0.0	0.106	0.916	0.0	0.021	0.409	0.0	0.0	0.0	0.0	0.295	0.396	0.0	1.562	0.0	4.602	0.0	0.0	0.175	0.132	0.0	0.0	0.906	0.42	0.0	0.0	0.81	0.306	0.179	0.0	0.651	0.0	0.618	0.0	0.52	0.042	0.0	0.832	0.0	0.0	0.397	0.406	1.253	2.229	1.818	0.703	0.0	0.0	0.0	0.03	0.42	2.078	0.024	1.88	0.0	0.0	0.0	0.923	0.026	0.335	0.148	0.442	0.305	0.199	0.097	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus				0.0	0.0	0.0	0.019	0.0	0.0	0.162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	4.827	0.0	0.337	0.0	0.0	0.0	0.0	0.0	0.423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.544	0.0	0.583	0.0	0.0	0.0	0.0	2.598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7]	genus				0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.507	0.019	1.113	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.028	0.0	0.0	0.0	2.321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.219	0.0	0.0	0.0	0.0	0.0	0.0	0.514	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.073	0.0	0.0	0.023	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.921	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus				0.579	0.0	1.378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.089	0.0	0.021	0.0	0.353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.623	0.0	0.0	0.0	0.032	0.0	0.0	0.0	2.291	1.157	0.062	0.0	0.0	0.0	0.0	2.434	0.0	0.117	0.0	0.006	0.0	0.0	0.0	0.01	0.0	3.213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.596	0.012	0.0	0.713	0.0	0.0	0.0	0.063	0.0	0.0	0.0	0.016	1.068	0.0	0.0	0.0	0.0	0.0	0.0	5.292	0.0	0.0	0.296	0.0	0.0	0.0	0.0	0.146	0.0	0.0	0.218	0.0	0.0	0.0	0.146	0.0	0.0	0.023	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.488	0.0	0.0	1.748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.891	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.384	0.0	0.0	0.0	0.0	0.433	0.176	0.022	0.0	0.039	0.0	0.019	0.335	0.525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.038	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.194	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus				0.014	0.0	10.812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.36	0.0	0.0	18.394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.882	0.0	0.0	0.0	0.0	0.0	7.68	0.0	0.0	0.0	0.0	0.0	6.8	40.132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.052	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus				0.147	0.0	0.0	0.0	0.007	0.09	0.0	0.0	0.0	0.164	0.081	0.08	0.0	0.09	0.024	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.02	0.0	0.01	0.011	0.008	0.042	0.081	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.01	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.029	0.0	0.0	0.0	0.041	0.0	0.512	0.0	0.088	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.065	0.0	0.0	0.0	0.0	0.0	0.069	0.176	0.0	0.0	0.0	0.0	0.117	0.0	0.021	0.023	0.0	0.132	0.078	0.342	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.399	0.023	0.922	0.075	0.0	0.024	0.0	0.0	0.013	0.268	0.021	0.0	0.023	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.073	0.0	0.033	0.015	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.117	0.0	0.0	0.0	0.0	0.727	0.0	0.0	0.0	0.016	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus				0.0	0.0	5.343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.485	0.0	0.0	0.666	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.141	0.0	0.0	5.599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
