Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev
Bacteria	domain			98.355	98.355	97.826	99.934	5.914	100.0
Bacteria;Actinomycetota	phylum			10.866	10.866	1.834	22.021	12.52	100.0
Bacteria;Bacteroidota	phylum			12.121	12.121	2.31	24.941	9.741	100.0
Bacteria;Bacillota	phylum			33.988	33.988	14.759	55.091	15.713	100.0
Bacteria;Fusobacteriota	phylum			6.61	6.61	1.282	13.652	5.635	99.752
Bacteria;Pseudomonadota	phylum			34.769	34.769	13.03	60.926	18.006	100.0
Bacteria;Actinomycetota;Actinomycetes	klass			10.679	10.679	1.776	21.45	12.498	100.0
Bacteria;Actinomycetota;Coriobacteriia	klass			0.187	0.187	0.0	0.417	0.671	61.787
Bacteria;Bacteroidota;Bacteroidia	klass			8.731	8.731	1.101	19.559	8.22	99.752
Bacteria;Bacteroidota;Flavobacteriia	klass			3.39	3.39	0.547	6.963	4.613	99.504
Bacteria;Bacillota;Bacilli	klass			24.179	24.179	7.532	48.644	15.793	100.0
Bacteria;Bacillota;Clostridia	klass			1.879	1.879	0.197	4.144	2.085	97.519
Bacteria;Bacillota;Negativicutes	klass			7.931	7.931	1.427	17.891	7.453	99.752
Bacteria;Fusobacteriota;Fusobacteriia	klass			6.61	6.61	1.282	13.652	5.635	99.752
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.011	0.011	0.0	0.0	0.071	6.7
Bacteria;Pseudomonadota;Betaproteobacteria	klass			5.653	5.653	0.595	11.986	7.15	99.007
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.353	0.353	0.0	0.91	0.546	82.63
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			28.753	28.753	8.603	55.406	18.235	99.752
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			4.66	4.66	0.525	11.044	4.985	99.007
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order			0.004	0.004	0.0	0.0	0.035	3.97
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.742	0.742	0.0	1.798	2.054	86.104
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			4.162	4.162	0.248	11.459	6.108	98.511
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			1.111	1.111	0.0	0.265	8.868	48.883
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.156	0.156	0.0	0.403	0.413	60.298
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales	order			0.031	0.031	0.0	0.0	0.537	4.218
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			8.731	8.731	1.101	19.559	8.22	99.752
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			3.39	3.39	0.547	6.963	4.613	99.504
Bacteria;Bacillota;Bacilli;Caryophanales	order			15.934	15.934	2.75	38.178	14.549	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales	order			8.244	8.244	2.527	15.054	5.632	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales	order			1.879	1.879	0.197	4.144	2.085	97.519
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			0.205	0.205	0.0	0.497	0.462	60.794
Bacteria;Bacillota;Negativicutes;Veillonellales	order			7.726	7.726	1.383	17.721	7.372	99.752
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			6.61	6.61	1.282	13.652	5.635	99.752
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.011	0.011	0.0	0.0	0.071	6.7
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			1.435	1.435	0.0	3.275	3.215	84.615
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			4.218	4.218	0.379	8.908	6.245	98.759
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.353	0.353	0.0	0.91	0.546	82.63
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales	order			0.027	0.027	0.0	0.076	0.087	27.792
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			28.726	28.726	8.482	55.406	18.243	99.752
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			4.66	4.66	0.525	11.044	4.985	99.007
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family			0.004	0.004	0.0	0.0	0.035	3.97
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			0.738	0.738	0.0	1.798	2.041	85.856
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			0.003	0.003	0.0	0.0	0.031	2.978
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			4.162	4.162	0.248	11.459	6.108	98.511
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			1.111	1.111	0.0	0.265	8.868	48.883
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.156	0.156	0.0	0.403	0.413	60.298
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae	family			0.031	0.031	0.0	0.0	0.537	4.218
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae	family			0.018	0.018	0.0	0.024	0.091	10.67
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			4.873	4.873	0.243	11.711	5.301	96.03
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			3.762	3.762	0.35	8.299	5.067	97.27
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.079	0.079	0.0	0.192	0.193	45.161
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			1.605	1.605	0.11	3.447	2.761	94.789
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			1.785	1.785	0.168	3.658	3.509	97.767
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			15.934	15.934	2.75	38.178	14.549	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.642	0.642	0.0	1.872	1.254	66.998
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			2.88	2.88	0.458	6.298	2.752	97.519
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.05	0.05	0.0	0.0	0.785	8.685
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			4.672	4.672	0.719	10.31	5.166	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			1.528	1.528	0.148	3.472	1.772	96.774
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae	family			0.019	0.019	0.0	0.065	0.072	20.844
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family			0.042	0.042	0.0	0.152	0.086	37.469
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.117	0.117	0.0	0.343	0.216	54.342
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.083	0.083	0.0	0.229	0.167	51.365
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			0.205	0.205	0.0	0.497	0.462	60.794
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			7.726	7.726	1.383	17.721	7.372	99.752
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			4.527	4.527	0.633	10.03	4.263	99.256
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			2.083	2.083	0.204	5.066	2.604	97.767
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.011	0.011	0.0	0.0	0.071	6.7
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			1.435	1.435	0.0	3.275	3.215	84.615
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			4.218	4.218	0.379	8.908	6.245	98.759
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.353	0.353	0.0	0.91	0.546	82.63
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae	family			0.027	0.027	0.0	0.076	0.087	27.792
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			28.726	28.726	8.482	55.406	18.243	99.752
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.089	0.089	0.0	0.221	0.223	47.891
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			3.39	3.39	0.215	8.435	4.475	98.263
