Taxonomy	Rank	HMT	Notes	Max	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	genus			0.009	0.009	0.0	0.012	0.046	11.842
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			0.032	0.032	0.0	0.012	0.179	13.158
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	genus			0.054	0.054	0.0	0.154	0.169	26.316
Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella	genus			0.01	0.01	0.0	0.0	0.056	3.947
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Mobiluncus;mulieris	species	830		0.149	0.149	0.0	0.0	1.29	7.895
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis	species	829		0.078	0.078	0.0	0.02	0.453	13.158
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		0.011	0.011	0.0	0.0	0.088	3.947
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea;vaginae	species	814		0.919	0.919	0.0	0.0	5.468	7.895
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;bivia	species	556		0.345	0.345	0.0	0.057	2.778	28.947
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;buccalis	species	562		0.006	0.006	0.0	0.012	0.023	15.789
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola	species	291		0.24	0.24	0.0	0.0	2.096	1.316
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis	species	604		0.014	0.014	0.0	0.0	0.111	2.632
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus	species	817		46.15	46.15	0.0	99.054	46.194	67.105
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;gasseri	species	615		10.395	10.395	0.0	47.396	26.24	44.737
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		22.803	22.803	0.0	89.374	35.989	65.789
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii	species	839		10.845	10.845	0.0	32.09	24.572	65.789
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;coleohominis	species	816		0.108	0.108	0.0	0.206	0.381	22.368
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;fermentum	species	608		0.027	0.027	0.0	0.0	0.148	5.263
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;vaginalis	species	051		0.454	0.454	0.0	1.476	0.756	57.895
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;agalactiae	species	537		0.13	0.13	0.0	0.032	0.819	13.158
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius	species	755		0.041	0.041	0.0	0.052	0.175	31.579
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;vestibularis	species	021		0.058	0.058	0.0	0.024	0.331	28.947
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7];bacterium HMT-086	species	086		0.165	0.165	0.0	0.028	0.867	17.105
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7];bacterium HMT-163	species	163		0.011	0.011	0.0	0.0	0.089	2.632
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9];bacterium HMT-924	species	924		0.814	0.814	0.0	0.0	7.098	1.316
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;anaerobius	species	542		0.044	0.044	0.0	0.006	0.282	10.526
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;micraerophilus	species	843		0.683	0.683	0.0	0.365	3.413	27.632
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;sp. HMT-841	species	841		0.444	0.444	0.0	0.0	2.297	6.579
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;tetradius	species	788		0.125	0.125	0.0	0.0	0.891	9.211
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilaceae [G3];bacterium HMT-929	species	929		0.055	0.055	0.0	0.02	0.331	11.842
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420		0.028	0.028	0.0	0.0	0.212	7.895
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;sanguinegens	species	837		0.032	0.032	0.0	0.0	0.214	6.579
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;vaginalis	species	844		0.338	0.338	0.0	0.0	2.745	3.947
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004		0.003	0.003	0.0	0.0	0.011	7.895
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;xylosoxidans	species	343		0.009	0.009	0.0	0.012	0.046	11.842
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;ureolyticus	species	842		0.032	0.032	0.0	0.012	0.179	13.158
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;fluorescens	species	612		0.054	0.054	0.0	0.154	0.169	26.316
Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella;anthropi	species	777		0.01	0.01	0.0	0.0	0.056	3.947
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri;clade-818	subspecies	818	Neither HMT-818 nor HMT-938 were present singularly so these reads were split evenly at this site (PFO).	0.145	0.145	0.0	0.0	0.986	5.263
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri;clade-938	subspecies	938	Neither HMT-818 nor HMT-938 were present singularly so these reads were split evenly at this site (PFO).	0.145	0.145	0.0	0.0	0.986	5.263
UNMATCHED				4.089	4.089	0.058	8.402	9.562	96.053
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri	species		combined from subspecies	0.291	0.291	0.0	0.0	1.972	5.263
