Taxonomy	Rank	HMT	Notes	Max	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev
Bacteria	domain			97.025	97.025	94.462	99.927	8.151	100.0
Bacteria;Actinomycetota	phylum			74.193	74.193	43.632	94.99	20.653	100.0
Bacteria;Bacteroidota	phylum			0.26	0.26	0.0	0.452	0.903	54.023
Bacteria;Bacillota	phylum			13.395	13.395	2.087	29.973	12.555	100.0
Bacteria;Fusobacteriota	phylum			0.241	0.241	0.0	0.603	0.665	65.9
Bacteria;Pseudomonadota	phylum			8.936	8.936	0.205	23.956	14.864	97.318
Bacteria;Actinomycetota;Actinomycetes	klass			74.193	74.193	43.632	94.99	20.653	100.0
Bacteria;Bacteroidota;Bacteroidia	klass			0.26	0.26	0.0	0.452	0.903	54.023
Bacteria;Bacillota;Bacilli	klass			7.77	7.77	0.513	20.331	11.139	99.617
Bacteria;Bacillota;Clostridia	klass			4.965	4.965	0.08	12.96	5.788	91.571
Bacteria;Bacillota;Negativicutes	klass			0.66	0.66	0.0	1.695	1.493	82.375
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.241	0.241	0.0	0.603	0.665	65.9
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.228	0.228	0.0	0.439	1.02	47.51
Bacteria;Pseudomonadota;Betaproteobacteria	klass			2.569	2.569	0.0	6.568	6.922	81.226
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.164	0.164	0.0	0.2	0.873	14.176
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			5.975	5.975	0.032	16.367	13.833	93.87
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			0.342	0.342	0.0	0.839	0.832	69.349
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order			0.017	0.017	0.0	0.013	0.094	12.261
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			44.161	44.161	8.756	78.185	24.85	100.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			0.181	0.181	0.0	0.429	0.481	60.536
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			29.491	29.491	6.007	57.233	20.047	100.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.26	0.26	0.0	0.452	0.903	54.023
Bacteria;Bacillota;Bacilli;Caryophanales	order			3.461	3.461	0.179	6.736	7.048	98.084
Bacteria;Bacillota;Bacilli;Lactobacillales	order			4.309	4.309	0.028	13.226	8.759	92.72
Bacteria;Bacillota;Clostridia;Eubacteriales	order			4.965	4.965	0.08	12.96	5.788	91.571
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			0.024	0.024	0.0	0.048	0.173	14.176
Bacteria;Bacillota;Negativicutes;Veillonellales	order			0.636	0.636	0.0	1.682	1.459	81.226
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.241	0.241	0.0	0.603	0.665	65.9
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order			0.053	0.053	0.0	0.057	0.433	16.092
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	order			0.049	0.049	0.0	0.056	0.327	18.391
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales	order			0.002	0.002	0.0	0.0	0.024	1.533
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.124	0.124	0.0	0.192	0.651	29.885
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.187	0.187	0.0	0.386	1.044	50.575
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			2.382	2.382	0.0	6.346	6.877	69.349
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.164	0.164	0.0	0.2	0.873	14.176
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			1.216	1.216	0.0	2.531	3.689	59.004
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			0.616	0.616	0.0	1.589	1.388	74.713
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			4.142	4.142	0.0	8.629	13.563	68.199
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			0.342	0.342	0.0	0.839	0.832	69.349
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family			0.017	0.017	0.0	0.013	0.094	12.261
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			40.913	40.913	7.313	75.136	25.027	99.234
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			3.248	3.248	0.0	7.688	4.896	86.973
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			0.181	0.181	0.0	0.429	0.481	60.536
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			29.491	29.491	6.007	57.233	20.047	100.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			0.108	0.108	0.0	0.205	0.432	42.529
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.151	0.151	0.0	0.099	0.779	21.456
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.3	0.3	0.0	0.717	0.818	61.686
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			3.161	3.161	0.075	6.34	6.979	96.935
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.081	0.081	0.0	0.11	0.444	21.839
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			3.159	3.159	0.0	10.727	6.602	74.713
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae	family			0.126	0.126	0.0	0.126	0.806	26.82
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.636	0.636	0.0	0.397	6.015	48.276
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			0.307	0.307	0.0	0.76	0.863	59.387
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.081	0.081	0.0	0.057	0.629	18.008
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			0.024	0.024	0.0	0.048	0.173	14.176
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			0.636	0.636	0.0	1.682	1.459	81.226
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			4.884	4.884	0.0	12.96	5.705	87.739
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			0.241	0.241	0.0	0.603	0.665	65.9
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.053	0.053	0.0	0.057	0.433	16.092
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family			0.049	0.049	0.0	0.056	0.327	18.391
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae	family			0.002	0.002	0.0	0.0	0.024	1.533
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.124	0.124	0.0	0.192	0.651	29.885
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.187	0.187	0.0	0.386	1.044	50.575
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			2.382	2.382	0.0	6.346	6.877	69.349
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.164	0.164	0.0	0.2	0.873	14.176
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family			1.196	1.196	0.0	2.472	3.69	58.238
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae	family			0.021	0.021	0.0	0.0	0.151	2.299
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			0.616	0.616	0.0	1.589	1.388	74.713
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			3.769	3.769	0.0	7.348	12.418	63.985
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.374	0.374	0.0	0.033	5.679	16.092
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			0.21	0.21	0.0	0.452	0.668	59.004
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			0.132	0.132	0.0	0.299	0.373	49.042
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	genus			0.017	0.017	0.0	0.013	0.094	12.261
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			40.913	40.913	7.313	75.136	25.027	99.234
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			3.248	3.248	0.0	7.688	4.896	86.973
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			0.181	0.181	0.0	0.429	0.481	60.536
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			29.491	29.491	6.007	57.233	20.047	100.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			0.108	0.108	0.0	0.205	0.432	42.529
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			0.031	0.031	0.0	0.032	0.187	14.943
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.121	0.121	0.0	0.0	0.761	8.046
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.3	0.3	0.0	0.717	0.818	61.686
