Taxonomy	Rank	HMT	Notes	Max	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	genus			3.252	3.252	0.0	9.923	9.183	43.678
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			0.674	0.674	0.0	0.482	3.117	62.644
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			0.025	0.025	0.0	0.058	0.092	24.138
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium	genus			0.028	0.028	0.0	0.05	0.122	20.115
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			0.519	0.519	0.0	0.076	6.397	39.08
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea	genus			1.067	1.067	0.0	1.838	3.829	16.667
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.943	0.943	0.0	1.097	3.41	48.276
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			0.103	0.103	0.0	0.145	0.401	35.057
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			80.283	80.283	18.632	99.34	29.686	99.425
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	genus			0.504	0.504	0.0	1.408	0.807	67.241
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			0.127	0.127	0.0	0.013	0.937	11.494
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7]	genus			0.104	0.104	0.0	0.105	0.479	29.31
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus			0.724	0.724	0.0	0.0	5.179	2.299
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Fastidiosipila	genus			0.028	0.028	0.0	0.0	0.253	6.322
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.091	0.091	0.0	0.121	0.313	25.287
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.403	0.403	0.0	1.138	1.032	63.793
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.708	0.708	0.0	0.013	3.002	10.92
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			0.611	0.611	0.0	1.251	2.643	56.322
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			1.041	1.041	0.0	1.755	3.826	77.586
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas	genus			0.055	0.055	0.0	0.007	0.333	10.345
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilaceae [G3]	genus			0.181	0.181	0.0	0.296	0.842	33.908
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus	genus			0.535	0.535	0.0	1.384	1.611	70.115
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			0.092	0.092	0.0	0.035	0.456	27.586
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus			0.72	0.72	0.0	0.0	4.3	9.77
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.015	0.015	0.0	0.028	0.093	17.241
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	genus			0.113	0.113	0.0	0.088	0.971	20.69
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	genus			0.147	0.147	0.0	0.371	0.543	22.414
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.003	0.003	0.0	0.0	0.033	2.874
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			0.153	0.153	0.0	0.154	0.904	25.287
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	genus			0.159	0.159	0.0	0.284	0.721	25.862
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;breve	species	889		0.537	0.537	0.0	0.0	6.049	8.046
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis	species	829		3.252	3.252	0.0	9.923	9.183	43.678
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;amycolatum	species	031		0.246	0.246	0.0	0.12	1.685	30.46
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;coyleae	species	341		0.025	0.025	0.0	0.022	0.172	13.793
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pilbarense	species	054		0.227	0.227	0.0	0.079	1.888	21.264
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		0.177	0.177	0.0	0.169	1.06	47.701
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		0.025	0.025	0.0	0.058	0.092	24.138
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;neoaurum	species	692		0.028	0.028	0.0	0.05	0.122	20.115
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		0.505	0.505	0.0	0.059	6.398	32.184
