Taxonomy	Rank	HMT	Notes	Max	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev
Bacteria	domain			97.302	97.302	95.011	100.0	8.141	100.0
Bacteria;Actinomycetota	phylum			6.001	6.001	0.0	18.388	16.482	67.016
Bacteria;Bacteroidota	phylum			0.586	0.586	0.0	0.182	3.921	25.654
Bacteria;Bacillota	phylum			89.894	89.894	60.683	99.986	24.312	100.0
Bacteria;Fusobacteriota	phylum			0.801	0.801	0.0	0.0	4.755	6.806
Bacteria;Pseudomonadota	phylum			0.02	0.02	0.0	0.017	0.141	16.754
Bacteria;Actinomycetota;Actinomycetes	klass			4.695	4.695	0.0	9.155	14.992	66.492
Bacteria;Actinomycetota;Coriobacteriia	klass			1.305	1.305	0.0	0.432	4.935	14.66
Bacteria;Bacteroidota;Bacteroidia	klass			0.586	0.586	0.0	0.182	3.921	25.654
Bacteria;Bacillota;Bacilli	klass			87.689	87.689	36.003	99.984	28.721	98.953
Bacteria;Bacillota;Clostridia	klass			1.19	1.19	0.0	0.154	7.961	37.173
Bacteria;Bacillota;Negativicutes	klass			1.016	1.016	0.0	1.157	4.005	25.654
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.801	0.801	0.0	0.0	4.755	6.806
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.015	0.015	0.0	0.01	0.122	11.518
Bacteria;Pseudomonadota;Betaproteobacteria	klass			0.005	0.005	0.0	0.0	0.027	7.853
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order			3.965	3.965	0.0	7.729	13.148	36.126
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.073	0.073	0.0	0.084	0.518	34.031
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.657	0.657	0.0	0.026	6.851	23.56
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			1.305	1.305	0.0	0.432	4.935	14.66
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.586	0.586	0.0	0.182	3.921	25.654
Bacteria;Bacillota;Bacilli;Lactobacillales	order			87.659	87.659	36.003	99.979	28.786	98.953
Bacteria;Bacillota;Clostridia;Eubacteriales	order			1.19	1.19	0.0	0.154	7.961	37.173
Bacteria;Bacillota;Negativicutes;Veillonellales	order			1.016	1.016	0.0	1.157	4.005	25.654
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.801	0.801	0.0	0.0	4.755	6.806
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.015	0.015	0.0	0.01	0.122	11.518
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.004	0.004	0.0	0.0	0.026	6.806
