Taxonomy	Rank	HMT	Notes	Max	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev
Bacteria	domain			96.76	96.76	94.431	99.956	10.78	100.0
Bacteria;Actinomycetota	phylum			79.409	79.409	29.455	99.257	26.737	100.0
Bacteria;Bacteroidota	phylum			1.072	1.072	0.0	1.517	3.78	57.643
Bacteria;Bacillota	phylum			10.072	10.072	0.281	27.621	15.053	100.0
Bacteria;Fusobacteriota	phylum			1.032	1.032	0.0	1.386	3.546	63.057
Bacteria;Pseudomonadota	phylum			5.176	5.176	0.042	12.651	12.655	96.178
Bacteria;Actinomycetota;Actinomycetes	klass			79.362	79.362	29.455	99.25	26.845	100.0
Bacteria;Actinomycetota;Coriobacteriia	klass			0.047	0.047	0.0	0.006	0.483	10.828
Bacteria;Bacteroidota;Bacteroidia	klass			0.719	0.719	0.0	0.63	2.882	48.726
Bacteria;Bacteroidota;Flavobacteriia	klass			0.352	0.352	0.0	0.269	1.436	33.758
Bacteria;Bacillota;Bacilli	klass			6.121	6.121	0.107	17.925	12.066	99.682
Bacteria;Bacillota;Clostridia	klass			3.115	3.115	0.0	9.207	8.486	76.752
Bacteria;Bacillota;Negativicutes	klass			0.837	0.837	0.0	1.721	2.657	67.834
Bacteria;Fusobacteriota;Fusobacteriia	klass			1.032	1.032	0.0	1.386	3.546	63.057
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.332	0.332	0.0	0.563	1.694	47.134
Bacteria;Pseudomonadota;Betaproteobacteria	klass			2.361	2.361	0.0	4.342	8.602	86.943
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.114	0.114	0.0	0.0	1.801	3.185
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			2.369	2.369	0.0	3.585	7.524	86.943
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			0.55	0.55	0.0	1.166	1.769	61.465
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order			0.151	0.151	0.0	0.048	1.371	19.745
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			10.08	10.08	0.126	33.691	19.051	98.408
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			0.367	0.367	0.0	0.519	1.725	44.586
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			68.215	68.215	5.154	98.214	34.2	100.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.047	0.047	0.0	0.006	0.483	10.828
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.719	0.719	0.0	0.63	2.882	48.726
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			0.352	0.352	0.0	0.269	1.436	33.758
Bacteria;Bacillota;Bacilli;Caryophanales	order			4.279	4.279	0.077	11.878	8.567	99.045
Bacteria;Bacillota;Bacilli;Lactobacillales	order			1.843	1.843	0.0	3.052	8.248	77.389
Bacteria;Bacillota;Clostridia;Eubacteriales	order			3.115	3.115	0.0	9.207	8.486	76.752
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			0.03	0.03	0.0	0.031	0.167	14.65
Bacteria;Bacillota;Negativicutes;Veillonellales	order			0.806	0.806	0.0	1.721	2.637	64.968
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			1.032	1.032	0.0	1.386	3.546	63.057
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order			0.051	0.051	0.0	0.087	0.231	23.248
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	order			0.033	0.033	0.0	0.049	0.139	20.064
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.248	0.248	0.0	0.251	1.503	27.389
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.58	0.58	0.0	0.928	2.685	71.338
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			1.782	1.782	0.0	1.73	8.197	61.146
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.114	0.114	0.0	0.0	1.801	3.185
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			0.246	0.246	0.0	0.273	2.387	39.49
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			1.525	1.525	0.0	1.508	5.912	61.783
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.598	0.598	0.0	0.639	4.238	52.866
