Taxonomy	Rank	HMT	Notes	Max	MVA-mean	MVA-10p	MVA-90p	MVA-sd	MVA-prev
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.554	0.554	0.0	1.114	1.295	72.973
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			0.121	0.121	0.0	0.021	0.703	10.811
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.277	0.277	0.0	0.0	2.124	8.108
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.01	0.01	0.0	0.0	0.054	8.108
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.024	0.024	0.0	0.039	0.089	22.973
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae	family			0.106	0.106	0.0	0.071	0.619	24.324
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.027	0.027	0.0	0.072	0.078	14.865
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.077	0.077	0.0	0.042	0.33	18.919
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.159	0.159	0.0	0.555	0.408	37.838
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family			0.063	0.063	0.0	0.177	0.171	29.73
Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae	family			0.157	0.157	0.0	0.0	1.183	9.459
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Mobiluncus	genus			0.069	0.069	0.0	0.0	0.569	9.459
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	genus			0.14	0.14	0.0	0.034	0.581	16.216
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			0.065	0.065	0.0	0.076	0.294	37.838
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			0.046	0.046	0.0	0.147	0.094	56.757
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.024	0.024	0.0	0.0	0.187	5.405
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea	genus			0.848	0.848	0.0	0.076	3.619	13.514
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olegusella	genus			0.01	0.01	0.0	0.017	0.036	12.162
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.779	0.779	0.0	0.699	3.85	44.595
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			0.153	0.153	0.0	0.118	0.638	59.459
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			87.081	87.081	68.491	98.836	20.505	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	genus			0.783	0.783	0.0	1.835	1.735	66.216
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			0.501	0.501	0.008	0.708	1.97	90.541
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7]	genus			0.056	0.056	0.0	0.05	0.258	22.973
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus			1.181	1.181	0.0	0.0	7.703	2.703
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.031	0.031	0.0	0.013	0.221	12.162
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.277	0.277	0.0	0.489	1.121	45.946
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.743	0.743	0.0	0.0	3.386	8.108
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			0.079	0.079	0.0	0.0	0.568	8.108
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			0.277	0.277	0.0	0.872	0.699	66.216
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilaceae [G3]	genus			0.097	0.097	0.0	0.115	0.517	17.568
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus	genus			0.101	0.101	0.0	0.193	0.326	45.946
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			0.121	0.121	0.0	0.021	0.703	10.811
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus			0.277	0.277	0.0	0.0	2.124	8.108
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	genus			0.01	0.01	0.0	0.0	0.054	8.108
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.024	0.024	0.0	0.039	0.089	22.973
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	genus			0.106	0.106	0.0	0.071	0.619	24.324
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	genus			0.027	0.027	0.0	0.072	0.078	14.865
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			0.077	0.077	0.0	0.042	0.33	18.919
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	genus			0.159	0.159	0.0	0.555	0.408	37.838
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	genus			0.063	0.063	0.0	0.177	0.171	29.73
