Taxonomy	Rank	HMT	Notes	Max	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae	family			0.006	0.006	0.0	0.007	0.033	10.92
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			0.156	0.156	0.0	0.335	0.516	62.069
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			61.877	61.877	12.41	94.409	29.737	100.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.011	0.011	0.0	0.018	0.048	13.506
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae	family			0.006	0.006	0.0	0.0	0.092	3.736
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			0.115	0.115	0.0	0.119	0.699	35.057
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.119	0.119	0.0	0.198	0.484	44.253
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			0.089	0.089	0.0	0.063	0.683	26.437
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.055	0.055	0.0	0.048	0.271	25.0
Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae	family			0.012	0.012	0.0	0.0	0.152	6.609
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.084	0.084	0.0	0.192	0.306	40.805
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			20.746	20.746	1.479	52.763	20.71	99.138
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.027	0.027	0.0	0.028	0.125	15.517
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			0.099	0.099	0.0	0.206	0.375	47.126
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae	family			0.007	0.007	0.0	0.0	0.057	4.31
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.111	0.111	0.0	0.23	0.429	41.667
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			1.164	1.164	0.012	3.386	2.14	92.241
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.097	0.097	0.0	0.05	1.298	24.425
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.002	0.002	0.0	0.0	0.015	3.736
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.002	0.002	0.0	0.0	0.033	3.161
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.001	0.001	0.0	0.0	0.017	0.287
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			0.184	0.184	0.0	0.252	0.842	53.736
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			1.643	1.643	0.0	5.173	5.014	66.954
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			0.202	0.202	0.0	0.187	1.256	37.644
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.092	0.092	0.0	0.107	0.527	29.885
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1]	family			0.007	0.007	0.0	0.0	0.111	1.437
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.043	0.043	0.0	0.039	0.341	23.563
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family			0.045	0.045	0.0	0.023	0.344	18.966
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae	family			0.004	0.004	0.0	0.0	0.029	4.598
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae	family			0.011	0.011	0.0	0.02	0.059	15.23
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	family			0.004	0.004	0.0	0.0	0.029	4.885
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family			0.006	0.006	0.0	0.0	0.044	7.471
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.008	0.008	0.0	0.0	0.062	8.046
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.268	0.268	0.0	0.23	1.365	41.379
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.145	0.145	0.0	0.303	0.544	49.425
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			1.516	1.516	0.0	0.865	8.76	64.655
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.069	0.069	0.0	0.033	0.429	17.241
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	family			0.013	0.013	0.0	0.0	0.166	1.149
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae	family			0.007	0.007	0.0	0.0	0.079	5.172
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family			0.025	0.025	0.0	0.0	0.262	8.908
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			0.048	0.048	0.0	0.095	0.151	37.069
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.026	0.026	0.0	0.021	0.228	17.529
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.012	0.012	0.0	0.014	0.132	14.368
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family			0.007	0.007	0.0	0.0	0.063	7.184
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			0.044	0.044	0.0	0.028	0.255	21.264
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			0.118	0.118	0.0	0.218	0.56	47.701
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga	genus			0.017	0.017	0.0	0.0	0.193	5.46
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			7.222	7.222	0.067	23.904	12.953	94.828
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			0.493	0.493	0.0	1.552	0.775	79.598
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Dermabacter	genus			0.006	0.006	0.0	0.007	0.033	10.92
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus	genus			0.041	0.041	0.0	0.068	0.304	26.149
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			0.115	0.115	0.0	0.219	0.4	50.862
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia	genus			0.009	0.009	0.0	0.0	0.131	2.586
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			61.868	61.868	12.41	94.409	29.749	100.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.008	0.008	0.0	0.007	0.043	10.632
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea	genus			0.003	0.003	0.0	0.0	0.022	3.161
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella	genus			0.006	0.006	0.0	0.0	0.092	3.736
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			0.115	0.115	0.0	0.119	0.699	35.057
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			0.026	0.026	0.0	0.04	0.14	19.253
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.06	0.06	0.0	0.095	0.277	31.322
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			0.024	0.024	0.0	0.012	0.178	13.218
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	genus			0.008	0.008	0.0	0.0	0.061	8.046
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			0.089	0.089	0.0	0.063	0.683	26.437
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	genus			0.032	0.032	0.0	0.022	0.186	15.23
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			0.023	0.023	0.0	0.01	0.198	12.356
Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae;Anoxybacillus	genus			0.008	0.008	0.0	0.0	0.148	0.575
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.084	0.084	0.0	0.192	0.306	40.805
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			20.746	20.746	1.479	52.763	20.71	99.138
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.027	0.027	0.0	0.028	0.125	15.517
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	genus			0.011	0.011	0.0	0.007	0.092	10.92
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			0.088	0.088	0.0	0.192	0.365	42.816
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	genus			0.007	0.007	0.0	0.0	0.057	4.31
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			0.111	0.111	0.0	0.23	0.429	41.667
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	genus			0.041	0.041	0.0	0.014	0.4	14.08
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			1.122	1.122	0.012	3.243	2.045	92.241
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			0.012	0.012	0.0	0.017	0.062	15.23
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium	genus			0.074	0.074	0.0	0.0	1.207	8.621
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia	genus			0.001	0.001	0.0	0.0	0.009	1.149
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum	genus			0.01	0.01	0.0	0.0	0.089	7.759
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"]	genus			0.001	0.001	0.0	0.0	0.007	2.299
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"]	genus			0.001	0.001	0.0	0.0	0.012	2.299
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1]	genus			0.002	0.002	0.0	0.0	0.033	3.161
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Bulleidia	genus			0.001	0.001	0.0	0.0	0.017	0.287
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.005	0.005	0.0	0.0	0.049	5.172
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			0.178	0.178	0.0	0.246	0.823	52.874
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			1.246	1.246	0.0	4.373	3.554	56.322
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			0.282	0.282	0.0	0.212	2.223	33.046
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus	genus			0.116	0.116	0.0	0.069	0.518	19.828
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			0.202	0.202	0.0	0.187	1.256	37.644
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			0.048	0.048	0.0	0.056	0.25	23.563
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			0.045	0.045	0.0	0.023	0.317	16.379
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1];Patescibacteria [C1 O1 F1 G1]	genus			0.007	0.007	0.0	0.0	0.111	1.437
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	genus			0.017	0.017	0.0	0.014	0.121	13.793
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	genus			0.026	0.026	0.0	0.005	0.32	11.782
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia	genus			0.033	0.033	0.0	0.015	0.275	17.241
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	genus			0.012	0.012	0.0	0.0	0.209	2.299
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium	genus			0.004	0.004	0.0	0.0	0.029	4.598
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus	genus			0.011	0.011	0.0	0.02	0.059	15.23
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas	genus			0.004	0.004	0.0	0.0	0.029	4.885
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium	genus			0.006	0.006	0.0	0.0	0.044	7.471
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.008	0.008	0.0	0.0	0.062	8.046
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			0.066	0.066	0.0	0.022	0.685	15.517
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.202	0.202	0.0	0.158	1.185	30.747
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	genus			0.097	0.097	0.0	0.105	0.506	34.195
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	genus			0.006	0.006	0.0	0.0	0.055	3.448
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	genus			0.03	0.03	0.0	0.044	0.126	19.253
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix	genus			0.011	0.011	0.0	0.0	0.101	4.31
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	genus			0.002	0.002	0.0	0.0	0.016	2.011
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.007	0.007	0.0	0.005	0.055	10.92
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			0.262	0.262	0.0	0.271	1.74	50.862
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1]	genus			1.246	1.246	0.0	0.326	8.603	30.46
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			0.069	0.069	0.0	0.033	0.429	17.241
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	genus			0.013	0.013	0.0	0.0	0.166	1.149
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium	genus			0.007	0.007	0.0	0.0	0.079	5.172
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	genus			0.025	0.025	0.0	0.0	0.262	8.908
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			0.048	0.048	0.0	0.095	0.151	37.069
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	genus			0.007	0.007	0.0	0.006	0.039	11.782
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus			0.019	0.019	0.0	0.0	0.225	7.471
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	genus			0.012	0.012	0.0	0.014	0.132	14.368
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	genus			0.007	0.007	0.0	0.0	0.063	7.184
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus			0.044	0.044	0.0	0.028	0.255	21.264
Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae;Bacillus	genus			0.004	0.004	0.0	0.0	0.034	6.034
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;naeslundii	species	176		0.088	0.088	0.0	0.125	0.516	39.943
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-175	species	175		0.03	0.03	0.0	0.049	0.142	23.851
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga;sp. HMT-183	species	183		0.017	0.017	0.0	0.0	0.193	5.46
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;accolens	species	019		0.1	0.1	0.0	0.167	0.659	51.149
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;afermentans	species	030		0.111	0.111	0.0	0.064	1.325	28.736
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;amycolatum	species	031		0.046	0.046	0.0	0.024	0.354	16.379
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;appendicis	species	033		0.025	0.025	0.0	0.0	0.301	7.471
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;aurimucosum	species	034		0.045	0.045	0.0	0.018	0.297	13.506
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;coyleae	species	341		0.022	0.022	0.0	0.013	0.257	13.793
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;durum	species	595		0.039	0.039	0.0	0.047	0.236	19.54
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;gottingense	species	207		0.035	0.035	0.0	0.03	0.211	17.241
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;jeikeium	species	047		0.017	0.017	0.0	0.0	0.128	7.759
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;kroppenstedtii	species	049		0.559	0.559	0.0	0.105	3.583	21.839
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;matruchotii	species	666		0.07	0.07	0.0	0.094	0.374	24.713
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;minutissimum	species	053		0.018	0.018	0.0	0.013	0.146	14.655
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;mucifaciens	species	835		0.037	0.037	0.0	0.023	0.355	17.529
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pilbarense	species	054		0.05	0.05	0.0	0.063	0.427	28.736
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;propinquum	species	059		0.016	0.016	0.0	0.0	0.18	6.897
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pseudodiphtheriticum	species	060		0.006	0.006	0.0	0.0	0.049	6.322
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		6.026	6.026	0.016	17.818	11.953	91.092
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		0.493	0.493	0.0	1.552	0.775	79.598
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Dermabacter;hominis	species	354		0.006	0.006	0.0	0.007	0.033	10.92
