Taxonomy	Rank	HMT	Notes	Max	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.529	0.529	0.0	0.266	4.835	44.667
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			2.603	2.603	0.108	5.598	5.836	97.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.028	0.028	0.0	0.015	0.237	14.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae	family			0.003	0.003	0.0	0.0	0.032	2.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.006	0.006	0.0	0.0	0.046	6.333
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.003	0.003	0.0	0.0	0.04	2.667
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.008	0.008	0.0	0.0	0.05	7.667
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			0.272	0.272	0.0	0.724	0.652	70.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			2.856	2.856	0.016	7.315	3.445	91.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			0.142	0.142	0.0	0.275	0.669	51.667
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.041	0.041	0.0	0.123	0.11	37.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.017	0.017	0.0	0.023	0.091	16.667
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family			0.025	0.025	0.0	0.049	0.112	20.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae	family			0.018	0.018	0.0	0.0	0.203	3.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae	family			0.006	0.006	0.0	0.0	0.083	3.333
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae	family			0.003	0.003	0.0	0.0	0.023	4.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae	family			0.027	0.027	0.0	0.007	0.388	11.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	family			0.002	0.002	0.0	0.0	0.02	2.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family			0.012	0.012	0.0	0.011	0.084	11.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.126	0.126	0.0	0.198	0.728	48.667
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			3.005	3.005	0.0	9.993	7.129	69.333
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			1.9	1.9	0.0	4.655	5.561	81.667
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.196	0.196	0.0	0.191	1.016	20.333
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	family			0.132	0.132	0.0	0.0	2.144	1.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family			0.157	0.157	0.0	0.359	0.587	35.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			0.095	0.095	0.0	0.13	0.683	46.667
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.967	0.967	0.0	0.41	4.757	27.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.194	0.194	0.0	0.026	3.124	22.333
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			0.019	0.019	0.0	0.031	0.103	18.333
Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae	family			0.002	0.002	0.0	0.0	0.015	4.333
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus			0.004	0.004	0.0	0.0	0.033	3.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			0.117	0.117	0.0	0.304	0.3	52.667
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			0.065	0.065	0.0	0.158	0.2	44.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			32.853	32.853	5.428	64.569	22.171	99.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			5.442	5.442	0.0	15.535	7.152	86.667
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Brevibacteriaceae;Brevibacterium	genus			0.005	0.005	0.0	0.0	0.077	2.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria	genus			0.006	0.006	0.0	0.0	0.031	7.667
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus	genus			0.023	0.023	0.0	0.043	0.117	20.333
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			0.192	0.192	0.0	0.376	0.606	66.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			23.564	23.564	6.702	45.626	16.103	99.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.009	0.009	0.0	0.01	0.042	11.0
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella	genus			0.021	0.021	0.0	0.0	0.332	4.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			0.088	0.088	0.0	0.188	0.332	38.667
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			0.087	0.087	0.0	0.124	0.508	29.667
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.205	0.205	0.0	0.282	0.751	48.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			0.074	0.074	0.0	0.104	0.328	24.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			0.012	0.012	0.0	0.029	0.049	17.667
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	genus			0.034	0.034	0.0	0.104	0.095	28.0
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.128	0.128	0.0	0.357	0.291	53.667
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			16.08	16.08	2.7	35.02	14.792	99.333
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.039	0.039	0.0	0.103	0.185	23.667
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	genus			4.146	4.146	0.0	16.076	8.698	41.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			0.172	0.172	0.0	0.343	0.607	56.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			0.529	0.529	0.0	0.266	4.835	44.667
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	genus			0.216	0.216	0.0	0.046	3.433	19.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			2.387	2.387	0.098	5.475	4.817	97.333
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus			0.017	0.017	0.0	0.0	0.226	2.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum	genus			0.012	0.012	0.0	0.013	0.073	11.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus	genus			0.003	0.003	0.0	0.0	0.032	2.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"]	genus			0.006	0.006	0.0	0.0	0.046	6.333
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2]	genus			0.003	0.003	0.0	0.0	0.04	2.667
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.008	0.008	0.0	0.0	0.05	7.667
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.029	0.029	0.0	0.013	0.285	12.333
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.009	0.009	0.0	0.0	0.1	4.333
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			0.234	0.234	0.0	0.601	0.569	68.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			1.026	1.026	0.0	2.772	1.263	83.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			0.564	0.564	0.0	1.752	1.047	65.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus	genus			1.266	1.266	0.0	3.805	1.822	71.333
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			0.142	0.142	0.0	0.275	0.669	51.667
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			0.026	0.026	0.0	0.082	0.083	26.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			0.014	0.014	0.0	0.031	0.052	20.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	genus			0.012	0.012	0.0	0.008	0.086	11.333
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	genus			0.005	0.005	0.0	0.0	0.031	6.333
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia	genus			0.025	0.025	0.0	0.049	0.112	20.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella	genus			0.018	0.018	0.0	0.0	0.203	3.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium	genus			0.006	0.006	0.0	0.0	0.083	3.333
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium	genus			0.003	0.003	0.0	0.0	0.023	4.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus	genus			0.027	0.027	0.0	0.007	0.388	11.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas	genus			0.002	0.002	0.0	0.0	0.02	2.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium	genus			0.012	0.012	0.0	0.011	0.084	11.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			0.018	0.018	0.0	0.036	0.062	21.667
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.108	0.108	0.0	0.137	0.726	33.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paenacidovorax	genus			0.022	0.022	0.0	0.0	0.143	9.667
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	genus			2.889	2.889	0.0	9.96	7.139	51.667
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	genus			0.006	0.006	0.0	0.0	0.052	6.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	genus			0.059	0.059	0.0	0.079	0.355	28.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix	genus			0.021	0.021	0.0	0.023	0.138	12.667
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia	genus			0.002	0.002	0.0	0.0	0.017	1.667
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	genus			0.005	0.005	0.0	0.0	0.057	5.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.015	0.015	0.0	0.037	0.056	19.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			0.329	0.329	0.0	0.554	1.94	65.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1]	genus			1.556	1.556	0.0	4.249	5.216	47.333
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			0.196	0.196	0.0	0.191	1.016	20.333
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	genus			0.132	0.132	0.0	0.0	2.144	1.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	genus			0.053	0.053	0.0	0.0	0.38	7.667
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	genus			0.028	0.028	0.0	0.029	0.144	16.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	genus			0.077	0.077	0.0	0.15	0.302	21.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			0.095	0.095	0.0	0.13	0.683	46.667
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	genus			0.017	0.017	0.0	0.016	0.145	14.667
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus			0.95	0.95	0.0	0.243	4.758	14.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	genus			0.012	0.012	0.0	0.023	0.087	19.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas	genus			0.181	0.181	0.0	0.0	3.124	3.667
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus			0.019	0.019	0.0	0.031	0.103	18.333
Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae;Bacillus	genus			0.002	0.002	0.0	0.0	0.015	4.333
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-875	species	875		0.004	0.004	0.0	0.0	0.033	3.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169		0.048	0.048	0.0	0.122	0.135	36.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-171	species	171		0.032	0.032	0.0	0.065	0.138	24.667
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-175	species	175		0.038	0.038	0.0	0.101	0.118	26.667
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica	species	701		0.065	0.065	0.0	0.158	0.2	44.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;accolens	species	019		20.281	20.281	0.153	53.045	20.31	97.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;afermentans	species	030		0.044	0.044	0.0	0.073	0.203	25.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;amycolatum	species	031		0.063	0.063	0.0	0.037	0.647	17.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;appendicis	species	033		0.019	0.019	0.0	0.019	0.099	14.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;durum	species	595		0.025	0.025	0.0	0.081	0.078	24.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;gottingense	species	207		0.025	0.025	0.0	0.046	0.099	14.667
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;kroppenstedtii	species	049		0.206	0.206	0.0	0.047	1.159	17.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;minutissimum	species	053		0.012	0.012	0.0	0.018	0.05	15.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;mucifaciens	species	835		0.009	0.009	0.0	0.0	0.065	9.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pilbarense	species	054		0.028	0.028	0.0	0.067	0.087	26.667
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;propinquum	species	059		1.87	1.87	0.0	5.484	5.838	32.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pseudodiphtheriticum	species	060		1.344	1.344	0.0	2.699	5.194	31.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;singulare	species	063		0.04	0.04	0.0	0.05	0.29	21.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		8.886	8.886	0.081	24.524	11.244	95.667
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		5.442	5.442	0.0	15.535	7.152	86.667
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Brevibacteriaceae;Brevibacterium;paucivorans	species	340		0.005	0.005	0.0	0.0	0.077	2.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria;palustris	species	084		0.006	0.006	0.0	0.0	0.031	7.667
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus;luteus	species	087		0.023	0.023	0.0	0.043	0.117	20.333
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		0.023	0.023	0.0	0.052	0.099	24.667
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		0.051	0.051	0.0	0.13	0.151	38.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		0.119	0.119	0.0	0.205	0.519	50.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		22.683	22.683	5.784	44.522	15.749	99.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;avidum	species	552		0.236	0.236	0.0	0.659	0.48	56.667
