Taxonomy	Rank	HMT	Notes	Max	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Bacteria	domain			90.291	90.291	75.476	99.52	12.234	100.0
Bacteria;Actinomycetota	phylum			1.216	1.216	0.0	2.478	3.816	78.873
Bacteria;Bacteroidota	phylum			0.846	0.846	0.0	1.142	3.173	59.155
Bacteria;Bacillota	phylum			86.548	86.548	68.231	99.372	17.662	100.0
Bacteria;Fusobacteriota	phylum			0.497	0.497	0.0	0.066	2.452	23.944
Bacteria;Pseudomonadota	phylum			1.184	1.184	0.0	2.466	3.655	74.648
Bacteria;Actinomycetota;Actinomycetes	klass			0.274	0.274	0.0	0.368	0.991	74.648
Bacteria;Actinomycetota;Coriobacteriia	klass			0.942	0.942	0.0	1.646	3.579	36.62
Bacteria;Bacteroidota;Bacteroidia	klass			0.846	0.846	0.0	1.142	3.173	59.155
Bacteria;Bacillota;Bacilli	klass			82.978	82.978	45.132	98.997	24.118	100.0
Bacteria;Bacillota;Clostridia	klass			2.231	2.231	0.0	6.391	6.046	87.324
Bacteria;Bacillota;Negativicutes	klass			1.339	1.339	0.0	3.899	3.962	47.887
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.497	0.497	0.0	0.066	2.452	23.944
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.028	0.028	0.0	0.101	0.063	32.394
Bacteria;Pseudomonadota;Betaproteobacteria	klass			0.455	0.455	0.0	0.171	2.413	46.479
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.231	0.231	0.0	0.187	1.018	30.986
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			0.469	0.469	0.0	1.427	1.331	49.296
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			0.11	0.11	0.0	0.011	0.871	14.085
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order			0.043	0.043	0.0	0.116	0.156	21.127
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.121	0.121	0.0	0.301	0.247	67.606
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.942	0.942	0.0	1.646	3.579	36.62
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.846	0.846	0.0	1.142	3.173	59.155
Bacteria;Bacillota;Bacilli;Caryophanales	order			0.094	0.094	0.0	0.274	0.165	66.197
Bacteria;Bacillota;Bacilli;Lactobacillales	order			82.883	82.883	45.132	98.988	24.104	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales	order			2.231	2.231	0.0	6.391	6.046	87.324
Bacteria;Bacillota;Negativicutes;Veillonellales	order			1.339	1.339	0.0	3.899	3.962	47.887
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.497	0.497	0.0	0.066	2.452	23.944
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order			0.01	0.01	0.0	0.011	0.037	11.268
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	order			0.005	0.005	0.0	0.016	0.014	16.901
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.013	0.013	0.0	0.066	0.033	19.718
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.349	0.349	0.0	0.082	2.294	36.62
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			0.106	0.106	0.0	0.026	0.565	12.676
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.231	0.231	0.0	0.187	1.018	30.986
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.282	0.282	0.0	0.841	0.68	40.845
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.186	0.186	0.0	0.101	1.165	28.169
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			0.11	0.11	0.0	0.011	0.871	14.085
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family			0.043	0.043	0.0	0.116	0.156	21.127
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			0.056	0.056	0.0	0.143	0.149	50.704
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			0.064	0.064	0.0	0.169	0.184	52.113
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.925	0.925	0.0	1.646	3.581	23.944
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	family			0.017	0.017	0.0	0.027	0.068	19.718
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			0.026	0.026	0.0	0.031	0.105	19.718
