Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens	species	693		0.058	0.058	0.0	0.174	0.108	56.164
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pallens	species	714		0.094	0.094	0.0	0.224	0.188	63.699
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;shahii	species	795		0.05	0.05	0.0	0.096	0.198	39.041
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT-306	species	306		0.025	0.025	0.0	0.037	0.116	28.082
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;veroralis	species	572		0.012	0.012	0.0	0.052	0.032	22.603
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;serpentiformis	species	286		0.043	0.043	0.0	0.102	0.117	45.205
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;endodontalis	species	326		0.035	0.035	0.0	0.057	0.124	38.356
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis	species	337		0.282	0.282	0.0	0.618	0.681	80.822
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;granulosa	species	325		0.058	0.058	0.0	0.108	0.192	49.315
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri	species	329		0.327	0.327	0.0	0.725	0.769	82.877
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-864	species	864		0.012	0.012	0.0	0.027	0.075	21.918
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-902	species	902		0.016	0.016	0.0	0.04	0.071	27.397
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena	species	775		0.268	0.268	0.0	0.521	0.608	75.342
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;normanense	species	422		0.026	0.026	0.0	0.041	0.137	16.438
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;sp. HMT-206	species	206		0.304	0.304	0.0	1.11	0.808	39.726
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella;sp. HMT-322	species	322		0.385	0.385	0.012	0.92	0.399	89.726
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae [G1];bacterium HMT-931	species	931		0.074	0.074	0.0	0.112	0.254	50.685
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;haemolysans	species	626		7.962	7.962	1.554	15.552	6.974	97.945
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;morbillorum	species	046		0.075	0.075	0.0	0.196	0.151	61.644
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;sanguinis	species	757		0.207	0.207	0.0	0.511	0.343	86.301
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;hominis	species	127		0.021	0.021	0.0	0.0	0.25	1.37
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva	species	389		0.569	0.569	0.0	2.247	1.044	71.233
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens	species	534		0.842	0.842	0.086	1.983	0.872	95.89
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans	species	596		0.989	0.989	0.0	3.314	1.562	77.397
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus	species	817		0.074	0.074	0.0	0.06	0.539	31.507
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		0.012	0.012	0.0	0.012	0.062	13.014
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;anginosus	species	543		0.05	0.05	0.0	0.159	0.147	33.562
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;australis	species	073	Reads equidistant to HMT-073 and HMT-398 were assigned to each taxon in proportion to the abundance of HMT-073 and HMT-398 individually at this body site (BMU).	1.222	1.222	0.039	2.969	2.786	95.89
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;gordonii	species	622		0.711	0.711	0.014	2.052	1.043	91.781
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;intermedius	species	644		0.024	0.024	0.0	0.052	0.062	43.151
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mitis	species	677	Because HMT-058 is not present individually, all equidistant reads were assigned to HMT-677 at this body site (BMU).;Some of the reads equidistant from these taxa (398-677-734) are included in HMT-677 because they are too close to differentiate at this site (BMU).;Some of the reads equidistant from these taxa (058-398-677-707) are included in HMT-677 because they are too close to differentiate at this site (BMU).	37.195	37.195	14.301	64.31	19.253	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mutans	species	686		0.065	0.065	0.0	0.078	0.352	21.233
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;peroris	species	728		0.012	0.012	0.0	0.016	0.06	19.863
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius	species	755		0.837	0.837	0.017	2.002	1.789	90.411
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	species	758		1.044	1.044	0.063	2.585	1.742	95.89
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-061	species	061	Reads equidistant to HMT-061 and HMT-638 were assigned to each taxon in proportion to the abundance of HMT-061 and HMT-638 individually at this body site (BMU).	0.037	0.037	0.0	0.042	0.15	56.164
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-066	species	066	Reads equidistant to HMT-066 and HMT-073 were assigned to each taxon in proportion to the abundance of HMT-066 and HMT-073 individually at this body site (BMU).	0.038	0.038	0.0	0.074	0.107	54.795
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;vestibularis	species	021		1.5	1.5	0.016	5.346	2.834	92.466
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella;morbi	species	165		0.041	0.041	0.0	0.114	0.09	56.164
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;orale	species	082		0.069	0.069	0.0	0.198	0.103	69.863
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;umeaense	species	107		0.112	0.112	0.0	0.306	0.201	75.342
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2];bacterium HMT-096	species	096		0.048	0.048	0.0	0.096	0.174	35.616
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G3];bacterium HMT-100	species	100		0.018	0.018	0.0	0.055	0.044	34.932
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;asaccharolyticum	species	108	Reads equidistant to HMT-108 and HMT-934 were assigned to each taxon in proportion to the abundance of HMT-108 and HMT-934 individually at this body site (BMU).	0.145	0.145	0.0	0.436	0.249	72.603
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;parvum	species	934	Reads equidistant to HMT-108 and HMT-934 were assigned to each taxon in proportion to the abundance of HMT-108 and HMT-934 individually at this body site (BMU).	0.007	0.007	0.0	0.018	0.02	43.151
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;longum	species	419		0.138	0.138	0.0	0.32	0.221	79.452
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium;diversum	species	593		0.021	0.021	0.0	0.056	0.04	45.205
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"];sulci	species	467		0.021	0.021	0.0	0.052	0.065	31.507
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"];brachy	species	557		0.008	0.008	0.0	0.014	0.036	18.493
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;stomatis	species	112		0.025	0.025	0.0	0.067	0.075	34.247
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1];bacterium HMT-075	species	075		0.016	0.016	0.0	0.038	0.048	27.397
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2];bacterium HMT-085	species	085		0.011	0.011	0.0	0.036	0.022	34.247
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;moorei	species	678		0.032	0.032	0.0	0.085	0.058	54.795
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;atypica	species	524		0.266	0.266	0.0	0.582	0.57	76.027
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;dispar	species	160	Reads equidistant to HMT-158 and HMT-160 were assigned to each taxon in proportion to the abundance of HMT-158 and HMT-160 individually at this body site (BMU).	1.217	1.217	0.082	2.628	1.492	99.315
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula	species	161	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (BMU).	1.846	1.846	0.059	4.802	3.002	97.26
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae	species	158	Reads equidistant to HMT-158 and HMT-160 were assigned to each taxon in proportion to the abundance of HMT-158 and HMT-160 individually at this body site (BMU).	0.785	0.785	0.015	2.189	0.99	92.466
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-780	species	780		0.297	0.297	0.0	0.471	1.059	45.89
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;hwasookii	species	953	Reads equidistant to HMT-202 and HMT-953 were assigned to each taxon in proportion to the abundance of HMT-202 and HMT-953 individually at this body site (BMU).	0.036	0.036	0.0	0.101	0.103	39.726
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420		0.105	0.105	0.0	0.282	0.178	76.027
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;polymorphum	species	202	Reads equidistant to HMT-201 and HMT-202 were assigned to each taxon in proportion to the abundance of HMT-201 and HMT-202 individually at this body site (BMU).	0.781	0.781	0.014	1.94	1.613	90.411
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;vincentii	species	200		0.114	0.114	0.0	0.322	0.237	67.123
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum	species	201	Reads equidistant to HMT-201 and HMT-202 were assigned to each taxon in proportion to the abundance of HMT-201 and HMT-202 individually at this body site (BMU).	1.39	1.39	0.035	3.233	1.939	93.151
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-203	species	203		0.018	0.018	0.0	0.028	0.085	18.493
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-248	species	248		0.007	0.007	0.0	0.0	0.043	7.534
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;buccalis	species	563		0.042	0.042	0.0	0.108	0.123	36.986
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hofstadii	species	224		0.099	0.099	0.0	0.165	0.558	42.466
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hongkongensis	species	213		0.176	0.176	0.0	0.35	0.584	62.329
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-212	species	212		0.091	0.091	0.0	0.218	0.164	72.603
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-215	species	215		0.166	0.166	0.0	0.444	0.278	78.082
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-218	species	218		0.057	0.057	0.0	0.008	0.404	10.959
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-225	species	225		0.044	0.044	0.0	0.094	0.165	43.151
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-392	species	392		0.06	0.06	0.0	0.147	0.15	55.479
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-417	species	417	Reads equidistant to HMT-222 and HMT-417 were assigned to each taxon in proportion to the abundance of HMT-222 and HMT-417 individually at this body site (BMU).	0.166	0.166	0.0	0.378	0.394	64.384
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-498	species	498		0.003	0.003	0.0	0.0	0.017	7.534
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;wadei	species	222	Reads equidistant to HMT-222 and HMT-417 were assigned to each taxon in proportion to the abundance of HMT-222 and HMT-417 individually at this body site (BMU).	0.066	0.066	0.0	0.189	0.205	48.63
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;goodfellowii	species	845		0.008	0.008	0.0	0.027	0.021	26.027
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-219	species	219		0.026	0.026	0.0	0.074	0.076	32.192
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-221	species	221		0.097	0.097	0.0	0.24	0.278	42.466
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1];Patescibacteria [C1 O1 F1 G1];bacterium HMT-872	species	872		0.008	0.008	0.0	0.014	0.038	17.123
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;sp. HMT-002	species	002		0.005	0.005	0.0	0.0	0.027	6.849
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium;humi	species	006		0.033	0.033	0.0	0.0	0.394	3.425
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	022		0.844	0.844	0.0	1.757	1.831	80.137
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406		0.028	0.028	0.0	0.04	0.126	18.493
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;ebreus	species	209		0.03	0.03	0.0	0.035	0.155	21.918
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;temperans	species	216		0.01	0.01	0.0	0.01	0.062	11.644
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;testosteroni	species	858		0.004	0.004	0.0	0.0	0.023	4.11
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;sp. HMT-266	species	266		0.01	0.01	0.0	0.0	0.092	6.849
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia;sp. HMT-894	species	894		0.014	0.014	0.0	0.028	0.053	17.808
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;corrodens	species	577		0.081	0.081	0.0	0.198	0.158	63.014
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;denitrificans	species	582		0.037	0.037	0.0	0.083	0.178	24.658
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706		0.232	0.232	0.0	0.718	0.475	76.712
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp. HMT-012	species	012		0.032	0.032	0.0	0.0	0.285	7.534
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp. HMT-459	species	459		0.005	0.005	0.0	0.0	0.03	9.589
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;bacilliformis	species	013		0.012	0.012	0.0	0.028	0.041	16.438
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;cinerea	species	956	Some of the reads equidistant from these taxa (669-737-956) are included in HMT-956 because they are too close to differentiate at this site (BMU).	0.09	0.09	0.0	0.107	0.447	32.192
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;elongata	species	598		0.148	0.148	0.0	0.406	0.324	67.123
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;flavescens	species	610	Reads equidistant to HMT-476 and HMT-610 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-610 individually at this body site (BMU).	0.145	0.145	0.0	0.397	0.339	73.288
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;mucosa	species	682	Reads equidistant to HMT-476 and HMT-682 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-682 individually at this body site (BMU).	1.403	1.403	0.0	4.006	3.318	81.507
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis	species	014		0.184	0.184	0.0	0.438	0.526	41.096
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sicca	species	764	Because HMT-609 is not present individually, all equidistant reads were assigned to HMT-764 at this body site (BMU).	0.662	0.662	0.0	2.314	1.616	68.493
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;subflava	species	476	Reads equidistant to HMT-476 and HMT-610 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-610 individually at this body site (BMU).	1.478	1.478	0.033	3.775	2.015	90.411
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;concisus	species	575		0.319	0.319	0.0	0.829	0.422	84.247
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;gracilis	species	623		0.039	0.039	0.0	0.113	0.109	44.521
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;showae	species	763		0.055	0.055	0.0	0.142	0.1	64.384
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;sp. HMT-044	species	044		0.01	0.01	0.0	0.024	0.039	17.123
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;aphrophilus	species	545		0.01	0.01	0.0	0.0	0.078	6.849
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;sp. HMT-458	species	458		0.032	0.032	0.0	0.06	0.107	39.041
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;haemolyticus	species	851	Reads equidistant to HMT-036 and HMT-851 were assigned to each taxon in proportion to the abundance of HMT-036 and HMT-851 individually at this body site (BMU).	0.872	0.872	0.0	2.755	1.547	82.192
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parahaemolyticus	species	945		0.124	0.124	0.0	0.194	0.377	47.945
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae	species	718		2.482	2.482	0.08	5.424	3.477	97.26
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paraphrohaemolyticus	species	035		0.08	0.08	0.0	0.124	0.505	27.397
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp. HMT-036	species	036	Reads equidistant to HMT-036 and HMT-851 were assigned to each taxon in proportion to the abundance of HMT-036 and HMT-851 individually at this body site (BMU).	0.063	0.063	0.0	0.098	0.3	25.342
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp. HMT-908	species	908		0.089	0.089	0.0	0.138	0.341	23.288
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sputorum	species	944		0.074	0.074	0.0	0.07	0.381	35.616
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;nonliquefaciens	species	098		0.032	0.032	0.0	0.0	0.389	0.685
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;fluorescens	species	612		0.002	0.002	0.0	0.0	0.014	4.11
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-346	species	346		0.016	0.016	0.0	0.043	0.046	28.767
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-347	species	347		0.099	0.099	0.0	0.112	0.595	31.507
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-348	species	348		0.01	0.01	0.0	0.026	0.037	19.863
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-349	species	349		0.014	0.014	0.0	0.012	0.077	13.699
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-352	species	352		0.085	0.085	0.0	0.241	0.189	62.329
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-351	species	351		0.025	0.025	0.0	0.072	0.061	45.205
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-870	species	870		0.187	0.187	0.0	0.364	0.582	51.37
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-356	species	356		0.003	0.003	0.0	0.0	0.013	5.479
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-488	species	488	Neither HMT-488 nor HMT-957 were present singularly so these reads were split evenly at this site (BMU).	0.008	0.008	0.0	0.02	0.025	31.507
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-957	species	957	Neither HMT-488 nor HMT-957 were present singularly so these reads were split evenly at this site (BMU).	0.008	0.008	0.0	0.02	0.025	31.507
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus;clade-886	subspecies	886	Because HMT-578 is not present individually, all equidistant reads were assigned to HMT-886 at this body site (BMU).	0.219	0.219	0.0	0.432	0.649	79.452
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis;clade-638	subspecies	638	Reads equidistant to HMT-061 and HMT-638 were assigned to each taxon in proportion to the abundance of HMT-061 and HMT-638 individually at this body site (BMU).	1.464	1.464	0.194	3.618	1.554	97.945
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. dentisani clade-398	subspecies	398	Reads equidistant to HMT-073 and HMT-398 were assigned to each taxon in proportion to the abundance of HMT-073 and HMT-398 individually at this body site (BMU).;Some of the reads equidistant from these taxa (398-677-734) are included in HMT-398 because they are too close to differentiate at this site (BMU).;Some of the reads equidistant from these taxa (058-398-677-707) are included in HMT-398 because they are too close to differentiate at this site (BMU).;Some of the reads equidistant from these taxa (071-398-707) are included in HMT-398 because they are too close to differentiate at this site (BMU).	6.98	6.98	1.414	13.32	5.846	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. tigurinus clade-071	subspecies	071	Some of the reads equidistant from these taxa (071-398-707) are included in HMT-071 because they are too close to differentiate at this site (BMU).	0.103	0.103	0.0	0.23	0.253	73.973
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-411	subspecies	411	Reads equidistant to HMT-411 and HMT-721 were assigned to each taxon in proportion to the abundance of HMT-411 and HMT-721 individually at this body site (BMU).	0.015	0.015	0.0	0.029	0.065	52.055
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-721	subspecies	721	Because HMT-057 is not present individually, all equidistant reads were assigned to HMT-721 at this body site (BMU).	0.522	0.522	0.0	1.464	0.856	86.986
UNMATCHED				2.843	2.843	0.292	6.07	2.601	99.315
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus	species		combined from subspecies	0.219	0.219	0.0	0.432	0.649	79.452
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis	species		combined from subspecies	1.464	1.464	0.194	3.618	1.554	97.945
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis	species		combined from subspecies	6.98	6.98	1.414	13.32	5.846	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis	species		combined from subspecies	0.537	0.537	0.0	1.586	0.874	87.671
