Taxonomy	Rank	HMT	Notes	Max	MVA-mean	MVA-10p	MVA-90p	MVA-sd	MVA-prev
Bacteria	domain			97.357	97.357	93.468	100.0	5.799	100.0
Bacteria;Actinomycetota	phylum			6.015	6.015	0.0	20.282	15.653	83.607
Bacteria;Bacteroidota	phylum			0.38	0.38	0.0	0.316	2.3	35.519
Bacteria;Bacillota	phylum			89.538	89.538	65.704	99.951	21.724	100.0
Bacteria;Fusobacteriota	phylum			0.669	0.669	0.0	0.0	4.0	7.104
Bacteria;Pseudomonadota	phylum			0.671	0.671	0.0	0.609	4.077	47.541
Bacteria;Synergistota	phylum			0.07	0.07	0.0	0.0	0.87	3.825
Bacteria;Mycoplasmatota	phylum			0.013	0.013	0.0	0.0	0.136	3.825
Bacteria;Actinomycetota;Actinomycetes	klass			4.714	4.714	0.0	11.962	13.677	83.607
Bacteria;Actinomycetota;Coriobacteriia	klass			1.301	1.301	0.0	0.636	5.033	15.301
Bacteria;Bacteroidota;Bacteroidia	klass			0.38	0.38	0.0	0.316	2.3	35.519
Bacteria;Bacillota;Bacilli	klass			86.972	86.972	45.194	99.932	26.351	99.454
Bacteria;Bacillota;Clostridia	klass			2.009	2.009	0.0	1.142	9.723	73.224
Bacteria;Bacillota;Negativicutes	klass			0.557	0.557	0.0	0.034	1.998	13.115
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.669	0.669	0.0	0.0	4.0	7.104
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.019	0.019	0.0	0.023	0.135	19.126
Bacteria;Pseudomonadota;Betaproteobacteria	klass			0.468	0.468	0.0	0.166	3.505	25.683
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.019	0.019	0.0	0.021	0.094	15.301
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			0.164	0.164	0.0	0.167	0.78	24.59
Bacteria;Synergistota;Synergistia	klass			0.07	0.07	0.0	0.0	0.87	3.825
Bacteria;Mycoplasmatota;Mollicutes	klass			0.013	0.013	0.0	0.0	0.136	3.825
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order			3.972	3.972	0.0	10.659	12.183	41.53
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.233	0.233	0.0	0.531	0.712	58.47
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.509	0.509	0.0	0.066	6.424	39.344
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			1.301	1.301	0.0	0.636	5.033	15.301
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.38	0.38	0.0	0.316	2.3	35.519
Bacteria;Bacillota;Bacilli;Lactobacillales	order			86.937	86.937	45.194	99.913	26.368	99.454
Bacteria;Bacillota;Clostridia;Eubacteriales	order			2.009	2.009	0.0	1.142	9.723	73.224
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			0.004	0.004	0.0	0.0	0.033	3.825
Bacteria;Bacillota;Negativicutes;Veillonellales	order			0.553	0.553	0.0	0.0	1.999	9.29
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.669	0.669	0.0	0.0	4.0	7.104
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.019	0.019	0.0	0.023	0.135	19.126
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.468	0.468	0.0	0.166	3.505	25.683
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.019	0.019	0.0	0.021	0.094	15.301
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			0.005	0.005	0.0	0.0	0.04	4.918
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.159	0.159	0.0	0.107	0.78	20.765
Bacteria;Synergistota;Synergistia;Synergistales	order			0.07	0.07	0.0	0.0	0.87	3.825
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales	order			0.013	0.013	0.0	0.0	0.136	3.825
Bacteria;Bacillota;Bacilli;Caryophanales	order			0.034	0.034	0.0	0.025	0.207	19.672
