Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-10p	BM-90p	BM-sd	BM-prev	HP-mean	HP-10p	HP-90p	HP-sd	HP-prev	KG-mean	KG-10p	KG-90p	KG-sd	KG-prev	PT-mean	PT-10p	PT-90p	PT-sd	PT-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SV-mean	SV-10p	SV-90p	SV-sd	SV-prev	TD-mean	TD-10p	TD-90p	TD-sd	TD-prev	TH-mean	TH-10p	TH-90p	TH-sd	TH-prev	NS-mean	NS-10p	NS-90p	NS-sd	NS-prev
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-3]	genus			0.001	0.0	0.0	0.0	0.001	5.882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.778	0.0	0.0	0.0	0.001	6.452	0.001	0.0	0.0	0.007	5.714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	5.556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-8]	genus			0.029	0.016	0.0	0.01	0.066	20.588	0.003	0.0	0.008	0.009	25.0	0.002	0.0	0.0	0.008	8.333	0.005	0.0	0.008	0.016	19.355	0.029	0.0	0.068	0.088	40.0	0.002	0.0	0.002	0.012	14.706	0.004	0.0	0.014	0.008	22.222	0.0	0.0	0.0	0.001	5.882	0.006	0.0	0.016	0.016	30.303	0.0	0.0	0.0	0.0	0.0
Bacteria;Tenericutes;Mollicutes;Mollicutes_[O-1];Mollicutes_[F-1];Mollicutes_[G-1]	genus			0.002	0.002	0.0	0.0	0.01	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	2.778	0.0	0.0	0.0	0.003	3.226	0.0	0.0	0.0	0.001	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-5]	genus			0.093	0.007	0.0	0.017	0.028	26.471	0.002	0.0	0.001	0.009	10.714	0.002	0.0	0.003	0.006	16.667	0.019	0.0	0.026	0.065	29.032	0.093	0.0	0.085	0.424	37.143	0.006	0.0	0.007	0.024	20.588	0.001	0.0	0.002	0.004	19.444	0.0	0.0	0.0	0.001	2.941	0.004	0.0	0.017	0.009	21.212	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter	genus			0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.009	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			2.553	1.064	0.232	1.949	0.726	100.0	1.74	0.707	2.767	0.843	100.0	2.552	0.153	6.177	3.738	100.0	2.145	0.135	3.37	3.721	100.0	0.835	0.044	2.203	0.924	100.0	1.078	0.139	2.721	1.458	100.0	2.553	0.607	5.12	2.015	100.0	1.92	0.254	4.159	1.602	100.0	1.408	0.251	3.287	1.399	100.0	0.018	0.0	0.043	0.047	20.0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Pseudoramibacter	genus			0.004	0.0	0.0	0.0	0.001	5.882	0.0	0.0	0.0	0.001	7.143	0.0	0.0	0.0	0.001	2.778	0.0	0.0	0.0	0.001	6.452	0.004	0.0	0.0	0.024	11.429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	8.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Filifactor	genus			0.206	0.032	0.0	0.094	0.105	29.412	0.011	0.0	0.019	0.036	32.143	0.003	0.0	0.002	0.013	13.889	0.206	0.0	0.413	0.691	38.71	0.103	0.0	0.086	0.397	37.143	0.002	0.0	0.006	0.007	20.588	0.004	0.0	0.014	0.011	25.0	0.001	0.0	0.0	0.002	11.765	0.016	0.0	0.04	0.042	30.303	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium	genus			0.103	0.003	0.0	0.01	0.005	50.0	0.017	0.0	0.03	0.047	46.429	0.002	0.0	0.005	0.006	38.889	0.003	0.0	0.002	0.016	12.903	0.076	0.0	0.147	0.199	85.714	0.103	0.001	0.291	0.139	88.235	0.003	0.0	0.008	0.005	33.333	0.0	0.0	0.0	0.001	5.882	0.004	0.0	0.002	0.024	15.152	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella	genus			0.0	0.0	0.0	0.0	0.0	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.778	0.0	0.0	0.0	0.0	3.226	0.0	0.0	0.0	0.0	5.714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-9]	genus			0.517	0.055	0.0	0.143	0.127	61.765	0.028	0.0	0.089	0.064	50.0	0.012	0.0	0.034	0.03	50.0	0.229	0.0	0.758	0.614	67.742	0.517	0.0	1.319	1.13	85.714	0.088	0.0	0.155	0.203	64.706	0.022	0.0	0.051	0.053	50.0	0.002	0.0	0.007	0.004	29.412	0.049	0.0	0.105	0.139	60.606	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Afipia	genus			0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.778	0.026	0.0	0.0	0.144	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
