Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-10p	BM-90p	BM-sd	BM-prev	HP-mean	HP-10p	HP-90p	HP-sd	HP-prev	KG-mean	KG-10p	KG-90p	KG-sd	KG-prev	PT-mean	PT-10p	PT-90p	PT-sd	PT-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SV-mean	SV-10p	SV-90p	SV-sd	SV-prev	TD-mean	TD-10p	TD-90p	TD-sd	TD-prev	TH-mean	TH-10p	TH-90p	TH-sd	TH-prev	NS-mean	NS-10p	NS-90p	NS-sd	NS-prev
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nanceiensis	species	299		0.929	0.135	0.0	0.379	0.246	82.353	0.188	0.008	0.345	0.281	92.857	0.074	0.0	0.159	0.163	77.778	0.261	0.0	0.693	0.597	87.097	0.005	0.0	0.011	0.013	54.286	0.011	0.0	0.016	0.039	41.176	0.929	0.006	3.146	1.608	88.889	0.269	0.005	0.586	0.642	97.059	0.306	0.008	0.551	0.674	93.939	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_300	species	300		0.241	0.025	0.0	0.038	0.075	52.941	0.004	0.0	0.01	0.008	42.857	0.014	0.0	0.017	0.074	33.333	0.004	0.0	0.006	0.012	32.258	0.241	0.0	0.656	0.694	88.571	0.134	0.0	0.228	0.437	70.588	0.01	0.0	0.03	0.022	44.444	0.001	0.0	0.0	0.002	11.765	0.003	0.0	0.008	0.004	42.424	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_301	species	301		0.019	0.004	0.0	0.008	0.011	17.647	0.001	0.0	0.001	0.002	10.714	0.0	0.0	0.0	0.0	2.778	0.0	0.0	0.0	0.001	6.452	0.019	0.0	0.082	0.044	34.286	0.008	0.0	0.016	0.022	29.412	0.001	0.0	0.002	0.002	13.889	0.0	0.0	0.0	0.0	2.941	0.0	0.0	0.001	0.001	12.121	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;rava	species	302		0.171	0.012	0.0	0.039	0.02	61.765	0.039	0.0	0.096	0.067	60.714	0.002	0.0	0.008	0.006	27.778	0.17	0.0	0.657	0.311	58.065	0.006	0.0	0.01	0.016	57.143	0.001	0.0	0.005	0.004	17.647	0.077	0.0	0.167	0.273	38.889	0.067	0.0	0.08	0.256	58.824	0.171	0.0	0.353	0.345	69.697	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pleuritidis	species	303		0.19	0.038	0.0	0.04	0.148	38.235	0.053	0.0	0.074	0.195	35.714	0.014	0.0	0.011	0.058	33.333	0.041	0.0	0.035	0.136	38.71	0.19	0.0	0.48	0.601	42.857	0.038	0.0	0.079	0.103	32.353	0.003	0.0	0.004	0.013	22.222	0.001	0.0	0.0	0.003	5.882	0.029	0.0	0.018	0.135	27.273	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_304	species	304		0.179	0.006	0.0	0.0	0.025	8.824	0.001	0.0	0.0	0.003	7.143	0.001	0.0	0.0	0.005	8.333	0.179	0.0	0.0	0.955	6.452	0.016	0.0	0.0	0.13	11.429	0.001	0.0	0.0	0.003	5.882	0.002	0.0	0.002	0.005	8.333	0.0	0.0	0.0	0.0	2.941	0.082	0.0	0.0	0.455	6.061	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_305	species	305		0.101	0.004	0.0	0.011	0.009	50.0	0.013	0.0	0.029	0.026	71.429	0.005	0.0	0.013	0.015	22.222	0.046	0.0	0.113	0.08	77.419	0.001	0.0	0.0	0.003	14.286	0.0	0.0	0.0	0.001	2.941	0.101	0.0	0.148	0.261	86.111	0.036	0.0	0.081	0.062	76.471	0.036	0.0	0.093	0.039	84.848	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_306	species	306		1.34	0.065	0.0	0.165	0.119	73.529	0.197	0.0	0.455	0.332	82.143	0.08	0.0	0.223	0.258	55.556	1.34	0.005	1.764	3.25	93.548	0.025	0.0	0.03	0.082	57.143	0.025	0.0	0.037	0.103	44.118	0.445	0.0	0.842	1.271	83.333	0.839	0.002	0.927	2.464	94.118	1.011	0.036	2.34	1.378	96.97	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;salivae	species	307		1.518	0.149	0.0	0.562	0.241	82.353	0.284	0.01	0.714	0.353	100.0	0.103	0.0	0.307	0.255	55.556	0.546	0.023	1.374	0.662	96.774	0.039	0.0	0.042	0.139	65.714	0.077	0.0	0.259	0.16	52.941	1.518	0.009	5.676	2.753	97.222	0.516	0.006	1.487	0.701	100.0	1.055	0.046	2.173	1.662	100.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp._HMT_308	species	308		0.324	0.02	0.0	0.04	0.039	70.588	0.057	0.0	0.157	0.074	85.714	0.02	0.0	0.03	0.076	52.778	0.215	0.0	0.608	0.248	83.871	0.005	0.0	0.015	0.014	51.429	0.004	0.0	0.005	0.017	26.471	0.204	0.0	0.466	0.564	80.556	0.131	0.0	0.473	0.208	91.176	0.324	0.004	0.97	0.374	93.939	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_309	species	309		0.137	0.026	0.0	0.014	0.127	29.412	0.014	0.0	0.02	0.045	50.0	0.019	0.0	0.034	0.068	11.111	0.024	0.0	0.07	0.046	54.839	0.0	0.0	0.001	0.001	20.0	0.0	0.0	0.0	0.001	8.824	0.137	0.0	0.122	0.408	52.778	0.047	0.0	0.114	0.126	52.941	0.089	0.0	0.308	0.167	63.636	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;oris	species	311		2.559	0.226	0.001	0.676	0.44	91.176	0.056	0.0	0.134	0.069	82.143	0.055	0.0	0.25	0.112	75.0	0.54	0.0	2.015	1.208	83.871	2.559	0.01	7.452	5.139	97.143	0.266	0.002	0.796	0.471	88.235	0.046	0.0	0.123	0.058	80.556	0.006	0.0	0.018	0.009	55.882	0.059	0.001	0.16	0.077	87.879	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;viridans	species	312		0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.003	5.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;jejuni	species	313		2.443	0.111	0.002	0.296	0.194	91.176	0.498	0.005	1.432	0.688	92.857	0.116	0.0	0.285	0.356	58.333	2.443	0.006	4.967	5.763	93.548	0.018	0.0	0.024	0.069	77.143	0.04	0.0	0.012	0.213	44.118	0.654	0.001	2.364	0.958	91.667	1.228	0.003	3.887	1.943	97.059	2.394	0.018	5.41	3.755	93.939	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_314	species	314		0.73	0.11	0.0	0.397	0.196	70.588	0.323	0.0	0.755	0.48	85.714	0.087	0.0	0.373	0.201	50.0	0.613	0.011	1.6	0.646	93.548	0.046	0.0	0.077	0.165	65.714	0.048	0.0	0.194	0.125	47.059	0.369	0.0	1.164	0.46	86.111	0.709	0.0	1.746	0.957	97.059	0.73	0.027	1.585	0.661	96.97	0.0	0.0	0.0	0.001	5.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_315	species	315		0.011	0.001	0.0	0.005	0.003	17.647	0.001	0.0	0.002	0.003	10.714	0.001	0.0	0.004	0.004	11.111	0.011	0.0	0.041	0.023	29.032	0.005	0.0	0.013	0.019	31.429	0.002	0.0	0.005	0.007	14.706	0.005	0.0	0.006	0.014	13.889	0.001	0.0	0.0	0.003	8.824	0.005	0.0	0.019	0.009	42.424	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_317	species	317		0.367	0.244	0.0	0.379	0.769	61.765	0.026	0.0	0.062	0.055	57.143	0.151	0.0	0.271	0.54	52.778	0.016	0.0	0.06	0.031	51.613	0.367	0.0	1.039	0.833	85.714	0.313	0.0	0.473	0.837	76.471	0.013	0.0	0.041	0.018	50.0	0.002	0.0	0.008	0.004	26.471	0.014	0.0	0.027	0.04	42.424	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella;sp._HMT_322	species	322		0.15	0.053	0.003	0.107	0.077	94.118	0.044	0.002	0.099	0.047	89.286	0.04	0.001	0.086	0.08	88.889	0.016	0.0	0.029	0.019	83.871	0.134	0.0	0.282	0.453	100.0	0.15	0.007	0.45	0.166	97.059	0.033	0.004	0.086	0.039	91.667	0.022	0.0	0.055	0.025	73.529	0.025	0.0	0.037	0.076	75.758	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_323	species	323		0.133	0.002	0.0	0.003	0.007	17.647	0.017	0.0	0.001	0.086	10.714	0.001	0.0	0.003	0.003	19.444	0.0	0.0	0.0	0.001	9.677	0.125	0.0	0.143	0.705	77.143	0.133	0.0	0.292	0.374	79.412	0.001	0.0	0.003	0.002	16.667	0.0	0.0	0.0	0.0	2.941	0.005	0.0	0.0	0.026	6.061	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_324	species	324		0.098	0.004	0.0	0.011	0.01	26.471	0.003	0.0	0.002	0.008	25.0	0.008	0.0	0.005	0.032	25.0	0.0	0.0	0.0	0.001	6.452	0.068	0.0	0.107	0.315	60.0	0.098	0.0	0.241	0.186	73.529	0.001	0.0	0.003	0.002	22.222	0.0	0.0	0.0	0.001	5.882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;granulosa	species	325	Reads equally close to HMT 325 and 337 were assigned half to each taxon.; 	2.216	0.085	0.0	0.157	0.182	85.294	0.439	0.0	0.151	2.116	78.571	0.037	0.0	0.066	0.094	69.444	0.023	0.0	0.052	0.044	67.742	1.321	0.001	4.378	3.21	97.143	2.216	0.04	7.229	2.821	97.059	0.033	0.0	0.064	0.052	75.0	0.034	0.0	0.064	0.116	58.824	0.158	0.0	0.118	0.665	66.667	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;endodontalis	species	326		0.739	0.025	0.0	0.078	0.053	64.706	0.026	0.0	0.055	0.063	50.0	0.032	0.0	0.068	0.089	52.778	0.002	0.0	0.003	0.005	29.032	0.46	0.0	1.365	1.023	77.143	0.739	0.0	2.254	1.284	79.412	0.009	0.0	0.026	0.017	38.889	0.001	0.0	0.002	0.002	17.647	0.005	0.0	0.004	0.016	21.212	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae_[G-1];bacterium_HMT_327	species	327		0.215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	5.556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.215	0.0	0.362	0.638	20.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri	species	329		0.983	0.093	0.0	0.163	0.226	70.588	0.041	0.0	0.075	0.089	75.0	0.134	0.0	0.137	0.413	86.111	0.086	0.0	0.133	0.309	61.29	0.49	0.0	1.515	1.136	91.429	0.983	0.0	2.539	1.404	88.235	0.104	0.0	0.301	0.173	77.778	0.088	0.0	0.076	0.445	55.882	0.134	0.0	0.105	0.407	72.727	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;auricularis	species	331		0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.066	5.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_332	species	332		0.246	0.038	0.0	0.018	0.195	26.471	0.001	0.0	0.0	0.004	7.143	0.0	0.0	0.001	0.002	16.667	0.0	0.0	0.0	0.001	6.452	0.027	0.0	0.005	0.162	28.571	0.246	0.0	0.106	1.221	26.471	0.003	0.0	0.016	0.008	16.667	0.001	0.0	0.003	0.003	11.765	0.002	0.0	0.009	0.005	21.212	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;massiliense	species	333		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_334	species	334		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_335	species	335		0.316	0.004	0.0	0.01	0.007	41.176	0.013	0.0	0.007	0.044	25.0	0.002	0.0	0.002	0.006	16.667	0.001	0.0	0.003	0.002	16.129	0.112	0.0	0.227	0.32	82.857	0.316	0.003	0.833	0.86	91.176	0.001	0.0	0.004	0.003	27.778	0.0	0.0	0.0	0.001	2.941	0.002	0.0	0.002	0.007	12.121	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_336	species	336	Reads equally close to HMT 336 and 864 were assigned half to each taxon.; 	0.395	0.01	0.0	0.034	0.021	55.882	0.016	0.0	0.037	0.039	39.286	0.035	0.0	0.013	0.206	38.889	0.001	0.0	0.004	0.001	19.355	0.099	0.0	0.25	0.179	88.571	0.395	0.0	1.237	0.589	82.353	0.004	0.0	0.013	0.006	36.111	0.0	0.0	0.0	0.001	8.824	0.003	0.0	0.004	0.01	21.212	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis	species	337	Reads equally close to HMT 325 and 337 were assigned half to each taxon.; 	1.354	0.062	0.0	0.224	0.091	79.412	0.125	0.0	0.331	0.29	78.571	0.082	0.0	0.368	0.134	75.0	0.044	0.0	0.152	0.077	58.065	0.973	0.003	2.566	2.636	97.143	1.354	0.077	4.263	1.88	100.0	0.097	0.0	0.259	0.167	77.778	0.099	0.0	0.5	0.191	67.647	0.075	0.0	0.264	0.131	75.758	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_338	species	338		0.094	0.003	0.0	0.008	0.008	29.412	0.004	0.0	0.006	0.014	21.429	0.014	0.0	0.003	0.055	22.222	0.0	0.0	0.0	0.001	6.452	0.094	0.0	0.263	0.241	57.143	0.023	0.0	0.064	0.04	52.941	0.0	0.0	0.0	0.002	11.111	0.0	0.0	0.0	0.001	5.882	0.001	0.0	0.002	0.003	12.121	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Janibacter;indicus	species	339		0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.03	0.001	0.0	0.002	0.002	15.0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium;paucivorans	species	340		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	5.0
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;coyleae	species	341		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;panipatense	species	342		0.06	0.0	0.0	0.0	0.001	2.941	0.0	0.0	0.0	0.002	3.571	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.335	3.226	0.001	0.0	0.0	0.009	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	12.121	0.0	0.0	0.0	0.0	0.0
Bacteria;Absconditabacteria_(SR1);Absconditabacteria_(SR1)_[C-1];Absconditabacteria_(SR1)_[O-1];Absconditabacteria_(SR1)_[F-1];Absconditabacteria_(SR1)_[G-1];bacterium_HMT_345	species	345		0.297	0.008	0.0	0.023	0.016	38.235	0.005	0.0	0.012	0.011	28.571	0.051	0.0	0.235	0.14	19.444	0.297	0.0	0.599	0.831	45.161	0.01	0.0	0.027	0.035	25.714	0.018	0.0	0.043	0.048	38.235	0.049	0.0	0.207	0.115	36.111	0.022	0.0	0.023	0.085	35.294	0.163	0.0	0.179	0.488	51.515	0.0	0.0	0.0	0.0	0.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_346	species	346		1.105	0.051	0.0	0.142	0.123	76.471	0.011	0.0	0.023	0.017	53.571	0.022	0.0	0.051	0.063	55.556	0.048	0.0	0.011	0.223	48.387	1.105	0.0	2.75	2.725	91.429	0.988	0.003	1.457	2.973	91.176	0.018	0.0	0.044	0.035	72.222	0.002	0.0	0.005	0.005	20.588	0.005	0.0	0.013	0.008	51.515	0.0	0.0	0.0	0.0	0.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_347	species	347		0.326	0.012	0.0	0.026	0.038	47.059	0.035	0.0	0.047	0.134	28.571	0.009	0.0	0.012	0.028	27.778	0.001	0.0	0.0	0.003	9.677	0.326	0.0	0.131	1.881	82.857	0.068	0.0	0.246	0.132	61.765	0.002	0.0	0.004	0.004	30.556	0.0	0.0	0.0	0.001	5.882	0.005	0.0	0.001	0.018	12.121	0.0	0.0	0.0	0.0	0.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_348	species	348		0.458	0.127	0.0	0.083	0.506	58.824	0.013	0.0	0.023	0.037	57.143	0.024	0.0	0.009	0.142	36.111	0.001	0.0	0.003	0.003	25.806	0.293	0.0	0.644	0.786	80.0	0.458	0.0	1.584	0.776	64.706	0.011	0.0	0.023	0.026	52.778	0.001	0.0	0.0	0.005	11.765	0.005	0.0	0.018	0.009	42.424	0.0	0.0	0.0	0.0	0.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_349	species	349		1.13	0.068	0.0	0.098	0.232	58.824	0.011	0.0	0.024	0.033	50.0	0.048	0.0	0.022	0.28	38.889	0.003	0.0	0.007	0.009	25.806	1.13	0.0	3.426	2.756	77.143	0.391	0.0	1.091	0.686	64.706	0.014	0.0	0.042	0.027	44.444	0.002	0.0	0.005	0.003	26.471	0.004	0.0	0.011	0.007	39.394	0.0	0.0	0.0	0.0	0.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-2];bacterium_HMT_350	species	350		0.135	0.004	0.0	0.01	0.015	17.647	0.0	0.0	0.0	0.002	7.143	0.005	0.0	0.0	0.02	11.111	0.001	0.0	0.002	0.002	12.903	0.135	0.0	0.298	0.475	40.0	0.057	0.0	0.144	0.184	29.412	0.002	0.0	0.004	0.008	13.889	0.0	0.0	0.0	0.0	2.941	0.001	0.0	0.0	0.002	9.091	0.0	0.0	0.0	0.0	0.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-3];bacterium_HMT_351	species	351		0.059	0.023	0.0	0.082	0.038	73.529	0.014	0.0	0.03	0.023	75.0	0.033	0.0	0.128	0.081	27.778	0.04	0.003	0.102	0.048	93.548	0.028	0.0	0.075	0.082	65.714	0.044	0.0	0.138	0.09	58.824	0.059	0.003	0.163	0.077	88.889	0.026	0.0	0.074	0.04	82.353	0.058	0.003	0.134	0.065	90.909	0.0	0.0	0.0	0.0	0.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_352	species	352		0.652	0.043	0.0	0.118	0.076	79.412	0.11	0.0	0.225	0.271	85.714	0.258	0.0	0.603	0.723	50.0	0.563	0.017	1.43	1.262	96.774	0.013	0.0	0.028	0.033	77.143	0.008	0.0	0.021	0.015	61.765	0.611	0.012	0.959	2.14	94.444	0.407	0.0	0.964	0.587	100.0	0.652	0.026	1.023	1.082	100.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Dermabacter;hominis	species	354		0.008	0.0	0.0	0.0	0.0	2.941	0.0	0.0	0.0	0.0	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.014	0.024	20.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-4];bacterium_HMT_355	species	355		0.055	0.001	0.0	0.001	0.005	11.765	0.0	0.0	0.0	0.002	7.143	0.001	0.0	0.003	0.007	16.667	0.055	0.0	0.0	0.227	9.677	0.009	0.0	0.012	0.033	31.429	0.006	0.0	0.009	0.017	32.353	0.001	0.0	0.0	0.002	8.333	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.038	6.061	0.0	0.0	0.0	0.0	0.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-2];Saccharibacteria_(TM7)_[G-5];bacterium_HMT_356	species	356		0.849	0.037	0.0	0.078	0.127	50.0	0.01	0.0	0.026	0.024	32.143	0.006	0.0	0.013	0.015	38.889	0.048	0.0	0.006	0.255	25.806	0.849	0.0	2.013	2.626	51.429	0.505	0.0	0.347	2.319	50.0	0.005	0.0	0.014	0.008	47.222	0.001	0.0	0.001	0.003	14.706	0.002	0.0	0.008	0.004	30.303	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Pyramidobacter;piscolens	species	357		0.004	0.001	0.0	0.003	0.004	14.706	0.0	0.0	0.0	0.002	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.226	0.0	0.0	0.0	0.001	5.714	0.004	0.0	0.0	0.022	2.941	0.0	0.0	0.0	0.001	8.333	0.0	0.0	0.0	0.001	2.941	0.001	0.0	0.0	0.003	6.061	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Fretibacterium;sp._HMT_358	species	358		0.036	0.003	0.0	0.004	0.011	14.706	0.001	0.0	0.002	0.002	14.286	0.0	0.0	0.0	0.001	5.556	0.0	0.0	0.0	0.002	6.452	0.036	0.0	0.007	0.228	25.714	0.003	0.0	0.002	0.01	14.706	0.001	0.0	0.0	0.002	11.111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	9.091	0.0	0.0	0.0	0.0	0.0
