Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev	NS-mean	NS-sd	NS-prev
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.209	0.0	0.001	2.857	0.001	0.005	14.286	0.001	0.003	6.977	0.209	1.166	6.452	0.001	0.01	6.757	0.0	0.002	2.941	0.0	0.0	2.0	0.0	0.0	2.5	0.0	0.001	15.152	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI]	family			1.851	0.403	0.719	88.571	0.542	0.788	92.857	0.177	0.279	90.698	1.851	2.636	100.0	1.711	2.755	91.892	0.333	0.496	94.118	1.641	2.399	98.0	0.891	1.499	92.5	1.183	2.245	100.0	0.001	0.003	5.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	family			7.849	3.402	5.238	100.0	7.849	9.567	100.0	3.412	8.084	97.674	3.711	4.852	96.774	3.159	5.658	98.649	2.196	3.804	100.0	5.852	8.179	98.0	6.976	9.985	100.0	4.541	6.647	96.97	0.755	1.581	65.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae	family			3.617	0.154	0.234	85.714	0.193	0.287	100.0	0.199	0.445	79.07	0.533	1.268	90.323	1.983	3.073	89.189	0.255	0.449	91.176	0.609	1.167	94.0	0.207	0.369	72.5	0.166	0.189	93.939	3.617	6.031	85.0
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae	family			59.399	0.212	0.297	100.0	0.561	1.136	96.429	0.121	0.334	76.744	0.627	3.43	67.742	3.307	6.091	98.649	1.623	1.817	100.0	0.036	0.047	94.0	0.009	0.034	45.0	0.075	0.283	81.818	59.399	30.26	100.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	family			57.877	57.877	18.518	100.0	49.65	19.114	100.0	57.875	23.753	100.0	38.171	19.966	100.0	20.643	16.127	100.0	31.038	14.345	100.0	43.518	22.526	100.0	42.144	22.202	100.0	39.968	16.26	100.0	0.681	1.841	85.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			1.27	0.343	0.788	85.714	0.134	0.242	85.714	0.081	0.281	67.442	0.141	0.668	67.742	0.847	2.247	82.432	1.27	3.765	88.235	0.055	0.141	82.0	0.081	0.341	45.0	0.016	0.025	72.727	0.0	0.002	5.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.162	0.001	0.003	20.0	0.002	0.007	21.429	0.001	0.004	16.279	0.023	0.128	9.677	0.162	0.577	37.838	0.161	0.372	58.824	0.002	0.005	20.0	0.0	0.0	2.5	0.001	0.002	21.212	0.0	0.0	0.0
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae	family			1.366	0.097	0.269	62.857	0.028	0.07	60.714	0.026	0.053	55.814	0.328	0.874	77.419	1.366	3.435	79.73	0.235	0.499	76.471	0.018	0.021	70.0	0.01	0.025	47.5	0.057	0.126	87.879	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.066	0.0	0.001	17.143	0.002	0.004	17.857	0.001	0.003	9.302	0.066	0.367	12.903	0.001	0.003	6.757	0.0	0.0	0.0	0.001	0.002	14.0	0.0	0.0	0.0	0.0	0.001	9.091	0.001	0.004	10.0
