Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev	NS-mean	NS-sd	NS-prev
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.118	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.118	0.654	6.452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineae [G-1]	genus			0.013	0.001	0.003	11.429	0.0	0.002	7.143	0.0	0.002	2.326	0.0	0.001	16.129	0.013	0.065	10.811	0.001	0.002	14.706	0.0	0.002	6.0	0.0	0.001	2.5	0.0	0.001	3.03	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	genus			0.96	0.772	2.5	91.429	0.586	1.697	100.0	0.279	0.751	79.07	0.123	0.282	80.645	0.928	1.655	86.486	0.96	1.912	94.118	0.227	0.506	88.0	0.052	0.129	67.5	0.146	0.595	78.788	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.703	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Peptostreptococcaceae [XI][G-5]	genus			0.079	0.042	0.14	17.143	0.015	0.05	17.857	0.003	0.015	6.977	0.015	0.043	19.355	0.079	0.34	13.514	0.001	0.002	11.765	0.006	0.023	16.0	0.001	0.002	7.5	0.005	0.017	21.212	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Peptostreptococcaceae [XI][G-3]	genus			0.001	0.0	0.001	5.714	0.0	0.0	0.0	0.0	0.001	2.326	0.0	0.001	6.452	0.001	0.007	4.054	0.0	0.0	0.0	0.0	0.001	4.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnospiraceae [G-8]	genus			0.029	0.016	0.066	20.0	0.003	0.009	25.0	0.002	0.008	6.977	0.005	0.016	19.355	0.029	0.088	29.73	0.002	0.012	14.706	0.004	0.008	28.0	0.0	0.001	5.0	0.006	0.016	30.303	0.0	0.0	0.0
Bacteria;Firmicutes;Mollicutes;Mollicutes [O-1];Mollicutes [F-1];Mollicutes [G-1]	genus			0.002	0.002	0.01	2.857	0.0	0.0	0.0	0.0	0.002	2.326	0.0	0.003	3.226	0.0	0.001	1.351	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.002	3.03	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidetes [C-1];Bacteroidetes [O-1];Bacteroidetes [F-1];Bacteroidetes [G-5]	genus			0.093	0.007	0.028	25.714	0.002	0.009	10.714	0.002	0.006	13.953	0.019	0.065	29.032	0.093	0.424	27.027	0.006	0.024	20.588	0.001	0.004	18.0	0.0	0.001	2.5	0.004	0.009	21.212	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidetes [C-2];Bacteroidetes [O-2];Bacteroidetes [F-2];Bacteroidetes [G-6]	genus			0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.009	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			2.553	1.064	0.726	100.0	1.74	0.843	100.0	2.552	3.738	100.0	2.145	3.721	100.0	0.835	0.924	100.0	1.078	1.458	100.0	2.553	2.015	100.0	1.92	1.602	100.0	1.408	1.399	100.0	0.018	0.047	20.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae [XV];Pseudoramibacter	genus			0.004	0.0	0.001	5.714	0.0	0.001	7.143	0.0	0.001	2.326	0.0	0.001	6.452	0.004	0.024	5.405	0.0	0.0	0.0	0.0	0.001	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Filifactor	genus			0.206	0.032	0.105	28.571	0.011	0.036	32.143	0.003	0.013	11.628	0.206	0.691	38.71	0.103	0.397	27.027	0.002	0.007	20.588	0.004	0.011	26.0	0.001	0.002	10.0	0.016	0.042	30.303	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium	genus			0.103	0.003	0.005	51.429	0.017	0.047	46.429	0.002	0.006	32.558	0.003	0.016	12.903	0.076	0.199	71.622	0.103	0.139	88.235	0.003	0.005	42.0	0.0	0.001	5.0	0.004	0.024	15.152	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Ochrobactrum	genus			0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	2.326	0.0	0.0	3.226	0.0	0.0	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Peptostreptococcaceae [XI][G-9]	genus			0.517	0.055	0.127	60.0	0.028	0.064	50.0	0.012	0.03	41.86	0.229	0.614	67.742	0.517	1.13	72.973	0.088	0.203	64.706	0.022	0.053	56.0	0.002	0.004	25.0	0.049	0.139	60.606	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia	genus			0.026	0.0	0.0	0.0	0.0	0.001	3.571	0.0	0.001	2.326	0.026	0.144	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	genus			0.003	0.0	0.0	2.857	0.0	0.002	3.571	0.0	0.001	2.326	0.0	0.0	0.0	0.0	0.001	1.351	0.001	0.003	8.824	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.012	5.0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Eggerthia	genus			0.005	0.003	0.011	14.286	0.001	0.003	17.857	0.001	0.003	6.977	0.005	0.014	16.129	0.0	0.0	1.351	0.002	0.009	5.882	0.002	0.007	14.0	0.0	0.0	2.5	0.001	0.004	12.121	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	5.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	genus			0.035	0.0	0.002	8.571	0.0	0.001	7.143	0.0	0.001	4.651	0.035	0.192	6.452	0.001	0.004	6.757	0.0	0.002	2.941	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.001	3.03	0.0	0.0	0.0
Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Cryptobacterium	genus			0.009	0.001	0.003	20.0	0.0	0.001	7.143	0.0	0.0	0.0	0.0	0.0	3.226	0.009	0.026	22.973	0.003	0.01	20.588	0.001	0.003	24.0	0.0	0.0	2.5	0.0	0.001	12.121	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	genus			0.0	0.0	0.0	0.0	0.0	0.001	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	genus			0.001	0.0	0.001	14.286	0.0	0.001	14.286	0.001	0.002	6.977	0.0	0.0	3.226	0.001	0.003	8.108	0.0	0.001	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	12.121	0.0	0.0	0.0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Slackia	genus			0.009	0.001	0.003	11.429	0.0	0.001	7.143	0.001	0.004	20.93	0.001	0.003	25.806	0.009	0.035	22.973	0.001	0.003	8.824	0.002	0.004	28.0	0.001	0.002	15.0	0.001	0.002	24.242	0.0	0.0	0.0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Bulleidia	genus			0.038	0.004	0.01	22.857	0.001	0.002	21.429	0.001	0.004	9.302	0.038	0.082	25.806	0.005	0.018	18.919	0.002	0.007	26.471	0.003	0.01	24.0	0.001	0.002	10.0	0.002	0.007	18.182	0.0	0.0	0.0
Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma	genus			0.12	0.012	0.03	40.0	0.008	0.019	35.714	0.003	0.007	32.558	0.12	0.4	58.065	0.018	0.047	31.081	0.008	0.015	41.176	0.007	0.017	54.0	0.002	0.006	15.0	0.013	0.028	39.394	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea	genus			0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.5	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Defluvibacter	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae;Finegoldia	genus			0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.231	50.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Peptostreptococcaceae [XI][G-6]	genus			0.117	0.025	0.111	20.0	0.005	0.017	21.429	0.001	0.002	13.953	0.117	0.411	29.032	0.033	0.201	18.919	0.005	0.031	2.941	0.002	0.006	26.0	0.001	0.002	7.5	0.008	0.026	24.242	0.0	0.0	0.0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.584	0.04	0.047	80.0	0.128	0.167	89.286	0.317	0.904	62.791	0.26	0.399	96.774	0.12	0.297	66.216	0.082	0.273	70.588	0.584	0.782	98.0	0.524	0.808	95.0	0.355	0.607	100.0	0.002	0.007	5.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella	genus			1.564	0.001	0.004	17.143	1.564	4.615	25.0	0.006	0.025	16.279	0.001	0.003	22.581	0.0	0.002	1.351	0.0	0.002	2.941	0.001	0.002	10.0	0.001	0.007	7.5	0.003	0.006	21.212	0.0	0.0	0.0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium	genus			0.0	0.0	0.003	2.857	0.0	0.0	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	1.351	0.0	0.0	0.0	0.0	0.001	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	genus			0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Centipeda	genus			0.006	0.002	0.007	14.286	0.0	0.001	3.571	0.0	0.001	6.977	0.001	0.002	12.903	0.006	0.016	29.73	0.006	0.022	20.588	0.0	0.001	4.0	0.0	0.0	0.0	0.003	0.009	24.242	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythromicrobium	genus			0.0	0.0	0.0	2.857	0.0	0.0	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351	0.0	0.001	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistetes;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella	genus			0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.011	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.006	3.03	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae;Peptoniphilaceae [G-2]	genus			0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	genus			0.005	0.0	0.003	2.857	0.0	0.0	3.571	0.0	0.002	4.651	0.0	0.001	3.226	0.0	0.001	5.405	0.0	0.0	2.941	0.001	0.004	8.0	0.0	0.0	2.5	0.0	0.002	6.061	0.005	0.017	15.0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.941	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	genus			0.326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.239	6.452	0.0	0.0	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.326	0.728	55.0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	genus			0.0	0.0	0.0	0.0	0.0	0.001	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Yersinia	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Mobiluncus	genus			0.002	0.0	0.001	2.857	0.001	0.003	10.714	0.0	0.0	0.0	0.001	0.003	16.129	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.004	10.0	0.0	0.0	0.0	0.002	0.007	9.091	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Turicella	genus			0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.326	0.0	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.002	0.007	10.0
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus			0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.014	12.903	0.0	0.001	1.351	0.0	0.001	2.941	0.0	0.0	2.0	0.0	0.0	0.0	0.002	0.007	9.091	0.001	0.004	10.0
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Dermacoccaceae;Kytococcus	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	genus			0.023	0.0	0.0	5.714	0.0	0.001	7.143	0.0	0.001	4.651	0.023	0.128	6.452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.061	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-6]	genus			0.064	0.016	0.051	45.714	0.037	0.164	53.571	0.007	0.012	46.512	0.044	0.093	61.29	0.007	0.027	24.324	0.037	0.083	41.176	0.024	0.049	66.0	0.022	0.044	52.5	0.064	0.149	72.727	0.0	0.0	0.0
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-1];Gracilibacteria (GN02) [O-1];Gracilibacteria (GN02) [F-1];Gracilibacteria (GN02) [G-1]	genus			0.105	0.004	0.007	28.571	0.007	0.021	25.0	0.001	0.005	18.605	0.0	0.002	9.677	0.105	0.62	37.838	0.084	0.174	58.824	0.003	0.011	26.0	0.0	0.0	5.0	0.001	0.002	24.242	0.0	0.0	0.0
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-2];Gracilibacteria (GN02) [O-2];Gracilibacteria (GN02) [F-2];Gracilibacteria (GN02) [G-2]	genus			0.002	0.0	0.0	0.0	0.0	0.001	3.571	0.0	0.003	2.326	0.0	0.0	3.226	0.0	0.0	0.0	0.002	0.011	8.824	0.0	0.001	6.0	0.0	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia	genus			0.162	0.001	0.002	17.143	0.001	0.003	14.286	0.001	0.002	9.302	0.0	0.001	3.226	0.162	0.576	32.432	0.16	0.372	58.824	0.002	0.005	20.0	0.0	0.0	2.5	0.001	0.002	12.121	0.0	0.0	0.0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae [G-1]	genus			0.033	0.001	0.004	17.143	0.0	0.001	3.571	0.0	0.001	6.977	0.016	0.082	19.355	0.033	0.178	20.27	0.002	0.005	20.588	0.001	0.004	18.0	0.0	0.001	5.0	0.002	0.007	15.152	0.0	0.0	0.0
Bacteria;Firmicutes;Mollicutes;Mollicutes [O-2];Mollicutes [F-2];Mollicutes [G-2]	genus			0.005	0.0	0.002	5.714	0.0	0.0	0.0	0.0	0.001	2.326	0.005	0.025	12.903	0.0	0.003	1.351	0.0	0.002	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidetes [C-1];Bacteroidetes [O-1];Bacteroidetes [F-1];Bacteroidetes [G-7]	genus			0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.004	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	3.03	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Propionibacteriaceae [G-1]	genus			0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.045	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae;Peptoniphilaceae [G-3]	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-8]	genus			0.071	0.0	0.002	14.286	0.001	0.002	14.286	0.01	0.061	11.628	0.0	0.0	0.0	0.027	0.119	31.081	0.071	0.229	38.235	0.001	0.003	10.0	0.0	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;echinoides	species	3		0.141	0.0	0.0	0.0	0.0	0.0	7.143	0.0	0.0	0.0	0.141	0.782	3.226	0.0	0.001	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT 004	species	4		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.651	0.0	0.0	0.0	0.0	0.0	1.351	0.0	0.002	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Porphyrobacter;tepidarius	species	7		0.009	0.0	0.0	0.0	0.001	0.004	7.143	0.001	0.003	4.651	0.009	0.048	6.452	0.0	0.001	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	6.061	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Mogibacterium;vescum	species	8	Reads equally close to HMT 008 and 593 were assigned half to each taxon.; 	0.033	0.003	0.006	42.857	0.007	0.01	64.286	0.012	0.029	41.86	0.018	0.028	83.871	0.004	0.01	41.892	0.0	0.001	20.588	0.015	0.022	80.0	0.015	0.027	87.5	0.033	0.064	90.909	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;sp. HMT 011	species	11		0.002	0.0	0.001	2.857	0.0	0.0	0.0	0.0	0.001	2.326	0.0	0.0	0.0	0.002	0.006	9.459	0.0	0.001	5.882	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp. HMT 012	species	12		0.022	0.001	0.006	8.571	0.007	0.033	21.429	0.001	0.003	4.651	0.0	0.001	3.226	0.022	0.167	21.622	0.002	0.009	17.647	0.001	0.005	10.0	0.0	0.0	2.5	0.0	0.001	6.061	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;bacilliformis	species	13		0.256	0.029	0.103	40.0	0.004	0.017	14.286	0.004	0.016	23.256	0.0	0.001	9.677	0.256	1.47	24.324	0.084	0.361	38.235	0.002	0.006	24.0	0.002	0.005	20.0	0.002	0.006	21.212	0.0	0.0	0.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis	species	14		0.431	0.092	0.211	54.286	0.026	0.049	39.286	0.026	0.085	37.209	0.045	0.223	38.71	0.431	2.834	36.486	0.067	0.164	47.059	0.033	0.117	38.0	0.021	0.085	32.5	0.005	0.01	42.424	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae;Anaerococcus;octavius	species	17		0.882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.882	1.182	65.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sp. HMT 018	species	18		0.046	0.001	0.006	8.571	0.002	0.009	17.857	0.001	0.004	6.977	0.0	0.001	6.452	0.046	0.305	17.568	0.008	0.033	17.647	0.002	0.01	14.0	0.001	0.004	12.5	0.001	0.004	6.061	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;accolens	species	19		30.408	0.0	0.001	5.714	0.0	0.001	7.143	0.0	0.0	0.0	0.327	1.82	6.452	0.001	0.006	5.405	0.0	0.0	0.0	0.0	0.001	4.0	0.0	0.003	5.0	0.001	0.003	9.091	30.408	29.142	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sp. HMT 020	species	20		0.004	0.0	0.001	11.429	0.004	0.011	21.429	0.0	0.001	2.326	0.0	0.001	3.226	0.001	0.006	17.568	0.0	0.001	8.824	0.001	0.004	18.0	0.0	0.001	7.5	0.0	0.001	6.061	0.0	0.0	0.0
