Taxonomy	Notes	HMT	Rank	type	source	Max	max any oral site	Abundance category	BM-mean	BM-sd	BM-prev	KG-mean	KG-sd	KG-prev	HP-mean	HP-sd	HP-prev	TD-mean	TD-sd	TD-prev	PT-mean	PT-sd	PT-prev	TH-mean	TH-sd	TH-prev	SV-mean	SV-sd	SV-prev	SupP-mean	SupP-sd	SupP-prev	SubP-mean	SubP-sd	SubP-prev
HOMD taxonomy									mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT 171		171	Species			0.792	0.792426575	2	0.024	0.04	84.4	0.018	0.034	82.4	0.031	0.052	69.2	0	0.002	9.4	0.002	0.003	31	0.004	0.012	38.7	0.005	0.009	59.2	0.7	1.793	100	0.792	1.64	95.8
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT 175		175	Species			0.319	0.319192835	2	0.059	0.093	90.6	0.053	0.1	91.2	0.027	0.041	69.2	0.001	0.002	21.9	0.002	0.003	31	0.003	0.006	48.4	0.007	0.015	53.1	0.319	0.63	100	0.299	0.629	83.3
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT 414		414	Species			0.022	0.022076011	3	0	0.001	9.4	0	0.002	5.9	0	0	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0.022	0.097	22.9	0.003	0.017	9.7
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT 448		448	Species			0.871	0.870914111	2	0.021	0.053	46.9	0.081	0.33	44.1	0.003	0.008	23.1	0	0	0	0.001	0.001	17.2	0.003	0.011	12.9	0.002	0.005	28.6	0.871	2.379	65.7	0.638	2.355	44.4
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT 525		525	Species			0.045	0.045492957	3	0	0.001	15.6	0.002	0.005	29.4	0.001	0.003	19.2	0	0	0	0	0.001	3.4	0	0	3.2	0	0.001	4.1	0.007	0.014	48.6	0.045	0.191	56.9
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT 896		896	Species			0.009	0.009412422	4	0.001	0.002	12.5	0.002	0.01	5.9	0	0.001	7.7	0	0	0	0	0.001	6.9	0	0	3.2	0	0	4.1	0.009	0.021	51.4	0.007	0.021	29.2
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT 897		897	Species			0.012	0.011530065	3	0.001	0.002	6.3	0.001	0.002	11.8	0	0	3.8	0	0	0	0	0.001	10.3	0	0	0	0	0	0	0.005	0.009	42.9	0.012	0.037	26.4
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;timonensis		179	Species			0.004	0.004001433	4	0	0	3.1	0	0.002	5.9	0	0.001	3.8	0	0	0	0	0	0	0	0	3.2	0	0.001	4.1	0.004	0.01	22.9	0.003	0.016	13.9
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;viscosus		688	Species			0.139	1.580022168	1	0.018	0.03	81.3	0.009	0.02	67.6	0.018	0.028	69.2	0	0.001	3.1	0.001	0.002	27.6	0.002	0.006	25.8	0.003	0.006	40.8	0.139	0.238	97.1	0.13	0.414	86.1
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Arcanobacterium;haemolyticum		811	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Mobiluncus;mulieris		830	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Peptidiphaga;gingivicola		848	Species			0.579	0.578972923	2	0.006	0.023	37.5	0.01	0.027	35.3	0.051	0.252	23.1	0	0	0	0	0.001	3.4	0	0.001	12.9	0.001	0.003	28.6	0.579	2.268	57.1	0.173	0.55	44.4
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Peptidiphaga;sp. HMT 183		183	Species			0.323	0.518481747	2	0.008	0.021	46.9	0.007	0.021	32.4	0.006	0.018	34.6	0	0.001	6.3	0	0.001	13.8	0.002	0.004	19.4	0.002	0.006	26.5	0.323	0.473	82.9	0.271	0.679	72.2
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;cardiffensis		850	Species			0.008	0.008145181	4	0.001	0.005	9.4	0	0.001	2.9	0.002	0.007	15.4	0	0	0	0.008	0.039	13.8	0	0.001	12.9	0.001	0.004	16.3	0	0.002	5.7	0.003	0.012	8.3
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;georgiae		617	Species			0.01	0.010407098	3	0.001	0.001	15.6	0.002	0.005	20.6	0.007	0.026	15.4	0	0.001	3.1	0	0.001	6.9	0	0.001	9.7	0	0.001	10.2	0.008	0.013	45.7	0.01	0.023	47.2
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;lingnae [Not Validly Published]		181	Species			0.632	1.448475663	1	0.023	0.029	90.6	0.006	0.011	55.9	0.117	0.116	92.3	0.632	0.986	100	0.307	0.529	100	0.214	0.209	96.8	0.498	0.638	98	0.005	0.022	31.4	0.002	0.006	23.6
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;meyeri		671	Species			0.029	0.028716514	3	0.002	0.004	40.6	0.005	0.019	23.5	0.006	0.012	50	0.029	0.039	71.9	0.023	0.047	72.4	0.018	0.024	67.7	0.022	0.031	69.4	0.006	0.012	54.3	0.024	0.061	44.4
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica		701	Species			1.007	1.007333629	1	0.108	0.139	84.4	0.031	0.068	73.5	0.337	0.365	92.3	1.007	0.957	100	0.582	0.634	100	0.467	0.459	96.8	0.553	0.597	98	0.041	0.067	80	0.013	0.02	68.1
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT 172		172	Species			0.53	5.111540666	1	0.017	0.034	62.5	0.006	0.019	44.1	0.152	0.288	84.6	0.53	0.736	100	0.412	0.868	93.1	0.355	0.551	90.3	0.335	0.961	93.9	0.008	0.041	31.4	0.002	0.007	23.6
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT 178		178	Species			0.041	0.040509166	3	0.002	0.007	21.9	0.002	0.005	38.2	0.002	0.005	19.2	0	0	3.1	0	0	3.4	0.001	0.003	6.5	0.001	0.001	22.4	0.041	0.064	77.1	0.014	0.04	54.2
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT 180		180	Species			1.213	1.21349573	1	0.136	0.245	100	0.04	0.093	82.4	0.345	0.454	100	1.213	1.304	100	0.686	0.87	100	0.81	1.357	100	0.654	0.914	98	0.121	0.167	94.3	0.158	0.553	90.3
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT 877		877	Species			0.01	0.010487663	3	0.001	0.004	6.3	0.001	0.002	14.7	0.001	0.003	15.4	0	0.001	3.1	0	0	3.4	0	0	3.2	0.001	0.002	12.2	0.007	0.02	22.9	0.01	0.046	26.4
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Dermacoccaceae;Kytococcus;sedentarius		855	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Dietziaceae;Dietzia;cinnamea		368	Species	Non-Oral Ref	environmental		0	4																											
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae;Kocuria;palustris		84	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae;Kocuria;rhizophila		197	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae;Kocuria;sp. HMT 189		189	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae;Micrococcus;luteus		87	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;aeria		188	Species			1.808	9.777368782	1	0.839	1.631	96.9	0.205	0.663	85.3	0.17	0.211	88.5	0.009	0.01	68.8	0.025	0.048	65.5	0.022	0.026	87.1	0.135	0.254	93.9	1.808	4.984	97.1	1.62	3.34	94.4
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;dentocariosa		587	Species			2.337	9.777368782	1	1.095	1.904	100	0.103	0.197	94.1	0.281	0.454	100	0.007	0.01	75	0.022	0.042	72.4	0.069	0.197	90.3	0.119	0.255	98	1.002	1.397	97.1	2.337	4.586	93.1
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;mucilaginosa		681	Species			3.498	4.894695632	1	2.307	4.785	100	0.511	1.545	88.2	3.498	5.787	100	1.931	2.253	100	0.845	1.344	100	0.955	0.917	100	2.736	3.093	100	0.079	0.219	91.4	0.124	0.526	83.3
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia;omnicolens		198	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacteriaceae [G-2];bacterium HMT 407		407	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;animalis		895	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;breve		889	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;dentium		588	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;longum		862	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;scardovii		891	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;subtile		890	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis		829	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Parascardovia;denticolens		586	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Scardovia;inopinata		642	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Scardovia;wiggsiae		195	Species			0.006	0.006287156	4	0	0.001	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	3.2	0	0.001	8.2	0.001	0.004	17.1	0.006	0.024	13.9
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;accolens		19	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;afermentans		30	Species	eHOMD expansion for skin and nasal taxa			0	4																											
