Taxonomy	Notes	HMT	Rank	type	source	Max	max any oral site	Abundance category	BM-mean	BM-sd	BM-prev	KG-mean	KG-sd	KG-prev	HP-mean	HP-sd	HP-prev	TD-mean	TD-sd	TD-prev	PT-mean	PT-sd	PT-prev	TH-mean	TH-sd	TH-prev	SV-mean	SV-sd	SV-prev	SupP-mean	SupP-sd	SupP-prev	SubP-mean	SubP-sd	SubP-prev
HOMD taxonomy									mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 317		317	Species			0.331	0.331415978	2	0.261	0.792	56.3	0.178	0.597	47.1	0.026	0.057	53.8	0.002	0.004	25	0.016	0.031	51.7	0.014	0.041	38.7	0.013	0.018	55.1	0.179	0.455	74.3	0.331	0.798	68.1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 376		376	Species			0.005	0.005340882	4	0.005	0.02	15.6	0	0.001	8.8	0.001	0.003	11.5	0	0.001	3.1	0.004	0.014	13.8	0	0	3.2	0.001	0.004	12.2	0	0.002	5.7	0.002	0.009	9.7
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 396		396	Species			0.089	0.088656851	3	0.009	0.016	43.8	0.002	0.004	23.5	0.02	0.032	61.5	0.066	0.099	96.9	0.036	0.039	82.8	0.033	0.035	93.5	0.089	0.164	81.6	0.001	0.003	22.9	0.003	0.012	20.8
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 443		443	Species			0.012	0.011691446	3	0.001	0.005	15.6	0	0.003	2.9	0.001	0.003	19.2	0.001	0.002	12.5	0.004	0.019	13.8	0.012	0.045	16.1	0	0.001	8.2	0	0	0	0.001	0.004	5.6
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 472		472	Species			0.318	0.327777757	2	0.034	0.091	65.6	0.139	0.681	58.8	0.018	0.048	65.4	0.001	0.002	25	0.003	0.006	31	0.004	0.006	41.9	0.011	0.024	59.2	0.226	0.815	80	0.318	0.919	68.1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 475		475	Species			0.016	0.015715807	3	0.003	0.009	21.9	0.001	0.004	17.6	0.002	0.006	11.5	0.001	0.005	9.4	0.015	0.059	41.4	0.003	0.007	25.8	0.003	0.005	32.7	0.016	0.065	40	0.013	0.046	27.8
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 515		515	Species			0.003	0.003241578	4	0	0.002	6.3	0	0.001	5.9	0	0.001	3.8	0	0	0	0.001	0.004	10.3	0	0	0	0	0	4.1	0	0.001	5.7	0.003	0.018	5.6
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 526		526	Species			0.07	0.070190795	3	0.002	0.007	25	0	0.001	5.9	0.002	0.008	7.7	0	0.001	6.3	0.07	0.26	17.2	0.002	0.007	9.7	0.001	0.003	12.2	0	0.001	5.7	0.008	0.057	6.9
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 820		820	Species			0.002	0.002413745	4	0	0.002	6.3	0	0	0	0	0.001	3.8	0	0	0	0	0	3.4	0	0	0	0	0.001	2	0	0	2.9	0.002	0.018	4.2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT 942		942	Species			0.036	0.116241882	2	0	0	3.1	0.001	0.005	11.8	0	0	0	0	0	0	0.036	0.187	20.7	0	0.002	6.5	0	0.001	4.1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;veroralis		572	Species			0.81	2.658731855	1	0.053	0.094	75	0.009	0.028	47.1	0.063	0.074	80.8	0.207	0.218	96.9	0.241	0.487	96.6	0.187	0.198	96.8	0.142	0.177	83.7	0.077	0.215	60	0.81	2.765	61.1
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea;sp. HMT 320		320	Species				0	4																											
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter;aerophilus		261	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 206		206	Species	eHOMD expansion for skin and nasal taxa			0.28868558	2																											
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 319		319	Species				0	4																											
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 322		322	Species			0.152	1.612368637	1	0.053	0.08	93.8	0.044	0.089	88.2	0.046	0.049	92.3	0.024	0.028	75	0.016	0.02	86.2	0.027	0.079	77.4	0.033	0.04	91.8	0.152	0.163	100	0.137	0.459	86.1
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 422		422	Species				0	4																											
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 900		900	Species			0.132	0.131577427	2	0.004	0.009	37.5	0.003	0.008	32.4	0.012	0.053	26.9	0.007	0.037	3.1	0.003	0.01	24.1	0.011	0.034	29	0.002	0.005	24.5	0.132	0.396	68.6	0.049	0.179	47.2
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 907		907	Species				0	4																											
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp. HMT 931		931	Species			0.009	0.103305201	2	0.003	0.011	21.9	0.005	0.024	20.6	0	0.001	3.8	0	0.001	3.1	0.009	0.022	34.5	0.005	0.01	35.5	0.001	0.005	10.2	0	0	0	0	0.001	5.6
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis		337	Species			1.256	1.255807293	1	0.064	0.092	78.1	0.061	0.119	70.6	0.126	0.292	76.9	0.122	0.204	68.8	0.047	0.079	62.1	0.078	0.132	74.2	0.097	0.166	81.6	1.256	1.826	100	0.955	2.642	93.1
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;granulosa		325	Species			2.112	2.111947102	1	0.076	0.18	78.1	0.038	0.103	64.7	0.466	2.194	73.1	0.041	0.128	59.4	0.024	0.045	72.4	0.16	0.686	64.5	0.032	0.049	79.6	2.112	2.741	97.1	1.31	3.193	87.5
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;haemolytica		627	Species			0.04	0.03980285	3	0.002	0.006	12.5	0.012	0.064	11.8	0.005	0.022	7.7	0	0	3.1	0	0.001	3.4	0	0.001	3.2	0.001	0.006	4.1	0.04	0.191	17.1	0.031	0.21	11.1
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri		329	Species			0.962	2.440190569	1	0.088	0.234	68.8	0.095	0.356	85.3	0.042	0.092	76.9	0.108	0.497	53.1	0.082	0.318	58.6	0.126	0.414	71	0.106	0.174	83.7	0.962	1.39	88.6	0.499	1.152	77.8
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;ochracea		700	Species			0.004	0.004438386	4	0	0.001	3.1	0.001	0.007	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.004	0.013	31.4	0.004	0.017	13.9
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 323		323	Species			0.126	0.125677248	2	0.002	0.008	18.8	0.001	0.004	14.7	0.017	0.086	7.7	0	0.001	3.1	0	0.001	10.3	0.005	0.027	3.2	0.001	0.002	12.2	0.125	0.369	77.1	0.126	0.714	61.1
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 324		324	Species			0.081	0.080604607	3	0.004	0.01	25	0.009	0.036	23.5	0.001	0.006	23.1	0	0.001	6.3	0	0.001	6.9	0	0	0	0.001	0.002	26.5	0.081	0.179	68.6	0.067	0.319	47.2
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 326		326	Species			0.723	0.723262381	2	0.027	0.055	62.5	0.04	0.099	52.9	0.026	0.065	50	0.001	0.002	15.6	0.002	0.005	31	0.005	0.017	22.6	0.009	0.017	51	0.723	1.269	80	0.472	1.035	63.9
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 332		332	Species			0.239	0.238686088	2	0.004	0.009	21.9	0	0.001	14.7	0.001	0.004	7.7	0.001	0.003	9.4	0	0.001	6.9	0.002	0.005	19.4	0.003	0.009	18.4	0.239	1.206	25.7	0.027	0.165	13.9
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 334		334	Species				0	4																											
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 335		335	Species			0.304	0.304340669	2	0.003	0.007	37.5	0.002	0.006	17.6	0.013	0.044	26.9	0	0.001	3.1	0.001	0.002	17.2	0.002	0.007	12.9	0.001	0.003	24.5	0.304	0.835	91.4	0.11	0.31	70.8
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 336		336	Species			0.335	0.538790685	2	0.009	0.019	43.8	0.041	0.217	32.4	0.014	0.039	38.5	0	0.001	6.3	0.001	0.001	17.2	0.003	0.011	22.6	0.003	0.006	38.8	0.335	0.519	82.9	0.088	0.162	76.4
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 338		338	Species			0.096	0.095831361	3	0.003	0.008	28.1	0.017	0.061	23.5	0.004	0.014	23.1	0	0	3.1	0	0.001	6.9	0.001	0.003	12.9	0	0.002	8.2	0.023	0.04	51.4	0.096	0.244	45.8
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 380		380	Species			0.16	0.160089799	2	0.002	0.006	31.3	0.019	0.101	23.5	0.045	0.227	15.4	0	0	0	0	0	3.4	0.01	0.052	16.1	0.001	0.003	16.3	0.16	0.277	91.4	0.111	0.279	68.1
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 412		412	Species			0.165	0.164674006	2	0.003	0.007	34.4	0.004	0.011	20.6	0.003	0.006	19.2	0	0	0	0	0	3.4	0	0.001	12.9	0.001	0.002	20.4	0.165	0.294	88.6	0.081	0.239	66.7
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 863		863	Species			0.018	0.018495011	3	0	0.001	6.3	0	0	0	0	0	0	0	0	0	0	0.001	6.9	0	0	0	0	0	0	0.018	0.088	17.1	0.004	0.029	6.9
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 864		864	Species			0.074	0.073954023	3	0.002	0.005	31.3	0.044	0.233	23.5	0.002	0.004	34.6	0	0.001	6.3	0	0	0	0	0.001	9.7	0.001	0.003	22.4	0.074	0.114	74.3	0.064	0.172	69.4
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 878		878	Species			0.015	0.015497522	3	0	0.002	9.4	0	0.001	8.8	0.008	0.035	11.5	0	0	0	0	0.002	6.9	0.002	0.009	6.5	0	0.001	6.1	0.015	0.031	60	0.009	0.032	27.8
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 901		901	Species				0	4																											
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 902		902	Species			0.048	0.048288947	3	0	0.001	12.5	0	0.001	2.9	0	0	0	0	0.001	3.1	0	0	3.4	0	0	0	0	0.001	4.1	0.048	0.161	40	0.014	0.084	25
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT 903		903	Species			0.009	0.009499095	4	0	0	0	0	0.001	2.9	0	0.001	3.8	0	0	0	0	0	0	0	0	3.2	0	0	0	0.009	0.025	42.9	0.002	0.004	25
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena		775	Species			0.961	2.408350983	1	0.042	0.067	68.8	0.075	0.174	70.6	0.157	0.475	65.4	0.296	1.22	53.1	0.046	0.132	48.3	0.096	0.271	64.5	0.147	0.495	61.2	0.961	2.057	94.3	0.32	0.865	72.2
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;sp. HMT 318		318	Species				0	4																											
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;sp. HMT 321		321	Species				0	4																											
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;sp. HMT 933		933	Species				0	4																											
Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydophila;pneumoniae		733	Species				0	4																											
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium;limicola		984	Species	Non-Oral Ref			0	4																											
Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium;album		982	Species	Non-Oral Ref			0	4																											
Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;Melioribacter;roseus		983	Species	Non-Oral Ref			0	4																											
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;thermophila		995	Species	Non-Oral Ref			0	4																											
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineae [G-1];bacterium HMT 439		439	Species			0.013	0.013073316	3	0.001	0.003	12.5	0	0.003	2.9	0	0.002	7.7	0	0.001	3.1	0	0.001	17.2	0	0.001	3.2	0	0.002	6.1	0.001	0.002	14.3	0.013	0.066	11.1
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;aerophila		994	Species	Non-Oral Ref			0	4																											
Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriophycideae;Oscillatoriales;Arthrospira;platensis		229	Species	Non-Oral Ref	lake cyanobacterium		0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;flavithermus		182	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;anthracis		824	Species	Non-Oral Ref	zoonotic pathogen		0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;clausii		45	Species	Non-Oral Ref	soil		0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;subtilis		468	Species	Non-Oral Ref	soil gut		0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus;fusiformis		614	Species	Non-Oral Ref	environmental		0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;bergeri		555	Species			0.017	0.016726781	3	0	0	0	0	0	0	0	0	3.8	0	0	3.1	0.004	0.022	6.9	0.017	0.093	3.2	0	0.001	2	0.004	0.02	5.7	0	0.001	1.4
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;haemolysans		626	Species			3.131	7.801246042	1	3.131	6.45	100	2.725	3.631	100	1.143	1.501	100	0.074	0.101	96.9	1.035	2.236	100	0.699	1.347	100	0.267	0.657	100	0.083	0.186	91.4	0.156	0.36	79.2
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;morbillorum		46	Species			0.516	0.515718392	2	0.425	0.916	100	0.292	0.511	100	0.367	0.841	100	0.01	0.014	62.5	0.076	0.112	82.8	0.33	1.644	93.5	0.091	0.142	89.8	0.516	0.903	100	0.504	0.932	90.3
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;sanguinis		757	Species			1.429	1.428726271	1	0.465	0.709	100	0.191	0.655	100	0.508	0.508	100	1.19	1.032	100	0.893	1.31	100	0.704	0.72	100	1.429	1.57	100	0.027	0.068	77.1	0.022	0.034	76.4
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella;sp. HMT 928		928	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Brochothrix;thermosphacta		241	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;monocytogenes		825	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;glucanolyticus		921	Species	Non-Oral Ref	environmental opportunistic		0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;phoenicis		786	Species	Non-Oral Ref	environmental		0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;sp. HMT 048		48	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;huakuii		243	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;aureus		550	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;auricularis		331	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;capitis		116	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;caprae		567	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;cohnii		117	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;epidermidis		601	Species			0.002	0.002222312	4	0.002	0.004	34.4	0	0.001	8.8	0.001	0.002	15.4	0.001	0.003	6.3	0	0.001	6.9	0	0.002	9.7	0	0.001	12.2	0	0.001	5.7	0.001	0.003	11.1
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;haemolyticus		120	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;hominis		127	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;lugdunensis		128	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;pasteuri		141	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;pettenkoferi		142	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;schleiferi		233	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;warneri		76	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva		389	Species			0.244	0.489017644	2	0.192	0.343	75	0.081	0.14	61.8	0.138	0.289	76.9	0.006	0.008	56.3	0.017	0.037	62.1	0.019	0.039	61.3	0.083	0.168	79.6	0.244	0.415	71.4	0.099	0.224	56.9
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;viridans		312	Species	eHOMD expansion for skin and nasal taxa			0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alloiococcus;otitis		831	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;pigrum		813	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens		534	Species			2.435	2.784328995	1	0.8	0.587	100	0.357	0.474	100	1.505	0.78	100	2.29	1.536	100	2.142	3.841	100	1.419	1.422	100	2.435	1.973	100	1.107	1.41	100	0.773	0.873	100
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans		596	Species			1.793	3.155782971	1	0.243	0.549	87.5	1.793	3.92	73.5	0.259	0.403	84.6	0.021	0.033	75	0.129	0.295	86.2	0.059	0.116	87.1	0.146	0.354	85.7	0.058	0.132	60	0.082	0.362	58.3
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;casseliflavus		801	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;durans		880	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis		604	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;italicus		803	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;saccharolyticus		802	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;acidophilus		529	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;brevis		558	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;buchneri		881	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;casei		568	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;coleohominis		816	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus		817	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;fermentum		608	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;gasseri		615	Species			0.013	0.012647985	3	0.003	0.011	12.5	0	0	2.9	0.002	0.009	7.7	0	0	0	0	0	3.4	0.013	0.07	3.2	0.002	0.015	4.1	0.001	0.003	8.6	0.007	0.037	8.3
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners		838	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii		839	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;johnsonii		819	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;kisonensis		424	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;oris		709	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;panis		882	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;paracasei		716	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;parafarraginis		418	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;pentosus		883	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;plantarum		861	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;rapi		884	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;reuteri clade 818		818	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;reuteri clade 938		938	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;rhamnosus		749	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;salivarius		756	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;sp. HMT 052		52	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;ultunensis		461	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;vaginalis		51	Species			0.006	0.006202998	4	0.001	0.004	6.3	0	0	2.9	0.001	0.004	7.7	0	0	0	0	0	3.4	0.001	0.007	6.5	0.001	0.007	4.1	0.001	0.003	5.7	0.006	0.032	9.7
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;lactis		804	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;agalactiae		537	Species				0	4																											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;anginosus		543	Species			1.426	1.426452618	1	0.133	0.453	75	0.017	0.035	58.8	0.016	0.031	42.3	0.007	0.013	40.6	0.042	0.102	69	0.046	0.139	61.3	0.019	0.024	69.4	1.426	4.964	74.3	0.299	1.05	76.4
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;australis		73	Species			5.056	5.056200279	1	1.619	1.307	100	0.532	0.755	100	2.404	2.582	100	4.002	4.35	100	1.709	1.538	100	2.221	2.546	100	5.056	6.277	100	0.219	0.337	100	0.131	0.286	95.8
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;constellatus		576	Species			0.1	0.099673189	3	0.027	0.066	68.8	0.018	0.04	64.7	0.026	0.041	73.1	0.001	0.003	9.4	0.021	0.034	58.6	0.02	0.061	51.6	0.019	0.031	59.2	0.086	0.18	82.9	0.1	0.211	80.6
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus clade 578		578	Species			3.267	3.266884809	1	3.267	4.395	100	2.815	6.407	100	2.004	3.695	100	0.213	0.191	100	0.862	1.277	100	1.351	1.946	100	0.84	1.375	100	1.788	1.515	100	1.122	2.004	98.6
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus clade 886		886	Species			0.009	0.009034796	4	0.002	0.008	25	0.001	0.002	17.6	0.004	0.006	46.2	0.008	0.01	68.8	0.005	0.01	51.7	0.005	0.006	58.1	0.009	0.014	69.4	0	0.002	5.7	0.001	0.004	9.7
