	comment	HMT	level	type	source	max Segata oral sites	max Dewhirst oral site	max Eren oral site	max any oral site	Abundance category	Segata 2012 abundance data																				Dewhirst 35x9 abundance																												Eren et al. 2014 abundance data																				
Headers											BM		KG		HP		Throat		PT		TD		Saliva		SupP		SubP		Stool		BM			KG			HP			TD			PT			Throat			Saliva			SupP			SubP				BM		KG		HP		TD		PT		Throat		Saliva		SupP		SubP		Stool		
HOMD taxonomy											AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence		mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Bacteria;Firmicutes;Bacilli			Class			61.124			61.124	1	61.124	16.498	54.861	19.453	48.371	18.3	29.254	18.901	27.579	19.276	23.273	14.8	15.161	8.585	15.933	10.21	13.091	10.603	0.182	1.223																																																	
Bacteria;Firmicutes;Clostridia			Class			24.507			24.507	1	5.281	4.594	6.242	6.894	10.694	6.325	17.399	8.213	16.267	7.906	17.482	7.194	24.507	9.586	7.033	4.811	9.605	6.783	28.642	18.687																																																	
Bacteria;Firmicutes;Erysipelotrichia			Class			0.161			0.161	2	0.015	0.037	0.002	0.006	0.121	0.268	0.161	0.345	0.147	0.284	0.134	0.198	0.112	0.224	0.004	0.011	0.019	0.072	0.308	0.546																																																	
Bacteria;Firmicutes;Mollicutes			Class			0.069			0.069	3	0.004	0.016	0	0.002	0.005	0.016	0.029	0.121	0.069	0.265	0.005	0.018	0.045	0.127	0.009	0.036	0.033	0.101	0.031	0.305																																																	
Bacteria;Firmicutes;Negativicutes			Class						0	4																																																																					
Bacteria;Fusobacteria;Fusobacteriia			Class			15.514			15.514	1	3.868	3.557	2.683	3.987	4.659	3.896	10.652	7.895	14.507	8.74	11.247	8.66	7.448	4.662	11.271	8.955	15.514	9.452	0.072	0.5																																																	
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-1]			Class						0	4																																																																					
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-2]			Class						0	4																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria			Class			0.124			0.124	2	0.022	0.077	0.008	0.028	0.037	0.079	0.093	0.424	0.008	0.024	0.002	0.014	0.124	0.866	0.003	0.015	0.012	0.065	0.321	2.065																																																	
Bacteria;Proteobacteria;Betaproteobacteria			Class			12.624			12.624	1	4.541	5.134	2.731	4.788	6.919	6.518	6.368	7.768	5.679	7.018	10.172	10.62	8.34	9.26	12.624	9.066	9.554	8.181	2.166	3.537																																																	
Bacteria;Proteobacteria;Deltaproteobacteria			Class			0.009			0.009	4	0.001	0.005	0	0	0.005	0.057	0.007	0.052	0.001	0.004	0	0	0.009	0.076	0	0.002	0.003	0.019	0.021	0.052																																																	
Bacteria;Proteobacteria;Epsilonproteobacteria			Class			2.947			2.947	1	0.266	0.377	0.978	2.386	0.535	0.599	1.435	1.64	1.498	1.873	1.348	1.682	2.947	3.118	1.007	1.3	1.195	1.106	0.004	0.029																																																	
Bacteria;Proteobacteria;Gammaproteobacteria			Class			17.942			17.942	1	10.781	7.826	17.942	11.531	7.494	5.115	6.592	9.392	7.003	6.798	8.156	7.353	9.161	7.32	5.948	5.958	4.389	4.932	0.216	0.986																																																	
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]			Class			3.07			3.07	1	0.137	0.341	0.13	0.553	0.241	0.408	0.524	0.933	0.45	0.785	0.565	0.968	3.07	5.72	0.589	1.153	0.648	1.158	0.008	0.083																																																	
Bacteria;Spirochaetes;Spirochaetia			Class			2.24			2.24	1	0.099	0.3	0.004	0.013	0.054	0.111	0.207	0.635	0.574	1.423	0.06	0.133	0.358	0.745	0.627	1.489	2.24	4.085	0	0.004																																																	
Bacteria;Synergistetes;Synergistia			Class			0.172			0.172	2	0.003	0.012	0	0	0.001	0.007	0.006	0.035	0.017	0.09	0	0.002	0.01	0.038	0.027	0.085	0.172	0.579	0.002	0.008																																																	
Bacteria;WPS-2;WPS-2 [C-1]			Class						0	4																																																																					
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales			Order			0			0	4	0	0	0	0.001	0	0	0	0.005	0	0.001	0	0	0	0.004	0	0	0	0.002	0.001	0.006																																																	
Bacteria;Absconditabacteria (SR1);Absconditabacteria (SR1) [C-1];Absconditabacteria (SR1) [O-1]			Order						0	4																																																																					
Bacteria;Absconditabacteria (SR1);Absconditabacteria (SR1) [C-2];Absconditabacteria (SR1) [O-2]			Order						0	4																																																																					
Bacteria;Absconditabacteria (SR1);Absconditabacteria (SR1) [C-3];Absconditabacteria (SR1) [O-3]			Order						0	4																																																																					
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales			Order			27.143			27.143	1	5.262	6.143	1.182	2.939	6.962	6.342	7.268	6.304	5.449	5.087	10.261	7.283	3.891	3.661	27.143	14.083	20.042	13.474	0.292	2.791																																																	
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales			Order			0.016			0.016	3	0.004	0.015	0	0.003	0.008	0.028	0.009	0.036	0.016	0.115	0.002	0.01	0.011	0.037	0.002	0.011	0.014	0.078	0.076	0.31																																																	
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales			Order						0	4																																																																					
Bacteria;Actinobacteria;Actinomycetia;Micrococcales			Order						0	4																																																																					
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales			Order						0	4																																																																					
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales			Order			0.611			0.611	2	0.069	0.093	0.009	0.045	0.357	0.462	0.592	0.647	0.396	0.607	0.611	0.762	0.512	0.589	0.041	0.082	0.143	0.351	0.138	0.273																																																	
Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales			Order						0	4																																																																					
Bacteria;Bacteroidetes;Bacteroidetes [C-1];Bacteroidetes [O-1]			Order						0	4																																																																					
Bacteria;Bacteroidetes;Bacteroidetes [C-2];Bacteroidetes [O-2]			Order						0	4																																																																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales			Order			20.549			20.549	1	6.38	5.488	11.031	12.146	12.715	7.204	17.519	8.75	17.732	10.19	15.374	7.171	20.549	8.478	6.893	6.404	13.513	10.339	64.866	20.641																																																	
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales			Order						0	4																																																																					
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales			Order			10.151			10.151	1	1.807	2.588	1.289	1.581	0.609	0.657	1.443	2.578	1.976	2.771	0.871	1.379	2.322	1.771	10.151	5.664	8.577	5.692	0.003	0.02																																																	
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales			Order			0.003			0.003	4	0	0	0	0.004	0.001	0.006	0.003	0.022	0.001	0.013	0	0	0.003	0.019	0	0.001	0.002	0.01	0.001	0.011																																																	
Bacteria;Chlamydiae;Chlamydiia;Chlamydiales			Order						0	4																																																																					
Bacteria;Chlorobi;Chlorobia;Chlorobiales			Order						0	4																																																																					
Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales			Order						0	4																																																																					
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales			Order			0.002			0.002	4	0	0.002	0	0	0	0	0	0.001	0.001	0.004	0	0	0	0.001	0.001	0.004	0.002	0.015	0	0																																																	
Bacteria;Chloroflexi;Caldilineae;Caldilineales			Order						0	4																																																																					
Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriophycideae			Order						0	4																																																																					
Bacteria;Firmicutes;Bacilli;Bacillales			Order			7.307			7.307	1	7.307	6.568	4.37	4.207	4.064	4.463	2.284	2.502	2.238	2.445	0.938	0.863	0.921	0.954	0.616	1.23	0.715	1.437	0.091	1.114																																																	
Bacteria;Firmicutes;Bacilli;Lactobacillales			Order			53.804			53.804	1	53.804	16.067	50.468	19.442	44.304	16.634	26.968	17.703	25.335	17.831	22.326	14.512	14.237	8.325	15.312	9.629	12.371	9.668	0.09	0.464																																																	
