GCA_959608055.1	No NCBI BLAST db
GCA_000186425.1	No NCBI BLAST db
GCA_015254855.1	No NCBI BLAST db
GCA_015254865.1	No NCBI BLAST db
GCA_028462385.1	No NCBI BLAST db
GCA_030824905.1	No NCBI BLAST db
GCA_900637555.1	No NCBI BLAST db
GCA_905373045.1	No NCBI BLAST db
GCA_916049875.1	No NCBI BLAST db
GCA_938046545.1	No NCBI BLAST db
GCA_947097835.1	No NCBI BLAST db
GCA_000018665.1	No NCBI BLAST db
GCA_000214395.1	No NCBI BLAST db
GCA_000741825.1	No NCBI BLAST db
GCA_001598795.1	No NCBI BLAST db
GCA_001886655.1	No NCBI BLAST db
GCA_013423845.1	No NCBI BLAST db
GCA_016026535.1	No NCBI BLAST db
GCA_016027075.1	No NCBI BLAST db
GCA_016027775.1	No NCBI BLAST db
GCA_026970895.1	No NCBI BLAST db
GCA_002933415.1	No NCBI BLAST db
GCA_003349825.1	No NCBI BLAST db
GCA_004342465.1	No NCBI BLAST db
GCA_015476235.1	No NCBI BLAST db
GCA_026057535.1	No NCBI BLAST db
GCA_026057715.1	No NCBI BLAST db
GCA_937957785.1	No NCBI BLAST db
GCA_001281465.1	No NCBI BLAST db
GCA_001658125.1	No NCBI BLAST db
GCA_008354965.1	No NCBI BLAST db
GCA_008801915.1	No NCBI BLAST db
GCA_013004615.1	No NCBI BLAST db
GCA_013347325.1	No NCBI BLAST db
GCA_023824295.1	No NCBI BLAST db
GCA_025309775.1	No NCBI BLAST db
GCA_025399565.1	No NCBI BLAST db
GCA_025399595.1	No NCBI BLAST db
GCA_001307855.1	No NCBI BLAST db
GCA_008274805.1	No NCBI BLAST db
GCA_000175895.1	No NCBI BLAST db
GCA_000412995.1	No NCBI BLAST db
GCA_024181105.1	No NCBI BLAST db
GCA_024181125.1	No NCBI BLAST db
GCA_024181205.1	No NCBI BLAST db
GCA_000403725.2	No NCBI BLAST db
GCA_001639025.1	No NCBI BLAST db
GCA_003989555.1	No NCBI BLAST db
GCA_015351335.1	No NCBI BLAST db
GCA_022346305.1	No NCBI BLAST db
GCA_022346315.1	No NCBI BLAST db
GCA_028527885.1	No NCBI BLAST db
GCA_028609825.1	No NCBI BLAST db
GCA_030408355.1	No NCBI BLAST db
GCA_030408375.1	No NCBI BLAST db
GCA_900156035.1	No NCBI BLAST db
GCA_902377555.1	No NCBI BLAST db
GCA_943912545.1	No NCBI BLAST db
GCA_000173655.1	No NCBI BLAST db
GCA_000411235.1	No NCBI BLAST db
GCA_000755185.1	No NCBI BLAST db
GCA_001058525.1	No NCBI BLAST db
GCA_001722255.1	No NCBI BLAST db
GCA_001807045.1	No NCBI BLAST db
GCA_001807075.1	No NCBI BLAST db
GCA_001807105.1	No NCBI BLAST db
GCA_001809065.1	No NCBI BLAST db
GCA_001809225.1	No NCBI BLAST db
GCA_001809455.1	No NCBI BLAST db
GCA_001809695.1	No NCBI BLAST db
GCA_001809925.1	No NCBI BLAST db
GCA_001810195.1	No NCBI BLAST db
GCA_001810555.1	No NCBI BLAST db
GCA_001810585.1	No NCBI BLAST db
GCA_001811205.1	No NCBI BLAST db
GCA_001811805.1	No NCBI BLAST db
