Microbial clades		G1								G2										G3						G4	
Headers		GroupG1		BM		KG		Hp		GroupG2		Th		PT		TD		Sal		GroupG3		SupP		SubP		Stool	
	max	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV
Column1	Column28	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales	2.947	0.593	1.121	0.266	0.377	0.978	2.386	0.535	0.599	1.807	2.077	1.435	1.639	1.498	1.872	1.348	1.681	2.947	3.117	1.101	1.202	1.007	1.3	1.195	1.105	0.004	0.029
Bacteria;Proteobacteria;Epsilonproteobacteria;unclassified	0	0	0.001	0	0	0	0.002	0	0	0	0.002	0	0.001	0	0.002	0	0.002	0	0.003	0	0.003	0	0.003	0	0.003	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.081
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales	0	0	0.001	0	0.002	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales	0.249	0.009	0.032	0.015	0.037	0.005	0.042	0.006	0.018	0.006	0.022	0.007	0.028	0.004	0.029	0.001	0.005	0.01	0.027	0.233	0.394	0.249	0.363	0.217	0.426	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales	0.075	0.025	0.097	0.017	0.062	0.007	0.043	0.052	0.185	0.033	0.177	0.075	0.399	0.011	0.047	0.001	0.006	0.046	0.258	0.009	0.07	0.003	0.02	0.015	0.121	0.159	0.957
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.008
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales	17.923	11.966	8.13	10.728	7.838	17.923	11.521	7.246	5.033	7.513	7.41	5.828	8.137	6.981	6.801	8.152	7.35	9.09	7.353	4.919	5.425	5.69	5.96	4.148	4.89	0.048	0.23
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	0.583	0.049	0.184	0.01	0.03	0.005	0.035	0.132	0.487	0.148	1.197	0.583	4.75	0.004	0.011	0.001	0.01	0.006	0.017	0.003	0.014	0.002	0.007	0.005	0.021	0.002	0.019
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	0.1	0.021	0.206	0.011	0.118	0	0.003	0.052	0.497	0.028	0.258	0.1	0.945	0.002	0.022	0	0.002	0.008	0.063	0.002	0.013	0	0.003	0.003	0.022	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;unclassified	0.006	0.003	0.019	0	0.003	0.001	0.004	0.006	0.051	0	0.003	0	0.001	0	0.004	0.001	0.005	0	0.003	0.002	0.009	0.003	0.011	0.001	0.006	0	0.004
Bacteria;SR1;SR1_genera_incertae_sedis;unclassified	0.405	0.022	0.082	0.016	0.048	0.003	0.013	0.048	0.184	0.161	0.51	0.083	0.266	0.092	0.344	0.065	0.246	0.405	1.184	0.036	0.108	0.033	0.095	0.039	0.121	0	0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales	2.24	0.052	0.141	0.099	0.3	0.004	0.013	0.054	0.111	0.3	0.734	0.207	0.635	0.574	1.423	0.06	0.133	0.358	0.745	1.434	2.787	0.627	1.489	2.24	4.085	0	0.004
Bacteria;Synergistetes;Synergistia;Synergistales	0.172	0.001	0.006	0.003	0.012	0	0	0.001	0.007	0.009	0.041	0.006	0.035	0.017	0.09	0	0.002	0.01	0.038	0.099	0.332	0.027	0.085	0.172	0.579	0.002	0.008
Bacteria;TM7;TM7_genera_incertae_sedis;unclassified	3.07	0.169	0.434	0.137	0.341	0.13	0.553	0.241	0.408	1.152	2.101	0.524	0.933	0.45	0.785	0.565	0.968	3.07	5.72	0.618	1.155	0.589	1.153	0.648	1.158	0.008	0.083
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales	0.006	0	0	0	0	0	0	0	0	0.001	0.019	0.006	0.073	0	0	0	0	0	0.002	0	0	0	0	0	0	0.03	0.305
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales	0.069	0.003	0.011	0.004	0.015	0	0.002	0.005	0.016	0.035	0.123	0.022	0.088	0.069	0.265	0.005	0.018	0.044	0.124	0.021	0.069	0.009	0.036	0.033	0.101	0	0.006
Bacteria;Tenericutes;Mollicutes;unclassified	0.001	0	0.001	0	0.002	0	0	0	0	0.001	0.007	0.001	0.013	0	0	0	0	0.001	0.015	0	0	0	0	0	0	0	0.003
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.005	0.045
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales	0.001	0	0.003	0	0.003	0	0.001	0.001	0.006	0	0.002	0	0	0	0.001	0	0.001	0.001	0.006	0	0	0	0	0	0	0.437	1.763
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0.005	0	0.001	0	0	0	0.004	0	0.001	0	0	0	0.002	0.001	0.006
Bacteria;Acidobacteria;Acidobacteria_Gp1;Gp1;unclassified	0	0	0.002	0	0.006	0	0	0	0	0	0.001	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria_Gp3;Gp3;unclassified	0	0	0	0	0	0	0	0	0	0	0.001	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4;unclassified	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6;unclassified	0.001	0	0.003	0	0	0	0	0.001	0.009	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Iamiaceae	0.001	0	0	0	0	0	0	0	0	0	0.005	0.001	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;unclassified	0	0	0.002	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	9.161	2.347	2.94	2.403	3.375	0.65	1.407	3.988	4.038	5.06	4.625	5.517	4.927	4.419	4.437	7.814	6.715	2.489	2.42	8.529	8.855	9.161	8.757	7.897	8.954	0.028	0.351
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0.003	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	10.877	0.31	1.18	0.351	0.708	0.201	1.565	0.378	1.266	0.216	1.018	0.389	2.409	0.133	0.813	0.102	0.483	0.242	0.365	8.93	6.494	10.877	6.995	6.984	5.992	0.007	0.052
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae	0	0	0.003	0	0.006	0	0	0	0.003	0	0	0	0.001	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae	0.001	0	0.001	0	0.002	0	0	0	0.001	0	0.002	0.001	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae	0.002	0	0.001	0	0	0	0.003	0	0.001	0.001	0.006	0.001	0.005	0	0	0	0	0.002	0.02	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae	0.001	0	0.003	0	0	0	0	0.001	0.01	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Jonesiaceae	0.008	0	0.003	0.001	0.007	0	0.003	0	0.001	0.002	0.025	0.008	0.1	0	0	0	0	0	0	0	0.004	0	0.003	0	0.005	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae	0	0	0.001	0	0	0	0	0	0.004	0	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	0.005	0.001	0.004	0	0.002	0	0.003	0.001	0.008	0.002	0.015	0.001	0.006	0	0.003	0	0.001	0.005	0.05	0	0.006	0	0.002	0.001	0.009	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae	5.467	1.617	2.477	2.318	3.893	0.28	0.776	2.254	2.761	1.304	1.866	1.094	1.504	0.832	1.247	2.271	3.081	1.02	1.631	4.578	5.993	5.467	6.827	3.688	5.16	0.002	0.012
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae	0	0	0.002	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae	0.001	0	0.001	0	0.001	0	0.001	0	0.001	0.001	0.005	0.001	0.009	0	0.004	0	0	0.001	0.008	0	0	0	0.001	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nakamurellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae	0.001	0	0.004	0.001	0.012	0	0	0	0.001	0	0.002	0.001	0.009	0	0	0	0	0	0	0	0.003	0	0.001	0	0.006	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae	0.001	0	0.001	0	0.001	0	0	0	0.001	0	0.002	0.001	0.005	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae	0.727	0.137	1.158	0.072	0.213	0.024	0.086	0.316	3.176	0.094	0.402	0.231	1.007	0.029	0.087	0.007	0.034	0.109	0.48	0.72	1.142	0.713	1.235	0.727	1.049	0.253	2.734
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae	0	0	0.001	0	0.001	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae	0.002	0	0.001	0	0.002	0	0	0	0.001	0.001	0.005	0.002	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;unclassified	0.925	0.055	0.312	0.114	0.585	0.027	0.264	0.023	0.086	0.036	0.088	0.022	0.05	0.034	0.166	0.067	0.09	0.022	0.044	0.834	1.409	0.925	1.452	0.744	1.365	0.001	0.006
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	0.016	0.004	0.016	0.004	0.015	0	0.003	0.008	0.028	0.01	0.05	0.009	0.036	0.016	0.115	0.002	0.01	0.011	0.037	0.008	0.044	0.002	0.011	0.014	0.078	0.076	0.31
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae	0.611	0.145	0.2	0.069	0.093	0.009	0.045	0.357	0.462	0.528	0.651	0.592	0.647	0.396	0.607	0.611	0.762	0.512	0.589	0.092	0.217	0.041	0.082	0.143	0.351	0.138	0.273
Bacteria;Actinobacteria;Actinobacteria;Solirubrobacterales;Conexibacteraceae	0.002	0	0	0	0	0	0	0	0.001	0	0.006	0	0	0	0	0	0	0.002	0.023	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Solirubrobacterales;unclassified	0.012	0	0.001	0	0	0	0	0	0.003	0.003	0.04	0	0	0	0	0	0	0.012	0.161	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	0.437	0.234	1.278	0.198	1.072	0.066	0.546	0.437	2.217	0.149	0.51	0.273	1.026	0.069	0.229	0.02	0.04	0.236	0.743	0.066	0.48	0.011	0.024	0.122	0.936	47.821	23.591
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_incertae_sedis	0.023	0	0.001	0	0.002	0	0	0	0.001	0.001	0.009	0	0.004	0.001	0.009	0	0.001	0.004	0.021	0.014	0.098	0.005	0.037	0.023	0.159	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	4.975	3.212	3.91	2.907	3.246	3.339	5.243	3.39	3.242	4.017	4.261	3.331	3.617	4.093	4.477	3.67	4.591	4.975	4.358	3.76	3.973	3.145	3.232	4.375	4.714	6.724	6.27
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	14.007	4.881	4.79	2.823	3.162	3.522	5.379	8.297	5.83	12.552	7.761	12.777	7.885	12.428	9.18	10.998	6.64	14.007	7.338	5.88	6.129	3.388	4.263	8.372	7.995	4.037	10.294
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	0.027	0.014	0.068	0.009	0.029	0.007	0.066	0.027	0.11	0.013	0.071	0.027	0.185	0.006	0.036	0.001	0.003	0.018	0.061	0.005	0.041	0.001	0.004	0.009	0.079	5.655	6.354
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;unclassified	4.098	1.701	2.832	0.442	1.044	4.098	6.663	0.564	0.789	1.06	1.478	1.111	1.371	1.135	2.096	0.685	0.872	1.309	1.572	0.477	0.679	0.343	0.594	0.612	0.764	0.628	1.039
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae	10.147	1.234	1.608	1.806	2.587	1.287	1.58	0.609	0.657	1.653	2.124	1.442	2.577	1.975	2.77	0.871	1.379	2.321	1.771	9.36	5.676	10.147	5.663	8.573	5.689	0.003	0.019
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;unclassified	0.004	0.001	0.003	0.001	0.003	0.002	0.007	0	0	0	0.003	0	0.003	0	0.001	0	0.002	0.001	0.006	0.004	0.009	0.003	0.008	0.004	0.01	0	0.002
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae	0.002	0	0.002	0	0	0	0.001	0.001	0.004	0.001	0.011	0.002	0.016	0.001	0.013	0	0	0.002	0.014	0	0.002	0	0.001	0	0.003	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae	0.001	0	0	0	0	0	0	0	0.001	0	0.002	0.001	0.006	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae	0.001	0	0.001	0	0	0	0.004	0	0.001	0	0.004	0	0.003	0	0.001	0	0	0.001	0.011	0	0.002	0	0	0	0.005	0.001	0.011
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;unclassified	0.001	0	0.001	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0.002	0	0.004	0	0	0.001	0.008	0	0.002
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae	0.002	0	0.001	0	0.002	0	0	0	0	0	0.001	0	0.001	0.001	0.004	0	0	0	0.001	0.001	0.01	0.001	0.004	0.002	0.015	0	0
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae	0	0	0	0	0.001	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;Chloroplast;Chlorophyta	0.001	0	0	0	0	0	0	0	0	0	0.003	0	0.004	0	0	0	0	0.001	0.008	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;Chloroplast;Streptophyta	0.107	0.058	0.578	0.107	1.004	0.055	0.664	0.012	0.065	0.03	0.138	0.025	0.119	0.006	0.023	0.004	0.016	0.084	0.394	0.006	0.051	0.008	0.067	0.005	0.036	0.001	0.011
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae	0.002	0.001	0.012	0.002	0.022	0	0.002	0.001	0.01	0.001	0.007	0.002	0.019	0	0.002	0	0	0.001	0.008	0.001	0.01	0	0	0.002	0.02	0	0
Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae	0.001	0	0.002	0.001	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	0.043	0.003	0.011	0.003	0.009	0.001	0.004	0.005	0.022	0.013	0.138	0.009	0.028	0.001	0.008	0.001	0.005	0.043	0.511	0.001	0.012	0	0.001	0.003	0.024	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae	0.001	0.001	0.005	0.001	0.005	0	0.002	0.001	0.007	0	0.001	0	0.001	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae	0.012	0	0	0	0	0	0	0	0.001	0.003	0.036	0	0.001	0	0	0	0	0.012	0.142	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	0.001	0	0.004	0	0.002	0	0	0.001	0.01	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae	7.299	5.24	5.078	7.299	6.569	4.366	4.206	4.055	4.46	1.576	1.616	2.27	2.497	2.235	2.442	0.937	0.861	0.863	0.664	0.661	1.33	0.615	1.229	0.706	1.43	0.091	1.114
Bacteria;Firmicutes;Bacilli;Bacillales;unclassified	0.006	0.003	0.008	0.004	0.01	0.003	0.008	0.002	0.006	0.003	0.018	0.005	0.029	0.001	0.005	0.001	0.005	0.003	0.033	0.003	0.041	0	0.002	0.006	0.079	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae	0.366	0.166	0.432	0.315	0.691	0.089	0.355	0.094	0.251	0.057	0.187	0.052	0.188	0.027	0.073	0.019	0.122	0.129	0.366	0.32	0.685	0.366	0.729	0.273	0.64	0.001	0.005
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	2.237	1.813	1.787	1.176	1.296	2.237	2.717	2.026	1.347	1.448	1.194	1.309	1.076	1.205	1.194	2.233	1.699	1.043	0.807	0.429	0.493	0.443	0.466	0.415	0.52	0.002	0.008
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	0.002	0	0.004	0	0.003	0	0.003	0.001	0.006	0.001	0.005	0.001	0.004	0.001	0.005	0.002	0.008	0.001	0.005	0	0.002	0	0.002	0	0.002	0.003	0.036
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	0.155	0.025	0.185	0.018	0.066	0.005	0.01	0.052	0.478	0.053	0.331	0.155	1.019	0.01	0.065	0.014	0.073	0.035	0.167	0.047	0.551	0.011	0.067	0.083	1.036	0.017	0.095
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	0.023	0.003	0.045	0	0	0	0	0.01	0.134	0.006	0.078	0.002	0.026	0	0	0	0	0.023	0.286	0	0	0	0	0	0	0	0.004
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	52.159	47.326	17.888	52.159	16.392	47.992	20.609	41.827	16.663	20.366	13.901	25.224	17.063	23.878	17.471	19.591	13.322	12.771	7.749	12.953	9.164	14.393	9.232	11.513	9.095	0.067	0.374
Bacteria;Firmicutes;Bacilli;Lactobacillales;unclassified	0.467	0.192	0.292	0.137	0.248	0.144	0.226	0.294	0.403	0.286	0.357	0.225	0.317	0.214	0.259	0.467	0.558	0.236	0.296	0.092	0.136	0.098	0.135	0.086	0.138	0.001	0.006
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	0.242	0.055	0.691	0.156	2.025	0.001	0.004	0.007	0.045	0.006	0.06	0.007	0.03	0.001	0.004	0	0.002	0.017	0.204	0.121	1.615	0	0.003	0.242	3.227	0.037	0.138
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae	0.233	0.072	0.099	0.034	0.06	0.004	0.016	0.177	0.222	0.174	0.279	0.215	0.328	0.233	0.441	0.132	0.182	0.117	0.167	0.099	0.175	0.036	0.095	0.163	0.254	0.148	0.481
Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae	0	0	0	0	0	0	0	0	0	0	0.001	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.025
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XI	0.488	0.104	0.186	0.06	0.095	0.018	0.108	0.233	0.353	0.259	0.476	0.245	0.501	0.428	0.834	0.207	0.369	0.156	0.201	0.299	0.366	0.109	0.166	0.488	0.567	0.01	0.057
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XIII	0.205	0.057	0.073	0.024	0.038	0.003	0.011	0.145	0.171	0.162	0.22	0.205	0.318	0.145	0.183	0.145	0.162	0.151	0.218	0.022	0.046	0.009	0.024	0.034	0.067	0.033	0.059
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XIV	0.011	0.005	0.023	0.004	0.015	0.001	0.006	0.011	0.05	0.005	0.019	0.009	0.03	0.006	0.024	0.001	0.007	0.005	0.014	0.002	0.015	0.001	0.007	0.004	0.024	0.772	0.961
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	5.297	1.171	1.143	0.868	0.997	0.193	0.368	2.453	2.065	4.781	3.478	5.297	3.762	4.683	3.426	4.649	3.423	4.495	3.3	1.176	1.273	1.034	1.27	1.318	1.276	6.934	5.696
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae	0.06	0.015	0.03	0.011	0.031	0.001	0.005	0.033	0.053	0.041	0.074	0.045	0.083	0.06	0.098	0.033	0.061	0.025	0.055	0.025	0.052	0.016	0.04	0.035	0.063	0.006	0.017
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	0.297	0.122	0.182	0.052	0.098	0.019	0.069	0.294	0.379	0.256	0.402	0.276	0.461	0.297	0.531	0.16	0.162	0.291	0.453	0.073	0.192	0.029	0.079	0.117	0.305	0.055	0.15
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	0.108	0.036	0.135	0.024	0.056	0.009	0.043	0.076	0.307	0.045	0.255	0.108	0.673	0.03	0.159	0.004	0.017	0.038	0.171	0.015	0.11	0.002	0.005	0.027	0.214	14.547	11.938
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	16.991	5.659	4.974	3.957	3.537	5.972	6.817	7.047	4.566	12.333	6.262	10.496	5.774	9.952	6.018	11.894	5.36	16.991	7.895	6.098	4.95	5.475	4.114	6.721	5.787	2.143	3.091
Bacteria;Firmicutes;Clostridia;Clostridiales;unclassified	1.676	0.099	0.131	0.08	0.124	0.02	0.047	0.197	0.222	0.676	0.891	0.425	0.493	0.377	0.44	0.226	0.278	1.676	2.352	0.358	0.387	0.289	0.362	0.428	0.411	3.811	3.858
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	0.161	0.046	0.104	0.015	0.037	0.002	0.006	0.121	0.268	0.138	0.263	0.161	0.345	0.147	0.284	0.134	0.198	0.112	0.224	0.011	0.041	0.004	0.011	0.019	0.072	0.308	0.546
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae	11.997	2.704	2.998	2.671	2.707	2.241	3.38	3.199	2.907	7.279	5.982	5.647	5.262	9.806	7.414	7.802	6.892	5.862	4.361	9.226	7.027	6.455	5.647	11.997	8.408	0.07	0.499
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Leptotrichiaceae	4.997	1.031	1.62	1.195	1.729	0.44	1.261	1.458	1.87	3.669	4.112	4.997	5.649	4.679	5.079	3.416	4.419	1.584	1.302	4.157	4.289	4.807	4.956	3.507	3.622	0.002	0.016
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;unclassified	0.029	0.002	0.008	0.002	0.006	0.001	0.008	0.002	0.009	0.015	0.053	0.008	0.032	0.022	0.068	0.029	0.103	0.002	0.008	0.009	0.022	0.009	0.023	0.009	0.021	0	0
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae	0.002	0	0	0	0	0	0	0	0	0	0.005	0.002	0.021	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae	0	0	0.001	0	0	0	0	0	0.002	0	0.003	0	0.005	0	0	0	0	0	0.006	0	0	0	0	0	0	0.031	0.153
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	0.028	0.003	0.016	0.004	0.024	0.001	0.005	0.005	0.021	0.009	0.051	0.028	0.149	0.001	0.004	0.001	0.011	0.008	0.041	0.002	0.013	0	0.002	0.003	0.025	0.001	0.013
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae	0	0	0	0	0	0	0	0	0	0	0.002	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	0	0	0.002	0	0.002	0	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae	0.07	0.004	0.016	0.002	0.009	0.002	0.008	0.008	0.032	0.02	0.179	0.008	0.054	0.002	0.012	0	0.002	0.07	0.65	0.001	0.005	0.001	0.005	0.001	0.005	0.002	0.024
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae	0	0	0	0	0	0	0	0	0	0	0.001	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae	0.005	0	0.003	0	0	0	0.001	0.001	0.009	0.001	0.018	0.005	0.07	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
