Microbial clades		G1								G2										G3						G4	
Headers		GroupG1		BM		KG		Hp		GroupG2		Th		PT		TD		Sal		GroupG3		SupP		SubP		Stool	
	max	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV
Column1	Column28	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27
Bacteria;Acidobacteria;Acidobacteria_Gp1	0	0	0.002	0	0.006	0	0	0	0	0	0.001	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria_Gp3	0	0	0	0	0	0	0	0	0	0	0.001	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria_Gp4	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria_Gp6	0.001	0	0.003	0	0	0	0	0.001	0.009	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0
Bacteria;Actinobacteria;Actinobacteria	27.186	4.619	5.203	5.335	6.168	1.192	2.966	7.329	6.475	7.26	5.825	7.871	6.548	5.863	5.3	10.877	7.665	4.428	3.789	23.693	13.757	27.186	14.066	20.2	13.447	0.507	2.819
Bacteria;Bacteroidetes;Bacteroidia	20.549	10.042	8.279	6.38	5.488	11.031	12.146	12.715	7.204	17.794	8.647	17.519	8.75	17.732	10.19	15.374	7.171	20.549	8.478	10.203	8.372	6.893	6.404	13.513	10.339	64.866	20.641
Bacteria;Bacteroidetes;Flavobacteria	10.151	1.235	1.609	1.807	2.588	1.289	1.581	0.609	0.657	1.653	2.125	1.443	2.578	1.976	2.771	0.871	1.379	2.322	1.771	9.364	5.678	10.151	5.664	8.577	5.692	0.003	0.02
Bacteria;Bacteroidetes;Sphingobacteria	0.003	0	0.003	0	0	0	0.004	0.001	0.006	0.002	0.013	0.003	0.022	0.001	0.013	0	0	0.003	0.019	0.001	0.005	0	0.001	0.002	0.01	0.001	0.011
Bacteria;Bacteroidetes;unclassified	0.666	0.269	0.531	0.093	0.279	0.666	1.222	0.05	0.092	0.14	0.321	0.115	0.336	0.232	0.567	0.036	0.064	0.177	0.319	0.414	1.153	0.211	0.663	0.617	1.643	0.332	1.477
Bacteria;Chloroflexi;Anaerolineae	0.002	0	0.001	0	0.002	0	0	0	0	0	0.001	0	0.001	0.001	0.004	0	0	0	0.001	0.001	0.01	0.001	0.004	0.002	0.015	0	0
Bacteria;Chloroflexi;Thermomicrobia	0	0	0.001	0	0.001	0	0	0	0.002	0	0.001	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;unclassified	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria	0.107	0.058	0.578	0.107	1.005	0.055	0.664	0.012	0.065	0.03	0.138	0.026	0.12	0.006	0.023	0.004	0.016	0.085	0.394	0.006	0.051	0.008	0.067	0.005	0.036	0.002	0.017
Bacteria;Deinococcus-Thermus;Deinococci	0.002	0.001	0.012	0.002	0.023	0	0.002	0.001	0.01	0.001	0.008	0.002	0.019	0	0.002	0	0	0.001	0.008	0.001	0.01	0	0	0.002	0.02	0	0
Bacteria;Firmicutes;Bacilli	61.124	54.785	18.084	61.124	16.498	54.861	19.453	48.371	18.3	23.817	15.391	29.254	18.901	27.579	19.276	23.273	14.8	15.161	8.585	14.512	10.407	15.933	10.21	13.091	10.603	0.182	1.223
Bacteria;Firmicutes;Clostridia	24.507	7.406	5.938	5.281	4.594	6.242	6.894	10.694	6.325	18.914	8.224	17.399	8.213	16.267	7.906	17.482	7.194	24.507	9.586	8.319	5.797	7.033	4.811	9.605	6.783	28.642	18.687
Bacteria;Firmicutes;Erysipelotrichi	0.161	0.046	0.104	0.015	0.037	0.002	0.006	0.121	0.268	0.138	0.263	0.161	0.345	0.147	0.284	0.134	0.198	0.112	0.224	0.011	0.041	0.004	0.011	0.019	0.072	0.308	0.546
