	comment	HMT	level	type	source	max Segata oral sites	max Dewhirst oral site	max Eren oral site	max any oral site	Abundance category	Eren et al. 2014 abundance data																				
Headers											BM		KG		HP		TD		PT		Throat		Saliva		SupP		SubP		Stool		
HOMD taxonomy											mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;lingnae [Not Validly Published]		181	Species				0.632	1.448	1.448475663	1	0.2	79.221	0.036	33.766	0.788	96.104	1.448	100	0.564	97.403	0.614	96.104	0.536	89.61	0.005	12.987	0.009	16.883	0.002	9.091	
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;meyeri		671	Species				0.029		0.028716514	3																					
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica		701	Species				1.007		1.007333629	1																					
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT 172		172	Species				0.53	5.112	5.111540666	1	0.363	77.922	0.127	49.351	1.7	96.104	5.112	98.701	2.891	96.104	3.463	97.403	1.252	89.61	0.127	58.442	0.193	55.844	0.002	7.792	includes some S. sp. HMT 180
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT 178		178	Species				0.041		0.040509166	3																					
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT 180		180	Species				1.213	0.297	1.21349573	1	0.001	5.195	0.001	2.597	0.025	14.286	0.04	14.286	0.147	19.481	0.297	24.675	0.034	14.286	0	0	0	0	0	0	this is pure S. sp. HMT 180; more may be included as S. sp. HMT 172
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;aeria		188	Species				1.808	9.777	9.777368782	1	1.588	97.403	0.262	63.636	0.387	93.506	0.037	49.351	0.123	59.74	0.28	59.74	0.83	88.312	9.777	97.403	7.342	96.104	0.001	5.195	includes R. aeria and R. dentocariosa, which cannot be distinguished with this data
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;dentocariosa		587	Species				2.337	9.777	9.777368782	1	1.588	97.403	0.262	63.636	0.387	93.506	0.037	49.351	0.123	59.74	0.28	59.74	0.83	88.312	9.777	97.403	7.342	96.104	0.001	5.195	includes R. aeria and R. dentocariosa, which cannot be distinguished with this data
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;mucilaginosa		681	Species				3.498	4.895	4.894695632	1	2.264	94.805	0.466	64.935	3.623	98.701	4.895	100	1.799	97.403	2.388	94.805	1.499	94.805	0.073	48.052	0.051	50.649	0.002	3.896	
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;durum		595	Species				0.243	2.843	2.843170117	1	0.086	72.727	0.029	37.662	0.126	72.727	0.008	22.078	0.017	28.571	0.126	37.662	0.134	59.74	2.843	93.506	2.025	90.909	0	0	
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;matruchotii		666	Species				3.121	5.686	5.686030182	1	0.158	55.844	0.286	23.377	0.037	45.455	0.009	19.481	0.015	27.273	0.065	27.273	0.043	40.26	5.686	85.714	4.042	85.714	0.002	3.896	
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;singulare		63	Species	eHOMD expansion for skin and nasal taxa				0.099	0.099405825	3	0.003	5.195	0.001	1.299	0.047	5.195	0.099	6.494	0.008	3.896	0.017	3.896	0.018	3.896	0.001	3.896	0	1.299	0	0	
