Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700013596-STO	S700014956-STO	S700015250-STO	S700015407-STO	S700015876-STO	S700015923-STO	S700015981-STO	S700016012-STO	S700016021-STO	S700016029-STO	S700016142-STO	S700016214-STO	S700016470-STO	S700016564-STO	S700016610-STO	S700016716-STO	S700016765-STO	S700016921-STO	S700016961-STO	S700021824-STO	S700021876-STO	S700021934-STO	S700023023-STO	S700023096-STO	S700023226-STO	S700023267-STO	S700023313-STO	S700023477-STO	S700023539-STO	S700023578-STO	S700023633-STO	S700023654-STO	S700023788-STO	S700023845-STO	S700023902-STO	S700023936-STO	S700023987-STO	S700024044-STO	S700024107-STO	S700024173-STO	S700024233-STO	S700024254-STO	S700024318-STO	S700024379-STO	S700024437-STO	S700024470-STO	S700024509-STO	S700024566-STO	S700024615-STO	S700024673-STO	S700024711-STO	S700024752-STO	S700024809-STO	S700024866-STO	S700024930-STO	S700024998-STO	S700032087-STO	S700032133-STO	S700032244-STO	S700032414-STO	S700032944-STO	S700033153-STO	S700033202-STO	S700033382-STO	S700033435-STO	S700033438-STO	S700033503-STO	S700033665-STO	S700033749-STO	S700033797-STO	S700033941-STO	S700033989-STO	S700034100-STO	S700034188-STO	S700034254-STO	S700034641-STO	S700034794-STO	S700034857-STO	S700034926-STO	S700035176-STO	S700035256-STO	S700035321-STO	S700035392-STO	S700035400-STO	S700035533-STO	S700035594-STO	S700035657-STO	S700035747-STO	S700035804-STO	S700035861-STO	S700035953-STO	S700037026-STO	S700037074-STO	S700037122-STO	S700037179-STO	S700037200-STO	S700037284-STO	S700037341-STO	S700037389-STO	S700037437-STO	S700037484-STO	S700037560-STO	S700037738-STO	S700037852-STO	S700038005-STO	S700038053-STO	S700038158-STO	S700038263-STO	S700038322-STO	S700038386-STO	S700038414-STO	S700038472-STO	S700038520-STO	S700038578-STO	S700038740-STO	S700038761-STO	S700038902-STO	S700038950-STO	S700038978-STO	S700095235-STO	S700095372-STO	S700095429-STO	S700095486-STO	S700095543-STO	S700095669-STO	S700095736-STO	S700095850-STO	S700096380-STO	S700097196-STO	S700097253-STO	S700097313-STO	S700097650-STO	S700097710-STO	S700097859-STO	S700098381-STO	S700098954-STO	S700099021-STO	S700099081-STO	S700099609-STO	S700099765-STO	S700099822-STO	S700099908-STO	S700100041-STO	S700100249-STO	S700100312-STO	S700100432-STO	S700100490-STO	S700100559-STO	S700100619-STO	S700101095-STO	S700101153-STO	S700101243-STO	S700101309-STO	S700101366-STO	S700101534-STO	S700101600-STO	S700101657-STO	S700101859-STO	S700101916-STO	S700102261-STO	S700102375-STO	S700102432-STO	S700102607-STO	S700102867-STO	S700102924-STO	S700103328-STO	S700103478-STO	S700103575-STO	S700103653-STO	S700103710-STO	S700105001-STO	S700105087-STO	S700105124-STO	S700105181-STO	S700105238-STO	S700105334-STO	S700105372-STO	S700105459-STO	S700105496-STO	S700105612-STO	S700105632-STO	S700105723-STO	S700105822-STO	S700105856-STO	S700105904-STO	S700106056-STO	S700106093-STO	S700106170-STO	S700106259-STO	S700106350-STO	S700106465-STO	S700106542-STO	S700106579-STO	S700106647-STO	S700106695-STO	S700106723-STO	S700106784-STO	S700106837-STO	S700106914-STO	S700106930-STO	S700106978-STO	S700107011-STO	S700107059-STO	S700107397-STO	S700107508-STO	S700107565-STO	S700107778-STO	S700107892-STO	S700107949-STO	S700108117-STO	S700108180-STO	S700108240-STO	S700108552-STO	S700108618-STO	S700108858-STO	S700108915-STO	S700109192-STO	S700109525-STO	S700109582-STO	S700109643-STO	S700109943-STO	S700110111-STO	S700111178-STO	S700111244-STO	S700111318-STO	S700111461-STO	S700111767-STO	S700112004-STO	S700112065-STO	S700112395-STO	S700112509-STO	S700112774-STO	S700113035-STO	S700113093-STO	S700113213-STO	S700113541-STO	S700113562-STO	S700113616-STO	S700113789-STO	S700113840-STO	S700113897-STO	S700113954-STO	S700113999-STO	S700114017-STO	S700114125-STO	S700114179-STO	S700114246-STO	S700114287-STO	S700114419-STO	S700114480-STO	S700114517-STO	S700114596-STO	S700114653-STO	S700114701-STO	S700114749-STO	S700114767-STO	S700114872-STO	S700114977-STO	S700116045-STO	S700116096-STO	S700116180-STO	S700116201-STO	S700116275-STO	S700116326-STO	S700116390-STO	S700116431-STO	S700116468-STO	S700116522-STO	S700116600-STO	S700116641-STO	S700116698-STO	S700116762-STO	S700116810-STO	S700116828-STO	S700116888-STO	S700116947-STO	S700117000-STO	S700117058-STO	S700117086-STO	S700117173-STO	S700117214-STO	S700117625-STO	S700117682-STO	S700117755-STO	S700117796-STO	S700117860-STO	S700117938-STO	S700117992-STO	S700119064-STO	S700119184-STO	S700119326-STO	S700119584-STO	S700119758-STO	S700119818-STO	S700119883-STO	S700120009-STO	S700121012-STO	S700121321-STO	S700121661-STO	S700121985-STO	S700122366-STO	S700123584-STO	S700161040-STO	S700161097-STO	S700161131-STO	S700161202-STO	S700161293-STO	S700161532-STO	S700161598-STO	S700161649-STO	S700161742-STO	S700161856-STO	S700161904-STO	S700161945-STO	S700163030-STO	S700163201-STO	S700163258-STO	S700163370-STO	S700163475-STO	S700163553-STO	S700163574-STO	S700163628-STO	S700163699-STO	S700163774-STO	S700163831-STO	S700163888-STO	S700163981-STO	S700164143-STO	S700164191-STO	S700164212-STO	S700164269-STO	S700164339-STO	S700164371-STO	S700164449-STO	S700164467-STO	S700164538-STO	S700164611-STO	S700164642-STO	S700164686-STO	S700164773-STO	S700164830-STO	S700164995-STO	S700165052-STO	S700165148-STO	S700165205-STO	S700165280-STO	S700165376-STO	S700165424-STO	S700165475-STO	S700165586-STO	S700165634-STO	S700165682-STO	S700165778-STO	S700165826-STO	S700165913-STO	S700166047-STO	S700166605-STO	S700166797-STO	S700167847-STO	S700171018-STO	S700171066-STO	S700171114-STO	S700171135-STO	S700171228-STO	S700171246-STO	S700171324-STO	S700171342-STO	S700171390-STO	S700171441-STO	S700171525-STO	S700171573-STO	S700171594-STO	S700171648-STO	S700171696-STO	S700171747-STO	S700171840-STO	S700171897-STO	S700171954-STO	S700171975-STO	S700172068-STO	S700172221-STO	S700172242-STO	S700172299-STO	S700172376-STO	S700172410-STO	S700172518-STO	S700172572-STO	S700172659-STO	S700172764-STO	S700172782-STO	S700172833-STO	S700172992-STO	S700173040-STO	S700173118-STO	S700173139-STO	S700173193-STO	S700173241-STO	S700173397-STO	S700173482-STO	S700173500-STO	S700173578-STO	S700173596-STO	S700173647-STO	S700173878-STO	S700173953-STO	S700175067-STO	S700175142-STO	S700175209-STO	S700175257-STO	S700175325-STO	S700175353-STO
Bacteria	domain				6.911	4.934	2.491	13.017	3.663	4.857	5.254	11.257	3.503	0.245	1.274	1.476	9.71	0.472	4.459	15.219	6.626	5.54	7.087	1.462	10.866	0.169	11.211	5.215	3.197	3.338	0.433	3.4	1.711	11.68	3.348	1.158	6.184	5.843	0.981	10.112	3.051	2.178	1.999	5.192	6.936	4.122	3.537	2.57	6.791	20.897	2.264	8.654	5.393	2.326	0.762	9.577	5.94	16.435	26.803	1.662	7.306	1.478	9.777	6.57	4.422	7.374	2.023	4.956	1.708	6.979	2.151	0.958	13.811	1.223	3.897	2.827	0.033	2.019	9.221	13.484	3.443	7.32	0.987	4.487	13.533	8.442	2.803	4.38	1.511	1.986	21.897	6.859	2.354	8.086	8.133	9.961	3.718	7.062	6.37	35.399	5.164	2.012	1.118	1.596	14.833	0.934	9.418	1.09	1.251	0.967	4.397	9.0	10.178	0.528	0.727	2.201	0.912	5.94	7.061	4.517	0.494	0.345	0.062	0.301	5.956	13.557	0.931	2.456	1.891	3.696	3.427	6.795	7.285	0.481	2.647	6.783	4.094	2.466	8.557	0.511	1.834	5.379	7.446	4.051	12.537	2.507	0.301	20.67	4.141	2.806	1.657	9.579	5.82	1.102	6.407	4.467	8.321	1.988	17.573	6.902	9.52	17.739	2.735	13.151	1.224	3.544	0.725	10.653	6.244	0.403	1.737	0.258	13.522	10.655	1.418	3.778	4.028	8.51	3.248	2.051	0.911	2.866	3.146	1.908	3.467	12.787	3.635	7.142	6.801	5.144	0.396	2.368	1.009	6.162	23.256	8.302	5.055	8.557	2.744	12.364	3.666	1.89	2.498	0.724	3.355	5.721	3.801	20.392	1.186	2.023	1.062	17.783	2.219	14.71	3.587	1.935	5.794	1.504	15.462	5.432	1.111	2.649	5.726	0.615	0.397	1.936	7.672	2.617	0.413	9.484	3.608	8.363	5.791	1.879	3.38	20.41	3.633	2.555	3.326	7.484	8.353	8.004	9.67	1.653	9.591	5.275	4.712	1.625	5.049	4.194	3.572	4.392	0.29	0.174	87.997	59.663	2.643	92.807	1.215	1.197	98.01	77.468	4.595	3.634	1.896	6.749	6.125	1.222	5.024	12.933	5.584	1.75	0.527	6.655	4.244	2.798	1.848	1.585	0.816	0.191	7.778	5.598	2.926	3.602	4.965	2.339	1.16	1.143	18.374	16.903	6.752	2.971	8.558	7.343	5.209	0.994	4.446	4.628	2.764	0.332	0.979	0.204	13.827	1.708	2.058	9.63	10.076	4.253	1.483	1.177	3.003	0.457	2.23	0.374	2.544	3.538	0.815	4.176	5.07	17.704	1.105	3.882	3.931	11.059	6.23	0.638	6.058	0.933	5.983	22.134	25.626	12.574	1.591	6.911	3.753	0.637	5.415	4.902	0.458	4.632	9.184	3.433	1.638	4.559	1.72	4.71	6.676	1.02	1.34	1.626	8.425	8.504	4.103	3.108	12.478	11.875	3.016	3.43	1.012	7.637	4.328	7.408	11.076	5.062	2.723	5.875	4.607	0.696	2.528	28.756	8.644	10.146	14.174	1.846	0.492	7.762	11.48	2.626	4.477	10.459	6.419	0.101	3.43	4.661	0.887	3.223	6.497	3.111	2.128	2.992	0.967	5.079	3.645	1.088	5.4	9.196	1.741	3.85	2.962	4.605	0.6	2.751	5.775	2.53	1.615	1.863	4.186	8.679	0.704	20.084	1.762	56.067	13.733	0.575	1.34
Bacteria;Actinomycetota	phylum				0.2	0.14	0.089	7.557	0.099	0.053	3.523	0.008	2.906	0.127	0.073	0.685	7.093	0.034	0.059	0.212	0.022	1.47	4.409	1.048	3.753	0.034	5.757	0.104	0.0	0.0	0.295	0.23	0.11	0.013	0.393	0.593	0.151	4.443	0.0	0.201	2.253	0.0	1.795	0.031	0.552	3.033	0.117	0.177	0.101	0.1	0.926	3.846	2.282	1.091	0.0	6.569	3.914	15.639	0.026	0.458	1.556	0.0	7.162	4.781	0.111	0.027	0.036	2.087	0.405	0.213	1.408	0.772	9.013	0.951	0.104	0.0	0.0	0.0	0.571	0.0	1.87	3.686	0.466	1.598	0.106	0.19	0.0	0.0	0.219	0.302	0.0	0.603	0.284	1.308	0.218	1.002	0.03	3.545	0.0	2.079	0.0	1.341	0.076	0.22	2.056	0.673	5.104	0.125	0.0	0.322	3.834	4.548	0.883	0.467	0.229	0.803	0.077	3.152	0.128	0.0	0.128	0.0	0.0	0.109	2.23	0.032	0.39	0.655	0.247	0.208	0.0	5.717	0.0	0.103	0.142	1.329	0.475	0.115	6.108	0.021	0.348	2.581	0.0	0.014	0.093	1.029	0.176	0.0	0.093	0.047	0.552	2.7	0.866	0.022	0.073	0.09	2.883	1.197	11.175	3.234	6.594	0.0	0.424	0.035	0.299	0.799	0.496	0.4	0.718	0.067	0.021	0.032	0.038	6.752	0.0	0.0	1.219	2.905	0.58	0.0	0.146	0.043	1.317	1.111	0.347	10.034	0.151	4.18	0.57	4.541	0.01	0.897	0.489	0.128	21.869	0.085	0.078	5.705	0.0	0.0	2.996	0.0	0.041	0.094	1.32	0.617	1.253	14.389	0.412	0.045	0.583	0.0	0.026	0.267	0.082	0.268	3.838	0.2	11.444	4.154	0.57	0.055	4.222	0.0	0.079	0.553	2.127	0.0	0.182	0.02	0.0	2.175	0.306	0.042	1.488	15.585	0.066	1.91	0.359	0.0	6.527	2.064	5.791	0.675	5.141	2.106	4.451	0.0	0.029	0.241	2.262	0.094	0.054	0.0	83.813	33.319	0.0	91.814	0.109	0.0	97.882	45.226	4.313	0.073	0.038	1.907	3.396	0.0	2.596	9.886	0.089	0.597	0.015	2.766	0.156	0.445	0.176	0.0	0.0	0.052	6.023	1.737	0.803	0.071	3.214	0.146	0.294	0.025	0.116	0.301	0.085	0.048	1.843	0.0	0.081	0.352	0.889	1.121	0.095	0.029	0.0	0.01	0.221	0.015	0.0	1.598	0.0	0.122	1.396	0.947	0.054	0.229	0.119	0.0	0.067	0.0	0.081	3.265	0.141	10.278	0.0	0.144	0.86	9.912	0.485	0.084	0.0	0.075	5.004	10.151	25.145	7.647	0.028	6.344	0.012	0.0	0.023	0.54	0.295	0.684	7.589	0.604	0.0	0.211	0.269	0.184	5.089	0.021	1.076	0.0	2.553	0.794	3.538	0.194	1.507	0.0	0.271	3.001	0.324	0.051	0.0	1.849	7.726	0.188	0.0	0.072	0.596	0.058	0.0	0.575	2.229	2.525	6.566	0.143	0.015	0.222	9.769	0.413	0.0	5.24	0.482	0.025	0.225	0.0	0.111	1.57	0.957	1.611	0.095	0.887	0.281	1.101	3.456	0.576	2.667	0.12	0.0	2.38	2.522	0.0	0.0	0.023	0.0	0.445	0.0	0.0	1.83	4.646	0.148	0.0	1.204	0.174	0.216	0.403	0.574
Bacteria;Bacillota	phylum				6.711	4.794	2.226	5.405	3.564	4.777	1.67	11.248	0.597	0.118	1.186	0.791	2.617	0.236	4.306	15.007	6.604	4.07	2.651	0.414	7.097	0.135	5.436	5.077	3.169	3.232	0.064	3.169	1.541	11.667	2.948	0.537	6.033	1.4	0.981	9.825	0.77	2.147	0.205	5.162	4.831	0.855	3.39	2.375	6.646	20.788	1.0	4.549	3.111	1.234	0.738	2.988	2.01	0.778	26.726	1.189	5.727	1.429	2.615	1.761	4.164	7.321	1.964	2.4	1.302	3.85	0.704	0.186	4.799	0.272	3.793	2.827	0.033	2.019	8.651	13.439	1.572	3.634	0.354	2.889	13.415	8.252	0.934	4.38	1.292	1.641	21.897	6.256	2.07	6.779	7.817	8.958	3.658	3.41	6.37	33.306	5.139	0.601	1.005	1.376	12.754	0.233	4.313	0.966	1.213	0.597	0.532	4.452	9.234	0.061	0.499	1.357	0.655	2.787	6.907	4.442	0.347	0.345	0.041	0.192	3.725	13.51	0.541	1.59	1.644	3.488	3.427	1.045	7.285	0.378	2.39	5.454	3.253	2.351	2.423	0.404	1.487	2.798	7.246	4.037	12.056	1.478	0.1	20.67	4.048	2.76	1.105	6.88	4.954	1.069	6.305	4.355	5.379	0.623	6.368	3.668	2.891	17.678	2.311	12.207	0.707	2.72	0.229	10.253	5.526	0.336	1.716	0.226	13.475	3.903	1.289	3.778	2.809	5.604	1.431	2.051	0.728	2.758	1.819	0.797	3.12	2.753	3.446	2.962	6.231	0.604	0.039	1.471	0.474	6.034	0.913	8.09	4.976	2.852	2.744	12.331	0.634	1.89	2.119	0.472	1.999	4.038	1.857	5.993	0.774	1.932	0.458	17.769	2.193	14.443	3.282	1.655	1.956	1.189	3.326	1.272	0.475	2.403	1.384	0.615	0.317	1.328	5.545	2.617	0.215	9.464	3.608	6.188	5.169	1.837	1.866	4.229	3.391	0.645	1.616	7.484	1.578	5.923	3.879	0.961	4.431	3.169	0.242	1.625	5.02	3.953	1.295	4.286	0.217	0.174	0.0	17.25	2.616	0.602	1.034	1.17	0.1	11.8	0.181	3.561	1.858	4.842	2.728	1.134	2.428	3.047	5.495	1.152	0.466	3.889	4.068	2.226	1.166	1.555	0.816	0.139	1.755	3.861	2.123	1.266	1.69	2.193	0.833	1.068	18.258	16.584	6.667	2.9	6.698	7.161	5.107	0.331	3.18	3.508	2.668	0.289	0.979	0.112	13.606	1.555	2.058	7.992	10.033	4.131	0.087	0.23	2.913	0.229	1.912	0.306	2.477	3.538	0.733	0.911	4.648	7.427	1.105	3.666	2.457	1.146	5.744	0.554	6.058	0.784	0.952	11.982	0.458	4.888	1.396	0.547	3.706	0.485	5.391	4.362	0.098	3.077	1.596	2.637	1.638	4.348	1.451	3.246	1.56	0.999	0.264	1.626	5.835	6.492	0.565	2.898	10.971	11.736	2.73	0.396	0.688	7.535	3.95	5.384	3.35	4.838	1.143	4.629	3.553	0.541	2.342	27.2	3.594	7.591	7.608	1.541	0.452	7.54	1.711	1.654	4.404	5.219	3.482	0.076	3.205	4.616	0.055	1.653	5.497	1.501	2.014	2.084	0.686	3.884	0.189	0.48	2.7	8.937	1.718	1.47	0.396	4.579	0.579	2.705	5.775	1.983	1.592	1.863	2.357	4.033	0.522	20.084	0.558	55.88	13.495	0.144	0.766
Bacteria;Fusobacteriota	phylum				0.0	0.0	0.01	0.028	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.017	0.0	0.017	0.026	0.0	0.0	0.016	0.0	0.02	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.029	0.031	0.0	0.0	0.0	0.016	0.015	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.014	0.0	0.0	0.019	0.014	0.016	0.0	0.018	0.0	0.0	0.014	0.019	0.0	0.026	0.019	0.0	0.0	0.021	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.892	1.771	0.027	0.142	0.018	0.0	0.008	9.246	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.794	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.241	0.0	0.097	0.186	0.767	0.0	0.0	0.0	0.029	0.015	0.0	0.0	0.528	0.049	0.0	0.214	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.019	0.021	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.029	0.0
Bacteria;Pseudomonadota	phylum				0.0	0.0	0.167	0.028	0.0	0.027	0.046	0.001	0.0	0.0	0.015	0.0	0.0	0.202	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.029	0.106	0.058	0.0	0.04	0.0	0.006	0.0	0.0	0.0	0.0	0.086	0.0	0.0	0.0	0.0	1.553	0.218	0.015	0.018	0.029	0.01	0.338	0.259	0.0	0.0	0.025	0.02	0.015	0.017	0.051	0.014	0.024	0.049	0.0	0.028	0.147	0.0	0.024	0.469	0.0	2.915	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.168	0.0	0.012	0.0	1.868	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.097	0.0	0.03	0.081	0.0	0.014	0.025	0.069	0.019	0.0	0.022	0.014	0.0	0.0	0.019	0.034	0.016	0.0	0.043	0.0	0.0	0.027	0.161	0.0	0.0	0.056	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.033	0.0	0.0	0.114	0.0	0.366	0.0	0.026	0.085	0.0	0.0	0.201	0.0	0.389	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.029	0.022	0.059	0.168	0.03	0.0	0.0	0.062	0.0	0.909	0.218	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.129	0.0	0.0	0.0	1.199	0.0	0.0	0.065	0.01	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.348	0.0	0.015	0.0	0.474	0.127	0.0	0.0	0.0	0.0	0.035	0.0	0.337	0.157	0.036	1.066	0.648	0.01	0.0	0.045	0.0	0.015	0.0	0.0	0.224	0.011	0.0	0.115	0.692	0.006	0.066	0.191	0.12	0.0	0.0	0.055	0.0	0.0	0.017	0.0	0.0	0.0	0.315	0.0	0.025	0.597	0.176	0.0	0.193	0.0	0.247	0.016	0.0	0.017	0.019	0.0	0.019	0.0	0.0	0.0	0.016	0.012	0.0	0.0	3.292	7.324	0.0	0.248	0.054	0.027	0.02	11.196	0.101	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.0	0.0	0.015	0.0	0.02	0.127	0.506	0.015	0.0	0.0	0.0	0.0	0.0	2.229	0.061	0.0	0.033	0.05	0.0	0.0	0.0	0.024	0.016	0.182	0.02	0.311	0.377	0.0	0.0	0.014	0.0	0.082	0.0	0.137	0.0	0.039	0.044	0.0	0.0	0.0	0.036	0.0	0.199	0.068	0.0	0.0	0.0	0.0	0.282	0.0	0.0	0.072	0.614	0.0	0.0	0.0	0.0	0.037	0.027	0.0	0.0	0.039	0.168	0.02	0.036	0.091	0.0	0.0	0.065	0.87	0.0	0.192	0.0	0.0	0.0	1.28	0.027	0.0	0.0	0.0	0.036	0.425	0.0	0.016	0.0	0.139	0.015	0.019	0.0	0.051	0.378	0.175	0.0	0.035	1.532	0.932	0.458	0.0	0.0	0.213	2.821	0.03	0.0	0.133	0.01	0.0	0.0	0.031	0.024	0.0	2.241	0.0	0.0	0.023	0.721	0.0	0.042	0.0	0.0	0.0	0.0	0.094	0.0	0.032	0.0	0.14	0.023	0.0	0.044	0.0	0.021	0.023	0.0	0.101	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.012	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes	class				0.033	0.047	0.03	7.474	0.099	0.053	0.0	0.004	0.02	0.009	0.029	0.673	0.063	0.0	0.035	0.0	0.0	0.057	0.0	0.073	0.017	0.034	0.186	0.065	0.0	0.0	0.064	0.0	0.1	0.013	0.127	0.085	0.151	0.089	0.0	0.0	0.285	0.0	0.121	0.0	0.483	0.0	0.059	0.106	0.0	0.1	0.0	0.869	0.0	0.0	0.0	0.0	0.046	0.026	0.026	0.0	0.0	0.0	4.666	0.168	0.111	0.027	0.0	0.104	0.0	0.051	0.0	0.426	0.0	0.0	0.035	0.0	0.0	0.0	0.069	0.0	0.054	3.686	0.037	0.031	0.106	0.143	0.0	0.0	0.073	0.302	0.0	0.603	0.199	0.131	0.024	0.091	0.03	0.188	0.0	1.19	0.0	0.069	0.0	0.028	0.044	0.027	0.0	0.125	0.0	0.062	0.016	0.032	0.0	0.467	0.0	0.189	0.058	0.0	0.128	0.0	0.073	0.0	0.0	0.027	0.0	0.016	0.0	0.047	0.192	0.0	0.0	0.392	0.0	0.034	0.057	0.069	0.02	0.029	0.0	0.021	0.058	0.0	0.0	0.0	0.019	0.0	0.176	0.0	0.0	0.047	0.13	0.312	0.027	0.011	0.044	0.0	0.0	0.216	0.0	0.0	0.0	0.0	0.039	0.0	0.054	0.05	0.038	0.041	0.0	0.0	0.011	0.0	0.026	0.022	0.0	0.0	0.0	0.024	0.0	0.0	0.073	0.0	0.0	0.0	0.039	0.0	0.114	0.0	0.0	0.0	0.01	0.092	0.031	0.128	0.0	0.0	0.078	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.045	0.021	0.0	0.026	0.178	0.082	0.257	0.0	0.0	0.0	0.0	0.019	0.055	0.0	0.0	0.045	0.037	0.103	0.0	0.017	0.0	0.0	0.0	0.306	0.042	0.101	0.0	0.0	0.0	0.16	0.0	0.016	0.0	0.054	0.051	0.374	0.02	0.0	0.0	0.015	0.206	0.0	0.075	0.018	0.0	83.813	32.925	0.0	91.814	0.0	0.0	97.848	45.226	0.0	0.073	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.346	0.0	0.382	0.022	0.0	0.0	0.017	0.0	0.032	0.086	0.071	0.0	0.0	0.016	0.025	0.087	0.177	0.042	0.048	0.049	0.0	0.0	0.0	0.027	0.127	0.0	0.014	0.0	0.01	0.037	0.015	0.0	0.312	0.0	0.122	0.087	0.014	0.036	0.0	0.119	0.0	0.067	0.0	0.081	0.0	0.141	0.0	0.0	0.0	0.86	0.0	0.485	0.084	0.0	0.075	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.023	0.0	0.033	0.0	0.035	0.0	0.0	0.211	0.054	0.184	0.027	0.021	0.02	0.0	0.0	0.769	0.237	0.049	0.177	0.0	0.0	0.0	0.256	0.051	0.0	0.018	0.0	0.0	0.0	0.072	0.0	0.019	0.0	0.575	2.184	0.236	0.13	0.143	0.0	0.085	0.0	0.391	0.0	0.0	0.134	0.025	0.187	0.0	0.111	0.083	0.568	0.0	0.0	0.413	0.018	0.016	0.047	0.064	0.017	0.12	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.102	0.0	1.204	0.122	0.0	0.403	0.498
