Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700013596-STO	S700014956-STO	S700015250-STO	S700015407-STO	S700015981-STO	S700016012-STO	S700016021-STO	S700016029-STO	S700016142-STO	S700016564-STO	S700016610-STO	S700016921-STO	S700021876-STO	S700021934-STO	S700023023-STO	S700023096-STO	S700023267-STO	S700023313-STO	S700023477-STO	S700023539-STO	S700023578-STO	S700023654-STO	S700023788-STO	S700023845-STO	S700023902-STO	S700023936-STO	S700023987-STO	S700024044-STO	S700024107-STO	S700024173-STO	S700024233-STO	S700024254-STO	S700024318-STO	S700024379-STO	S700024437-STO	S700024470-STO	S700024509-STO	S700024566-STO	S700024615-STO	S700024673-STO	S700024711-STO	S700024752-STO	S700024866-STO	S700024930-STO	S700024998-STO	S700033153-STO	S700033438-STO	S700033749-STO	S700037026-STO	S700037200-STO	S700037484-STO	S700037560-STO	S700037738-STO	S700038053-STO	S700038263-STO	S700038386-STO	S700038472-STO	S700038520-STO	S700038740-STO	S700038761-STO	S700038978-STO	S700095372-STO	S700095429-STO	S700097253-STO	S700097313-STO	S700097650-STO	S700098381-STO	S700098954-STO	S700099021-STO	S700099081-STO	S700099609-STO	S700099765-STO	S700100249-STO	S700101657-STO	S700102261-STO	S700102607-STO	S700102924-STO	S700103327-STO	S700103328-STO	S700103478-STO	S700103499-STO	S700103575-STO	S700103653-STO	S700103710-STO	S700105001-STO	S700105087-STO	S700105124-STO	S700105181-STO	S700105238-STO	S700105306-STO	S700105334-STO	S700105372-STO	S700105459-STO	S700105496-STO	S700105612-STO	S700105632-STO	S700105723-STO	S700105771-STO	S700105822-STO	S700105856-STO	S700105904-STO	S700106056-STO	S700106093-STO	S700106170-STO	S700106259-STO	S700106326-STO	S700106350-STO	S700106465-STO	S700106542-STO	S700106579-STO	S700106647-STO	S700106695-STO	S700106723-STO	S700106784-STO	S700106837-STO	S700106914-STO	S700106930-STO	S700106978-STO	S700113035-STO	S700113093-STO	S700113144-STO	S700113541-STO	S700113562-STO	S700113616-STO	S700113664-STO	S700113840-STO	S700113954-STO	S700114017-STO	S700114125-STO	S700114179-STO	S700114246-STO	S700114419-STO	S700114480-STO	S700114517-STO	S700114596-STO	S700114653-STO	S700114701-STO	S700114749-STO	S700114767-STO	S700114872-STO	S700114939-STO	S700114977-STO	S700116201-STO	S700116326-STO	S700116390-STO	S700116600-STO	S700116810-STO	S700116828-STO	S700117000-STO	S700117682-STO	S700117755-STO	S700117860-STO	S700117992-STO
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella;lenta	species	654	2852		0.217	0.034	0.066	0.147	1.74	0.0	1.835	0.084	0.043	0.033	0.127	0.731	1.839	0.0	1.341	0.0	0.036	0.094	0.04	0.0	0.0	0.164	0.0	1.51	0.0	0.052	1.142	0.0	0.655	0.017	0.037	2.039	0.011	0.04	0.15	0.0	1.021	1.132	1.438	0.644	0.0	3.735	6.84	0.0	0.086	0.0	0.205	5.718	0.427	0.0	0.948	0.4	1.25	0.099	3.187	0.019	0.351	0.0	0.0	0.0	0.0	0.515	0.0	0.023	0.0	1.045	2.249	0.0	0.235	1.283	0.0	0.0	0.0	2.303	0.087	0.405	0.714	0.0	0.063	0.0	0.0	0.0	0.02	5.054	0.0	0.0	0.338	1.394	0.217	0.545	0.0	0.009	0.051	0.464	0.279	0.104	7.037	0.201	0.025	2.723	0.131	3.126	0.006	0.485	0.191	0.0	0.0	7.515	0.1	0.068	1.7	0.0	0.0	1.152	0.0	0.021	0.061	0.338	0.031	0.971	0.0	0.0	3.75	0.45	0.0	0.322	0.857	0.012	0.011	0.011	1.291	0.029	0.0	0.335	0.488	0.0	0.0	0.081	0.014	0.294	0.041	0.0	0.482	0.0	1.154	0.0	0.099	0.0	2.575	0.087	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;rava	species	302	2582		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;durans	species	880	3026		0.118	0.0	0.0	0.0	0.0	0.0	0.264	0.0	0.121	0.0	0.0	0.0	0.0	0.0	0.766	0.117	0.325	0.0	0.182	0.374	0.027	0.0	0.28	0.643	0.0	0.325	0.0	0.0	0.042	0.0	0.524	0.102	0.0	0.415	0.0	0.0	0.404	2.453	1.201	0.149	0.0	0.417	0.0	26.394	0.086	0.007	0.053	0.47	3.328	1.169	4.727	0.008	1.508	0.0	1.815	0.0	0.0	0.034	0.013	0.0	0.0	0.057	0.0	0.0	0.173	0.0	0.758	0.067	0.0	1.053	0.0	0.0	6.936	0.0	0.0	0.0	3.78	0.0	0.0	0.042	1.666	0.0	0.112	1.174	0.0	0.0	0.213	0.0	0.461	2.224	0.217	0.0	0.0	0.0	0.021	0.0	0.0	0.064	3.171	2.027	0.056	0.0	0.0	0.0	0.0	0.0	1.76	0.0	4.714	0.818	0.584	0.0	3.384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.154	0.0	0.0	0.637	0.054	0.0	0.0	2.783	1.157	0.012	0.043	0.0	0.084	0.0	0.176	1.218	0.0	0.0	0.972	0.055	0.0	0.289	0.0	0.219	0.0	0.0	0.0	0.0	0.035	0.184	4.353	1.805
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius	species	755	2926		3.807	4.192	3.749	34.336	22.7	1.387	12.979	4.775	0.017	32.907	11.562	52.68	16.82	46.86	0.0	39.986	0.0	0.261	23.456	12.421	0.107	1.001	2.151	32.462	3.489	28.498	4.491	16.285	27.149	38.006	40.402	3.596	2.141	17.187	6.328	0.532	16.31	0.0	8.447	0.011	15.288	8.238	17.775	0.0	2.25	18.638	15.015	0.0	0.0	0.0	0.0	22.926	51.174	3.019	0.0	33.765	12.787	0.0	20.334	14.768	4.614	11.95	9.409	32.371	8.287	13.208	23.092	27.294	16.673	0.0	0.0	20.422	32.983	32.086	16.807	25.427	0.0	0.336	8.221	3.042	36.562	8.914	0.0	14.064	82.07	1.96	37.018	18.964	67.028	12.864	20.364	6.521	31.553	4.197	16.004	8.318	0.0	0.0	7.501	0.0	17.136	4.437	0.0	4.554	20.791	0.172	56.453	0.011	0.0	2.932	35.502	4.744	9.559	10.709	18.372	21.542	0.757	26.258	10.864	0.0	15.129	82.579	7.894	36.2	49.671	24.7	0.0	33.404	0.0	58.827	20.371	2.485	19.529	27.92	7.751	2.987	20.252	6.038	17.045	28.667	1.473	23.381	36.063	0.0	37.982	22.347	25.037	9.047	14.003	21.384	20.501	0.029	9.66
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus	species	118	2407		6.588	3.442	0.0	0.0	0.162	0.0	0.028	0.0	0.121	0.0	4.132	0.0	0.0	0.116	3.942	0.0	1.083	0.0	0.0	0.0	9.622	0.0	2.581	0.0	0.0	3.716	0.0	0.0	0.0	1.207	2.048	0.0	3.313	0.0	0.0	27.778	0.0	0.222	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.066	0.0	0.0	0.0	36.79	4.727	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.806	1.8	1.213	0.0	0.0	0.0	48.788	0.0	0.0	0.0	8.185	0.0	0.923	0.112	0.0	0.75	1.377	0.0	0.0	0.0	0.127	0.0	0.0	7.359	0.0	0.0	2.646	0.689	1.665	0.0	0.0	0.271	0.0	0.0	0.0	0.016	0.0	0.0	0.0	1.18	0.0	0.0	1.445	0.687	0.0	4.614	0.103	0.0	0.0	0.0	0.0	1.479	0.0	0.261	0.0	0.0	0.0	1.358	0.0	0.0	0.0	0.0	0.0	0.0	0.284	0.275	0.0	0.0	0.0	0.0	0.0	0.273	0.497	0.0	0.0	0.0	0.0	0.0	0.0	0.887	1.416	0.0	0.493	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia;magna	species	662	2858		0.0	0.0	1.566	2.979	0.0	10.112	0.0	0.007	0.0	0.0	0.0	1.538	4.095	0.0	0.0	2.181	0.0	0.007	0.848	0.492	3.913	0.327	0.0	0.377	0.583	0.0	0.0	0.837	0.0	0.0	0.0	0.256	0.0	0.737	6.842	0.0	0.182	0.0	0.67	1.058	0.644	1.619	0.0	0.357	0.0	0.0	3.035	0.329	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.787	0.0	4.217	1.567	0.06	4.088	19.223	0.103	0.0	4.296	0.0	0.0	0.0	0.0	0.0	4.177	7.58	3.045	0.0	0.0	0.0	0.0	0.0	0.835	0.0	0.0	12.883	1.502	0.0	3.39	0.0	0.0	0.0	1.38	0.0	0.0	0.0	1.846	0.0	0.417	2.076	0.356	0.176	0.0	3.435	0.0	0.006	0.342	0.044	0.172	0.0	0.0	0.025	0.0	0.0	4.498	7.455	0.0	1.418	0.0	0.0	0.0	2.928	0.0	0.857	0.0	0.52	0.45	9.174	0.429	3.219	0.0	0.0	0.0	0.615	0.0	0.135	0.335	3.77	0.0	0.0	0.0	0.0	2.231	1.569	0.0	1.471	0.0	0.0	0.0	0.0	0.393	0.313	0.192	0.155	3.878	0.106
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;gonidiaformans	species	860	3008		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis;clade-638	subspecies	638	2840		0.394	1.789	3.522	2.566	1.246	0.0	1.877	0.077	0.251	0.582	1.047	2.777	21.58	0.116	9.061	9.353	6.354	6.076	20.993	9.668	1.327	0.819	17.57	0.336	2.601	14.643	9.683	0.237	5.536	5.687	8.032	6.863	11.933	9.216	1.617	0.373	6.366	0.966	1.857	0.724	0.718	1.106	9.902	0.833	3.579	4.351	2.693	1.9	0.337	1.023	1.234	7.985	0.474	6.043	8.527	1.855	14.477	7.302	3.665	0.949	3.64	0.343	0.905	0.616	3.798	1.19	2.527	0.319	2.864	4.326	7.228	0.0	0.0	8.932	0.262	2.54	1.637	0.0	5.46	6.803	8.418	0.343	1.366	1.174	0.302	1.307	4.318	7.326	0.081	1.925	7.786	4.143	1.858	19.434	16.497	8.505	1.557	8.278	10.949	0.095	6.963	4.504	7.345	6.165	3.598	3.959	0.0	0.0	6.959	1.068	0.172	2.056	0.823	6.897	2.786	1.062	4.52	2.455	4.176	12.01	11.873	0.189	11.787	9.387	0.658	4.454	1.39	0.112	7.577	0.0	2.754	4.108	2.38	8.726	0.0	39.672	8.572	2.783	1.929	5.214	1.282	0.062	3.269	7.229	1.168	2.971	18.003	3.507	15.004	4.827	28.231	0.941	5.768
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-411	subspecies	411	2674	Neither HMT-411 nor HMT-721 were present singularly so these reads were split evenly at this site (STO).	0.0	0.013	0.005	0.0	0.004	0.0	0.0	0.052	0.004	0.0	0.008	0.0	0.0	0.0	0.014	0.003	0.0	0.013	0.0	0.0	0.007	0.0	0.0	0.028	0.024	0.105	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.006	0.0	0.008	0.0	0.0	0.0	0.001	0.008	0.026	0.0	0.011	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.011	0.003	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.008	0.022	0.0	0.0	0.006	0.0	0.0	0.0	0.811	0.0	0.0	0.011	0.013	0.0	0.005	0.0	0.01	0.0	0.013	0.007	0.014	0.0	0.0	0.006	0.003	0.016	0.0	0.006	0.009	0.025	0.0	0.0	0.0	0.089	0.006	0.003	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.01	0.0	0.0	0.009	0.008	0.0	0.0	0.0	0.011	0.0	0.0	0.006	0.0	0.0	0.006	0.0	0.014	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.015	0.0	0.0	0.005	0.017	0.0	0.005	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-721	subspecies	721	2900	Neither HMT-411 nor HMT-721 were present singularly so these reads were split evenly at this site (STO).	0.0	0.013	0.005	0.0	0.004	0.0	0.0	0.052	0.004	0.0	0.008	0.0	0.0	0.0	0.014	0.003	0.0	0.013	0.0	0.0	0.007	0.0	0.0	0.028	0.024	0.105	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.006	0.0	0.008	0.0	0.0	0.0	0.001	0.008	0.026	0.0	0.011	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.011	0.003	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.008	0.022	0.0	0.0	0.006	0.0	0.0	0.0	0.811	0.0	0.0	0.011	0.013	0.0	0.005	0.0	0.01	0.0	0.013	0.007	0.014	0.0	0.0	0.006	0.003	0.016	0.0	0.006	0.009	0.025	0.0	0.0	0.0	0.089	0.006	0.003	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.01	0.0	0.0	0.009	0.008	0.0	0.0	0.0	0.011	0.0	0.0	0.006	0.0	0.0	0.006	0.0	0.014	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.015	0.0	0.0	0.005	0.017	0.0	0.005	0.0
UNMATCHED	UNMATCHED				88.876	90.508	88.894	59.971	74.144	88.501	83.017	94.952	99.438	66.478	83.117	42.275	55.665	52.907	84.862	48.358	92.202	93.536	54.461	77.046	84.991	97.69	77.419	64.616	93.278	52.556	84.683	82.64	66.618	55.083	48.946	87.144	82.602	72.405	85.05	71.317	75.701	95.226	86.386	97.413	83.225	84.244	64.591	72.415	93.978	76.938	78.991	91.584	95.907	61.018	88.364	68.681	45.572	90.833	85.901	64.341	71.443	92.629	71.759	82.715	91.289	83.019	70.462	66.887	86.937	78.462	70.162	72.303	80.228	93.321	43.94	75.401	52.502	53.623	74.658	71.628	92.945	97.931	86.256	88.527	51.955	90.717	85.618	77.022	17.501	93.322	58.113	64.932	32.199	81.035	68.988	88.638	64.86	74.052	67.167	82.385	89.318	91.083	78.127	95.139	72.279	87.933	92.467	87.025	75.065	95.697	40.342	91.783	88.202	90.5	61.94	88.684	78.779	81.241	77.423	75.854	94.641	70.688	81.945	87.002	72.016	15.72	76.05	53.513	39.839	69.075	94.535	66.458	89.345	39.73	74.945	82.347	77.928	62.601	87.983	56.892	69.462	90.983	81.012	62.622	95.58	76.557	58.401	88.095	57.959	74.579	56.368	86.997	68.095	73.057	50.929	90.791	82.661
