Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev
Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Pyramidobacter	genus			0.004	0.001	0.0	0.003	0.004	17.143	0.0	0.0	0.0	0.002	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.226	0.0	0.0	0.0	0.001	2.703	0.004	0.0	0.0	0.022	2.941	0.0	0.0	0.0	0.001	6.0	0.0	0.0	0.0	0.001	5.0	0.001	0.0	0.0	0.003	6.061	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium	genus			0.392	0.031	0.0	0.143	0.078	34.286	0.008	0.0	0.031	0.021	25.0	0.004	0.0	0.004	0.013	20.93	0.07	0.0	0.04	0.277	41.935	0.392	0.0	0.963	1.2	43.243	0.02	0.0	0.094	0.044	47.059	0.006	0.0	0.018	0.012	42.0	0.001	0.0	0.002	0.003	12.5	0.008	0.0	0.024	0.019	36.364	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G3]	genus			0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.003	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1]	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.22	0.217	0.0	0.814	0.356	77.143	0.151	0.0	0.44	0.282	78.571	0.066	0.0	0.222	0.128	62.791	0.076	0.0	0.062	0.334	61.29	0.097	0.0	0.291	0.221	56.757	0.22	0.0	0.722	0.396	70.588	0.082	0.0	0.26	0.167	80.0	0.031	0.0	0.044	0.109	62.5	0.019	0.0	0.053	0.038	63.636	0.007	0.0	0.026	0.02	15.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.118	0.0	0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.118	0.0	0.0	0.654	6.452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineae [G1]	genus			0.013	0.001	0.0	0.001	0.003	11.429	0.0	0.0	0.0	0.002	7.143	0.0	0.0	0.0	0.002	2.326	0.0	0.0	0.001	0.001	16.129	0.013	0.0	0.003	0.065	10.811	0.001	0.0	0.002	0.002	14.706	0.0	0.0	0.0	0.002	6.0	0.0	0.0	0.0	0.001	2.5	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	genus			0.96	0.772	0.002	0.997	2.5	91.429	0.586	0.008	1.129	1.697	100.0	0.279	0.0	0.612	0.751	79.07	0.123	0.0	0.364	0.282	80.645	0.928	0.0	3.166	1.655	86.486	0.96	0.006	3.632	1.912	94.118	0.227	0.0	0.619	0.506	88.0	0.052	0.0	0.148	0.129	67.5	0.146	0.0	0.093	0.595	78.788	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			0.013	0.003	0.0	0.006	0.011	20.0	0.005	0.0	0.002	0.017	14.286	0.0	0.0	0.0	0.001	4.651	0.0	0.0	0.0	0.001	3.226	0.007	0.0	0.001	0.036	10.811	0.001	0.0	0.0	0.003	8.824	0.003	0.0	0.0	0.022	8.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.073	6.061	0.0	0.0	0.0	0.001	10.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
