Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014982-AKE	S700015894-AKE	S700015950-AKE	S700016069-AKE	S700016160-AKE	S700016325-AKE	S700016366-AKE	S700016397-AKE	S700016488-AKE	S700016582-AKE	S700016637-AKE	S700016734-AKE	S700016792-AKE	S700016939-AKE	S700021846-AKE	S700021866-AKE	S700021904-AKE	S700023003-AKE	S700023086-AKE	S700023220-AKE	S700023253-AKE	S700023410-AKE	S700023467-AKE	S700023521-AKE	S700023568-AKE	S700023613-AKE	S700023778-AKE	S700023835-AKE	S700023892-AKE	S700023958-AKE	S700024015-AKE	S700024056-AKE	S700024119-AKE	S700024177-AKE	S700024223-AKE	S700024282-AKE	S700024330-AKE	S700024369-AKE	S700024423-AKE	S700024482-AKE	S700024531-AKE	S700024578-AKE	S700024627-AKE	S700024663-AKE	S700024723-AKE	S700024780-AKE	S700024817-AKE	S700024894-AKE	S700024938-AKE	S700024988-AKE	S700032016-AKE	S700032105-AKE	S700032160-AKE	S700032189-AKE	S700032262-AKE	S700032355-AKE	S700032441-AKE	S700032663-AKE	S700032962-AKE	S700033008-AKE	S700033171-AKE	S700033229-AKE	S700033400-AKE	S700033465-AKE	S700033530-AKE	S700033595-AKE	S700033692-AKE	S700033767-AKE	S700033824-AKE	S700033959-AKE	S700034061-AKE	S700034118-AKE	S700034206-AKE	S700034272-AKE	S700034659-AKE	S700034812-AKE	S700034875-AKE	S700034944-AKE	S700035194-AKE	S700035274-AKE	S700035339-AKE	S700035418-AKE	S700035551-AKE	S700035613-AKE	S700035675-AKE	S700035765-AKE	S700035822-AKE	S700035879-AKE	S700035971-AKE	S700037064-AKE	S700037102-AKE	S700037153-AKE	S700037212-AKE	S700037264-AKE	S700037315-AKE	S700037369-AKE	S700037417-AKE	S700037460-AKE	S700037572-AKE	S700037724-AKE	S700037769-AKE	S700037826-AKE	S700037995-AKE	S700038043-AKE	S700038138-AKE	S700038239-AKE	S700038376-AKE	S700038462-AKE	S700038510-AKE	S700038558-AKE	S700038606-AKE	S700038714-AKE	S700038773-AKE	S700038882-AKE	S700038930-AKE	S700038990-AKE	S700095253-AKE	S700095390-AKE	S700095447-AKE	S700095504-AKE	S700095561-AKE	S700095687-AKE	S700095754-AKE	S700095868-AKE	S700096398-AKE	S700097214-AKE	S700097271-AKE	S700097331-AKE	S700097668-AKE	S700097728-AKE	S700097877-AKE	S700098307-AKE	S700098399-AKE	S700098579-AKE	S700098972-AKE	S700099039-AKE	S700099099-AKE	S700099325-AKE	S700099627-AKE	S700099783-AKE	S700099840-AKE	S700099926-AKE	S700100059-AKE	S700100267-AKE	S700100330-AKE	S700100450-AKE	S700100508-AKE	S700100577-AKE	S700100637-AKE	S700101113-AKE	S700101171-AKE	S700101261-AKE	S700101327-AKE	S700101384-AKE	S700101552-AKE	S700101618-AKE	S700101675-AKE	S700101877-AKE	S700101934-AKE	S700102279-AKE	S700102393-AKE	S700102450-AKE	S700102625-AKE	S700102885-AKE	S700102942-AKE	S700102987-AKE	S700103317-AKE	S700103458-AKE	S700103597-AKE	S700103633-AKE	S700105023-AKE	S700105077-AKE	S700105136-AKE	S700105193-AKE	S700105250-AKE	S700105346-AKE	S700105429-AKE	S700105504-AKE	S700105602-AKE	S700105658-AKE	S700105697-AKE	S700105751-AKE	S700105818-AKE	S700105868-AKE	S700105916-AKE	S700105948-AKE	S700106372-AKE	S700106424-AKE	S700106532-AKE	S700106591-AKE	S700106888-AKE	S700106958-AKE	S700107077-AKE	S700107415-AKE	S700107526-AKE	S700107583-AKE	S700107910-AKE	S700107967-AKE	S700108135-AKE	S700108198-AKE	S700108258-AKE	S700108570-AKE	S700108636-AKE	S700108933-AKE	S700109210-AKE	S700109543-AKE	S700109600-AKE	S700109661-AKE	S700109961-AKE	S700110129-AKE	S700110786-AKE	S700111196-AKE	S700111262-AKE	S700111336-AKE	S700111785-AKE	S700112022-AKE	S700112083-AKE	S700112413-AKE	S700112527-AKE	S700112792-AKE	S700113083-AKE	S700113130-AKE	S700113187-AKE	S700113515-AKE	S700113590-AKE	S700113628-AKE	S700113686-AKE	S700113725-AKE	S700113830-AKE	S700113887-AKE	S700113944-AKE	S700114029-AKE	S700114137-AKE	S700114201-AKE	S700114258-AKE	S700114399-AKE	S700114470-AKE	S700114529-AKE	S700114570-AKE	S700114691-AKE	S700114739-AKE	S700114789-AKE	S700114846-AKE	S700114894-AKE	S700114951-AKE	S700114999-AKE	S700116011-AKE	S700116067-AKE	S700116124-AKE	S700116170-AKE	S700116229-AKE	S700116265-AKE	S700116316-AKE	S700116370-AKE	S700116421-AKE	S700116544-AKE	S700116580-AKE	S700116631-AKE	S700116688-AKE	S700116742-AKE	S700116790-AKE	S700116850-AKE	S700116878-AKE	S700116937-AKE	S700117012-AKE	S700117048-AKE	S700117108-AKE	S700117163-AKE	S700117204-AKE	S700117615-AKE	S700117672-AKE	S700117729-AKE	S700117786-AKE	S700117840-AKE	S700117966-AKE	S700118450-AKE	S700119082-AKE	S700119202-AKE	S700119344-AKE	S700119602-AKE	S700119776-AKE	S700119836-AKE	S700119901-AKE	S700120027-AKE	S700120077-AKE	S700120682-AKE	S700121030-AKE	S700121282-AKE	S700121339-AKE	S700121679-AKE	S700122022-AKE	S700122384-AKE	S700123602-AKE	S700161030-AKE	S700161087-AKE	S700161143-AKE	S700161192-AKE	S700161309-AKE	S700161522-AKE	S700161610-AKE	S700161661-AKE	S700161716-AKE	S700161830-AKE	S700161884-AKE	S700161935-AKE	S700163058-AKE	S700163229-AKE	S700163286-AKE	S700163382-AKE	S700163487-AKE	S700163533-AKE	S700163602-AKE	S700163640-AKE	S700163689-AKE	S700163746-AKE	S700163802-AKE	S700163843-AKE	S700164062-AKE	S700164117-AKE	S700164171-AKE	S700164297-AKE	S700164329-AKE	S700164383-AKE	S700164483-AKE	S700164528-AKE	S700164585-AKE	S700164660-AKE	S700164698-AKE	S700164747-AKE	S700164804-AKE	S700164882-AKE	S700165026-AKE	S700165128-AKE	S700165179-AKE	S700165292-AKE	S700165388-AKE	S700165436-AKE	S700165503-AKE	S700165598-AKE	S700165646-AKE	S700165694-AKE	S700165790-AKE	S700165838-AKE	S700165887-AKE	S700165944-AKE	S700165998-AKE	S700166065-AKE	S700166623-AKE	S700166815-AKE	S700171046-AKE	S700171094-AKE	S700171163-AKE	S700171202-AKE	S700171258-AKE	S700171304-AKE	S700171354-AKE	S700171402-AKE	S700171449-AKE	S700171505-AKE	S700171553-AKE	S700171606-AKE	S700171708-AKE	S700171775-AKE	S700171814-AKE	S700171871-AKE	S700171944-AKE	S700172003-AKE	S700172042-AKE	S700172195-AKE	S700172270-AKE	S700172311-AKE	S700172422-AKE	S700172489-AKE	S700172530-AKE	S700172584-AKE	S700172633-AKE	S700172689-AKE	S700172738-AKE	S700172794-AKE	S700172845-AKE	S700173004-AKE	S700173052-AKE	S700173098-AKE	S700173151-AKE	S700173205-AKE	S700173253-AKE	S700173301-AKE	S700173409-AKE	S700173462-AKE	S700173512-AKE	S700173558-AKE	S700173608-AKE	S700173659-AKE	S700173812-AKE	S700173858-AKE	S700173908-AKE	S700173979-AKE	S700175011-AKE	S700175047-AKE	S700175098-AKE	S700175164-AKE	S700175221-AKE	S700175269-AKE	S700175315-AKE	S700175365-AKE
Bacteria	domain				98.676	100.0	99.297	96.617	98.367	99.302	98.373	99.067	99.339	97.736	97.124	98.436	99.128	98.903	99.214	98.892	99.554	99.956	97.914	99.621	100.0	96.93	99.629	99.718	99.419	99.401	96.345	99.642	97.548	99.699	99.44	99.465	99.817	99.934	98.996	97.745	99.162	99.653	98.913	99.448	99.581	99.298	99.544	99.731	99.792	98.962	96.843	97.76	97.476	97.612	95.186	99.693	100.0	93.566	99.293	99.689	99.583	97.681	99.467	99.822	97.213	91.525	99.905	96.716	98.193	99.851	98.911	99.22	80.706	94.73	97.438	90.468	96.52	91.529	95.941	96.319	99.016	96.369	96.999	98.017	97.141	98.929	100.0	98.898	96.869	92.905	98.47	98.747	99.88	99.871	98.889	98.915	95.93	98.281	98.348	99.658	99.733	99.608	99.46	99.495	97.805	99.377	99.489	99.933	99.451	98.915	97.213	99.467	99.554	99.318	98.911	99.431	99.677	98.76	99.654	88.336	97.052	96.124	96.261	88.149	99.314	97.149	97.591	98.291	98.161	98.931	98.886	97.747	99.903	98.717	99.037	89.32	96.437	98.865	94.453	99.257	99.324	99.724	99.401	97.68	99.939	98.117	100.0	99.419	99.794	99.964	98.764	85.225	99.455	99.267	99.471	97.164	98.746	97.91	97.814	98.1	99.515	98.457	97.02	99.024	98.497	98.831	93.017	97.619	99.223	99.718	99.173	98.863	99.785	99.944	99.932	99.832	99.816	99.371	98.571	99.211	98.175	99.357	100.0	98.878	99.486	100.0	96.664	97.238	98.104	100.0	99.449	99.473	95.235	99.453	97.093	98.683	98.362	99.742	97.38	98.904	99.861	99.532	99.246	98.976	98.425	97.321	99.231	98.982	98.261	99.014	99.827	97.971	93.617	100.0	99.558	99.872	99.571	97.624	93.706	84.938	99.621	93.446	98.695	97.32	98.492	99.869	99.154	99.769	99.814	99.972	94.563	98.929	99.16	99.576	99.726	98.816	99.943	97.57	98.795	97.088	99.424	72.183	95.72	99.389	97.99	99.106	98.234	98.807	99.176	99.958	99.436	99.565	99.616	99.155	99.422	99.545	95.982	100.0	99.93	99.657	99.147	99.792	99.751	98.958	99.914	99.856	98.099	98.693	97.82	99.683	99.876	99.604	99.747	99.905	98.496	99.747	99.386	99.806	100.0	100.0	98.182	98.113	97.605	97.929	98.741	99.338	99.846	87.343	99.548	98.89	99.031	98.226	96.951	99.226	99.936	98.823	98.327	99.29	99.261	100.0	93.604	99.154	97.272	98.936	99.383	94.954	99.539	99.549	98.703	97.486	99.109	95.306	97.83	97.241	99.257	90.991	98.686	99.243	99.296	99.769	96.688	97.634	99.924	99.398	99.54	99.053	98.805	98.586	98.036	99.434	99.231	99.379	100.0	98.836	99.326	100.0	98.24	99.435	99.504	97.897	96.52	97.045	98.713	89.734	98.57	99.047	98.698	97.416	98.573	99.35	96.524	99.953	97.79	92.271	90.928	96.756	99.328	99.86	98.411	99.576	99.399	98.316	98.18	96.671	99.136	99.768	99.423	99.332	98.875	97.53	99.302	97.668	99.436	99.15	97.467	99.284	98.461	84.278	99.871	93.534	98.855	99.834	99.189	99.886	99.76	98.1	99.508	95.69	99.85	99.558	99.199	98.83	99.801	98.73	98.174	99.327	98.421	93.135	99.376	99.912	99.695	99.743	99.736	97.235	99.13	98.918	96.594	99.186	98.109
Bacteria;Actinomycetota	phylum				3.008	2.503	1.736	0.95	0.353	8.14	0.325	0.713	0.06	0.11	0.759	0.0	0.0	0.0	0.083	2.77	0.697	0.088	3.506	0.632	9.206	4.386	0.504	0.613	0.956	0.12	0.195	11.753	11.989	1.92	7.68	0.446	6.557	0.464	49.151	1.917	6.611	4.289	0.157	1.326	0.579	1.582	0.159	1.792	4.266	1.49	0.152	0.168	0.25	2.552	0.052	0.692	3.443	1.259	5.654	0.0	6.063	0.039	0.059	0.071	0.03	0.847	2.754	0.849	0.0	37.818	5.121	3.758	0.164	0.064	0.296	1.04	0.084	4.604	1.255	0.613	2.123	0.08	2.676	0.0	0.0	0.14	0.044	0.646	0.814	3.378	0.028	0.418	0.024	18.95	0.141	1.952	1.057	0.117	0.508	1.104	0.1	0.784	0.924	5.071	1.454	3.739	1.704	10.983	2.661	3.883	15.512	1.183	0.483	0.203	0.454	10.748	63.065	1.165	0.653	0.529	1.335	0.233	0.321	0.776	7.094	0.786	0.044	0.0	0.0	0.059	6.126	0.0	7.984	0.062	0.033	0.097	0.0	0.024	1.094	3.907	0.0	0.396	0.126	0.077	0.613	0.24	0.517	0.249	5.805	1.159	0.0	1.061	0.085	14.286	0.705	0.189	2.599	0.683	0.57	0.086	0.727	0.0	2.376	3.471	1.246	0.121	0.796	0.032	1.898	0.106	9.699	0.509	10.479	4.005	40.369	1.304	1.408	4.046	0.168	0.079	12.982	0.541	10.039	4.441	10.885	0.0	0.966	7.498	1.896	16.382	2.468	0.144	4.319	5.92	0.212	2.575	1.17	3.436	3.089	0.152	2.364	0.128	1.13	0.179	0.451	3.571	0.0	0.0	0.014	0.062	0.043	0.14	0.054	2.88	3.357	0.026	4.152	0.442	0.152	0.268	0.189	2.434	0.12	0.17	16.009	10.742	1.597	6.697	6.242	19.231	26.241	2.623	3.807	1.697	2.888	6.556	6.11	0.602	4.644	0.394	1.512	11.972	66.926	89.406	7.768	82.87	6.253	0.053	80.478	96.794	12.063	2.205	2.447	1.249	5.41	16.211	7.042	0.073	0.0	5.718	0.456	0.952	8.229	4.036	53.454	3.017	0.0	1.082	5.458	6.864	4.261	1.024	24.886	17.872	1.434	7.45	1.702	32.172	4.587	6.308	25.195	20.755	0.293	0.0	0.049	10.265	0.038	0.055	0.0	0.222	8.722	13.304	1.897	0.0	0.0	0.157	9.067	1.389	0.404	2.946	1.488	16.447	2.54	2.766	2.469	55.505	2.073	1.803	0.224	6.145	1.991	0.816	1.627	22.069	1.815	10.511	10.551	6.751	0.64	17.09	0.059	2.038	17.884	4.263	0.805	0.038	3.865	0.0	0.302	1.375	6.065	0.31	1.924	1.814	18.504	11.037	1.737	2.912	6.279	1.941	0.956	2.411	0.474	3.301	0.0	1.747	0.421	0.193	0.697	2.436	0.232	0.047	3.131	5.232	39.794	34.459	20.013	1.256	6.129	0.061	6.841	2.771	3.722	0.0	8.025	0.618	3.629	1.524	0.926	1.27	2.715	45.808	4.341	13.793	2.19	0.147	0.914	2.062	10.188	2.025	1.877	12.23	0.184	13.942	2.741	15.123	8.02	10.991	24.971	0.368	0.848	1.404	6.661	0.222	4.073	1.929	9.158	6.122	4.558	0.088	10.458	4.863	0.0	0.522	2.954	6.926	9.537	2.142	0.177
Bacteria;Bacteroidota	phylum				15.421	11.452	33.526	10.623	46.028	1.395	20.26	8.832	22.523	48.156	9.319	52.476	51.663	13.471	25.269	15.394	3.095	0.352	10.652	0.59	4.791	0.439	37.0	30.842	34.602	49.147	32.291	4.548	3.906	3.1	14.535	0.535	19.568	11.966	1.081	3.269	4.376	27.773	46.242	15.982	19.627	2.578	25.763	28.465	5.151	24.874	46.338	21.692	41.32	21.655	3.209	16.526	15.065	12.657	1.06	1.312	35.771	35.253	13.367	1.449	46.932	53.39	7.692	28.875	23.31	2.99	11.573	7.905	35.898	50.963	23.153	5.026	51.866	2.394	8.413	3.988	14.552	48.554	10.462	69.059	14.447	45.785	56.45	27.774	8.704	3.041	26.349	10.162	49.293	1.763	42.597	1.735	5.323	29.74	36.086	11.796	30.923	7.298	30.172	4.374	32.75	49.262	33.788	6.476	24.822	1.942	5.684	4.498	45.056	37.445	13.914	7.992	0.161	51.014	0.922	3.453	0.389	13.566	13.889	36.507	5.034	44.807	34.078	64.681	67.569	35.689	4.177	62.068	1.168	12.881	57.489	41.068	41.805	67.606	32.344	24.529	13.514	3.583	5.671	22.196	0.061	45.152	0.172	7.469	23.755	27.925	53.017	20.99	34.72	12.179	1.058	1.323	10.573	49.839	5.228	51.295	1.151	28.717	24.93	9.328	11.474	49.98	48.8	58.884	28.343	6.413	21.128	49.355	3.371	13.762	2.391	22.734	7.143	16.662	0.504	15.627	4.189	5.411	7.828	38.085	21.948	3.186	62.95	2.92	18.247	23.383	38.062	32.492	5.51	30.299	61.144	4.8	14.179	2.148	16.893	32.46	6.12	38.962	32.705	29.537	53.995	3.869	3.436	29.746	51.726	65.824	24.314	53.884	28.36	0.64	0.53	28.301	32.713	24.206	19.848	27.354	10.417	1.966	25.034	56.083	0.399	12.666	5.512	3.233	14.475	1.338	9.515	47.439	42.421	23.162	5.819	6.51	7.776	47.637	12.442	37.005	20.806	7.923	1.751	1.868	16.32	4.568	16.945	36.718	0.329	0.083	6.201	20.142	0.96	42.293	27.661	3.005	4.598	1.163	64.097	9.463	32.487	0.03	6.234	4.622	2.494	0.838	17.99	53.595	39.006	17.212	18.866	40.007	5.311	15.65	35.026	19.711	46.639	6.047	0.688	2.952	5.195	5.66	54.826	11.834	41.506	1.325	42.676	53.474	44.836	10.266	30.376	16.63	24.47	47.69	28.262	27.473	14.789	11.852	49.042	9.753	51.521	3.947	43.086	13.688	11.728	3.67	2.821	33.434	36.896	6.425	37.926	14.694	35.262	15.172	14.439	9.61	14.275	1.262	17.862	5.004	0.118	47.071	22.603	18.628	5.172	12.462	22.488	39.231	5.589	7.282	15.001	8.49	14.129	51.651	8.022	4.853	13.644	45.154	6.18	49.616	34.034	43.157	46.292	34.219	6.555	10.008	26.388	41.689	1.858	6.768	9.502	84.253	7.735	0.713	5.361	0.106	10.913	33.24	2.27	57.965	20.601	26.587	1.78	3.457	2.926	9.807	37.064	37.8	57.675	1.623	1.784	6.663	39.343	1.181	1.574	47.789	31.233	5.67	7.859	5.291	15.495	2.413	47.973	7.037	12.798	3.484	3.648	3.664	16.027	2.504	0.094	34.871	17.409	58.076	32.795	2.602	2.632	0.742	33.372	19.21	30.382	13.558	33.898	4.095	7.149	25.974	0.817	15.596	0.236
Bacteria;Bacillota	phylum				48.103	20.839	29.516	60.297	25.262	83.953	61.287	41.141	10.781	44.104	79.59	21.46	26.69	30.496	61.166	31.487	54.462	2.641	40.435	22.766	8.59	49.123	18.659	6.845	35.765	32.296	21.623	48.85	73.66	8.651	18.227	30.838	23.417	10.971	24.595	8.906	31.471	26.993	21.484	20.457	7.854	18.018	44.055	17.413	19.381	29.077	43.864	44.221	17.36	35.819	33.954	7.955	45.911	54.196	18.728	13.807	30.39	39.698	15.827	5.083	39.875	9.322	16.714	18.016	17.366	33.034	51.573	54.413	16.698	27.527	24.138	49.047	18.071	75.691	72.768	86.196	36.769	28.506	18.573	20.88	58.841	13.367	3.514	33.777	36.882	27.027	39.343	15.916	16.144	56.115	20.158	65.944	74.912	31.158	35.79	14.155	7.064	12.571	21.399	21.966	43.667	37.553	20.216	35.734	22.403	19.189	46.901	5.884	15.353	35.546	41.349	58.043	18.226	19.797	12.25	41.058	11.012	42.636	15.919	32.299	20.137	25.866	25.361	29.588	23.238	29.78	26.001	14.964	85.881	29.241	20.757	41.845	40.38	17.081	57.422	56.118	29.617	4.461	6.112	30.549	3.313	28.125	13.793	13.942	18.403	7.968	34.866	25.8	9.238	41.392	60.67	12.76	18.683	39.228	22.243	32.211	8.237	26.308	24.648	51.518	13.49	10.439	19.893	32.461	17.041	9.373	34.261	32.016	35.495	16.413	14.754	32.723	33.041	22.745	11.323	37.806	65.491	45.282	36.48	47.636	25.464	4.071	19.842	19.732	19.067	30.277	11.963	7.22	21.221	36.07	34.196	37.665	45.765	43.986	27.425	40.652	36.857	17.652	56.82	13.489	37.985	71.726	20.66	25.394	28.682	25.832	9.76	32.4	63.938	33.76	83.481	1.894	51.682	49.406	27.36	23.796	11.395	6.929	22.407	26.797	46.208	30.207	50.329	65.127	11.607	7.664	15.366	23.411	19.496	39.114	14.738	12.793	13.982	25.279	28.394	18.415	48.452	8.275	9.144	2.954	32.334	4.121	30.549	13.812	14.58	2.013	14.825	8.138	33.541	29.065	40.336	25.956	54.391	0.436	13.944	35.477	21.274	3.599	25.187	41.667	26.913	16.16	26.137	17.625	44.621	21.014	42.532	16.683	22.559	29.22	27.955	33.888	33.584	51.814	91.055	13.263	48.052	41.509	34.351	40.828	22.346	55.74	26.451	13.314	16.24	34.351	27.395	28.381	34.399	32.474	22.788	18.995	62.94	53.426	27.413	5.588	16.433	60.291	31.515	20.78	18.519	26.606	46.862	9.842	21.333	59.777	30.749	47.143	18.626	43.448	21.37	50.751	57.977	16.088	59.347	64.28	0.532	24.789	21.994	41.335	30.345	15.379	21.785	14.249	61.329	12.945	41.637	14.631	39.692	28.316	39.13	71.551	41.696	27.379	49.901	21.836	23.327	31.921	22.723	37.198	12.157	34.71	14.707	54.146	17.618	36.762	53.882	10.891	25.783	35.791	28.729	36.4	44.963	21.765	6.413	39.279	49.954	44.686	82.767	7.682	17.303	9.447	26.065	29.347	27.415	23.853	91.466	31.149	16.532	26.547	9.446	15.179	24.886	67.268	39.974	57.087	27.776	49.002	20.818	35.282	21.726	17.577	14.737	9.698	33.899	20.545	17.908	38.613	28.787	20.609	44.031	13.279	39.368	33.024	25.171	14.909	32.557	52.517	15.298	22.457	25.587	55.628	79.019	61.054	10.52
Bacteria;Fusobacteriota	phylum				10.819	9.574	4.01	5.341	2.007	1.163	0.976	0.603	5.045	0.329	2.002	5.43	5.616	0.088	1.861	1.72	0.223	0.066	12.028	0.337	7.598	0.0	0.106	2.502	23.125	0.18	4.263	1.84	1.635	0.463	2.802	0.0	11.607	1.193	20.386	1.353	6.983	20.364	12.965	8.341	9.734	0.684	2.62	9.14	2.445	0.825	5.0	0.168	0.305	5.561	0.673	0.5	12.482	7.203	1.413	2.589	17.393	5.296	4.031	0.048	0.593	12.712	6.173	18.515	2.389	1.495	5.927	1.17	2.736	7.133	1.97	4.506	12.075	1.657	0.738	0.613	16.934	6.204	2.352	0.721	6.396	2.701	0.267	8.321	3.757	4.392	0.501	2.32	0.407	0.955	1.151	9.111	1.918	0.451	5.019	0.495	1.933	3.399	4.777	4.662	4.806	1.246	19.478	5.308	3.236	2.17	1.283	5.97	0.781	0.516	2.571	16.232	0.161	1.615	0.115	0.311	0.278	6.202	7.051	9.731	6.636	4.219	10.556	2.162	0.204	1.574	3.341	1.81	0.682	1.778	2.192	0.485	0.0	0.609	1.406	8.934	8.446	0.534	0.756	9.899	0.123	1.803	0.0	0.581	19.885	17.168	0.297	16.008	4.943	14.56	0.0	0.378	0.672	0.281	0.285	1.209	0.242	4.14	1.248	5.206	10.264	0.524	1.742	2.318	2.588	3.841	15.99	12.759	11.875	4.992	2.391	4.942	0.327	8.571	0.196	1.973	6.304	2.029	13.714	4.943	25.919	17.168	5.268	1.342	3.639	9.026	2.03	0.08	3.946	3.159	0.165	0.263	23.397	4.467	27.516	2.406	9.597	3.275	1.356	1.254	2.516	2.083	2.034	17.828	0.707	5.199	20.492	9.937	0.404	0.64	1.678	0.051	3.006	1.796	20.66	15.717	3.535	2.622	1.116	1.106	0.266	3.344	0.752	4.619	12.112	0.92	3.664	13.429	0.892	2.945	12.924	2.504	57.02	2.987	0.851	1.16	0.396	0.0	6.128	0.238	1.738	1.142	10.501	17.365	1.153	0.042	3.777	18.073	2.015	9.315	0.158	0.273	1.947	0.751	8.016	2.773	1.707	0.03	4.988	0.977	7.653	2.538	0.441	7.798	4.098	5.174	6.372	8.903	3.035	7.565	5.288	5.027	8.368	1.403	1.606	2.103	2.338	0.0	1.993	0.296	10.321	0.993	3.806	19.314	5.694	0.555	17.592	2.439	2.975	0.602	1.018	1.02	2.685	0.802	11.535	8.364	2.62	1.551	11.947	0.496	3.086	2.752	2.015	0.902	0.268	0.559	13.41	5.51	8.861	8.276	4.373	6.306	10.15	1.009	4.673	5.389	0.118	12.559	2.511	5.144	0.805	0.606	7.871	6.925	1.36	1.456	2.563	1.53	17.207	11.099	7.145	1.142	0.579	11.213	5.387	5.782	1.262	12.053	2.574	0.886	1.669	3.733	9.881	0.077	12.906	4.819	0.0	1.179	3.315	0.238	2.199	0.0	6.682	24.032	0.17	0.909	3.914	5.016	0.202	0.0	2.898	3.81	9.431	9.288	1.5	1.2	2.017	9.106	5.47	0.661	0.068	4.653	3.703	2.577	7.568	2.286	6.141	2.163	6.264	11.672	7.176	1.029	0.753	0.0	16.675	0.736	0.047	2.54	12.741	0.02	7.654	0.224	1.263	0.557	2.584	3.241	0.382	0.801	0.374	0.235	0.923	6.061	1.09	0.686	0.177
Bacteria;Pseudomonadota	phylum				21.324	55.632	30.508	19.407	24.717	4.651	15.525	47.778	60.931	5.038	5.453	19.07	15.158	54.849	10.835	47.522	41.076	96.809	31.292	75.295	69.815	42.982	43.361	58.916	4.97	17.659	37.974	32.652	6.358	85.566	56.196	67.647	38.668	75.34	3.784	82.3	49.721	20.234	18.064	53.342	61.788	76.436	26.948	42.921	68.548	42.698	1.49	31.512	38.242	32.025	57.298	74.02	23.099	18.252	72.438	81.981	9.966	17.395	66.183	93.172	9.784	15.254	66.572	30.461	55.128	24.514	24.718	31.974	25.21	9.043	47.882	30.849	14.423	7.182	12.768	4.908	28.638	13.026	62.936	7.357	17.457	36.935	39.724	28.381	46.713	55.068	32.248	69.93	34.012	22.09	34.841	20.174	12.72	36.816	20.945	72.108	59.713	75.556	42.187	63.422	15.129	7.576	24.304	41.431	46.329	71.73	27.833	81.932	37.881	25.608	40.623	6.417	18.065	25.169	85.714	42.986	84.038	33.488	59.081	8.836	60.412	21.472	27.551	1.86	7.15	31.829	59.241	18.906	4.187	54.755	18.565	5.825	14.252	13.545	2.188	5.769	47.748	90.751	86.736	34.957	95.828	22.796	85.517	77.178	31.947	45.744	10.584	21.366	50.469	16.85	37.037	82.514	66.219	7.878	69.487	13.299	89.158	39.292	43.818	29.501	62.023	37.767	21.786	3.926	49.353	79.986	18.095	4.225	38.566	60.773	40.027	38.128	57.898	47.348	86.379	43.725	9.208	46.094	31.939	3.773	15.271	75.575	7.638	65.746	55.254	20.931	44.926	59.537	60.238	24.005	1.377	53.38	13.851	45.704	22.457	23.234	44.924	39.515	7.234	54.518	3.477	16.071	73.101	26.013	17.133	2.096	45.217	1.61	0.862	62.08	10.512	69.601	8.017	21.774	25.685	17.804	74.085	79.494	50.017	13.165	35.61	42.911	40.965	20.092	55.378	70.819	39.775	12.028	32.545	32.658	63.357	70.453	15.055	21.066	52.464	40.114	28.258	44.014	11.77	4.924	39.83	6.405	33.986	30.859	2.636	1.027	62.57	51.007	60.653	17.233	25.858	54.098	28.003	97.578	13.874	46.226	43.223	95.181	55.112	47.656	9.401	77.304	53.53	18.594	4.638	49.419	27.844	32.986	43.955	29.598	28.792	33.671	9.093	8.37	2.064	75.374	17.403	30.189	6.143	44.97	24.519	31.015	26.874	1.185	32.777	53.496	14.946	37.472	33.209	18.461	47.868	51.177	8.847	31.821	10.867	73.349	21.541	16.917	8.184	61.206	63.58	6.422	45.769	53.569	39.982	24.581	15.034	27.143	33.454	8.276	57.261	13.814	5.732	74.132	16.773	8.006	95.86	11.176	34.932	30.028	62.414	70.568	42.797	38.18	29.456	76.375	33.965	74.418	27.048	5.956	26.525	11.418	40.584	12.777	31.758	18.722	36.941	7.504	26.651	14.13	78.188	48.848	47.3	1.311	65.494	48.565	32.908	3.583	57.827	50.297	14.845	25.791	16.756	19.567	83.428	1.363	18.089	19.256	9.709	85.531	67.986	76.088	23.233	21.373	11.359	69.584	1.319	4.942	33.75	56.967	84.189	31.516	37.725	6.701	34.282	26.845	47.566	34.027	23.95	31.952	55.319	60.887	72.351	71.336	8.279	75.405	80.302	21.404	34.203	19.802	9.621	81.292	46.0	52.69	33.691	62.463	25.916	28.003	50.165	69.927	62.516	4.329	6.131	19.709	86.998
