Taxonomy		HMT	Rank	type	source	Max	max any oral site	Abundance category	BM-mean	BM-sd	KG-mean	KG-sd	HP-mean	HP-sd	TH-mean	TH-sd	PT-mean	PT-sd	TD-mean	TD-sd	SV-mean	SV-sd	SUPP-mean	SUPP-sd	SUBP-mean	SUBP-sd	ST-mean	ST-sd
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-1]			Genus				0	4																				
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-2]			Genus				0	4																				
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-3]			Genus				0	4																				
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-4]			Genus				0	4																				
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-6]			Genus				0	4																				
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-7]			Genus				0	4																				
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-8]			Genus				0	4																				
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-2];Saccharibacteria (TM7) [G-5]			Genus				0	4																				
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema			Genus			2.239	2.239	1	0.098	0.3	0.004	0.013	0.054	0.11	0.203	0.633	0.572	1.419	0.057	0.125	0.353	0.74	0.626	1.488	2.239	4.079	0	0.001
Bacteria;Synergistetes;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella			Genus			0.001	0.001	4	0	0	0	0	0	0	0	0	0.001	0.008	0	0	0	0.001	0	0	0	0.001	0	0
Bacteria;Synergistetes;Synergistia;Synergistales;Dethiosulfovibrionaceae;Pyramidobacter			Genus			0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
