D101	domain		Bacteria
S127	species	HMT-688	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;viscosus
S128	species	HMT-708	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;oricola
S129	species	HMT-746	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;radicidentis
S130	species	HMT-849	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;johnsonii
S131	species	HMT-852	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;massiliensis
S132	species	HMT-866	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;graevenitzii
S133	species	HMT-888	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;dentalis
S134	species	HMT-893	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;oris
S135	species	HMT-896	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp._HMT_896
S136	species	HMT-897	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp._HMT_897
O137	order		Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales
F137	family		Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae
G137	genus		Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Aeriscardovia
S137	species	HMT-407	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Aeriscardovia;bacterium_HMT_407
G138	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus
S138	species	HMT-312	Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;viridans
C139	klass		Bacteria;Pseudomonadota;Alphaproteobacteria
O139	order		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales
F139	family		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae
G139	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia
S139	species	HMT-559	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;broomeae
O140	order		Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales
F140	family		Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae
G140	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter
S140	species	HMT-458	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;sp._HMT_458
S141	species	HMT-512	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;sp._HMT_512
S142	species	HMT-513	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;sp._HMT_513
S143	species	HMT-531	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;actinomycetemcomitans
S144	species	HMT-545	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;aphrophilus
S145	species	HMT-720	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;paraphrophilus_drop
S146	species	HMT-762	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;segnis
S147	species	HMT-898	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;sp._HMT_898
S148	species	HMT-949	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;sp._HMT_949
F149	family		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae
G149	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium
S149	species	HMT-485	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium;tumefaciens
O150	order		Bacteria;Bacillota;Bacilli;Bacillales
F150	family		Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae
G150	genus		Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Alkalihalobacillus
S150	species	HMT-045	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Alkalihalobacillus;clausii
F151	family		Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae
G151	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Alloiococcus
S151	species	HMT-831	Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Alloiococcus;otitis
P152	phylum		Bacteria;Bacteroidota
C152	klass		Bacteria;Bacteroidota;Bacteroidia
O152	order		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales
F152	family		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae
G152	genus		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
S152	species	HMT-302	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;rava
S153	species	HMT-308	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp._HMT_308
S154	species	HMT-466	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae
S155	species	HMT-473	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp._HMT_473
S156	species	HMT-912	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp._HMT_912
S157	species	HMT-913	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp._HMT_913
S158	species	HMT-914	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp._HMT_914
G159	genus		Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia
S159	species	HMT-198	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia;omnicolens
C160	klass		Bacteria;Bacillota;Tissierellia
O160	order		Bacteria;Bacillota;Tissierellia;Tissierellales
F160	family		Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae
G160	genus		Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus
S160	species	HMT-017	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;octavius
S161	species	HMT-290	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;sp._HMT_290
S162	species	HMT-294	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;sp._HMT_294
S163	species	HMT-295	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;sp._HMT_295
