D101	domain		Bacteria
O215	order		Bacteria;Chloroflexota;Caldilineae;Caldilineales
F215	family		Bacteria;Chloroflexota;Caldilineae;Caldilineales;Caldilineaceae
G215	genus		Bacteria;Chloroflexota;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea
S215	species	HMT-994	Bacteria;Chloroflexota;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;aerophila
P216	phylum		Bacteria;Campylobacterota
C216	klass		Bacteria;Campylobacterota;Epsilonproteobacteria
O216	order		Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales
F216	family		Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae
G216	genus		Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter
S216	species	HMT-044	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;sp._HMT_044
S217	species	HMT-575	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;concisus
S218	species	HMT-580	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;curvus
S219	species	HMT-623	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;gracilis
S220	species	HMT-748	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;rectus
S221	species	HMT-763	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;showae
S222	species	HMT-776	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;sputorum
S223	species	HMT-842	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;ureolyticus
P224	phylum		Bacteria;Candidatus_Saccharibacteria
C224	klass		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1]
O224	order		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1]
F224	family		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1]
G224	genus		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Candidatus_Saccharimonas
S224	species	HMT-988	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Candidatus_Saccharimonas;aalborgensis
C225	klass		Bacteria;Bacteroidota;Flavobacteriia
O225	order		Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales
F225	family		Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
G225	genus		Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga
S225	species	HMT-323	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_323
S226	species	HMT-324	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_324
S227	species	HMT-325	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;granulosa
S228	species	HMT-326	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;endodontalis
S229	species	HMT-329	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri
S230	species	HMT-332	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_332
S231	species	HMT-334	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_334
S232	species	HMT-335	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_335
S233	species	HMT-336	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_336
S234	species	HMT-337	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis
S235	species	HMT-338	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_338
S236	species	HMT-380	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_380
S237	species	HMT-412	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_412
S238	species	HMT-627	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;haemolytica
S239	species	HMT-700	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;ochracea
S240	species	HMT-775	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena
S241	species	HMT-863	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_863
S242	species	HMT-864	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_864
S243	species	HMT-878	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_878
S244	species	HMT-901	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_901
S245	species	HMT-902	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_902
S246	species	HMT-903	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_903
O247	order		Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales
F247	family		Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae
G247	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium
S247	species	HMT-540	Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;valvarum
S248	species	HMT-633	Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;hominis
G249	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella
S249	species	HMT-164	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella;sp._HMT_164
S250	species	HMT-165	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella;morbi
S251	species	HMT-451	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella;sp._HMT_451
G252	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter
S252	species	HMT-002	Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;sp._HMT_002
C253	klass		Bacteria;Actinomycetota;Actinomycetia
O253	order		Bacteria;Actinomycetota;Actinomycetia;Micrococcales
F253	family		Bacteria;Actinomycetota;Actinomycetia;Micrococcales;Promicromonosporaceae
G253	genus		Bacteria;Actinomycetota;Actinomycetia;Micrococcales;Promicromonosporaceae;Cellulosimicrobium
S253	species	HMT-374	Bacteria;Actinomycetota;Actinomycetia;Micrococcales;Promicromonosporaceae;Cellulosimicrobium;cellulans
O254	order		Bacteria;Bacillota;Negativicutes;Selenomonadales
F254	family		Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae
G254	genus		Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Centipeda
S254	species	HMT-726	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Centipeda;periodontii
P255	phylum		Bacteria;Chlamydiota
C255	klass		Bacteria;Chlamydiota;Chlamydiia
O255	order		Bacteria;Chlamydiota;Chlamydiia;Chlamydiales
F255	family		Bacteria;Chlamydiota;Chlamydiia;Chlamydiales;Chlamydiaceae
G255	genus		Bacteria;Chlamydiota;Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydia
S255	species	HMT-733	Bacteria;Chlamydiota;Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydia;pneumoniae
P256	phylum		Bacteria;Chlorobiota
C256	klass		Bacteria;Chlorobiota;Chlorobiia
O256	order		Bacteria;Chlorobiota;Chlorobiia;Chlorobiales
F256	family		Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae
G256	genus		Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium
S256	species	HMT-984	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobium;limicola
F257	family		Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae
G257	genus		Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
S257	species	HMT-319	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium;sp._HMT_319
G258	genus		Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium
S258	species	HMT-206	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;sp._HMT_206
S259	species	HMT-422	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;normanense
F260	family		Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiales_[F-1]
G260	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiales_[F-1];Clostridiales_[F-1][G-1]
S260	species	HMT-093	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiales_[F-1];Clostridiales_[F-1][G-1];bacterium_HMT_093
G261	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiales_[F-1];Clostridiales_[F-1][G-2]
S261	species	HMT-402	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiales_[F-1];Clostridiales_[F-1][G-2];bacterium_HMT_402
F262	family		Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiales_[F-3]
G262	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiales_[F-3];Clostridiales_[F-3][G-1]
S262	species	HMT-876	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiales_[F-3];Clostridiales_[F-3][G-1];bacterium_HMT_876
G263	genus		Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter
S263	species	HMT-123	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;massiliensis
G264	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
S264	species	HMT-858	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;testosteroni
O265	order		Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales
F265	family		Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae
G265	genus		Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium
S265	species	HMT-019	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;accolens
S266	species	HMT-030	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;afermentans
S267	species	HMT-031	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;amycolatum
S268	species	HMT-033	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;appendicis
S269	species	HMT-034	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;aurimucosum
S270	species	HMT-047	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;jeikeium
S271	species	HMT-049	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;kroppenstedtii
S272	species	HMT-050	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;macginleyi
S273	species	HMT-053	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;minutissimum
S274	species	HMT-054	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pilbarense
S275	species	HMT-059	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;propinquum
S276	species	HMT-060	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pseudodiphtheriticum
S277	species	HMT-062	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;simulans
S278	species	HMT-063	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;singulare
S279	species	HMT-072	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;striatum
S280	species	HMT-077	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum
S281	species	HMT-184	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuscaniense
S282	species	HMT-207	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;gottingense
S283	species	HMT-208	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;bovis
S284	species	HMT-328	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;mastitidis
S285	species	HMT-333	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;massiliense
S286	species	HMT-341	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;coyleae
S287	species	HMT-591	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;diphtheriae
S288	species	HMT-595	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;durum
S289	species	HMT-666	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;matruchotii
S290	species	HMT-832	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;otitidis
S291	species	HMT-835	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;mucifaciens
S292	species	HMT-853	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;urealyticum
O293	order		Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales
F293	family		Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae
G293	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter
S293	species	HMT-753	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter;sakazakii
O294	order		Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales
F294	family		Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae
G294	genus		Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Cryptobacterium
S294	species	HMT-579	Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Cryptobacterium;curtum
G295	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus
S295	species	HMT-027	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;gilardii
G296	genus		Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium
S296	species	HMT-114	Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;granulosum
S297	species	HMT-193	Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;modestum
S298	species	HMT-530	Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes
S299	species	HMT-552	Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;avidum
G300	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia
S300	species	HMT-023	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans
F301	family		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae
G301	genus		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Dermabacter
S301	species	HMT-354	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Dermabacter;hominis
P302	phylum		Bacteria;Thermodesulfobacteriota
C302	klass		Bacteria;Thermodesulfobacteriota;Desulfobulbia
O302	order		Bacteria;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales
F302	family		Bacteria;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae
G302	genus		Bacteria;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfobulbus
S302	species	HMT-041	Bacteria;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfobulbus;sp._HMT_041
C303	klass		Bacteria;Thermodesulfobacteriota;Desulfovibrionia
O303	order		Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales
F303	family		Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfomicrobiaceae
G303	genus		Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium
S303	species	HMT-703	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium;orale
F304	family		Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae
G304	genus		Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
S304	species	HMT-040	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;sp._HMT_040
S305	species	HMT-605	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;fairfieldensis
G306	genus		Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister
S306	species	HMT-118	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus
S307	species	HMT-119	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;sp._HMT_119
S308	species	HMT-736	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;pneumosintes
S309	species	HMT-843	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;micraerophilus
G310	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter
S310	species	HMT-209	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;ebreus
F311	family		Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Dietziaceae
G311	genus		Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Dietziaceae;Dietzia
S311	species	HMT-368	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Dietziaceae;Dietzia;cinnamea
G312	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum
S312	species	HMT-813	Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;pigrum
G313	genus		Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella
S313	species	HMT-654	Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella;lenta
F314	family		Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae
G314	genus		Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Eggerthia
S314	species	HMT-569	Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Eggerthia;catenaformis
O315	order		Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales
F315	family		Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae
G315	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella
S315	species	HMT-011	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;sp._HMT_011
S316	species	HMT-577	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;corrodens
F317	family		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_incertae_sedis
G317	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_incertae_sedis;Enhydrobacter
S317	species	HMT-196	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_incertae_sedis;Enhydrobacter;aerosaccus
G318	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
S318	species	HMT-565	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;cancerogenus
S319	species	HMT-634	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;hormaechei
F320	family		Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae
G320	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
S320	species	HMT-604	Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis
S321	species	HMT-801	Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;casseliflavus
S322	species	HMT-802	Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;saccharolyticus
S323	species	HMT-803	Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;italicus
S324	species	HMT-880	Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;durans
G325	genus		Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix
S325	species	HMT-484	Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;tonsillarum
G326	genus		Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae_[G-1]
S326	species	HMT-904	Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae_[G-1];bacterium_HMT_904
S327	species	HMT-905	Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae_[G-1];bacterium_HMT_905
O328	order		Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales
F328	family		Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae
G328	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter
S328	species	HMT-007	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;tepidarius
S329	species	HMT-747	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;ramosus
G330	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
S330	species	HMT-574	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;coli
F331	family		Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae
G331	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium
S331	species	HMT-655	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;limosum
F332	family		Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae
G332	genus		Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Fannyhessea
S332	species	HMT-416	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Fannyhessea;sp._HMT_416
S333	species	HMT-814	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Fannyhessea;vaginae
F334	family		Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae
G334	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Fastidiosipila
S334	species	HMT-935	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Fastidiosipila;sanguinis
F335	family		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae
G335	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Filifactor
S335	species	HMT-539	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Filifactor;alocis
G336	genus		Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Finegoldia
S336	species	HMT-662	Bacteria;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Finegoldia;magna
C337	klass		Bacteria;Bacteroidota;Chitinophagia
O337	order		Bacteria;Bacteroidota;Chitinophagia;Chitinophagales
F337	family		Bacteria;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae
G337	genus		Bacteria;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea
S337	species	HMT-320	Bacteria;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea;sp._HMT_320
P338	phylum		Bacteria;Synergistota
C338	klass		Bacteria;Synergistota;Synergistia
O338	order		Bacteria;Synergistota;Synergistia;Synergistales
F338	family		Bacteria;Synergistota;Synergistia;Synergistales;Aminobacteriaceae
G338	genus		Bacteria;Synergistota;Synergistia;Synergistales;Aminobacteriaceae;Fretibacterium
S338	species	HMT-358	Bacteria;Synergistota;Synergistia;Synergistales;Aminobacteriaceae;Fretibacterium;sp._HMT_358
S339	species	HMT-359	Bacteria;Synergistota;Synergistia;Synergistales;Aminobacteriaceae;Fretibacterium;sp._HMT_359
S340	species	HMT-360	Bacteria;Synergistota;Synergistia;Synergistales;Aminobacteriaceae;Fretibacterium;sp._HMT_360
S341	species	HMT-361	Bacteria;Synergistota;Synergistia;Synergistales;Aminobacteriaceae;Fretibacterium;sp._HMT_361
