Taxonomy	Rank	HMT	Notes	Max	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	PERIO-mean	PERIO-10p	PERIO-90p	PERIO-sd	PERIO-prev	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev	MVA-mean	MVA-10p	MVA-90p	MVA-sd	MVA-prev	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	RAF-mean	RAF-10p	RAF-90p	RAF-sd	RAF-prev	RRC-mean	RRC-10p	RRC-90p	RRC-sd	RRC-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	STO-mean	STO-10p	STO-90p	STO-sd	STO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Bacteria;Chlamydiota	phylum			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia	klass			62.403	4.876	0.078	6.342	9.407	94.118	2.676	0.0	5.709	9.542	42.793	4.583	0.3	11.125	5.085	98.936	11.91	11.91	11.91	0	100.0	18.322	5.421	32.583	10.538	100.0	0.084	0.0	0.317	0.169	50.0	1.113	0.0	2.307	3.236	35.714	2.708	0.0	6.101	9.418	44.444	26.472	13.598	45.214	13.212	100.0	4.64	4.64	4.64	0	100.0	0.107	0.0	0.337	0.269	40.625	23.511	14.451	35.289	9.449	100.0	62.403	29.833	88.78	21.973	100.0	9.359	2.543	18.57	5.931	100.0	5.261	0.39	12.585	5.04	98.485	19.716	7.48	29.41	8.665	100.0	15.416	7.065	25.145	7.1	100.0	1.064	0.0	2.11	2.698	63.636
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			1.29	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.027	2.252	0.004	0.0	0.0	0.05	1.33	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.187	0.086	28.571	0.024	0.0	0.0	0.137	5.051	0.0	0.0	0.0	0.0	0.0	1.29	1.29	1.29	0	100.0	0.004	0.0	0.0	0.014	9.375	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.479	4.0	0.047	0.0	0.0	0.229	4.167	0.0	0.0	0.0	0.003	0.505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.469	0.028	0.0	0.0	0.093	9.091
Bacteria;Actinomycetota;Actinomycetes	klass			74.772	3.889	0.0	6.886	6.942	82.353	49.496	12.588	79.469	24.322	98.198	9.25	0.925	22.325	9.347	99.734	10.1	10.1	10.1	0	100.0	22.544	8.361	52.59	18.353	100.0	70.603	19.124	93.708	28.708	100.0	9.599	0.0	25.418	26.125	64.286	9.822	0.0	43.673	21.634	48.99	6.92	2.13	13.27	7.743	100.0	42.0	42.0	42.0	0	100.0	74.772	48.609	95.409	27.242	100.0	4.268	1.049	10.227	5.973	100.0	0.413	0.0	0.831	1.278	74.182	24.223	6.99	46.208	14.907	100.0	30.989	12.165	50.3	15.029	99.747	4.652	0.335	8.475	3.364	93.75	17.233	5.38	31.025	10.553	100.0	10.482	0.0	16.04	22.499	63.636
Bacteria;Bacillota;Clostridia	klass			5.596	0.472	0.0	1.152	0.875	64.706	1.895	0.0	5.949	3.579	54.054	0.539	0.0	1.555	0.986	74.734	1.3	1.3	1.3	0	100.0	3.428	0.94	7.228	2.745	100.0	1.015	0.0	1.779	3.045	58.333	0.222	0.0	0.895	0.495	21.429	0.13	0.0	0.173	0.618	16.667	4.414	1.024	8.428	3.005	92.0	0.0	0.0	0.0	0	0.0	2.177	0.0	1.809	7.742	40.625	3.124	1.3	5.865	2.032	100.0	5.596	0.71	12.552	5.439	100.0	1.752	0.41	3.938	2.244	100.0	0.568	0.0	1.325	0.75	88.636	3.605	0.325	5.87	2.124	87.5	4.788	1.81	7.945	2.593	100.0	0.225	0.0	0.23	0.595	45.455
Bacteria;Bacillota;Bacilli	klass			85.6	40.814	17.148	74.114	23.428	100.0	16.328	0.96	37.007	17.613	95.045	43.525	21.13	66.14	17.435	100.0	49.08	49.08	49.08	0	100.0	4.003	0.274	12.703	5.138	95.833	10.908	1.258	23.325	11.151	100.0	83.461	27.253	99.283	33.697	100.0	82.905	15.278	100.0	32.05	100.0	11.695	3.478	17.67	14.32	100.0	12.65	12.65	12.65	0	100.0	8.404	0.623	20.928	8.234	100.0	12.049	6.075	17.556	5.802	100.0	0.315	0.0	0.77	1.614	60.182	8.123	2.085	14.384	6.045	100.0	9.036	2.55	16.115	7.695	100.0	8.833	2.695	15.15	5.99	100.0	15.146	5.195	27.99	9.865	100.0	85.6	76.05	99.49	28.54	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			20.993	18.592	4.548	37.806	13.708	100.0	7.452	0.0	22.706	18.953	51.802	20.993	4.28	41.445	15.109	99.734	11.61	11.61	11.61	0	100.0	1.015	0.043	2.961	1.648	91.667	0.08	0.0	0.22	0.177	58.333	1.151	0.0	3.731	2.048	71.429	0.33	0.0	0.426	1.432	33.333	5.383	0.796	11.584	5.354	100.0	14.95	14.95	14.95	0	100.0	0.222	0.0	0.259	0.711	43.75	9.148	3.963	18.735	7.635	100.0	0.312	0.0	0.22	4.182	50.545	5.542	1.67	8.937	5.786	100.0	6.97	1.85	14.145	5.804	100.0	9.438	0.26	23.88	15.24	100.0	5.385	0.575	12.515	5.339	99.765	0.404	0.0	0.63	0.884	63.636
Bacteria;Verrucomicrobiota;Verrucomicrobiia	klass			1.146	0.002	0.0	0.0	0.007	5.882	0.007	0.0	0.0	0.055	2.703	0.0	0.0	0.0	0.003	0.266	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.075	2.525	0.004	0.0	0.0	0.022	4.0	0.59	0.59	0.59	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.146	0.0	2.592	3.735	55.273	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.011	0.253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.235	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes	klass			14.79	7.616	0.492	12.194	7.729	94.118	0.394	0.0	0.147	2.221	19.82	5.823	0.66	12.77	5.291	99.468	3.72	3.72	3.72	0	100.0	9.066	1.86	16.509	6.778	100.0	0.152	0.0	0.216	0.571	33.333	0.614	0.0	0.397	2.084	28.571	0.859	0.0	2.08	3.531	24.242	13.289	3.044	21.752	7.035	100.0	0.82	0.82	0.82	0	100.0	0.014	0.0	0.02	0.048	18.75	12.424	6.956	19.892	5.974	100.0	0.9	0.0	2.623	2.054	64.545	5.541	1.274	9.732	4.063	100.0	5.199	0.775	10.685	4.179	99.495	12.344	5.01	23.445	8.003	100.0	14.79	7.985	22.44	5.785	99.531	0.326	0.0	1.41	0.746	18.182
Bacteria;Actinomycetota;Coriobacteriia	klass			1.15	0.005	0.0	0.004	0.019	11.765	0.008	0.0	0.0	0.074	2.703	0.086	0.0	0.225	0.251	42.021	0.1	0.1	0.1	0	100.0	1.132	0.0	3.146	1.369	79.167	0.002	0.0	0.0	0.008	4.167	0.0	0.0	0.0	0.0	0.0	1.15	0.0	0.355	4.699	13.131	0.835	0.0	1.94	1.795	76.0	0.0	0.0	0.0	0	0.0	0.003	0.0	0.0	0.013	6.25	0.785	0.028	1.652	0.913	87.5	0.019	0.0	0.03	0.145	23.455	0.268	0.0	0.545	0.363	83.333	0.079	0.0	0.22	0.205	44.192	0.507	0.0	1.615	0.729	68.75	1.016	0.06	2.315	1.03	97.183	0.069	0.0	0.21	0.171	18.182
