Taxonomy	comment	HMT	level	type	source	max Eren oral site	max any oral site	Abundance category	BM-mean	BM-prev	KG-mean	KG-prev	HP-mean	HP-prev	TD-mean	TD-prev	PT-mean	PT-prev	Throat-mean	Throat-prev	Saliva-mean	Saliva-prev	SupP-mean	SupP-prev	SubP-mean	SubP-prev	Stool-mean	Stool-prev	
HOMD taxonomy									mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;gerencseriae		618	Species			0.235	0.234802767	2	0.003	7.792	0.011	2.597	0.006	6.494	0	1.299	0.001	3.896	0.003	5.195	0.009	9.091	0.135	61.039	0.235	59.74	0	0	
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;graevenitzii		866	Species			2.506	2.506473969	1	0.142	59.74	0.02	20.779	0.925	85.714	2.506	93.506	1.455	88.312	1.778	85.714	0.455	79.221	0.001	3.896	0.005	3.896	0	0	
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;israelii		645	Species				0.050648785	3																					
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;johnsonii		849	Species			0.085	0.085182195	3	0.017	20.779	0	2.597	0.007	12.987	0	0	0.001	2.597	0.003	2.597	0.001	3.896	0.081	32.468	0.085	37.662	0	0	
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;massiliensis		852	Species			0.536	0.536045073	2	0.008	18.182	0.024	20.779	0.005	14.286	0	1.299	0.001	5.195	0.003	2.597	0.004	9.091	0.536	80.519	0.446	77.922	0	0	
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;naeslundii		176	Species			1.008	1.007797052	1	0.07	61.039	0.014	28.571	0.028	41.558	0.003	11.688	0.012	28.571	0.02	25.974	0.057	44.156	0.958	85.714	1.008	90.909	0.001	2.597	
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;oricola		708	Species				0	4																					
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;oris		893	Species			1.97	1.96978888	1	0.42	72.727	0.232	62.338	0.102	79.221	0.011	28.571	0.025	35.065	0.125	32.468	0.12	59.74	1.97	93.506	1.813	92.208	0	0	
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;radicidentis		746	Species				0	4																					
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT 169		169	Species			3.847	3.846565497	1	1.005	80.519	0.286	58.442	0.135	71.429	0.013	25.974	0.043	41.558	0.044	40.26	0.205	64.935	3.847	92.208	3.108	89.61	0	1.299	includes some A. sp. HMT 175
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT 170		170	Species			1.156	1.15579796	1	0.167	61.039	0.064	32.468	0.04	33.766	0.001	1.299	0.005	12.987	0.125	18.182	0.042	36.364	1.156	83.117	0.714	80.519	0	0	
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT 171		171	Species			0.408	0.792426575	2	0.036	27.273	0.004	10.39	0.008	18.182	0.001	2.597	0.001	2.597	0.008	9.091	0.014	22.078	0.408	74.026	0.358	70.13	0	0	
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT 175		175	Species			0.106	0.319192835	2	0.021	14.286	0.026	11.688	0.006	10.39	0.001	1.299	0	1.299	0.002	2.597	0.003	9.091	0.106	24.675	0.065	18.182	0	0	this is pure A. sp. HMT 175; more may be included as A. sp. HMT 169
