Taxonomy	Rank	BM-MEAN	BM-SD	BM-PREV	HP-MEAN	HP-SD	HP-PREV	KG-MEAN	KG-SD	KG-PREV	PT-MEAN	PT-SD	PT-PREV	ST-MEAN	ST-SD	ST-PREV	SUBP-MEAN	SUBP-SD	SUBP-PREV	SUPP-MEAN	SUPP-SD	SUPP-PREV	SV-MEAN	SV-SD	SV-PREV	TD-MEAN	TD-SD	TD-PREV	TH-MEAN	TH-SD	TH-PREV
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae	family	0.243	0.422	81.818	0.163	0.243	81.818	0.315	2.048	46.753	0.031	0.065	41.558	0.002	0.01	3.896	6.067	5.697	96.104	8.529	6.172	96.104	0.178	0.302	70.13	0.018	0.039	32.468	0.191	1.165	46.753
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae	family	0.006	0.018	16.883	0.005	0.023	15.584	0.01	0.075	6.494	0.002	0.012	3.896	0.0	0.0	0.0	0.132	0.221	70.13	0.166	0.247	75.325	0.006	0.02	14.286	0.0	0.004	1.299	0.002	0.015	3.896
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family	0.025	0.056	45.455	0.204	0.407	80.519	0.003	0.013	7.792	0.357	0.447	85.714	0.017	0.144	2.597	0.033	0.065	33.766	0.013	0.029	24.675	0.271	0.396	76.623	0.29	0.349	88.312	0.36	0.508	89.61
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	family	0.094	0.182	62.338	0.46	0.634	90.909	0.013	0.053	16.883	0.561	0.894	89.61	0.0	0.0	1.299	0.115	0.275	55.844	0.027	0.054	33.766	0.712	0.86	83.117	0.983	1.13	90.909	0.84	0.965	88.312
Bacteria;Gracilibacteria (GN02);Gracilibacteria (GN02) [C-1];Gracilibacteria (GN02) [O-1];Gracilibacteria (GN02) [F-1]	family	0.007	0.024	15.584	0.008	0.033	15.584	0.001	0.004	2.597	0.002	0.007	6.494	0.0	0.0	0.0	0.152	0.389	37.662	0.169	0.384	41.558	0.054	0.126	40.26	0.001	0.006	3.896	0.006	0.021	10.39
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	family	0.014	0.069	7.792	0.001	0.006	2.597	0.0	0.002	1.299	0.001	0.011	1.299	0.0	0.0	0.0	0.099	0.422	18.182	0.048	0.25	15.584	0.004	0.025	3.896	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae [XI];Mogibacterium	genus	0.034	0.053	48.052	0.205	0.273	84.416	0.005	0.017	10.39	0.246	0.351	81.818	0.0	0.0	0.0	0.041	0.106	32.468	0.013	0.037	19.481	0.177	0.236	74.026	0.272	0.31	84.416	0.277	0.292	84.416
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus	0.252	0.769	67.532	0.091	0.33	61.039	0.193	0.596	53.247	0.21	1.702	36.364	0.0	0.0	0.0	1.247	1.967	97.403	1.471	1.953	96.104	0.154	0.247	66.234	0.013	0.025	29.87	0.024	0.046	46.753
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus	3.072	3.917	97.403	4.088	4.036	98.701	2.145	4.674	83.117	6.318	8.203	96.104	0.005	0.028	9.091	5.699	7.719	96.104	6.845	7.598	98.701	4.726	4.92	98.701	9.894	11.373	98.701	6.118	8.527	94.805
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus	60.54	16.947	100.0	52.254	16.791	100.0	60.186	20.512	100.0	31.353	20.607	100.0	0.071	0.103	63.636	15.855	11.8	100.0	18.508	10.032	100.0	17.656	10.892	98.701	25.704	13.438	100.0	29.843	17.929	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus	0.845	2.034	85.714	0.327	0.651	76.623	0.07	0.107	59.74	0.152	0.348	53.247	0.001	0.004	2.597	4.075	5.88	92.208	4.871	6.034	90.909	1.809	3.564	83.117	0.038	0.087	42.857	0.328	1.323	59.74
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema	genus	0.055	0.142	37.662	0.039	0.08	38.961	0.001	0.005	6.494	0.708	2.095	80.519	0.0	0.003	2.597	1.906	3.639	72.727	0.557	1.415	49.351	0.243	0.754	64.935	0.051	0.108	40.26	0.181	0.504	50.649
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus	3.396	4.437	97.403	2.126	3.07	100.0	6.436	6.54	100.0	1.928	3.136	94.805	0.011	0.032	18.182	1.121	2.195	81.818	2.161	5.76	89.61	2.759	4.037	96.104	2.606	4.56	93.506	2.641	9.301	94.805
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus	0.499	0.574	90.909	1.126	1.021	100.0	1.631	4.103	81.818	3.372	3.239	100.0	0.001	0.008	5.195	2.299	1.85	100.0	1.703	1.935	94.805	6.841	5.173	98.701	3.093	2.831	100.0	3.564	3.215	98.701
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella	genus	8.117	6.372	100.0	4.522	4.487	100.0	5.859	4.963	100.0	2.742	3.239	100.0	0.003	0.012	9.091	0.835	1.763	92.208	0.616	1.054	94.805	1.03	0.951	92.208	1.232	1.27	96.104	2.478	2.797	98.701
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae [G-1]	genus	0.018	0.044	28.571	0.05	0.11	46.753	0.003	0.012	9.091	0.22	0.818	54.545	0.0	0.0	0.0	0.083	0.217	36.364	0.099	0.247	36.364	2.217	3.884	81.818	0.116	0.4	41.558	0.288	0.94	51.948
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnoanaerobaculum	genus	0.175	0.213	84.416	0.334	0.31	92.208	0.043	0.109	46.753	0.813	0.748	97.403	0.003	0.012	9.091	0.295	0.428	77.922	0.303	0.524	68.831	0.284	0.274	84.416	0.792	0.888	98.701	1.137	1.331	93.506
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae [G-2]	genus	0.004	0.015	12.987	0.012	0.022	33.766	0.002	0.016	2.597	0.054	0.104	45.455	0.0	0.0	0.0	0.002	0.007	6.494	0.002	0.011	7.792	0.163	0.318	57.143	0.041	0.105	38.961	0.041	0.116	32.468
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae [XIV];Lachnospiraceae [G-2]	genus	0.024	0.048	36.364	0.133	0.303	48.052	0.002	0.006	6.494	0.592	1.325	57.143	0.0	0.0	0.0	0.001	0.006	5.195	0.006	0.043	3.896	0.044	0.097	28.571	0.503	1.284	50.649	0.78	1.573	59.74
