Taxonomy	Rank	BM-MEAN	BM-SD	BM-PREV	HP-MEAN	HP-SD	HP-PREV	KG-MEAN	KG-SD	KG-PREV	PT-MEAN	PT-SD	PT-PREV	ST-MEAN	ST-SD	ST-PREV	SUBP-MEAN	SUBP-SD	SUBP-PREV	SUPP-MEAN	SUPP-SD	SUPP-PREV	SV-MEAN	SV-SD	SV-PREV	TD-MEAN	TD-SD	TD-PREV	TH-MEAN	TH-SD	TH-PREV
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family	2.102	3.135	98.701	0.57	0.661	96.104	1.533	1.846	94.805	2.224	3.263	92.208	0.002	0.008	7.792	10.47	7.706	100.0	11.537	7.193	100.0	2.042	1.985	94.805	0.849	1.379	93.506	1.607	2.753	94.805
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family	0.736	1.296	98.701	0.945	1.036	97.403	0.332	1.213	64.935	3.26	3.995	98.701	0.001	0.007	2.597	2.905	3.115	97.403	3.929	4.283	97.403	0.953	1.015	93.506	2.421	3.346	96.104	3.668	4.582	97.403
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	family	3.024	3.697	98.701	3.314	3.396	93.506	3.895	5.695	84.416	3.793	3.693	96.104	0.003	0.012	11.688	2.952	3.944	94.805	2.246	3.092	87.013	4.909	5.129	93.506	4.033	5.959	93.506	2.796	3.236	93.506
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales [F-2]	family	0.048	0.295	23.377	0.007	0.029	9.091	0.001	0.007	3.896	0.197	0.778	27.273	0.0	0.002	1.299	1.202	2.462	55.844	0.363	0.919	38.961	0.112	0.259	49.351	0.003	0.013	7.792	0.02	0.067	19.481
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	family	2.177	2.694	100.0	6.825	4.812	100.0	4.641	7.101	89.61	10.416	7.575	100.0	0.007	0.017	16.883	4.181	4.704	100.0	1.443	2.103	92.208	10.539	5.463	98.701	9.414	5.236	100.0	10.658	6.652	100.0
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1]	family	0.384	0.72	83.117	0.772	0.791	94.805	0.284	0.708	51.948	1.895	2.701	97.403	0.007	0.025	14.286	2.761	4.33	92.208	2.22	3.213	89.61	12.104	12.856	98.701	2.152	2.581	92.208	2.366	2.508	94.805
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-2]	family	0.005	0.024	6.494	0.006	0.041	3.896	0.0	0.0	0.0	0.007	0.053	3.896	0.0	0.0	0.0	0.135	1.063	9.091	0.047	0.202	11.688	0.017	0.055	10.39	0.002	0.013	3.896	0.001	0.006	5.195
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae	family	0.274	0.596	61.039	0.13	0.446	53.247	0.163	0.589	32.468	0.026	0.06	31.169	0.0	0.001	1.299	0.489	1.08	63.636	0.484	0.76	75.325	0.174	0.604	42.857	0.013	0.041	20.779	0.038	0.118	24.675
Bacteria;Bacteroidetes;Bacteroidetes [C-1];Bacteroidetes [O-1];Bacteroidetes [F-1]	family	0.016	0.063	10.39	0.002	0.009	5.195	0.0	0.003	1.299	0.026	0.103	12.987	0.0	0.0	0.0	0.409	2.164	14.286	0.088	0.492	9.091	0.021	0.083	11.688	0.001	0.008	3.896	0.002	0.009	6.494
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	family	1.718	1.842	100.0	2.688	1.78	100.0	3.371	4.204	94.805	1.578	1.209	100.0	0.003	0.013	6.494	0.646	0.809	92.208	0.624	0.614	98.701	1.539	1.252	93.506	2.808	1.886	100.0	1.772	1.345	98.701
