Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016097-VIN	S700016502-VIN	S700016602-VIN	S700021928-VIN	S700023098-VIN	S700023200-VIN	S700023279-VIN	S700023432-VIN	S700023489-VIN	S700023666-VIN	S700023800-VIN	S700023857-VIN	S700023914-VIN	S700024076-VIN	S700024159-VIN	S700024266-VIN	S700024391-VIN	S700024841-VIN	S700024878-VIN	S700032282-VIN	S700032376-VIN	S700032471-VIN	S700032673-VIN	S700033038-VIN	S700033191-VIN	S700033495-VIN	S700033787-VIN	S700034226-VIN	S700034292-VIN	S700034832-VIN	S700035695-VIN	S700035991-VIN	S700037010-VIN	S700037173-VIN	S700037232-VIN	S700037333-VIN	S700037712-VIN	S700037846-VIN	S700037979-VIN	S700038734-VIN	S700095273-VIN	S700095707-VIN	S700097351-VIN	S700097748-VIN	S700097897-VIN	S700098327-VIN	S700098419-VIN	S700098992-VIN	S700099119-VIN	S700099348-VIN	S700099946-VIN	S700100287-VIN	S700100534-VIN	S700101218-VIN	S700101284-VIN	S700101575-VIN	S700103301-VIN	S700103704-VIN	S700105118-VIN	S700105175-VIN	S700105232-VIN	S700105449-VIN	S700105717-VIN	S700105792-VIN	S700105994-VIN	S700106050-VIN	S700106087-VIN	S700106516-VIN	S700106573-VIN	S700106908-VIN	S700107435-VIN	S700108155-VIN	S700108278-VIN	S700108401-VIN	S700108590-VIN	S700108656-VIN	S700109681-VIN	S700109981-VIN	S700110149-VIN	S700110806-VIN	S700111216-VIN	S700111282-VIN	S700111356-VIN	S700111634-VIN	S700111805-VIN	S700113207-VIN	S700113535-VIN	S700113574-VIN	S700113747-VIN	S700113852-VIN	S700113909-VIN	S700113966-VIN	S700113993-VIN	S700114157-VIN	S700114230-VIN	S700114299-VIN	S700114454-VIN	S700114590-VIN	S700114647-VIN	S700114830-VIN	S700116108-VIN	S700116213-VIN	S700116338-VIN	S700116443-VIN	S700116480-VIN	S700116653-VIN	S700116710-VIN	S700116959-VIN	S700116994-VIN	S700117147-VIN	S700117226-VIN	S700117637-VIN	S700117749-VIN	S700117808-VIN	S700117950-VIN	S700119102-VIN	S700119622-VIN	S700119856-VIN	S700120047-VIN	S700121050-VIN	S700121699-VIN	S700123622-VIN	S700161052-VIN	S700161109-VIN	S700161214-VIN	S700161506-VIN	S700161681-VIN	S700161736-VIN	S700161850-VIN	S700161957-VIN	S700163042-VIN	S700163213-VIN	S700163270-VIN	S700163586-VIN	S700163711-VIN	S700163766-VIN	S700163786-VIN	S700163863-VIN	S700164082-VIN	S700164137-VIN	S700164224-VIN	S700164281-VIN	S700164550-VIN	S700164605-VIN	S700164644-VIN	S700164767-VIN	S700164824-VIN	S700164864-VIN	S700165046-VIN	S700165487-VIN	S700165907-VIN	S700165964-VIN	S700166085-VIN	S700171147-VIN	S700171222-VIN	S700171473-VIN	S700171626-VIN	S700171759-VIN	S700171891-VIN	S700171928-VIN	S700171987-VIN	S700172062-VIN	S700172215-VIN	S700172331-VIN	S700172473-VIN	S700172758-VIN	S700172865-VIN	S700173171-VIN	S700173429-VIN	S700173679-VIN	S700173928-VIN	S700173963-VIN	S700175118-VIN	S700175203-VIN
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family				0.144	0.0	0.0	0.0	0.112	0.036	0.101	0.013	0.0	1.009	0.0	1.062	0.0	0.026	0.038	0.0	0.059	0.021	1.24	0.0	0.0	0.0	0.0	0.0	0.461	0.0	0.042	0.635	0.11	1.853	0.039	0.0	0.0	0.04	0.0	0.142	0.015	0.017	0.289	0.0	13.368	0.027	0.669	0.0	0.024	6.858	0.719	0.16	0.139	0.328	1.754	24.1	0.0	0.021	0.365	0.135	5.798	0.671	10.672	0.0	0.0	0.0	0.133	0.0	0.372	0.0	0.0	0.182	0.0	0.064	0.0	0.0	3.192	0.13	22.257	0.0	1.107	0.018	1.155	0.018	0.049	0.151	0.109	0.231	0.048	0.022	0.27	0.039	0.0	0.017	0.031	0.298	0.0	0.188	0.014	0.0	0.0	0.096	0.0	0.104	1.342	0.0	0.009	0.0	0.0	0.0	14.235	7.815	0.084	0.048	0.0	0.052	0.016	0.0	0.034	0.0	0.026	0.0	0.735	0.266	0.0	0.0	1.071	0.0	0.0	0.061	0.794	0.0	0.0	0.715	0.357	0.277	0.0	0.1	0.031	18.226	0.036	0.0	0.038	0.0	0.016	0.0	2.363	0.042	0.03	0.0	0.084	0.07	0.0	2.335	6.348	1.307	0.687	8.326	0.037	7.496	1.943	0.141	0.0	0.036	0.0	0.0	0.305	0.017	0.0	0.032	0.0	0.059	0.227	0.0	0.019	0.013	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family				96.647	99.116	3.475	99.894	97.707	99.274	93.228	98.033	97.02	85.26	99.193	86.345	98.23	99.554	98.317	98.79	94.866	81.953	90.111	99.023	99.569	97.723	99.223	72.235	72.6	96.669	77.35	0.43	95.02	87.616	99.121	98.151	99.878	47.927	90.303	91.624	89.983	79.194	93.361	99.446	48.484	78.786	4.843	97.013	95.34	13.413	90.095	89.159	95.718	84.19	0.633	68.92	92.38	99.871	97.005	92.324	12.247	52.104	30.387	96.278	97.629	98.379	40.49	93.782	86.335	86.198	97.78	98.249	42.389	98.725	99.406	99.83	66.536	92.588	26.269	99.242	15.711	99.594	70.74	95.988	98.202	92.162	39.689	0.0	99.24	89.889	89.109	97.643	99.494	98.144	99.89	10.703	99.874	77.304	90.921	98.839	97.951	11.669	99.461	98.368	50.183	99.817	2.747	98.019	99.207	99.954	75.939	85.477	99.763	95.457	94.601	99.302	98.075	96.325	98.573	99.843	98.155	99.403	3.435	95.596	93.447	99.414	97.48	89.435	99.264	98.356	97.768	94.857	95.046	98.177	95.303	1.892	97.8	57.719	66.328	59.428	99.418	99.611	99.452	94.772	99.736	94.059	90.956	86.955	94.178	45.89	94.684	98.379	92.667	6.758	1.537	72.208	99.196	4.136	52.521	32.657	7.503	86.189	99.908	89.545	91.71	99.212	91.265	99.466	98.549	87.098	99.851	94.323	92.887	93.64	98.682	98.683	3.793	96.168
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.573	0.0	0.763	0.058	0.0	0.0	0.0	0.453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.145	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.554	0.0	0.0	0.0	0.0	0.0	1.371	0.0	0.0	0.0	0.0	0.163	0.0	0.0	0.0	0.0	0.218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092	0.0	0.02	0.0	7.723	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family				0.008	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.021	0.028	0.0	0.063	0.0	0.0	0.0	0.0	0.099	0.0	0.082	0.0	0.031	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.0	0.0	0.67	0.057	1.499	0.0	0.0	0.011	0.0	0.0	0.06	0.0	0.0	0.059	0.0	4.541	0.0	0.0	0.0	0.0	0.017	19.717	0.0	0.024	0.0	0.0	0.544	0.349	0.0	0.035	0.0	0.0	0.036	0.0	0.303	0.152	0.0	0.0	0.155	0.0	0.0	0.0	0.0	0.0	1.721	0.0	0.392	0.0	0.089	0.0	0.0	0.034	0.0	0.015	0.0	54.668	0.0	0.0	0.0	3.023	0.123	0.0	0.0	0.0	0.0	0.065	0.0	0.0	0.0	0.0	0.054	0.222	0.0	0.09	0.0	0.298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.046	0.0	0.0	0.0	2.289	0.036	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	29.096	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.027	0.0	0.061	0.108	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.556	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae	family				0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.108	2.969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family				0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.323	0.0	0.0	0.026	0.026	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.014	0.0	0.079	0.01	1.065	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.072	0.024	0.0	0.0	0.054	0.0	0.0	0.647	0.0	0.0	0.0	0.0	0.268	0.0	0.0	0.0	0.0	0.0	1.188	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	1.182	0.017	0.0	0.695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.191	0.076	0.0	0.0	0.0	0.022	0.0	0.756	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	1.607	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.0	0.0	0.0	0.0	0.119	0.508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.984	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.012	0.0	0.0	1.78	0.558	1.551	0.0	0.0	0.0	0.0	0.0	0.0	0.152	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.019	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family				0.118	0.008	9.624	0.0	0.026	0.018	0.283	0.026	0.0	0.153	0.0	0.57	0.0	0.0	0.038	0.0	0.0	0.0	0.114	0.0	0.032	0.0	0.024	0.137	0.01	0.238	0.0	3.81	0.06	1.143	0.0	0.092	0.0	0.02	0.0	0.106	0.015	0.0	0.09	0.0	2.843	0.217	8.638	0.01	0.122	1.052	1.624	0.069	0.509	0.027	4.873	3.326	0.117	0.021	0.225	0.01	0.933	2.626	6.293	0.023	0.0	0.0	3.173	0.069	0.22	0.0	0.0	0.083	10.251	0.096	0.0	0.0	1.71	0.095	3.942	0.0	5.217	0.0	0.902	0.108	0.081	0.0	0.467	0.426	0.016	1.018	0.047	0.01	0.0	0.066	0.0	8.061	0.0	1.144	0.217	0.069	0.011	0.287	0.017	0.035	0.122	0.0	11.609	0.0	0.0	0.0	0.907	1.149	0.0	0.08	0.0	0.043	0.016	0.0	0.0	0.0	0.078	0.0	8.067	0.0	0.09	0.0	0.278	0.023	0.0	0.061	0.099	0.0	0.0	0.036	0.059	5.538	0.0	0.1	0.0	0.858	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	9.131	0.0	0.023	0.043	1.125	8.945	1.519	0.028	1.78	7.088	12.028	3.347	0.362	0.0	0.073	0.0	0.0	0.229	0.0	0.0	0.0	0.0	0.059	0.076	0.207	0.019	0.0	29.899	0.016
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family				0.693	0.047	1.136	0.0	1.216	0.254	1.516	0.275	0.255	6.177	0.077	5.249	0.468	0.0	0.204	0.0	0.742	0.0	1.111	0.0	0.126	0.096	0.17	0.041	0.118	0.377	0.105	1.598	2.852	0.865	0.0	0.231	0.0	0.817	0.0	0.443	0.0	0.309	0.271	0.101	4.65	2.276	1.012	0.02	0.439	21.384	2.088	1.398	0.602	0.246	4.467	0.082	0.029	0.043	0.322	0.943	2.8	14.219	14.149	0.023	0.0	0.038	2.736	0.393	0.71	1.476	1.292	0.149	0.323	0.375	0.4	0.128	12.932	1.667	10.658	0.018	3.251	0.141	7.872	0.904	0.275	3.484	34.974	1.208	0.19	1.106	0.61	0.754	0.041	0.398	0.063	10.798	0.0	3.495	0.231	0.207	0.046	0.096	0.118	0.312	3.935	0.014	0.974	0.057	0.0	0.031	3.074	1.887	0.056	0.72	0.0	0.267	0.147	0.089	0.017	0.122	0.39	0.0	2.615	0.118	1.795	0.112	0.456	0.023	0.34	0.183	0.149	0.0	0.178	0.179	1.427	2.169	0.35	9.064	0.0	12.046	0.073	0.0	0.094	0.0	0.115	0.149	1.785	0.0	0.296	0.323	0.839	1.175	0.343	44.991	2.481	13.428	0.022	36.127	2.27	19.478	40.374	2.476	0.037	2.149	0.0	0.169	0.736	0.35	0.562	0.097	0.03	0.667	3.935	0.022	0.037	0.141	0.02	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.013	0.031	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.021	0.028	0.0	0.032	0.0	0.0	0.0	0.0	0.01	0.0	0.266	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.035	0.015	0.017	0.0	0.0	0.0	0.027	0.0	0.0	0.0	3.055	0.0	0.0	0.046	0.0	0.016	0.0	0.0	0.0	0.011	0.041	0.0	0.084	0.013	0.0	0.0	0.019	1.862	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.506	0.018	0.035	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.827	0.0	0.0	0.0	0.0	0.0	2.683	0.0	0.0	0.014	0.0	0.0	0.526	0.034	0.0	0.015	0.028	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.016	0.03	0.0	0.0	0.0	0.0	1.333	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.52	0.0	0.0	0.0	0.02	0.0	0.0	0.261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family				0.0	0.0	5.413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.408	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.139	0.0	0.0	0.237	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.0	0.02	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family				0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076	0.0	0.013	0.0	0.0	0.026	0.0	0.0	0.045	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.015	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.044	0.0	0.0	0.0	0.068	0.174	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.005	0.055	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.011	1.172	0.05	0.0	0.107	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.086	0.038	0.0	0.283	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae	family				0.0	0.292	0.0	0.0	0.0	0.054	0.0	0.0	0.0	0.122	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.193	0.0	1.126	0.17	0.0	12.651	0.178	1.704	0.0	0.0	0.309	0.0	0.254	0.0	0.199	0.0	0.0	0.03	0.0	0.036	0.012	0.074	0.677	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.014	0.01	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.028	0.0	0.343	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.018	0.0	0.065	0.0	0.152	0.017	0.0	0.325	0.0	0.0	0.132	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family				0.0	0.008	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.703	0.115	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.028	0.072	0.021	0.575	0.146	0.0	1.834	0.02	0.701	0.0	0.0	0.957	0.0	0.462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	5.364	0.0	0.0	2.976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.649	0.0	0.0	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.564	0.0	0.0	0.0	0.0	0.0	0.757	0.0	0.124	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.248	0.0	1.572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	1.003	0.0	0.762	0.0	0.0	0.28	0.0	0.729	0.0	0.0	0.389	0.0	0.0	0.0	0.154	0.0	0.0	0.0	0.0	0.239	0.0	0.33	0.0	0.0	1.267	0.0	0.074	0.0	0.0	0.056	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family				0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family				0.025	0.0	0.0	0.0	0.046	0.018	0.02	0.0	0.0	0.031	0.0	0.339	0.041	0.0	0.0	0.0	0.0	0.0	0.071	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.205	0.0	0.278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.515	0.108	0.0	0.0	3.905	0.046	0.069	0.046	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	2.134	0.054	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.317	0.0	0.331	0.0	2.52	0.0	0.47	0.0	0.0	0.0	10.756	0.0	0.016	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.361	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.08	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.231	0.0	0.349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.143	0.07	0.0	0.0	0.0	0.0	0.154	0.468	0.443	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family				0.008	0.387	0.0	0.0	0.0	0.036	0.02	0.0	0.0	0.0	0.026	0.0	0.0	0.092	0.026	0.0	0.119	0.085	0.114	0.675	0.0	0.431	0.146	0.0	8.316	0.139	0.701	0.0	0.0	1.081	0.0	0.046	0.0	0.319	0.072	0.035	0.0	0.0	0.0	0.0	0.201	0.569	0.054	0.0	0.537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.072	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.847	0.0	0.0	1.511	0.0	1.158	0.0	0.0	1.254	0.0	0.11	0.0	0.645	0.0	0.0	0.0	0.0	0.827	0.0	1.727	0.0	0.0	2.697	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0
