Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016097-VIN	S700016502-VIN	S700016602-VIN	S700021928-VIN	S700023098-VIN	S700023200-VIN	S700023279-VIN	S700023432-VIN	S700023489-VIN	S700023666-VIN	S700023800-VIN	S700023857-VIN	S700023914-VIN	S700023999-VIN	S700024076-VIN	S700024159-VIN	S700024266-VIN	S700024391-VIN	S700024841-VIN	S700024878-VIN	S700033038-VIN	S700033191-VIN	S700033495-VIN	S700033787-VIN	S700037010-VIN	S700037232-VIN	S700037712-VIN	S700038734-VIN	S700097351-VIN	S700098327-VIN	S700098419-VIN	S700098992-VIN	S700099119-VIN	S700099348-VIN	S700100287-VIN	S700103301-VIN	S700103704-VIN	S700105175-VIN	S700105232-VIN	S700105449-VIN	S700105717-VIN	S700105792-VIN	S700105994-VIN	S700106050-VIN	S700106087-VIN	S700106516-VIN	S700106573-VIN	S700106831-VIN	S700106908-VIN	S700113156-VIN	S700113535-VIN	S700113574-VIN	S700113852-VIN	S700113966-VIN	S700114100-VIN	S700114157-VIN	S700114230-VIN	S700114299-VIN	S700114454-VIN	S700114501-VIN	S700114590-VIN	S700114647-VIN	S700114830-VIN	S700114933-VIN	S700116213-VIN	S700116338-VIN	S700116653-VIN	S700116994-VIN	S700117694-VIN	S700117749-VIN	S700117950-VIN
Bacteria;Bacillota;Clostridia	class				0.272	0.065	0.122	0.0	1.22	0.161	0.605	0.465	0.109	6.391	0.164	5.145	0.522	0.452	0.04	0.373	0.135	0.366	0.063	1.47	0.149	0.189	0.093	0.091	0.018	0.0	0.0	0.062	0.056	8.095	1.012	0.875	0.478	1.235	2.179	7.561	13.742	0.0	0.012	0.08	7.204	0.281	1.29	1.877	0.311	0.238	16.736	3.934	0.453	1.606	0.292	0.473	0.233	17.185	3.709	3.145	0.347	0.168	0.094	0.105	0.12	0.138	0.578	0.0	0.0	42.938	0.0	0.305	0.0	0.588	0.0
Bacteria;Bacillota;Negativicutes	class				0.198	0.0	20.093	0.0	0.016	0.016	0.011	0.0	0.0	0.0	0.0	0.154	0.0	0.012	0.0	0.036	0.0	0.0	0.0	0.041	0.394	0.0	0.035	0.0	0.0	0.033	0.0	0.0	13.862	0.606	0.96	0.0	0.03	0.0	5.357	3.899	0.291	0.0	0.0	0.0	13.322	0.0	0.012	0.156	0.0	0.0	14.745	0.12	0.01	0.903	0.0	0.0	0.0	7.225	0.302	0.12	0.28	0.0	0.013	0.0	0.12	0.0	0.013	0.0	0.0	11.692	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia	class				0.031	0.0	3.032	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	19.462	4.268	0.0	0.0	0.03	0.0	0.0	0.0	0.053	0.0	0.0	0.0	2.959	0.0	0.0	0.0	0.0	0.0	0.116	0.0	0.01	0.0	0.019	0.0	0.021	4.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.281	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria	class				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.164	0.0	0.0	0.0	0.0	0.087	0.107	0.0	0.049	0.106	0.011	0.082	0.0	0.0	0.0	0.0	0.0	0.082	0.016	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.154	0.087	0.016	0.0	0.0	0.304	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.027	0.24	0.0	0.0	0.101	0.0	0.0	0.013	0.0	0.011	0.0	0.0	0.0	0.0	0.028	0.0
Bacteria;Pseudomonadota;Betaproteobacteria	class				0.0	0.588	0.0	0.029	0.0	0.016	0.0	0.0	0.0	0.519	0.05	0.0	0.0	0.046	0.0	0.024	0.0	0.047	0.053	0.082	0.0	19.086	0.139	6.67	0.0	0.066	0.112	0.096	0.056	0.0	0.0	0.017	3.582	0.019	0.0	0.0	0.026	0.015	0.0	0.016	0.0	0.05	0.207	0.171	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.0	0.0	0.027	0.007	0.0	0.275	0.0	0.0	0.118	0.0	0.0	0.009	0.0	0.0	0.0
Bacteria;Pseudomonadota;Epsilonproteobacteria	class				0.021	0.0	0.0	0.0	0.016	0.0	0.187	0.0	0.0	0.216	0.0	1.545	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.082	0.0	0.027	0.07	0.0	0.0	0.0	0.0	0.0	0.504	6.112	0.078	0.051	0.03	0.019	0.0	0.0	5.933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.616	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.032	0.014	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria	class				0.0	0.607	0.0	0.0	0.0	0.065	0.121	0.0	0.458	1.73	0.353	0.0	0.178	2.209	0.386	0.746	3.987	1.427	1.842	0.286	0.027	9.772	0.081	0.88	0.0	0.575	1.964	0.37	0.084	0.028	0.0	0.0	0.0	0.0	0.0	0.127	0.0	2.659	0.062	0.048	0.0	0.0	0.329	0.142	0.0	0.134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.894	0.0	0.081	0.076	0.0	0.0	0.512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order				0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.011	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.257	0.0	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order				0.0	0.0	0.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.19	0.014	0.0	0.127	0.0	0.0	0.0	0.0	0.784	0.083	0.0	0.0	0.0	0.152	0.0	1.03	0.0	0.0	0.0	0.0	0.071	0.116	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.117	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order				0.021	0.039	0.0	0.0	0.253	0.016	0.033	0.0	0.022	0.368	0.063	0.093	0.0	0.301	0.0	0.0	0.012	0.083	0.0	0.347	0.014	0.02	0.023	0.245	0.018	0.0	0.0	0.075	0.0	0.055	0.0	0.189	0.239	0.0	0.007	0.032	0.0	0.0	0.0	0.016	0.886	0.116	1.205	0.498	0.026	0.252	0.017	0.03	0.0	0.035	0.234	0.161	0.191	1.356	0.082	0.107	0.067	0.0	0.31	0.145	0.013	0.157	0.0	0.048	0.0	0.0	0.0	0.035	0.0	0.009	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order				0.366	0.0	26.595	0.0	0.021	0.0	0.033	0.0	0.011	0.0	0.0	0.139	0.0	0.006	0.0	0.0	0.0	0.024	9.241	0.0	2.785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.341	4.956	0.83	0.017	0.0	0.0	1.646	0.0	0.0	0.0	0.0	0.0	1.072	0.0	0.0	0.0	0.0	0.0	9.886	0.068	0.01	0.082	0.0	0.0	0.042	0.748	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.394	0.0	0.0	3.534	0.0	0.017	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order				0.47	0.006	0.012	0.0	0.091	0.016	0.066	0.155	0.0	1.146	0.0	1.421	0.0	0.029	0.027	0.024	0.0	0.0	0.0	1.204	0.0	0.534	0.0	0.054	0.0	0.0	0.0	0.0	0.644	5.617	1.142	0.051	0.388	0.627	20.15	17.15	1.097	0.0	0.0	0.016	0.029	0.0	0.901	0.0	0.0	0.074	0.017	0.211	0.191	0.844	0.039	0.0	0.042	0.772	3.472	0.027	0.0	0.0	0.0	0.0	0.971	0.0	0.171	0.0	0.011	0.0	0.022	0.157	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Caryophanales	order				0.021	0.019	0.0	0.542	0.107	0.0	0.022	0.031	0.022	0.173	0.038	0.0	0.0	0.406	0.0	0.012	0.0	0.177	0.0	0.163	0.014	0.493	0.0	0.018	0.181	0.0	0.0	0.055	0.0	0.0	0.026	0.463	0.776	0.171	0.038	0.0	0.013	0.015	0.274	0.128	0.057	0.264	0.645	0.0	0.065	0.0	0.0	0.0	0.07	0.047	0.058	0.035	0.042	0.023	0.393	0.0	0.0	0.0	0.013	0.065	0.0	0.02	0.026	0.0	0.011	0.0	0.0	0.009	0.179	0.064	0.224
Bacteria;Bacillota;Bacilli;Lactobacillales	order				93.681	97.998	4.104	99.282	95.933	99.371	95.191	98.449	95.167	81.94	96.884	82.233	97.297	80.457	98.921	95.958	87.055	87.711	76.381	89.1	95.857	67.549	98.896	73.273	99.655	85.172	82.162	98.24	7.561	24.146	77.141	89.449	83.582	97.473	63.848	44.064	54.321	89.118	93.087	97.095	41.109	93.196	77.161	93.63	98.379	97.906	45.132	78.278	97.142	94.08	94.024	98.12	96.674	17.021	75.176	77.968	87.707	99.702	96.173	82.141	91.793	98.585	93.33	99.855	89.761	2.466	99.955	98.988	99.192	98.733	96.512
Bacteria;Bacillota;Clostridia;Eubacteriales	order				0.272	0.065	0.122	0.0	1.22	0.161	0.605	0.465	0.109	6.391	0.164	5.145	0.522	0.452	0.04	0.373	0.135	0.366	0.063	1.47	0.149	0.189	0.093	0.091	0.018	0.0	0.0	0.062	0.056	8.095	1.012	0.875	0.478	1.235	2.179	7.561	13.742	0.0	0.012	0.08	7.204	0.281	1.29	1.877	0.311	0.238	16.736	3.934	0.453	1.606	0.292	0.473	0.233	17.185	3.709	3.145	0.347	0.168	0.094	0.105	0.12	0.138	0.578	0.0	0.0	42.938	0.0	0.305	0.0	0.588	0.0
