Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016097-VIN	S700016502-VIN	S700016602-VIN	S700021928-VIN	S700023098-VIN	S700023200-VIN	S700023279-VIN	S700023432-VIN	S700023489-VIN	S700023666-VIN	S700023800-VIN	S700023857-VIN	S700023914-VIN	S700023999-VIN	S700024076-VIN	S700024159-VIN	S700024266-VIN	S700024391-VIN	S700024841-VIN	S700024878-VIN	S700033038-VIN	S700033191-VIN	S700033495-VIN	S700033787-VIN	S700037010-VIN	S700037232-VIN	S700037712-VIN	S700038734-VIN	S700097351-VIN	S700098327-VIN	S700098419-VIN	S700098992-VIN	S700099119-VIN	S700099348-VIN	S700100287-VIN	S700103301-VIN	S700103704-VIN	S700105175-VIN	S700105232-VIN	S700105449-VIN	S700105717-VIN	S700105792-VIN	S700105994-VIN	S700106050-VIN	S700106087-VIN	S700106516-VIN	S700106573-VIN	S700106831-VIN	S700106908-VIN	S700113156-VIN	S700113535-VIN	S700113574-VIN	S700113852-VIN	S700113966-VIN	S700114100-VIN	S700114157-VIN	S700114230-VIN	S700114299-VIN	S700114454-VIN	S700114501-VIN	S700114590-VIN	S700114647-VIN	S700114830-VIN	S700114933-VIN	S700116213-VIN	S700116338-VIN	S700116653-VIN	S700116994-VIN	S700117694-VIN	S700117749-VIN	S700117950-VIN
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.011	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.257	0.0	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family				0.0	0.0	0.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.19	0.014	0.0	0.127	0.0	0.0	0.0	0.0	0.784	0.083	0.0	0.0	0.0	0.152	0.0	1.03	0.0	0.0	0.0	0.0	0.071	0.116	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.117	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family				0.021	0.039	0.0	0.0	0.226	0.0	0.0	0.0	0.022	0.13	0.063	0.0	0.0	0.296	0.0	0.0	0.0	0.071	0.0	0.184	0.0	0.02	0.023	0.054	0.018	0.0	0.0	0.068	0.0	0.0	0.0	0.12	0.06	0.0	0.0	0.032	0.0	0.0	0.0	0.016	0.143	0.116	1.12	0.427	0.0	0.0	0.0	0.008	0.0	0.023	0.156	0.15	0.021	0.047	0.073	0.08	0.013	0.0	0.0	0.08	0.0	0.02	0.0	0.032	0.0	0.0	0.0	0.017	0.0	0.009	0.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family				0.0	0.0	0.0	0.0	0.027	0.016	0.033	0.0	0.0	0.238	0.0	0.093	0.0	0.006	0.0	0.0	0.012	0.012	0.0	0.163	0.014	0.0	0.0	0.191	0.0	0.0	0.0	0.007	0.0	0.055	0.0	0.069	0.179	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.743	0.0	0.085	0.071	0.026	0.252	0.017	0.023	0.0	0.012	0.078	0.012	0.169	1.309	0.009	0.027	0.053	0.0	0.31	0.065	0.013	0.138	0.0	0.016	0.0	0.0	0.0	0.017	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family				0.366	0.0	26.595	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.124	0.0	0.0	0.0	0.0	0.0	0.0	9.241	0.0	2.785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.341	4.956	0.778	0.0	0.0	0.0	1.646	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	9.886	0.0	0.0	0.012	0.0	0.0	0.0	0.421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.394	0.0	0.0	3.534	0.0	0.017	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	family				0.0	0.0	0.0	0.0	0.021	0.0	0.033	0.0	0.0	0.0	0.0	0.015	0.0	0.006	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.472	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.01	0.07	0.0	0.0	0.042	0.327	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family				0.031	0.0	0.012	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.385	0.156	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.188	0.0	0.012	0.0	0.0	0.0	0.772	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family				0.439	0.006	0.0	0.0	0.091	0.016	0.0	0.155	0.0	1.146	0.0	1.398	0.0	0.029	0.027	0.024	0.0	0.0	0.0	1.184	0.0	0.534	0.0	0.054	0.0	0.0	0.0	0.0	0.588	5.231	0.986	0.051	0.388	0.627	20.15	17.15	1.031	0.0	0.0	0.016	0.0	0.0	0.901	0.0	0.0	0.074	0.017	0.023	0.191	0.832	0.039	0.0	0.042	0.0	3.472	0.0	0.0	0.0	0.0	0.0	0.971	0.0	0.171	0.0	0.011	0.0	0.022	0.157	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family				0.021	0.019	0.0	0.542	0.107	0.0	0.022	0.031	0.022	0.173	0.038	0.0	0.0	0.406	0.0	0.012	0.0	0.177	0.0	0.163	0.014	0.493	0.0	0.018	0.181	0.0	0.0	0.055	0.0	0.0	0.026	0.463	0.776	0.171	0.038	0.0	0.013	0.015	0.274	0.128	0.057	0.264	0.645	0.0	0.065	0.0	0.0	0.0	0.07	0.047	0.058	0.035	0.042	0.023	0.393	0.0	0.0	0.0	0.013	0.065	0.0	0.02	0.026	0.0	0.011	0.0	0.0	0.009	0.179	0.064	0.224
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family				93.326	97.966	4.104	99.282	95.917	99.371	94.762	98.356	95.167	78.512	96.884	82.086	97.297	80.405	98.921	95.958	86.994	87.711	76.276	89.059	95.449	67.522	98.873	73.273	99.637	85.172	80.933	98.24	7.533	20.347	77.115	89.415	83.493	78.51	61.13	42.59	54.189	89.102	93.024	97.03	41.095	93.047	77.039	93.459	98.379	97.906	45.049	78.278	97.072	93.775	94.004	98.074	96.611	17.021	71.293	75.238	87.387	99.572	96.173	82.072	91.793	98.467	93.33	99.839	84.829	2.452	99.866	98.91	99.103	96.438	96.512
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family				0.355	0.032	0.0	0.0	0.016	0.0	0.429	0.093	0.0	3.428	0.0	0.147	0.0	0.052	0.0	0.0	0.062	0.0	0.105	0.041	0.408	0.027	0.023	0.0	0.018	0.0	1.23	0.0	0.028	3.8	0.026	0.034	0.09	18.963	2.718	1.474	0.132	0.015	0.062	0.064	0.014	0.149	0.122	0.171	0.0	0.0	0.083	0.0	0.07	0.305	0.019	0.046	0.064	0.0	3.883	2.731	0.32	0.13	0.0	0.069	0.0	0.118	0.0	0.016	4.932	0.014	0.089	0.078	0.09	2.295	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family				0.0	0.0	0.0	0.0	0.005	0.016	0.033	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.061	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.028	0.22	0.0	0.0	0.0	1.083	2.13	0.0	0.013	0.0	0.0	0.0	4.288	0.0	0.024	0.0	0.0	0.0	16.719	0.008	0.0	0.34	0.0	0.0	0.0	2.665	0.0	0.214	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.812	0.0	0.009	0.0	0.101	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family				0.104	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.013	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.551	0.0	0.0	0.0	0.0	0.0	1.442	0.079	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.026	0.0	0.0	0.0	0.141	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family				0.198	0.0	20.093	0.0	0.016	0.016	0.011	0.0	0.0	0.0	0.0	0.154	0.0	0.012	0.0	0.036	0.0	0.0	0.0	0.041	0.394	0.0	0.035	0.0	0.0	0.033	0.0	0.0	13.862	0.606	0.96	0.0	0.03	0.0	5.357	3.899	0.291	0.0	0.0	0.0	13.322	0.0	0.012	0.156	0.0	0.0	14.745	0.12	0.01	0.903	0.0	0.0	0.0	7.225	0.302	0.12	0.28	0.0	0.013	0.0	0.12	0.0	0.013	0.0	0.0	11.692	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family				0.167	0.065	0.122	0.0	1.209	0.145	0.572	0.465	0.109	6.391	0.151	4.959	0.522	0.452	0.04	0.373	0.135	0.354	0.063	1.368	0.136	0.189	0.081	0.091	0.018	0.0	0.0	0.062	0.0	7.324	1.012	0.875	0.478	0.152	0.048	6.118	13.65	0.0	0.012	0.08	2.916	0.281	1.217	1.877	0.285	0.238	0.017	3.926	0.312	1.266	0.292	0.461	0.233	14.52	3.709	2.931	0.347	0.13	0.094	0.105	0.12	0.138	0.42	0.0	0.0	0.126	0.0	0.296	0.0	0.487	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family				0.031	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.268	0.0	0.0	0.03	0.0	0.0	0.0	0.053	0.0	0.0	0.0	2.959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.019	0.0	0.021	4.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family				0.0	0.0	3.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.246	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.012	0.0	0.0	0.0	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.174	0.0	0.227	0.0	0.0	0.069	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Boseaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.059	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.015	0.0	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073	0.027	0.0	0.0	0.0	0.033	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.164	0.0	0.0	0.0	0.0	0.087	0.107	0.0	0.025	0.047	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092	0.075	0.016	0.0	0.0	0.122	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae	family				0.0	0.562	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.022	0.038	0.0	0.0	0.046	0.0	0.024	0.0	0.047	0.053	0.02	0.0	16.411	0.139	2.813	0.0	0.066	0.048	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.0	0.0	0.027	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family				0.0	0.026	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.497	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.0	2.674	0.0	0.662	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.017	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.194	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	3.582	0.0	0.0	0.0	0.026	0.0	0.0	0.016	0.0	0.0	0.207	0.0	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.275	0.0	0.0	0.118	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family				0.021	0.0	0.0	0.0	0.016	0.0	0.187	0.0	0.0	0.216	0.0	1.545	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.082	0.0	0.027	0.07	0.0	0.0	0.0	0.0	0.0	0.504	6.112	0.078	0.051	0.03	0.019	0.0	0.0	5.933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.616	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.032	0.014	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family				0.0	0.0	0.0	0.0	0.0	0.016	0.121	0.0	0.458	1.709	0.252	0.0	0.154	1.316	0.16	0.722	3.876	1.344	1.789	0.184	0.027	0.0	0.0	0.0	0.0	0.575	1.948	0.356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.127	0.0	2.659	0.062	0.048	0.0	0.0	0.329	0.142	0.0	0.134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.841	0.0	0.081	0.076	0.0	0.0	0.512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family				0.0	0.607	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.022	0.101	0.0	0.024	0.893	0.226	0.024	0.111	0.083	0.053	0.102	0.0	9.772	0.081	0.88	0.0	0.0	0.016	0.014	0.084	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Mobiluncus	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.011	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.257	0.0	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	genus				0.0	0.0	0.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.19	0.014	0.0	0.127	0.0	0.0	0.0	0.0	0.784	0.083	0.0	0.0	0.0	0.152	0.0	1.03	0.0	0.0	0.0	0.0	0.071	0.116	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.117	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus				0.021	0.039	0.0	0.0	0.226	0.0	0.0	0.0	0.022	0.13	0.063	0.0	0.0	0.296	0.0	0.0	0.0	0.071	0.0	0.184	0.0	0.02	0.023	0.054	0.018	0.0	0.0	0.068	0.0	0.0	0.0	0.12	0.06	0.0	0.0	0.032	0.0	0.0	0.0	0.016	0.143	0.116	1.12	0.427	0.0	0.0	0.0	0.008	0.0	0.023	0.156	0.15	0.021	0.047	0.073	0.08	0.013	0.0	0.0	0.08	0.0	0.02	0.0	0.032	0.0	0.0	0.0	0.017	0.0	0.009	0.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus				0.0	0.0	0.0	0.0	0.027	0.016	0.033	0.0	0.0	0.238	0.0	0.093	0.0	0.006	0.0	0.0	0.012	0.012	0.0	0.163	0.014	0.0	0.0	0.191	0.0	0.0	0.0	0.007	0.0	0.055	0.0	0.069	0.179	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.743	0.0	0.085	0.071	0.026	0.252	0.017	0.023	0.0	0.012	0.078	0.012	0.169	1.309	0.009	0.027	0.053	0.0	0.31	0.065	0.013	0.138	0.0	0.016	0.0	0.0	0.0	0.017	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.646	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea	genus				0.366	0.0	26.595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.116	0.0	0.0	0.0	0.0	0.0	0.0	9.241	0.0	2.785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.341	4.956	0.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.394	0.0	0.0	3.534	0.0	0.017	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olegusella	genus				0.0	0.0	0.0	0.0	0.021	0.0	0.033	0.0	0.0	0.0	0.0	0.015	0.0	0.006	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.472	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.01	0.07	0.0	0.0	0.042	0.327	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus				0.031	0.0	0.012	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.385	0.156	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.188	0.0	0.012	0.0	0.0	0.0	0.772	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus				0.439	0.006	0.0	0.0	0.091	0.016	0.0	0.155	0.0	1.146	0.0	1.398	0.0	0.029	0.027	0.024	0.0	0.0	0.0	1.184	0.0	0.534	0.0	0.054	0.0	0.0	0.0	0.0	0.588	5.231	0.986	0.051	0.388	0.627	20.15	17.15	1.031	0.0	0.0	0.016	0.0	0.0	0.901	0.0	0.0	0.074	0.017	0.023	0.191	0.832	0.039	0.0	0.042	0.0	3.472	0.0	0.0	0.0	0.0	0.0	0.971	0.0	0.171	0.0	0.011	0.0	0.022	0.157	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus				0.021	0.019	0.0	0.542	0.107	0.0	0.022	0.031	0.022	0.173	0.038	0.0	0.0	0.406	0.0	0.012	0.0	0.177	0.0	0.163	0.014	0.493	0.0	0.018	0.181	0.0	0.0	0.055	0.0	0.0	0.026	0.463	0.776	0.171	0.038	0.0	0.013	0.015	0.274	0.128	0.057	0.264	0.645	0.0	0.065	0.0	0.0	0.0	0.07	0.047	0.058	0.035	0.042	0.023	0.393	0.0	0.0	0.0	0.013	0.065	0.0	0.02	0.026	0.0	0.011	0.0	0.0	0.009	0.179	0.064	0.224
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus				92.918	97.766	4.104	98.08	95.917	99.371	94.641	98.325	93.181	78.014	96.884	81.499	96.906	80.405	98.854	94.635	86.477	87.416	75.971	89.059	95.449	67.32	97.781	73.273	99.637	84.926	80.933	98.034	7.533	20.347	75.636	87.288	83.493	78.51	61.13	41.94	53.343	89.072	91.044	96.822	35.22	93.047	77.039	93.459	97.951	97.906	44.883	76.751	96.589	90.492	93.089	97.681	91.739	14.122	71.293	74.542	83.115	99.572	95.998	82.072	90.835	98.467	92.805	99.695	84.765	2.452	99.352	97.471	97.241	95.694	96.49
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	genus				0.407	0.2	0.0	1.202	0.0	0.0	0.121	0.031	1.986	0.497	0.0	0.587	0.391	0.0	0.067	1.323	0.517	0.295	0.305	0.0	0.0	0.203	1.092	0.0	0.0	0.246	0.0	0.205	0.0	0.0	1.479	2.127	0.0	0.0	0.0	0.65	0.846	0.031	1.981	0.209	5.875	0.0	0.0	0.0	0.428	0.0	0.166	1.527	0.483	3.283	0.915	0.392	4.872	2.899	0.0	0.696	4.271	0.0	0.175	0.0	0.958	0.0	0.525	0.145	0.064	0.0	0.514	1.439	1.862	0.744	0.022
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus				0.355	0.032	0.0	0.0	0.016	0.0	0.429	0.093	0.0	3.428	0.0	0.147	0.0	0.052	0.0	0.0	0.062	0.0	0.105	0.041	0.408	0.027	0.023	0.0	0.018	0.0	1.23	0.0	0.028	3.8	0.026	0.034	0.09	18.963	2.718	1.474	0.132	0.015	0.062	0.064	0.014	0.149	0.122	0.171	0.0	0.0	0.083	0.0	0.07	0.305	0.019	0.046	0.064	0.0	3.883	2.731	0.32	0.13	0.0	0.069	0.0	0.118	0.0	0.016	4.932	0.014	0.089	0.078	0.09	2.295	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7]	genus				0.0	0.0	0.0	0.0	0.005	0.016	0.033	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.061	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.028	0.22	0.0	0.0	0.0	1.083	2.13	0.0	0.013	0.0	0.0	0.0	4.288	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.34	0.0	0.0	0.0	2.665	0.0	0.214	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.101	0.0
