Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015009-ANA	S700015301-ANA	S700015677-ANA	S700015785-ANA	S700016087-ANA	S700016178-ANA	S700016235-ANA	S700016376-ANA	S700016664-ANA	S700016958-ANA	S700021836-ANA	S700021886-ANA	S700023112-ANA	S700023487-ANA	S700023588-ANA	S700023631-ANA	S700023855-ANA	S700023912-ANA	S700023946-ANA	S700023997-ANA	S700024105-ANA	S700024316-ANA	S700024435-ANA	S700024468-ANA	S700024519-ANA	S700024564-ANA	S700024613-ANA	S700024683-ANA	S700024709-ANA	S700024839-ANA	S700024876-ANA	S700024928-ANA	S700024976-ANA	S700032123-ANA	S700032280-ANA	S700033035-ANA	S700033189-ANA	S700033492-ANA	S700033557-ANA	S700033785-ANA	S700033851-ANA	S700035292-ANA	S700035897-ANA	S700037052-ANA	S700037120-ANA	S700037163-ANA	S700037230-ANA	S700037282-ANA	S700037387-ANA	S700037558-ANA	S700037710-ANA	S700037844-ANA	S700037977-ANA	S700038031-ANA	S700038257-ANA	S700038364-ANA	S700038412-ANA	S700038530-ANA	S700038576-ANA	S700038624-ANA	S700038900-ANA	S700038948-ANA	S700038976-ANA	S700095408-ANA	S700095465-ANA	S700095579-ANA	S700095705-ANA	S700096416-ANA	S700097289-ANA	S700097349-ANA	S700097746-ANA	S700097895-ANA	S700098325-ANA	S700098990-ANA	S700099057-ANA	S700099343-ANA	S700099645-ANA	S700099858-ANA	S700100285-ANA	S700100526-ANA	S700100595-ANA	S700101131-ANA	S700101189-ANA	S700101279-ANA	S700101570-ANA	S700101693-ANA	S700102104-ANA	S700102411-ANA	S700102643-ANA	S700102903-ANA	S700102960-ANA	S700103299-ANA	S700103476-ANA	S700103585-ANA	S700103702-ANA	S700105173-ANA	S700105284-ANA	S700105769-ANA	S700105854-ANA	S700105902-ANA	S700105992-ANA	S700106085-ANA	S700106142-ANA	S700106360-ANA	S700106512-ANA	S700106571-ANA	S700106906-ANA	S700106928-ANA	S700106976-ANA	S700107095-ANA	S700107433-ANA	S700107544-ANA	S700107601-ANA	S700107814-ANA	S700107928-ANA	S700107985-ANA	S700108153-ANA	S700108216-ANA	S700108276-ANA	S700108588-ANA	S700108654-ANA	S700108894-ANA	S700108951-ANA	S700109228-ANA	S700109561-ANA	S700109618-ANA	S700109679-ANA	S700109979-ANA	S700110147-ANA	S700110804-ANA	S700111214-ANA	S700111280-ANA	S700111354-ANA	S700111803-ANA	S700112040-ANA	S700112101-ANA	S700113033-ANA	S700113103-ANA	S700113154-ANA	S700113205-ANA	S700113533-ANA	S700113674-ANA	S700113745-ANA	S700113850-ANA	S700113907-ANA	S700113964-ANA	S700113991-ANA	S700114047-ANA	S700114189-ANA	S700114244-ANA	S700114349-ANA	S700114417-ANA	S700114452-ANA	S700114515-ANA	S700114645-ANA	S700114727-ANA	S700114777-ANA	S700114828-ANA	S700114882-ANA	S700114987-ANA	S700116055-ANA	S700116106-ANA	S700116158-ANA	S700116285-ANA	S700116336-ANA	S700116388-ANA	S700116441-ANA	S700116478-ANA	S700116598-ANA	S700116651-ANA	S700116708-ANA	S700116760-ANA	S700116808-ANA	S700116838-ANA	S700116898-ANA	S700116957-ANA	S700117096-ANA	S700117224-ANA	S700117635-ANA	S700117747-ANA	S700117806-ANA	S700117858-ANA	S700117948-ANA	S700118468-ANA	S700119220-ANA	S700119362-ANA	S700119620-ANA	S700119919-ANA	S700120095-ANA	S700121697-ANA	S700122402-ANA	S700123620-ANA	S700124619-ANA	S700161050-ANA	S700161161-ANA	S700161504-ANA	S700161734-ANA	S700163211-ANA	S700163400-ANA	S700163505-ANA	S700163584-ANA	S700163658-ANA	S700163709-ANA	S700163764-ANA	S700163861-ANA	S700163973-ANA	S700164080-ANA	S700164189-ANA	S700164222-ANA	S700164279-ANA	S700164349-ANA	S700164401-ANA	S700164497-ANA	S700164548-ANA	S700164603-ANA	S700164716-ANA	S700164765-ANA	S700164822-ANA	S700164862-ANA	S700165142-ANA	S700165197-ANA	S700165310-ANA	S700165406-ANA	S700165454-ANA	S700165664-ANA	S700165712-ANA	S700165808-ANA	S700165856-ANA	S700165905-ANA	S700166833-ANA	S700171064-ANA	S700171112-ANA	S700171145-ANA	S700171471-ANA	S700171523-ANA	S700171571-ANA	S700171624-ANA	S700171678-ANA	S700171757-ANA	S700171832-ANA	S700171889-ANA	S700171926-ANA	S700172060-ANA	S700172213-ANA	S700172252-ANA	S700172329-ANA	S700172548-ANA	S700172602-ANA	S700172707-ANA	S700172756-ANA	S700172812-ANA	S700173070-ANA	S700173116-ANA	S700173271-ANA	S700173480-ANA	S700173576-ANA	S700173677-ANA	S700173830-ANA	S700175116-ANA	S700175152-ANA	S700175255-ANA
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order				0.04	0.017	0.039	0.018	0.0	0.087	0.0	0.02	0.096	0.06	2.017	0.0	0.0	0.0	1.043	0.029	0.0	1.301	0.105	0.068	0.043	0.385	0.062	0.0	0.088	0.331	0.0	0.0	5.451	0.03	0.37	0.841	0.056	0.098	0.323	4.446	0.235	0.0	0.958	0.087	0.296	5.422	0.0	0.78	0.69	0.0	0.0	0.015	0.794	0.112	0.68	0.329	0.817	0.097	1.211	0.187	0.0	0.113	0.811	1.778	0.024	0.0	0.044	0.441	0.056	0.033	0.198	0.329	1.23	1.49	0.072	2.287	0.0	0.0	0.0	0.536	0.018	0.0	0.083	1.262	1.291	0.569	0.171	0.089	0.222	0.031	0.007	0.036	0.013	0.221	0.221	5.214	0.102	2.052	0.0	0.206	0.038	0.0	0.0	0.33	0.487	0.0	0.223	0.0	0.028	2.177	0.0	6.18	0.284	0.063	0.023	0.479	0.589	0.542	4.629	0.241	0.056	0.372	0.012	0.143	0.106	0.339	0.05	1.415	8.179	1.303	0.4	0.0	0.0	0.0	0.018	0.0	0.093	0.351	1.126	0.454	0.102	0.0	0.019	1.02	0.794	2.121	1.451	6.048	0.0	0.04	1.637	0.242	0.025	0.842	0.686	0.904	0.019	0.036	0.241	0.044	0.12	0.0	0.0	5.593	1.941	0.428	0.061	0.0	0.0	0.225	0.0	0.0	0.135	9.271	0.015	0.044	0.23	0.236	0.09	0.041	1.488	0.0	0.875	0.25	0.428	0.058	0.436	0.042	0.0	0.287	0.05	0.042	0.0	1.63	0.118	0.183	0.398	0.0	0.033	0.061	0.226	0.127	0.0	0.059	0.256	0.089	0.288	0.189	0.0	5.678	2.933	0.0	0.0	0.0	0.0	0.07	2.55	0.0	0.0	0.053	1.333	0.171	2.045	0.085	7.421	0.167	0.0	0.0	0.085	0.097	0.273	0.067	0.061	0.0	0.115	0.0	0.0	0.042	0.066	0.0	0.131	2.193	0.0	0.0	4.846	0.709	0.303	0.07	0.158	0.079	1.589	1.056	0.0	0.0	0.785	0.02	0.0	0.675	0.503	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order				0.0	0.0	17.001	35.313	0.0	0.0	0.0	0.204	0.0	0.004	1.286	0.0	0.08	0.084	0.348	4.527	0.0	0.145	54.876	0.0	0.086	50.222	0.0	0.068	49.001	0.0	0.0	0.021	0.037	0.0	18.503	21.855	0.019	0.928	0.0	0.41	0.188	0.057	0.037	0.036	7.068	0.0	67.587	0.0	0.035	0.036	0.0	0.0	0.168	0.0	1.02	0.094	0.0	33.339	0.605	0.187	0.128	0.0	91.753	0.096	0.0	0.051	0.0	0.049	0.028	0.033	0.0	0.0	0.0	0.075	0.012	0.24	0.051	0.0	0.187	28.337	0.0	0.0	1.783	0.68	9.123	0.129	0.426	0.0	0.103	0.0	0.084	8.629	0.147	0.363	0.0	0.034	0.0	0.071	0.0	0.077	0.0	0.0	59.968	0.055	29.107	0.0	0.0	0.0	0.0	0.339	3.563	0.273	29.777	7.348	0.09	0.026	0.034	0.0	1.453	0.054	0.528	3.457	0.146	0.043	0.0	0.107	0.05	3.313	5.573	0.302	1.567	0.0	0.024	0.147	0.036	0.045	35.529	0.054	13.47	16.188	0.034	0.0	0.0	69.587	0.397	0.183	0.082	0.129	0.0	0.181	1.474	0.0	71.583	0.0	9.6	0.176	63.294	0.237	0.508	0.044	0.06	0.0	0.019	0.149	14.426	0.095	2.511	0.0	0.213	0.225	0.0	0.0	0.045	0.361	0.015	0.0	0.0	0.0	0.045	0.02	0.0	0.162	0.05	0.096	0.0	10.829	0.0	0.028	0.0	0.478	0.1	0.803	0.607	1.63	0.059	0.0	0.055	0.036	3.842	0.061	1.923	3.524	0.0	0.413	0.256	0.179	0.625	0.032	0.605	2.818	0.084	1.549	0.0	0.032	0.199	0.023	0.007	0.0	0.0	0.053	0.0	0.086	0.0	0.028	0.06	0.028	0.057	0.009	0.0	0.0	0.0	0.0	0.061	0.0	0.0	0.029	0.249	0.0	0.248	0.0	0.0	0.094	0.0	0.344	17.656	0.0	1.73	0.0	70.398	0.013	0.0	0.317	1.041	0.0	0.0	0.04	0.189	0.075	0.019	0.0	0.03	0.0	0.29	0.286	0.084
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family				2.142	0.067	0.006	0.107	0.021	0.062	0.0	0.02	0.038	0.013	0.095	0.0	0.0	0.072	0.192	0.551	1.405	0.0	0.013	0.0	0.022	0.03	0.103	0.034	0.0	0.839	0.331	0.0	3.077	0.0	0.129	0.112	0.037	0.146	0.0	3.83	0.563	1.193	0.037	0.022	0.479	0.301	0.028	0.114	0.071	1.032	0.202	0.06	0.265	0.0	1.701	0.117	0.102	0.044	0.726	0.0	0.051	0.142	0.012	1.147	0.024	0.0	0.066	0.0	0.0	0.0	0.23	0.132	0.435	0.0	0.0	0.074	0.0	0.0	0.037	0.089	0.0	0.0	0.0	0.291	2.092	0.297	0.341	0.195	0.133	0.0	0.181	0.0	0.027	0.047	0.581	2.758	0.285	0.991	0.0	0.0	0.154	0.0	0.0	0.495	0.572	0.0	0.388	0.039	0.111	0.726	0.0	1.229	0.071	0.252	0.0	0.065	1.733	0.446	0.161	0.0	0.083	0.053	0.037	0.129	0.106	0.0	0.0	0.067	0.0	0.256	0.064	0.016	0.0	0.0	0.108	0.0	0.0	0.081	0.198	0.0	0.136	0.106	0.0	0.0	0.0	0.732	0.408	1.205	0.0	0.02	0.982	0.022	0.0	0.421	0.686	0.377	0.057	0.055	0.381	0.162	0.09	0.544	0.0	1.454	0.168	0.143	2.388	0.014	0.0	0.225	0.0	0.145	0.0	1.371	0.0	0.0	0.134	0.0	0.09	0.041	0.135	0.015	0.625	0.173	0.0	0.035	0.203	0.014	0.0	0.446	0.0	0.0	0.055	0.0	0.0	0.274	0.1	0.218	0.0	0.183	0.679	0.382	0.0	0.236	2.385	0.089	0.144	0.189	0.0	2.341	0.0	0.039	0.0	0.0	0.0	0.0	1.965	0.0	0.693	0.0	0.435	0.105	4.647	0.171	1.436	0.028	0.17	0.0	0.312	0.125	0.174	0.056	0.0	0.0	0.346	0.029	0.0	0.365	0.033	0.0	0.263	0.043	0.09	0.049	0.441	0.329	0.606	0.279	0.048	0.132	3.284	2.218	0.0	0.0	0.607	0.198	0.0	0.225	8.813	0.055	0.0	0.239	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.134	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.108	0.203	0.0	1.156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.242	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.284	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.034	0.0	0.0	0.0	0.199	0.0	0.049	0.0	0.0	0.06	0.0	0.0	0.0	0.07	0.0	0.025	0.0	0.0	0.013	0.0	0.0	0.03	0.009	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family				26.799	85.623	40.149	36.202	75.682	39.918	0.321	19.1	23.975	40.776	27.009	25.835	11.854	34.578	55.706	41.759	6.557	36.272	26.431	40.561	52.887	29.321	59.633	64.58	7.39	1.192	35.43	74.266	16.277	52.267	13.475	53.18	89.053	48.682	0.046	1.231	33.662	28.287	51.05	16.363	53.146	34.789	20.458	58.527	64.863	25.062	42.838	90.215	1.684	45.678	4.847	32.057	83.848	42.657	46.973	53.364	54.769	57.571	4.404	19.572	66.264	77.53	48.468	50.906	54.629	70.721	46.987	35.461	39.959	51.416	76.968	33.026	54.26	68.354	26.142	8.462	66.87	62.626	15.278	6.408	22.652	20.755	15.821	52.47	2.763	34.014	62.177	53.455	58.873	22.918	20.653	19.812	61.399	19.745	3.898	51.891	72.941	98.254	26.05	60.154	24.299	74.139	58.943	87.266	5.209	6.918	40.058	11.574	15.42	43.33	0.023	54.095	66.571	9.01	24.273	45.206	0.639	54.188	21.279	86.446	17.518	41.777	72.369	37.107	23.986	20.731	50.408	49.249	27.595	1.917	61.419	66.553	13.173	8.86	33.715	50.567	34.842	52.472	0.0	22.208	2.88	41.661	1.239	50.732	48.146	30.342	62.792	0.836	21.394	51.983	36.648	38.709	18.676	12.755	6.95	53.474	26.532	7.313	1.31	37.248	39.133	13.79	60.625	82.98	65.143	9.77	2.85	43.563	26.652	17.532	64.734	18.723	80.662	47.877	63.653	43.671	45.873	61.08	50.562	28.415	48.021	69.361	17.875	56.355	88.755	40.166	41.575	81.445	90.889	21.093	74.69	4.479	48.849	49.218	56.84	44.994	44.91	59.703	88.007	28.479	20.187	44.911	39.452	76.86	85.484	15.215	12.318	45.451	26.998	0.0	57.41	81.589	7.564	81.984	7.506	55.823	7.913	22.168	24.071	48.405	12.388	70.175	12.45	74.655	72.55	42.74	55.021	72.194	66.296	85.367	50.866	71.579	19.801	87.584	56.812	45.506	12.615	57.552	11.946	86.811	24.624	51.506	22.708	18.662	16.96	41.887	3.284	46.779	29.84	30.043	16.101	82.358	51.641	56.414	56.698	16.453	75.136	72.213	91.997	86.229	68.403
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family				1.536	0.894	0.0	0.142	1.02	9.383	3.449	0.409	5.711	2.175	3.446	19.42	1.671	0.024	3.836	4.324	1.171	1.59	1.778	1.163	12.248	0.578	0.041	0.026	0.011	7.515	5.519	3.142	0.074	2.252	0.314	5.856	1.179	1.514	0.0	0.958	0.188	0.114	0.184	18.633	0.0	0.602	0.304	5.044	0.0	5.376	2.959	0.0	4.449	24.3	3.486	6.952	2.807	1.466	6.901	1.449	0.0	3.17	0.561	8.352	3.577	3.246	9.168	6.486	1.734	0.133	0.724	2.434	6.327	2.31	1.217	2.01	7.568	0.0	19.476	0.0	3.188	1.562	4.789	8.35	2.225	12.342	0.682	6.859	4.24	2.427	0.933	0.072	0.628	6.137	5.371	6.559	0.63	2.265	0.413	13.609	0.0	0.045	0.133	3.357	0.0	5.055	0.34	0.896	3.547	0.0	1.823	10.55	2.021	4.888	0.0	1.514	2.238	0.797	8.988	8.998	0.0	4.945	2.01	0.416	1.418	5.191	4.14	1.015	1.374	5.98	4.878	0.664	6.762	0.295	0.738	0.523	0.278	0.297	2.311	0.983	4.559	8.187	0.058	0.021	0.0	3.292	40.763	0.043	0.022	17.686	0.0	2.111	0.252	0.246	5.638	0.377	0.285	1.35	0.064	1.822	0.481	0.544	0.337	0.522	1.078	16.833	7.042	4.909	1.488	0.337	0.0	1.343	0.428	0.469	0.794	2.931	2.353	0.531	6.239	0.02	16.779	5.665	14.896	2.578	2.46	1.28	0.131	0.0	0.471	3.698	3.912	0.169	0.221	8.533	7.688	0.0	0.033	2.183	0.464	2.076	0.0	1.741	4.345	11.851	0.0	4.554	0.481	0.032	0.0	4.768	3.324	4.646	0.0	28.761	4.648	0.818	2.977	0.0	7.275	0.0	0.0	0.0	5.297	2.961	0.0	0.444	0.0	7.195	0.98	0.0	11.803	0.007	0.587	0.904	3.424	2.619	0.0	0.533	0.0	4.503	2.102	9.507	5.701	0.197	0.235	0.051	0.087	7.04	0.0	5.95	0.212	2.112	3.262	0.0	5.677	0.556	0.0	3.001	5.739	1.31	2.208	1.831	0.323	0.857	8.824
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family				0.485	0.0	0.011	0.036	0.064	0.0	0.0	0.02	0.019	0.013	0.206	0.0	0.0	0.0	0.132	0.203	0.0	0.0	0.078	0.0	0.0	0.0	0.062	0.009	0.022	0.149	0.028	0.0	2.447	0.0	0.166	0.168	0.056	0.0	0.023	1.094	0.188	0.0	0.074	0.087	0.046	0.0	0.0	0.171	0.0	0.036	0.168	0.0	0.072	0.022	0.34	0.023	0.281	0.026	0.121	0.023	0.0	0.0	0.062	0.535	0.0	0.0	0.022	0.196	0.0	0.133	0.033	0.066	0.461	0.0	0.0	0.055	0.077	0.0	0.075	0.149	0.0	0.0	0.0	0.097	0.0	0.426	0.0	0.0	0.103	0.0	0.021	0.0	0.013	0.179	0.609	1.749	0.183	0.071	0.0	0.026	0.0	0.0	0.0	0.055	0.057	0.0	0.078	0.0	0.0	0.194	0.0	3.38	0.177	0.032	0.0	0.259	0.471	0.032	0.538	0.161	0.0	0.08	0.061	0.086	0.0	0.054	0.033	0.1	0.0	0.186	0.224	0.0	0.071	0.295	0.072	0.0	0.0	0.108	0.198	0.0	0.034	0.266	0.0	0.014	0.894	0.256	0.701	4.154	0.0	0.161	0.327	0.0	0.0	0.0	0.762	0.201	0.057	0.036	0.102	0.0	0.09	0.0	0.0	1.827	0.431	0.0	0.429	0.014	0.0	0.393	0.0	0.331	0.045	0.036	0.03	0.0	0.019	0.0	0.045	0.0	0.677	0.162	0.225	0.192	0.0	0.081	0.407	0.0	0.0	0.128	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.099	0.0	0.566	0.0	0.0	0.0	0.681	0.045	1.057	0.095	0.0	0.737	0.726	0.039	0.0	0.0	0.0	0.0	0.282	0.0	0.115	0.0	1.072	0.162	2.416	0.085	0.18	0.028	0.057	0.009	0.085	0.014	0.298	0.011	0.061	0.0	0.0	0.0	0.125	0.028	0.066	0.0	0.0	0.166	0.362	0.0	0.038	0.152	2.984	0.196	0.051	0.04	0.0	0.0	0.0	0.0	0.714	0.04	0.0	0.0	0.335	0.027	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family				51.859	6.007	39.582	19.31	5.334	36.247	54.519	9.918	53.066	17.429	45.252	19.596	42.721	46.426	8.164	35.432	40.047	31.647	7.582	29.138	9.215	7.886	22.772	27.295	32.393	77.62	35.651	15.812	64.182	36.536	42.921	11.264	9.113	22.217	67.768	4.856	20.516	2.67	18.195	17.953	22.8	30.572	6.957	15.645	18.868	58.811	47.882	5.328	87.951	7.902	70.918	44.34	6.124	14.016	28.692	30.467	41.744	34.107	0.711	38.322	6.066	17.017	33.786	29.491	22.182	21.17	41.093	58.289	29.098	28.838	11.438	50.673	29.421	23.795	45.056	53.695	21.203	24.945	75.871	34.563	47.13	56.927	34.328	30.739	41.306	8.117	8.601	30.218	17.746	34.14	16.417	37.269	5.206	35.81	30.419	16.285	18.206	0.358	4.253	20.061	40.24	7.839	27.734	10.631	32.142	57.233	44.739	52.68	46.934	24.882	91.071	18.799	15.444	12.374	44.349	36.02	60.839	18.958	62.521	7.057	30.106	6.35	7.897	46.229	43.747	49.604	11.451	28.07	45.095	23.599	17.939	11.028	27.737	9.751	18.033	10.93	43.927	36.842	0.077	2.026	17.776	18.8	37.453	14.938	5.025	18.612	21.94	68.821	4.405	25.412	25.257	23.235	2.168	83.504	31.762	3.658	45.763	70.293	97.558	33.445	34.915	62.387	8.145	3.424	24.23	8.928	91.682	29.614	36.708	37.518	23.131	52.143	5.949	33.432	25.814	14.108	3.924	17.775	9.898	23.432	29.626	7.921	20.244	16.416	8.095	34.97	46.59	9.425	5.577	48.226	11.532	47.715	39.566	35.686	30.739	13.553	32.127	13.291	5.794	43.868	69.932	25.491	33.686	5.832	8.669	37.798	48.073	42.044	64.763	56.826	25.268	15.257	69.2	3.266	39.376	8.6	36.435	30.103	21.468	23.377	33.453	12.885	53.933	16.239	22.309	53.675	25.192	24.886	25.936	11.808	37.938	15.988	8.468	5.556	33.537	45.068	75.427	24.978	60.995	2.904	35.378	35.788	63.841	60.274	0.287	23.232	32.627	27.35	44.205	66.477	55.195	14.467	26.199	20.855	15.092	65.075	14.731	19.427	5.905	4.343	19.496
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.013	0.016	0.0	0.0	0.048	0.168	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.009	0.005	0.039	0.0	0.021	0.111	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.051	0.137	0.452	0.0	0.0	0.035	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.077	0.053	0.363	0.0	0.0	0.0	0.0	0.478	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.205	0.149	0.0	0.277	0.0	0.0	0.112	0.0	0.0	0.0	0.0	0.0	0.445	0.0	0.043	0.0	0.0	0.0	0.111	0.179	0.0	0.121	0.028	0.37	0.0	1.132	0.0	0.0	0.0	0.0	0.0	0.275	0.029	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.158	0.0	0.142	0.0	0.064	0.269	0.214	0.167	0.027	0.012	0.014	0.0	0.018	0.0	0.499	0.745	0.047	0.176	0.0	0.048	0.0	0.0	0.0	0.0	0.216	2.212	0.076	0.0	0.106	0.0	0.007	0.0	0.439	0.016	0.129	0.0	0.0	0.205	0.022	0.0	0.0	0.267	0.226	0.019	0.0	0.0	0.015	0.0	0.0	0.0	0.336	0.072	0.0	0.0	0.0	0.106	0.0	0.0	0.0	0.0	1.154	0.0	0.0	0.019	0.0	0.0	0.02	0.203	0.0	0.125	0.077	0.321	0.0	0.102	0.0	0.0	0.032	0.0	0.0	0.0	0.384	0.0	0.183	0.42	0.0	0.0	0.0	0.0	0.127	0.0	0.059	0.0	0.045	0.0	0.032	0.0	3.554	5.056	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.261	0.01	0.186	0.0	0.0	0.0	0.0	0.0	0.071	0.18	0.074	0.025	0.081	0.0	0.038	0.0	0.0	0.14	0.033	0.0	0.131	0.036	0.0	0.0	1.512	0.152	0.087	0.042	0.024	0.026	0.0	0.106	0.0	0.0	0.071	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family				0.081	0.0	0.011	0.0	1.211	0.235	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.012	0.0	0.0	0.0	1.59	0.013	0.0	0.086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	2.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.134	0.0	0.0	0.0	0.0	0.023	0.102	0.0	1.211	1.075	0.0	0.0	0.075	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0	6.881	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.959	0.0	0.099	8.486	0.0	0.0	0.313	0.06	0.0	0.0	0.0	0.0	4.152	0.0	2.853	0.109	0.076	0.029	0.0	0.03	0.0	0.037	0.0	0.0	0.796	0.057	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.025	0.058	0.0	0.0	0.015	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.0	0.174	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.735	0.0	0.0	0.0	0.212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.118	1.855	0.0	0.0	0.0	0.0	0.0
